"Project.Name","PlatformPortfolio","Action_Obligation_OMB24_GDP22","Action_Obligation_2023","rank_total","rank_2023","TopProject"
"AIRCOM SPACECOM","Electronics, Comms, & Sensors",2602854.25696107,0,450,376.5,NA
"AIRCRAFT CARRIER -CVA-64","Ships & Submarines",193695016.069356,0,59,131,NA
"AIRCRAFT CARRIER -CVAN-69","Ships & Submarines",45428071.5758612,0,97,131,NA
"AIRCRAFT CARRIER -CVN-71","Ships & Submarines",367367551.782726,0,46,131,NA
"AIRCRAFT CARRIER -CVN-72","Ships & Submarines",26246775.8069415,0,107,131,NA
"AIRCRAFT CARRIER CVAN-65","Ships & Submarines",4102687800.17488,0,17,131,NA
"AIRCRAFT TOW MB-2","Land Vehicles",33927415.5392363,0,63,114,NA
"AIRCRAFT TOW MB-4","Land Vehicles",8259600.56827294,0,97,114,NA
"ALAM","Ordnance and Missiles",529344.17407895,0,258,185,NA
"ALCM","Ordnance and Missiles",24992088.0665853,0,138,185,NA
"ALL SOURCE ANALYSIS SYS","Electronics, Comms, & Sensors",227970132.343284,0,99,376.5,NA
"AMDR","Missile Defense",1418989789.23865,28379795784.773,21,13,NA
"AMMO COMPONENTS ALL TYPES","Ordnance and Missiles",325514886.46009,0,70,185,NA
"AMMUNITION BOX M2A1","Ordnance and Missiles",29941225.0197347,0,134,185,NA
"AMMUNITION SHIP-AE","Ships & Submarines",497987782.358975,0,41,131,NA
"AMMUNITION SIMULATORS, AL","Ordnance and Missiles",196236930.120705,0,83,185,NA
"AMPHIBIOUS 15 TON LARC","Land Vehicles",19344321.8689741,0,75,114,NA
"AMPHIBIOUS 5 TON LARC","Land Vehicles",134335.568534542,0,181,114,NA
"AMPHIBIOUS 60 TON LARC","Ships & Submarines",263969.305146506,0,196,131,NA
"AMPV","Land Vehicles",3181126202.75058,238584465206.293,15,4,"AMPV"
"AMRAAM","Ordnance and Missiles",29332027674.0141,3167858988793.52,4,3,"AMRAAM"
"AMRAAM (NAVY)","Ordnance and Missiles",982002222.923578,0,42,185,NA
"AN/AFQ-137","Electronics, Comms, & Sensors",55899929.8926257,0,202,376.5,NA
"AN/ALE-40 COUNTERMEASURES","Electronics, Comms, & Sensors",213382721.186764,0,105,376.5,NA
"AN/ALE-41","Electronics, Comms, & Sensors",24474268.1820743,0,271,376.5,NA
"AN/ALE-50","Electronics, Comms, & Sensors",835328675.264138,0,32,376.5,NA
"AN/ALQ-100 ECM","Electronics, Comms, & Sensors",97873.0570751664,0,634,376.5,NA
"AN/ALQ-101 ECM","Electronics, Comms, & Sensors",56975.9930905102,0,653,376.5,NA
"AN/ALQ-119","Electronics, Comms, & Sensors",1489733947.48126,0,21,376.5,NA
"AN/ALQ-122 ECM SYS","Electronics, Comms, & Sensors",45669238.588426,0,212,376.5,NA
"AN/ALQ-123","Electronics, Comms, & Sensors",2444490.96268141,0,457,376.5,NA
"AN/ALQ-125 TEREC","Electronics, Comms, & Sensors",4878630.57787582,0,402,376.5,NA
"AN/ALQ-126 ECM","Electronics, Comms, & Sensors",195104709.418723,0,114,376.5,NA
"AN/ALQ-131","Electronics, Comms, & Sensors",776182206.272247,0,36,376.5,NA
"AN/ALQ-133 QUICK LOOK","Electronics, Comms, & Sensors",75809152.6582758,0,178,376.5,NA
"AN/ALQ-135","Electronics, Comms, & Sensors",1314244856.8447,0,24,376.5,NA
"AN/ALQ-136 COUNTERMEASURE","Electronics, Comms, & Sensors",39040763.5781749,0,226,376.5,NA
"AN/ALQ-136 COUNTERMEASURES","Electronics, Comms, & Sensors",4078244.45481658,0,424,376.5,NA
"AN/ALQ-147 COUNTERMEASURE","Missile Defense",1862309.02845111,0,68,48.5,NA
"AN/ALQ-151 COUNTERMEASURE","Electronics, Comms, & Sensors",2121501.95380939,0,466,376.5,NA
"AN/ALQ-153 TAIL WARNING S","Electronics, Comms, & Sensors",5062458.90157425,0,399,376.5,NA
"AN/ALQ-155","Electronics, Comms, & Sensors",51958125.5960598,0,208,376.5,NA
"AN/ALQ-165 (V) (ASPJ)","Electronics, Comms, & Sensors",113996717.170396,0,144,376.5,NA
"AN/ALQ-26 PAVE TACK","Electronics, Comms, & Sensors",14582835.935598,0,314,376.5,NA
"AN/ALQ-61 ECM","Electronics, Comms, & Sensors",26345297.1893776,0,263,376.5,NA
"AN/ALR-31 ELEC COUNTERMEA","Electronics, Comms, & Sensors",4626989.11983289,0,409,376.5,NA
"AN/ALR-45","Electronics, Comms, & Sensors",5720786.44755114,0,382,376.5,NA
"AN/ALR-46","Electronics, Comms, & Sensors",19344931.8123154,0,291,376.5,NA
"AN/ALR-56 WARNING RECVR","Electronics, Comms, & Sensors",1158962254.85812,0,27,376.5,NA
"AN/ALR-62 COUNTERMEASURES","Electronics, Comms, & Sensors",199128928.454752,0,113,376.5,NA
"AN/ALR-67 COUNT WARNING S","Electronics, Comms, & Sensors",537616875.4923,0,52,376.5,NA
"AN/ALR-69","Electronics, Comms, & Sensors",210087205.288301,0,108,376.5,NA
"AN/APA-74","Electronics, Comms, & Sensors",-88823.1508243912,0,675,376.5,NA
"AN/APA-92","Electronics, Comms, & Sensors",248353.504928684,0,591,376.5,NA
"AN/APD-7 RADAR","Missile Defense",1661922.89072734,0,69,48.5,NA
"AN/APG-59 RADAR","Missile Defense",1547718.12182328,0,71,48.5,NA
"AN/APN-147 DOPPLER","Electronics, Comms, & Sensors",6753668.01495254,0,369,376.5,NA
"AN/APN-153 DOPPLER","Electronics, Comms, & Sensors",173812.347001607,0,611,376.5,NA
"AN/APN-159 BOMB NAV & FR","Electronics, Comms, & Sensors",2527941.87814386,0,452,376.5,NA
"AN/APN-169 STATION KEEPIN","Electronics, Comms, & Sensors",80953543.6377792,0,174,376.5,NA
"AN/APN-175 DOPPLER","Electronics, Comms, & Sensors",18491539.8770499,0,296,376.5,NA
"AN/APN-194","Electronics, Comms, & Sensors",92282111.3830005,0,163,376.5,NA
"AN/APN-218 DOPPLER","Electronics, Comms, & Sensors",1188831.37545514,0,503,376.5,NA
"AN/APN-221 DOPPLER","Electronics, Comms, & Sensors",7162004.5598191,0,362,376.5,NA
"AN/APN-59 WEATHER RADAR","Missile Defense",6611381.15497887,0,61,48.5,NA
"AN/APQ-102 RADAR SYS","Missile Defense",95930.3509367284,0,76,48.5,NA
"AN/APQ-103","Electronics, Comms, & Sensors",2216097.69670075,0,464,376.5,NA
"AN/APQ-109 RADAR","Missile Defense",9303947.12972651,0,59,48.5,NA
"AN/APQ-113 ATTACK","Electronics, Comms, & Sensors",5968868.43180975,0,379,376.5,NA
"AN/APQ-114 ATTACK","Electronics, Comms, & Sensors",138173.727635529,0,616.5,376.5,NA
"AN/APQ-119","Electronics, Comms, & Sensors",214936.909655267,0,597,376.5,NA
"AN/APQ-161","Aircraft",76322.6357716614,0,429,273.5,NA
"AN/APQ-161","Electronics, Comms, & Sensors",571027.994401071,0,555,376.5,NA
"AN/APQ-161","Other R&D and Knowledge Based",839843.245743914,0,76,63,NA
"AN/APR-38","Electronics, Comms, & Sensors",24053181.0909632,0,275,376.5,NA
"AN/APR-39","Electronics, Comms, & Sensors",494685294.125686,0,57,376.5,NA
"AN/APS-107","Electronics, Comms, & Sensors",-599131.727067414,0,682,376.5,NA
"AN/APS-88","Electronics, Comms, & Sensors",269074.957488037,0,587,376.5,NA
"AN/APX-72","Electronics, Comms, & Sensors",12779707.8932058,0,326,376.5,NA
"AN/ARA-63","Electronics, Comms, & Sensors",26481779.8983214,0,262,376.5,NA
"AN/ARC-143 RADIO SET","Electronics, Comms, & Sensors",-71551.1363957192,0,672,376.5,NA
"AN/ARC-159","Electronics, Comms, & Sensors",34756830.3718551,0,238,376.5,NA
"AN/ARC-164 (V)","Electronics, Comms, & Sensors",34132117.197616,0,240,376.5,NA
"AN/ARC-186 RADIO","Electronics, Comms, & Sensors",63923371.4371957,0,190,376.5,NA
"AN/ARC-34","Electronics, Comms, & Sensors",-274279.35618359,0,680,376.5,NA
"AN/ARC-51 RADIO","Electronics, Comms, & Sensors",93934645.2471121,0,162,376.5,NA
"AN/ARC-88","Other R&D and Knowledge Based",1748281.47049954,0,63,63,NA
"AN/ARN-52 TACAN","Electronics, Comms, & Sensors",2443608.34434768,0,458,376.5,NA
"AN/ARN-84 TACAN NAVIG","Electronics, Comms, & Sensors",6850379.49206217,0,367,376.5,NA
"AN/ARQ-33 QUICK FIX","Electronics, Comms, & Sensors",5485799.87596101,0,389,376.5,NA
"AN/ASC-15 COMM CENTRAL","Electronics, Comms, & Sensors",21019172.3069248,0,285,376.5,NA
"AN/ASD-1 ARBNE ELECT SUB-","Electronics, Comms, & Sensors",8767573.90176009,0,348,376.5,NA
"AN/ASM-146 AIR COND SHELT","Electronics, Comms, & Sensors",3870591.58804298,0,427,376.5,NA
"AN/ASM-147 AIR COND SHELT","Electronics, Comms, & Sensors",3168780.73551634,0,440,376.5,NA
"AN/ASM-189 AIR COND SHELT","Electronics, Comms, & Sensors",1943981.10697419,0,474,376.5,NA
"AN/ASN-84 INER NAV SYS","Electronics, Comms, & Sensors",13050809.6423753,0,325,376.5,NA
"AN/ASQ-104 NAVIGATION SYS","Electronics, Comms, & Sensors",6438224.27477509,0,375,376.5,NA
"AN/ASW-20","Electronics, Comms, & Sensors",12600331.6742215,0,329,376.5,NA
"AN/AXQ-16 COCKPIT TV SENS","Electronics, Comms, & Sensors",25692260.5786176,0,264,376.5,NA
"AN/BLR-14 ECM","Electronics, Comms, & Sensors",5560590.26022328,0,385,376.5,NA
"AN/BPS-15 RADAR","Missile Defense",12769594.584859,0,56,48.5,NA
"AN/BQH-2","Ships & Submarines",12138119.2744536,0,127,131,NA
"AN/BQH-4 (SSEP)","Electronics, Comms, & Sensors",275966.896524976,0,584,376.5,NA
"AN/BQN-17","Ships & Submarines",6537387.09167002,0,143,131,NA
"AN/BQQ-1  SONAR","Electronics, Comms, & Sensors",22169210.5732307,0,279,376.5,NA
"AN/BQQ-5","Electronics, Comms, & Sensors",618270148.738999,0,49,376.5,NA
"AN/BQQ-6 SONAR","Electronics, Comms, & Sensors",1229466476.20255,0,26,376.5,NA
"AN/BQR-15 TOWED ARRAY","Electronics, Comms, & Sensors",103507891.180952,0,154,376.5,NA
"AN/BQR-19 TOPHAT","Electronics, Comms, & Sensors",1174379.15567426,0,504,376.5,NA
"AN/BQR-20","Electronics, Comms, & Sensors",16509041.8999709,0,303,376.5,NA
"AN/BQR-23","Electronics, Comms, & Sensors",125560555.263995,0,137,376.5,NA
"AN/BQR-7 SONAR","Electronics, Comms, & Sensors",4746225.38091604,0,405,376.5,NA
"AN/BQS-13","Ships & Submarines",6734962.54425419,0,140,131,NA
"AN/BQS-15 SONAR","Electronics, Comms, & Sensors",13487620.0094278,0,320,376.5,NA
"AN/BQS-4","Electronics, Comms, & Sensors",2605966.89256635,0,449,376.5,NA
"AN/BQU-17 DEPTH SOUNDER","Electronics, Comms, & Sensors",839782.063030779,0,530,376.5,NA
"AN/BRD() LF-VHF-DF","Electronics, Comms, & Sensors",9810087.2349933,0,343,376.5,NA
"AN/BRD-4","Electronics, Comms, & Sensors",80545.7715576255,0,641,376.5,NA
"AN/BSY-1","Electronics, Comms, & Sensors",120118.051183569,0,625,376.5,NA
"AN/BSY-1 (V) SONAR","Electronics, Comms, & Sensors",727145683.846615,0,39,376.5,NA
"AN/BSY-2 SUBMARINE COMBAT","Electronics, Comms, & Sensors",1332251464.70043,0,23,376.5,NA
"AN/DKT-26/27/36","Ships & Submarines",188069.795948359,0,200,131,NA
"AN/DLQ-3B ECM SET","Electronics, Comms, & Sensors",3398678.97879666,0,435,376.5,NA
"AN/DVG-2 RANGE FINDER LAS","Electronics, Comms, & Sensors",130722.65434198,0,620,376.5,NA
"AN/FLR-11","Electronics, Comms, & Sensors",14672570.4587107,0,313,376.5,NA
"AN/FPN-16 PRECISION APPRO","Electronics, Comms, & Sensors",14947629.0102593,0,308,376.5,NA
"AN/FPQ-16","Electronics, Comms, & Sensors",32147039.1824705,0,245,376.5,NA
"AN/FPQ-16","Facilities and Construction",47778988.9187301,0,32,78,NA
"AN/FPS-108 PHASED ARRAY R","Missile Defense",12355741.3176322,0,57,48.5,NA
"AN/FPS-117 RADAR SEEK IGL","Missile Defense",244766920.070778,0,34,48.5,NA
"AN/FQQ-1/2/3/9 CAESAR/SOS","Electronics, Comms, & Sensors",70723930.3107076,0,182,376.5,NA
"AN/FRC-155 162","Electronics, Comms, & Sensors",604510.05840544,0,552,376.5,NA
"AN/FRT-84 TRANSMITTER","Facilities and Construction",5610945.14483551,0,52,78,NA
"AN/FSA-52 COMM CTRL EQUIP","Electronics, Comms, & Sensors",4270468.67244733,0,417,376.5,NA
"AN/FSC-78","Electronics, Comms, & Sensors",3737297.53364925,0,429,376.5,NA
"AN/FSD JOINT STARS","Electronics, Comms, & Sensors",11194029579.4018,0,2,376.5,"AN/FSD JOINT STARS"
"AN/GPS-6","Missile Defense",20248215.6864153,0,50,48.5,NA
"AN/GRA-114","Electronics, Comms, & Sensors",117264.362426318,0,627,376.5,NA
"AN/GRC-103 RADIO","Electronics, Comms, & Sensors",2552394.03838849,0,451,376.5,NA
"AN/GRC-106 RADIO","Electronics, Comms, & Sensors",-3853498.79752815,0,691,376.5,NA
"AN/GRC-142/122 RADIO","Electronics, Comms, & Sensors",5616133.65385544,0,383,376.5,NA
"AN/GRC-143 RADIO","Electronics, Comms, & Sensors",9639519.68095371,0,344,376.5,NA
"AN/GRC-144 RADIO","Electronics, Comms, & Sensors",148527.596581747,0,614,376.5,NA
"AN/GRC-171","Electronics, Comms, & Sensors",44097212.215626,0,216,376.5,NA
"AN/GRC-171 TRANSCEIVER","Electronics, Comms, & Sensors",4142525.482429,0,422,376.5,NA
"AN/GRC-193","Electronics, Comms, & Sensors",13246450.5464028,0,322,376.5,NA
"AN/GRC-206","Electronics, Comms, & Sensors",7015865.82517047,0,365,376.5,NA
"AN/GRC-212","Electronics, Comms, & Sensors",17597225.9150402,0,300,376.5,NA
"AN/GRN-9","Electronics, Comms, & Sensors",1711638.59871503,0,479,376.5,NA
"AN/GRT-21/22","Electronics, Comms, & Sensors",2349795.79919668,0,460,376.5,NA
"AN/GSG-10 (TACFIRE)","Electronics, Comms, & Sensors",42476195.874395,0,219,376.5,NA
"AN/GVS-5 RANGE FINDER LAS","Electronics, Comms, & Sensors",2217706.29068005,0,463,376.5,NA
"AN/GXC-7","Electronics, Comms, & Sensors",6319987.44015589,0,377,376.5,NA
"AN/GYK-29","Electronics, Comms, & Sensors",24930043.5051361,0,267,376.5,NA
"AN/GYK-3 (V)","Other R&D and Knowledge Based",2456387.39312178,0,62,63,NA
"AN/MES-T1 RADAR SETS","Missile Defense",81488.794228458,0,77,48.5,NA
"AN/MLQ-34 COUNTERMEASURES","Aircraft",270329172.933224,8109875187.99673,176,50,NA
"AN/MLQ-34 COUNTERMEASURES","Electronics, Comms, & Sensors",1469650.47896388,0,491,376.5,NA
"AN/MLQ-34 COUNTERMEASURES","Facilities and Construction",76290.4575651147,76290.4575651147,118,14,NA
"AN/MLQ-34 COUNTERMEASURES","Other R&D and Knowledge Based",1685382.12759324,0,65,63,NA
"AN/MLQ-34 COUNTERMEASURES","Other Services",4833915.49240868,9667830.98481736,17,9,NA
"AN/MPS-T1 RADAR CONTROL V","Missile Defense",4636637.9491601,0,66,48.5,NA
"AN/MRC-HF","Electronics, Comms, & Sensors",322033.303298735,0,580,376.5,NA
"AN/MSC-46 SAT COMM TERM","Electronics, Comms, & Sensors",12410873.7915623,0,330,376.5,NA
"AN/MSQ-103 TEAM PACK","Electronics, Comms, & Sensors",9852193.97537722,0,342,376.5,NA
"AN/PAQ-1 TGT DESIGNATE LA","Ordnance and Missiles",23716892.3715099,0,141,185,NA
"AN/PAS-7","Electronics, Comms, & Sensors",1354613.92147978,0,496,376.5,NA
"AN/PPS-15","Electronics, Comms, & Sensors",212961.712922982,0,598,376.5,NA
"AN/PPS-5 RADAR PORTABLE","Missile Defense",6175923.55660881,0,63,48.5,NA
"AN/PRC-104","Electronics, Comms, & Sensors",4271754.7053456,0,416,376.5,NA
"AN/PRC-25 PRC-77 RADIO SE","Electronics, Comms, & Sensors",7956564.82980198,0,352,376.5,NA
"AN/PRC-25 RADIO","Electronics, Comms, & Sensors",1611483.98378791,0,487,376.5,NA
"AN/PRC-68","Electronics, Comms, & Sensors",697405.744383394,0,540,376.5,NA
"AN/PRC-70 RADIO SET","Electronics, Comms, & Sensors",531765.009744163,0,559,376.5,NA
"AN/PRC-75 RADIO SET","Electronics, Comms, & Sensors",1982257.49443009,0,473,376.5,NA
"AN/PRC-77 RADIO SET","Electronics, Comms, & Sensors",29171837.600007,0,250,376.5,NA
"AN/PRC-90 RADIO","Electronics, Comms, & Sensors",27469812.4582957,0,257,376.5,NA
"AN/PRC-90 SURVIVAL RADIO","Electronics, Comms, & Sensors",188815.498822037,0,605,376.5,NA
"AN/PSC-2 DIG COMM TERM","Electronics, Comms, & Sensors",1339517.52624443,0,497,376.5,NA
"AN/PSG-2 MESSAGE DEVICE","Electronics, Comms, & Sensors",479965.527651158,0,566,376.5,NA
"AN/PSW-1","Electronics, Comms, & Sensors",2923072.8399507,0,444,376.5,NA
"AN/PVS-4 SIGHT","Ordnance and Missiles",1587030.96472957,0,228,185,NA
"AN/PVS-5 SIGHT","Electronics, Comms, & Sensors",34075851.5359436,0,241,376.5,NA
"AN/SLQ-12 ECM","Electronics, Comms, & Sensors",384410.313731458,0,573,376.5,NA
"AN/SLQ-13","Ordnance and Missiles",133820779.995442,0,93,185,NA
"AN/SLQ-17","Other Products",5428827.27357879,0,20,31.5,NA
"AN/SLQ-19","Electronics, Comms, & Sensors",63329.6251662842,0,644,376.5,NA
"AN/SLQ-21 ECM","Electronics, Comms, & Sensors",-1275422.3690097,0,688,376.5,NA
"AN/SLQ-25 TORP CM TRANS S","Electronics, Comms, & Sensors",203424691.478761,0,111,376.5,NA
"AN/SLQ-32","Electronics, Comms, & Sensors",529511722.854249,0,53,376.5,NA
"AN/SLR-13","Electronics, Comms, & Sensors",208690.814487514,0,601,376.5,NA
"AN/SLR-24 SONAR","Ships & Submarines",110680107.913472,0,74,131,NA
"AN/SPA 25","Electronics, Comms, & Sensors",72804016.9888312,0,181,376.5,NA
"AN/SPG-51 RADAR","Electronics, Comms, & Sensors",579089.668867896,0,554,376.5,NA
"AN/SPG-55 RADAR ANTENNA","Missile Defense",78770963.8105604,0,41,48.5,NA
"AN/SPN-43","Electronics, Comms, & Sensors",1769097.83080091,0,477,376.5,NA
"AN/SPN-46(V)","Electronics, Comms, & Sensors",142514434.266048,0,128,376.5,NA
"AN/SPS 30","Electronics, Comms, & Sensors",-351191.557740303,0,681,376.5,NA
"AN/SPS 40","Electronics, Comms, & Sensors",43164694.6710931,0,217,376.5,NA
"AN/SPS 49","Electronics, Comms, & Sensors",308860427.093008,0,84,376.5,NA
"AN/SPS-48 AIR SEARCH RADA","Missile Defense",428147883.639954,0,30,48.5,NA
"AN/SPS-52 RADAR","Missile Defense",12794720.4879084,0,55,48.5,NA
"AN/SPS-58","Electronics, Comms, & Sensors",17778676.0188772,0,299,376.5,NA
"AN/SQQ-14 SONAR","Electronics, Comms, & Sensors",9101861.98573967,0,346,376.5,NA
"AN/SQQ-16 MINE SONAR","Electronics, Comms, & Sensors",111385267.008354,0,145,376.5,NA
"AN/SQQ-23","Ships & Submarines",-166959.920892931,0,235,131,NA
"AN/SQQ-32 SONAR","Ships & Submarines",320311883.160178,0,51,131,NA
"AN/SQQ-89","Electronics, Comms, & Sensors",91356688.850673,0,165,376.5,NA
"AN/SQQ-89 SONAR","Electronics, Comms, & Sensors",2705057567.23159,0,10,376.5,NA
"AN/SQR-15","Electronics, Comms, & Sensors",16777920.9699747,0,302,376.5,NA
"AN/SQR-17 SONAR","Ships & Submarines",11008353.1599364,0,131,131,NA
"AN/SQR-18","Electronics, Comms, & Sensors",19577641.6874974,0,290,376.5,NA
"AN/SQR-19 SONAR","Electronics, Comms, & Sensors",64300111.4889638,0,189,376.5,NA
"AN/SQS-23 SONAR","Electronics, Comms, & Sensors",641608.278850111,0,549,376.5,NA
"AN/SQS-26 SONAR","Electronics, Comms, & Sensors",29291408.0610749,0,249,376.5,NA
"AN/SQS-35","Ships & Submarines",318862839.431646,0,52,131,NA
"AN/SQS-53 SONAR","Electronics, Comms, & Sensors",365972688.844919,0,73,376.5,NA
"AN/SQS-56","Electronics, Comms, & Sensors",179424106.159395,0,119,376.5,NA
"AN/SRC-27 RADIO","Electronics, Comms, & Sensors",539180.913249621,0,557,376.5,NA
"AN/SSQ-1(DIRECTIONAL)","Electronics, Comms, & Sensors",-696625.876829126,0,683,376.5,NA
"AN/SSQ-36","Electronics, Comms, & Sensors",24567080.4186562,0,269,376.5,NA
"AN/SSQ-53 (DIFAR)","Electronics, Comms, & Sensors",331972729.424075,0,78,376.5,NA
"AN/SSQ-57 SPECIAL PURPOSE","Electronics, Comms, & Sensors",412988221.20519,0,62,376.5,NA
"AN/SSQ-62 DICASS","Electronics, Comms, & Sensors",567720638.1351,0,51,376.5,NA
"AN/SSQ-77(VLAD)","Electronics, Comms, & Sensors",181365384.478724,0,118,376.5,NA
"AN/SWG-1A HSCLLS","Missile Defense",95969447.4223853,0,39,48.5,NA
"AN/SYA-12 GARD","Electronics, Comms, & Sensors",59625.9469964326,0,648,376.5,NA
"AN/SYQ 2/3/4 NTDS DATA SY","Electronics, Comms, & Sensors",611143.996647339,0,551,376.5,NA
"AN/SYR-1 TRACKING SET","Electronics, Comms, & Sensors",63216502.1195869,0,191,376.5,NA
"AN/TCC-45 MULTIPLEXER SET","Electronics, Comms, & Sensors",532583.965365644,0,558,376.5,NA
"AN/TGC-37 COMM CENTRAL","Electronics, Comms, & Sensors",2640593.47160245,0,447,376.5,NA
"AN/TLQ-17 COUNTERMEASURES","Electronics, Comms, & Sensors",3053839.94289526,0,441,376.5,NA
"AN/TPM-25","Electronics, Comms, & Sensors",1734847.91364609,0,478,376.5,NA
"AN/TPN-22","Electronics, Comms, & Sensors",-142879.810899049,0,677,376.5,NA
"AN/TPQ-36","Electronics, Comms, & Sensors",449777034.159298,0,60,376.5,NA
"AN/TPQ-37","Electronics, Comms, & Sensors",393179945.015066,0,67,376.5,NA
"AN/TPS-32","Electronics, Comms, & Sensors",3348931.01818675,0,437,376.5,NA
"AN/TPS-43","Electronics, Comms, & Sensors",7059109.59968637,0,364,376.5,NA
"AN/TPS-47","Electronics, Comms, & Sensors",1127431.71235006,0,508,376.5,NA
"AN/TPS-59 RADAR SYS","Missile Defense",492734868.313903,0,28,48.5,NA
"AN/TPS-63 RADAR SET","Missile Defense",17593131.4943135,0,51,48.5,NA
"AN/TPS-71 ROHR","Missile Defense",43092446.80958,0,44,48.5,NA
"AN/TPX-42V","Electronics, Comms, & Sensors",35342360.134977,0,237,376.5,NA
"AN/TPX-46 (MARK XIFF)","Electronics, Comms, & Sensors",36111555.1975519,0,234,376.5,NA
"AN/TPX-50 (MARK XIFF ATCR","Electronics, Comms, & Sensors",836718.684015148,0,531.5,376.5,NA
"AN/TRC-110 RADIO","Electronics, Comms, & Sensors",71967.077223465,0,642,376.5,NA
"AN/TRC-112 RADIO","Electronics, Comms, & Sensors",21133797.8117089,0,284,376.5,NA
"AN/TRC-170 RADIO","Electronics, Comms, & Sensors",503641299.306543,0,55,376.5,NA
"AN/TRC-97A","Electronics, Comms, & Sensors",755193.129827545,0,538,376.5,NA
"AN/TRN-28","Electronics, Comms, & Sensors",2487810.3842088,0,455,376.5,NA
"AN/TRN-30 V-1","Electronics, Comms, & Sensors",82608.304041477,0,640,376.5,NA
"AN/TRQ-35(V)","Electronics, Comms, & Sensors",115521.003611372,0,629,376.5,NA
"AN/TRS-2","Electronics, Comms, & Sensors",721870.842039831,0,539,376.5,NA
"AN/TRU-6 TRANSMITTER","Electronics, Comms, & Sensors",397506.313309551,0,571,376.5,NA
"AN/TSC-26 BASE RADIO","Electronics, Comms, & Sensors",1088163.98453877,0,509,376.5,NA
"AN/TSC-60","Electronics, Comms, & Sensors",20440528.8199686,0,287,376.5,NA
"AN/TSC-61 FLIGHT COORD CN","Electronics, Comms, & Sensors",1701277.7828246,0,480,376.5,NA
"AN/TSC-61 FLIGHT COORD CT","Electronics, Comms, & Sensors",1047543.99648411,0,512,376.5,NA
"AN/TSC-75 COMM CENTRAL","Electronics, Comms, & Sensors",4733597.54043012,0,406,376.5,NA
"AN/TSC-99 HF RADIO","Electronics, Comms, & Sensors",-814149.456466585,0,686,376.5,NA
"AN/TSM-55 ELEC TEST EQUIP","Electronics, Comms, & Sensors",7922286.18605666,0,353,376.5,NA
"AN/TSQ-114","Electronics, Comms, & Sensors",2050989.22721196,0,468,376.5,NA
"AN/TSQ-18 LANDING CNTRL C","Electronics, Comms, & Sensors",879832.852888425,0,526,376.5,NA
"AN/TSQ-43 INTERPRETATION","Ships & Submarines",861645.542483607,0,176,131,NA
"AN/TSQ-71 LND CNTRL CENTR","Electronics, Comms, & Sensors",1983328.22355103,0,472,376.5,NA
"AN/TSQ-73 AIR DEF MSL SYS","Missile Defense",130985446.827967,0,36,48.5,NA
"AN/TSQ-84 (AACOMS)","Electronics, Comms, & Sensors",-131177.083392152,0,676,376.5,NA
"AN/TSW-7","Electronics, Comms, & Sensors",-4760.6358091304,0,668,376.5,NA
"AN/TSW-7 AIR CENTR CNTRL","Electronics, Comms, & Sensors",59927357.4986786,0,196,376.5,NA
"AN/TTC-3 CENT  OFF TEL","Electronics, Comms, & Sensors",7107043.55802763,0,363,376.5,NA
"AN/TTC-38 CENT OFF TEL","Electronics, Comms, & Sensors",45153159.129186,0,214,376.5,NA
"AN/TTC-39","Electronics, Comms, & Sensors",267268.485784518,0,588,376.5,NA
"AN/TTC-39 CIRCUIT SWITCH","Electronics, Comms, & Sensors",652518724.099581,0,47,376.5,NA
"AN/TTC-39(Z) SYSTEM","Electronics, Comms, & Sensors",104175136.179194,0,152,376.5,NA
"AN/TTC-42 TRITAC","Electronics, Comms, & Sensors",212323551.765782,0,107,376.5,NA
"AN/TVQ-2 LASER DESIGNATOR","Facilities and Construction",5880382.42896782,0,51,78,NA
"AN/TXQ-3 RADAR RELAY SET","Electronics, Comms, & Sensors",813256.783090878,0,533,376.5,NA
"AN/TYA-11 COMM CENTRAL","Electronics, Comms, & Sensors",1316661.01411754,0,499,376.5,NA
"AN/TYA-20","Electronics, Comms, & Sensors",17926701.700602,0,298,376.5,NA
"AN/TYC-39 MESSAGE SWITCH","Electronics, Comms, & Sensors",516280514.731571,0,54,376.5,NA
"AN/TYC-5 DATA COMM TERMIN","Electronics, Comms, & Sensors",15677921.338777,0,306,376.5,NA
"AN/TYQ-1 TACC","Electronics, Comms, & Sensors",107287137.543308,0,147,376.5,NA
"AN/TYQ-2 TAOC","Electronics, Comms, & Sensors",4319522.52827971,0,414,376.5,NA
"AN/TYQ-3 TDC","Electronics, Comms, & Sensors",42917983.7363444,0,218,376.5,NA
"AN/UGC-129","Electronics, Comms, & Sensors",50386957.603319,0,209,376.5,NA
"AN/UGC-141","Electronics, Comms, & Sensors",470989.405233768,0,568,376.5,NA
"AN/UGC-25 TELGRPH/TELTYPE","Electronics, Comms, & Sensors",108141.404449021,0,633,376.5,NA
"AN/UGC-74","Electronics, Comms, & Sensors",32735473.5154826,0,243,376.5,NA
"AN/UGC-74 FATT PAGE PRINT","Electronics, Comms, & Sensors",10398731.2671172,0,338,376.5,NA
"AN/ULQ-6","Electronics, Comms, & Sensors",9406242.28919258,0,345,376.5,NA
"AN/UPR-2","Electronics, Comms, & Sensors",5284518.64576653,0,395,376.5,NA
"AN/URC-82","Electronics, Comms, & Sensors",130101478.494317,0,132,376.5,NA
