"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
"AFSCN","Electronics, Comms, & Sensors",796675167.964219,0,34,361,NA
"TF-30","Aircraft",789007764.049016,0,135,252.5,NA
"JSTARS GND STATION MODULE","Electronics, Comms, & Sensors",784878351.235574,0,35,361,NA
"AN/ALQ-131","Electronics, Comms, & Sensors",776182206.272247,0,36,361,NA
"Future Vertical Lift Capability Set Three (FVL CS3)","Other R&D and Knowledge Based",769966742.672962,753821605.798533,3,3,"Future Vertical Lift Capability Set Three (FVL CS3)"
"ZBL","Other Services",764973182.43002,-1076744.76403724,2,35,"ZBL"
"LANTIRN","Electronics, Comms, & Sensors",761865982.635312,0,37,361,NA
"TNK & AUTO TECH","Land Vehicles",754252356.24766,0,24,110,NA
"EVOLVED EXPENDABLE LV PRO","Space Systems",754226836.416296,0,19,34,NA
"Other UAS","Other R&D and Knowledge Based",746286727.871539,0,4,59.5,"Other UAS"
"FCA","Aircraft",741058279.897642,0,136,252.5,NA
"MK92 FIRE CONTROL SYS","Electronics, Comms, & Sensors",735293725.373914,0,38,361,NA
"JOINT COMMON MISSILE","Ordnance and Missiles",732212302.426065,0,49,177.5,NA
"C-137 STRATOLINER","Aircraft",729233781.069732,0,137,252.5,NA
"AN/BSY-1 (V) SONAR","Electronics, Comms, & Sensors",727145683.846615,0,39,361,NA
"RF-4C","Aircraft",719580968.211637,0,138,252.5,NA
"SMART-T","Electronics, Comms, & Sensors",713766212.288948,0,40,361,NA
"SEC MOB ANTI-JAM REL TAC","Electronics, Comms, & Sensors",711868672.116368,0,41,361,NA
"H. MOB. MP WHEELED VEH (H","Land Vehicles",707419078.353816,0,25,110,NA
"STANDARD MISSILE 2","Ordnance and Missiles",705739389.680542,0,50,177.5,NA
"CASS","Electronics, Comms, & Sensors",700884280.122212,0,42,361,NA
"5 TON M-939","Land Vehicles",698724810.416149,0,26,110,NA
"GBU-15","Ordnance and Missiles",696302201.944507,0,51,177.5,NA
"SSN 688","Ships & Submarines",696073519.537881,703212.518292241,34,14,NA
"ADG","Aircraft",686969714.728341,0,139,252.5,NA
"SATCOM","Electronics, Comms, & Sensors",686416851.298733,0,43,361,NA
"ITEP","Aircraft",682794390.663022,139959320.251129,140,27,NA
"NAVY ERP","Electronics, Comms, & Sensors",662130439.487993,0,44,361,NA
"MQ-1C Gray Eagle","Ordnance and Missiles",661897059.421639,131335478.011974,52,12,NA
"474L BMEWS","Electronics, Comms, & Sensors",660346023.360149,0,45,361,NA
"GCCS-AF","Electronics, Comms, & Sensors",656721678.783016,15391.215346577,46,39,NA
"C-130H","Aircraft",655702773.632777,22280.7301436091,141,59,NA
"HURRICANE RITA","Facilities and Construction",652935127.345428,0,15,77,NA
"AN/TTC-39 CIRCUIT SWITCH","Electronics, Comms, & Sensors",652518724.099581,0,47,361,NA
"CARRIER AIRCRAFT-CVA-63","Ships & Submarines",651086495.759817,0,35,128.5,NA
"RECOVERY VEHICLE M88 IMPR","Land Vehicles",648351184.103168,0,27,110,NA
"SCY","Electronics, Comms, & Sensors",646860820.247852,0,48,361,NA
"T-37","Aircraft",646020163.390538,0,142,252.5,NA
"SUBMARINE FBM-SSBN","Ships & Submarines",638447918.509428,0,36,128.5,NA
"DJN","Land Vehicles",634822966.963923,0,28,110,NA
"FQG","Ordnance and Missiles",629043414.058257,0,53,177.5,NA
"M109 155MM MED SP HOW","Land Vehicles",619943601.673571,0,29,110,NA
"TOW 2","Ordnance and Missiles",618750532.438896,5807911.61319374,54,20,NA
"AN/BQQ-5","Electronics, Comms, & Sensors",618270148.738999,0,49,361,NA
"STRATEGIC DEFENSE INITIAT","Ordnance and Missiles",617445419.496364,0,55,177.5,NA
"C-130 AMP","Aircraft",613956418.301291,0,143,252.5,NA
"SCOUT","Aircraft",606700401.381996,-2798283.3725619,144,457,NA
"VSX ACFT REPLACE S-2E","Aircraft",602361933.424888,0,145,252.5,NA
"CGS","Electronics, Comms, & Sensors",598672139.210169,0,50,361,NA
"LIGHT ARMORED VEHICLE (LA","Land Vehicles",588152431.242502,0,30,110,NA
"IAMD","Missile Defense",587441346.470763,18497880.4112076,26,11,NA
"Other UAS","Other Services",586987441.419047,0,3,20,"Other UAS"
"RIM-66 STANDARD MISSILE (","Ordnance and Missiles",580795624.346972,0,56,177.5,NA
"FRIGATE GD MSL-DLG","Ships & Submarines",572780474.29973,0,37,128.5,NA
"AVG","Aircraft",569911675.288371,0,146,252.5,NA
"DESTROYER RADAR PICKET-DD","Ships & Submarines",568324436.109504,0,38,128.5,NA
"GPS III","Space Systems",568000192.659195,2948166.9756336,20,9,NA
"AN/SSQ-62 DICASS","Electronics, Comms, & Sensors",567720638.1351,0,51,361,NA
"SHILLELAGH MISSILE","Aircraft",567562547.016276,34106206.7236099,147,37,NA
"GBS","Space Systems",553417777.278522,0,21,34,NA
"AIM-54 PHOENIX","Ordnance and Missiles",546044833.767545,0,57,177.5,NA
"ICEBREAKER-AGB","Ships & Submarines",543550693.690138,0,39,128.5,NA
"TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",540854289.821267,0,58,177.5,NA
"AN/ALR-67 COUNT WARNING S","Electronics, Comms, & Sensors",537616875.4923,0,52,361,NA
"C-12A (CX-X)","Aircraft",534403498.910067,0,148,252.5,NA
"ARMY TACTICAL MISSILE SYS","Ordnance and Missiles",532788432.605041,0,59,177.5,NA
"AN/SLQ-32","Electronics, Comms, & Sensors",529511722.854249,0,53,361,NA
"C/MH-53E","Aircraft",522013057.759619,344848.427030383,149,55,NA
"EBJ","Ordnance and Missiles",520349134.418007,0,60,177.5,NA
"T-2 BUCKEYE","Aircraft",516589146.675802,0,150,252.5,NA
"AN/TYC-39 MESSAGE SWITCH","Electronics, Comms, & Sensors",516280514.731571,0,54,361,NA
NA,"Unlabeled",515225369.072536,3017142.36711138,1,1,NA
"PATROL CFT COSTL FAST-PCF","Ships & Submarines",504637436.696278,0,40,128.5,NA
"AN/TRC-170 RADIO","Electronics, Comms, & Sensors",503641299.306543,0,55,361,NA
"MQ-9 Reaper","Other Services",500729215.971103,-188945.46199847,4,34,"MQ-9 Reaper"
"DEF METEOR SAT PROG","Space Systems",498701688.022064,0,22,34,NA
"AMMUNITION SHIP-AE","Ships & Submarines",497987782.358975,0,41,128.5,NA
"427M CHEYENNE","Electronics, Comms, & Sensors",496795320.473816,0,56,361,NA
"MISCELLANEOUS AMMUNITION","Ordnance and Missiles",496450896.824713,0,61,177.5,NA
"A-7D","Aircraft",495352348.812483,0,151,252.5,NA
"AN/APR-39","Electronics, Comms, & Sensors",494685294.125686,0,57,361,NA
"FAADS C21 (SHORAD)","Missile Defense",493446344.460953,0,27,46,NA
"AN/TPS-59 RADAR SYS","Missile Defense",492734868.313903,0,28,46,NA
"SBR","Space Systems",490714169.847355,0,23,34,NA
"HMMLTV","Land Vehicles",487194912.766949,93693.3436866426,31,11,NA
"RESCH SHP OCEANOGRAPHIC-A","Facilities and Construction",486061187.256462,0,16,77,NA
"M1A2 UPGRADE","Land Vehicles",471552058.532808,0,32,110,NA
"586","Other R&D and Knowledge Based",467420621.816337,312490369.78165,5,4,"586"
"J-52","Aircraft",466095813.363456,0,152,252.5,NA
"Other UAS","Facilities and Construction",460913974.406841,0,17,77,NA
"ARH","Aircraft",460365751.440722,-340059.017934337,153,453,NA
"MNSWEEPER OCEAN NON-MAG-M","Ships & Submarines",460090082.878746,0,42,128.5,NA
"IMPROVED TARGET ACQ SYS","Missile Defense",458784324.511754,0,29,46,NA
"GCCS-M","Electronics, Comms, & Sensors",458514180.493358,-42622.9694265585,58,683,NA
"SPADOC","Electronics, Comms, & Sensors",457394280.052678,0,59,361,NA
"AGM-69 SRAM(SHT RG ATTK M","Ordnance and Missiles",457378135.662396,0,62,177.5,NA
"PATROL BOAT FAST-PTF","Ships & Submarines",455196193.546376,0,43,128.5,NA
"MH53E SEA DRAGON","Aircraft",454094384.009613,0,154,252.5,NA
"A-4 SKYHAWK","Aircraft",453514182.762878,0,155,252.5,NA
"TRUCKS >10T","Land Vehicles",452417156.099762,0,33,110,NA
"C-23 SHERPA","Aircraft",451109261.487879,0,156,252.5,NA
"M-60 COMBAT 105MM GUN","Land Vehicles",450184845.638216,0,34,110,NA
"AN/TPQ-36","Electronics, Comms, & Sensors",449777034.159298,0,60,361,NA
"PERSONNEL CARRIER M113","Land Vehicles",448043707.939934,0,35,110,NA
"M16 5.56 MM RIFLE","Ordnance and Missiles",442835978.168149,0,63,177.5,NA
"FAB-T","Electronics, Comms, & Sensors",441593597.084048,118256170.432034,61,11,NA
"LAMPS MKIII (SH-60B)","Aircraft",437950379.344171,0,157,252.5,NA
"ZAGM-86","Ordnance and Missiles",436007445.978108,0,64,177.5,NA
"ATS","Aircraft",434777975.404296,0,158,252.5,NA
"AN/SPS-48 AIR SEARCH RADA","Missile Defense",428147883.639954,0,30,46,NA
"DMSP","Space Systems",419065868.591471,0,24,34,NA
"T-AKE","Ships & Submarines",416271274.991169,0,44,128.5,NA
"AN/SSQ-57 SPECIAL PURPOSE","Electronics, Comms, & Sensors",412988221.20519,0,62,361,NA
"DCGS ARMY","Electronics, Comms, & Sensors",411590977.302361,9573521.27498647,63,19,NA
"ZBL","Land Vehicles",407324322.244682,-23295128.8243272,36,210,NA
"411L AWACS","Electronics, Comms, & Sensors",404723467.791134,0,64,361,NA
"AIR CARGO MATERIALS HAND","Aircraft",401413905.233049,0,159,252.5,NA
"IDECM","Electronics, Comms, & Sensors",400851751.768322,19017487.7119596,65,16,NA
"AGM-154A","Ordnance and Missiles",399116592.21881,0,65,177.5,NA
"MAC C3 SUPPORT","Electronics, Comms, & Sensors",394205979.222315,0,66,361,NA
"TITAN IV","Space Systems",393307249.488141,0,25,34,NA
"AN/TPQ-37","Electronics, Comms, & Sensors",393179945.015066,0,67,361,NA
"F404-GE-400 OR 402","Aircraft",392692485.925741,0,160,252.5,NA
"ZBL","Other R&D and Knowledge Based",391623182.122937,24773180.301958,6,9,"ZBL"
"TRIDENT II SUB","Ordnance and Missiles",391571608.632537,0,66,177.5,NA
"AFATDS ADV FLD ART TAC DA","Electronics, Comms, & Sensors",390671347.599587,0,68,361,NA
"RMS","Electronics, Comms, & Sensors",388019326.293225,0,69,361,NA
"AIM-95 AGILE","Ordnance and Missiles",386605012.519251,0,67,177.5,NA
"SEB","Ships & Submarines",385110948.275861,0,45,128.5,NA
"BSM","Electronics, Comms, & Sensors",380210166.836037,0,70,361,NA
"CCPDS - REPLACE PROG/NORA","Electronics, Comms, & Sensors",377673696.523215,0,71,361,NA
"EXCALIBUR","Ordnance and Missiles",375078033.698496,18333.7783454536,68,29,NA
"UNIVERSAL(FT)W/DOZER","Land Vehicles",374926796.39802,0,37,110,NA
"JLENS","Missile Defense",371512815.42879,0,31,46,NA
"HPCM","Electronics, Comms, & Sensors",370970710.09718,0,72,361,NA
"AIRCRAFT CARRIER -CVN-71","Ships & Submarines",367367551.782726,0,46,128.5,NA
"AN/SQS-53 SONAR","Electronics, Comms, & Sensors",365972688.844919,0,73,361,NA
"T-39 SABRELINER","Aircraft",361890657.962964,0,161,252.5,NA
"SEJ","Ships & Submarines",356874758.664852,0,47,128.5,NA
"SBP","Ships & Submarines",355207594.181519,0,48,128.5,NA
"AN/UYK-20 GARD","Electronics, Comms, & Sensors",354996447.88143,0,74,361,NA
"443","Land Vehicles",352899208.673877,52951752.2104592,38,7,"443"
"HVY EXPANDED MOB. TAC TRU","Land Vehicles",352820895.026531,0,39,110,NA
"ARL","Aircraft",352348204.20553,0,162,252.5,NA
"T-64","Aircraft",351586788.169353,0,163,252.5,NA
"SPS","Facilities and Construction",349284579.57413,10794.4986080739,18,13,NA
"JTRS AMF","Electronics, Comms, & Sensors",349148206.087181,0,75,361,NA
"TBMCS","Electronics, Comms, & Sensors",346839207.237565,6031399.37266525,76,21,NA
"NPOESS (DOC/NOAA)","Space Systems",346166536.854283,0,26,34,NA
"ZBL","Space Systems",346100540.568093,38770363.9643018,27,6,"ZBL"
"BTD","Aircraft",345876243.717306,0,164,252.5,NA
"MK30 MOBILE TARGET","Electronics, Comms, & Sensors",343299866.333591,0,77,361,NA
"GBR -GROUND BASED RADAR","Missile Defense",336963737.511659,0,32,46,NA
"HAWK IMPROVED","Ordnance and Missiles",333363112.950577,18028716.827064,69,17,NA
"AN/SSQ-53 (DIFAR)","Electronics, Comms, & Sensors",331972729.424075,0,78,361,NA
"GYY","Electronics, Comms, & Sensors",331109307.777559,0,79,361,NA
"TOWED SONAR ARRAY","Electronics, Comms, & Sensors",329624381.396649,0,80,361,NA
"LVTC-7","Land Vehicles",329437674.242153,0,40,110,NA
"SERVICE CRAFT","Ships & Submarines",329359487.173158,0,49,128.5,NA
"SAWE-RF","Other Products",327144533.769739,0,2,31.5,"SAWE-RF"
"SURVEYING SHIP SMALL-AGS","Ships & Submarines",326916790.605063,0,50,128.5,NA
"AMMO COMPONENTS ALL TYPES","Ordnance and Missiles",325514886.46009,0,70,177.5,NA
"TRACTOR M915 50,000 LB","Land Vehicles",325009445.773005,0,41,110,NA
"DAL","Land Vehicles",324147330.450533,0,42,110,NA
"AH-1 COBRA","Aircraft",324144301.137652,0,165,252.5,NA
"AN/SQQ-32 SONAR","Ships & Submarines",320311883.160178,0,51,128.5,NA
"AN/SQS-35","Ships & Submarines",318862839.431646,0,52,128.5,NA
"WIDE AREA MUNITION (WAM)","Ordnance and Missiles",318482244.342461,0,71,177.5,NA
"CAINS GROUND SUPPORT EQUI","Electronics, Comms, & Sensors",318482149.502117,0,81,361,NA
"RQ-7B Shadow Tactical Unmanned Aircraft System (RQ-7B Shadow)","Aircraft",317270386.030535,90249097.434639,166,33,NA
"ACD","Aircraft",314944951.885983,0,167,252.5,NA
"AF INT COM CTRL SYS","Electronics, Comms, & Sensors",314453873.173987,0,82,361,NA
"AN/USH-24","Electronics, Comms, & Sensors",313127218.778127,0,83,361,NA
"HARPOON","Ordnance and Missiles",310185593.0686,0,72,177.5,NA
"BQM-34 FIREBEE","Aircraft",309123605.698771,0,168,252.5,NA
"AN/SPS 49","Electronics, Comms, & Sensors",308860427.093008,0,84,361,NA
"DTS","Electronics, Comms, & Sensors",304139140.799927,0,85,361,NA
"DMS","Electronics, Comms, & Sensors",299290720.97952,0,86,361,NA
"ARC-210 RADIO SET","Electronics, Comms, & Sensors",299131406.015805,0,87,361,NA
"B-2 DMS-M","Aircraft",294987704.744273,22791647.2794379,169,39,NA
"T-800","Aircraft",292753867.573964,0,170,252.5,NA
"LAV (ARMY)","Land Vehicles",292721946.003236,30954.3114159632,43,12,NA
"MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",290403288.857597,0,73,177.5,NA
"120MM AMMUNITION ALL TYPE","Ordnance and Missiles",289149228.200704,0,74,177.5,NA
"Mk21A Reentry Vehicle","Other R&D and Knowledge Based",283696259.933189,125697798.454637,7,5,"Mk21A Reentry Vehicle"
"QH-50 DASH","Aircraft",281817136.244154,0,171,252.5,NA
"AEC","Aircraft",280516164.128226,0,172,252.5,NA
"C-2 GREYHOUND","Aircraft",279855828.888386,0,173,252.5,NA
"BARRACKS SHIP SELF-PROP-A","Facilities and Construction",278598516.569999,0,19,77,NA
"CIRCM","Electronics, Comms, & Sensors",277911151.137263,277497769.26371,88,6,"CIRCM"
"GUIDED MSL LAUNCH MK-73","Ordnance and Missiles",277707654.524287,0,75,177.5,NA
"CNZ","Ships & Submarines",276629082.373195,0,53,128.5,NA
"VH-3D EXECUTIVE HELICOPTE","Aircraft",274637654.604042,0,174,252.5,NA
"413L DEW LINE","Electronics, Comms, & Sensors",274634077.184695,0,89,361,NA
"AQM-37 TARGET DRONE","Aircraft",273143538.085646,0,175,252.5,NA
"AN/MLQ-34 COUNTERMEASURES","Aircraft",270329172.933224,92038684.9262542,176,32,NA
"ZBL","Ordnance and Missiles",265275752.53517,48046102.9254632,76,13,NA
"EA-6B","Aircraft",264184800.315306,0,177,252.5,NA
"NTW","Missile Defense",263373418.877755,0,33,46,NA
"CRUISER GD MSL NUCLEAR-CG","Ships & Submarines",262190356.944445,0,54,128.5,NA
"5 TON 6X6 ALL BODY TYPES","Land Vehicles",259899261.457589,0,44,110,NA
"****AFX","Electronics, Comms, & Sensors",259402343.06999,0,90,361,NA
"DTS","Other Services",259019724.387513,0,5,20,"DTS"
"AN/WLR-8","Electronics, Comms, & Sensors",259012680.13597,0,91,361,NA
"CHEM DEMIL-CMA","Facilities and Construction",254207152.204223,544592.168302943,20,10,NA
"7.62MM M60 MACHINE GUN","Ordnance and Missiles",251525411.653109,0,77,177.5,NA
"RDB","Electronics, Comms, & Sensors",249985635.249072,0,92,361,NA
"APACHE (AH-64) ADV ATTACK","Aircraft",247466689.452092,0,178,252.5,NA
"AN/FPS-117 RADAR SEEK IGL","Missile Defense",244766920.070778,0,34,46,NA
"LCAC","Ships & Submarines",244398015.383231,0,55,128.5,NA
"THAAD","Missile Defense",243600810.651115,0,35,46,NA
"CGM/HGM-16 ATLAS","Ordnance and Missiles",241820409.873993,0,78,177.5,NA
"AF INT COM CTRL SYS","Other R&D and Knowledge Based",241074710.80847,0,8,59.5,NA
"H100-T400-CP400 PT-6T-3","Aircraft",240155766.351272,0,179,252.5,NA
"750 KW","Electronics, Comms, & Sensors",238676420.796097,0,93,361,NA
"GNL","Electronics, Comms, & Sensors",237466170.912453,0,94,361,NA
"FIREFINDER","Electronics, Comms, & Sensors",237259127.733944,0,95,361,NA
"SSN 21","Ships & Submarines",236897033.925694,0,56,128.5,NA
"MIM-72 CHAPARRAL","Ordnance and Missiles",234841414.282798,0,79,177.5,NA
"GOGGLES AN/PVS-5","Electronics, Comms, & Sensors",233796783.634591,0,96,361,NA
"GCSS ARMY","Electronics, Comms, & Sensors",231534166.158803,0,97,361,NA
"GSSI GRND SUP SYS INTEG","Electronics, Comms, & Sensors",229993782.375429,0,98,361,NA
"BATTLESHIP","Ships & Submarines",229379101.300077,0,57,128.5,NA
"AV-8B REMANUFACTURE","Aircraft",228901043.463176,0,180,252.5,NA
"A-7 CORSAIR II","Aircraft",228790264.42388,0,181,252.5,NA
"ALL SOURCE ANALYSIS SYS","Electronics, Comms, & Sensors",227970132.343284,0,99,361,NA
"CHEYENNE MOUNTAIN UPGRADE","Electronics, Comms, & Sensors",225563162.239379,0,100,361,NA
"MCM 1","Ships & Submarines",225372587.461237,0,58,128.5,NA
"T-43","Aircraft",224811607.884964,0,182,252.5,NA
"F-8 CRUSADER","Electronics, Comms, & Sensors",224422655.276089,0,101,361,NA
"PEACE HAWK","Electronics, Comms, & Sensors",224232773.426207,0,102,361,NA
"Other UAS","Electronics, Comms, & Sensors",222543428.290046,0,103,361,NA
"MK 48 ADCAP","Ordnance and Missiles",221538854.770092,111228.010617512,80,27,NA
"5""/38 CAL CARTRIDGE","Ordnance and Missiles",220252464.646541,0,81,177.5,NA
"MK-104 PRACTICE","Ordnance and Missiles",218127852.566559,0,82,177.5,NA
"MK74 FIRE CONTROLS SYS","Electronics, Comms, & Sensors",215198426.68292,0,104,361,NA
"AN/ALE-40 COUNTERMEASURES","Electronics, Comms, & Sensors",213382721.186764,0,105,361,NA
"PAVEPAWS","Electronics, Comms, & Sensors",212798493.874547,0,106,361,NA
"AN/TTC-42 TRITAC","Electronics, Comms, & Sensors",212323551.765782,0,107,361,NA
"AN/ALR-69","Electronics, Comms, & Sensors",210087205.288301,0,108,361,NA
"496L SPADATS SPACETRACK","Electronics, Comms, & Sensors",209144407.243248,0,109,361,NA
"BQM-74","Aircraft",208889237.529757,0,183,252.5,NA
"Joint Operational Medicine Information Systems (OMIS)","Electronics, Comms, & Sensors",208743761.769778,82486049.5917669,110,12,NA
"JTUAV","Aircraft",207309979.537959,3360176.84734381,184,49,NA
"C-5A","Aircraft",206868310.234521,0,185,252.5,NA
"TURBOFAN ENGINES","Aircraft",205371508.44116,0,186,252.5,NA
"C-18","Aircraft",204822659.749467,0,187,252.5,NA
"AN/SLQ-25 TORP CM TRANS S","Electronics, Comms, & Sensors",203424691.478761,0,111,361,NA
"AV-8B","Aircraft",202795782.091424,0,188,252.5,NA
"AN/UYA-4 NTDS","Electronics, Comms, & Sensors",202411859.215312,0,112,361,NA
"F-4 PHANTOM","Aircraft",201451338.404719,0,189,252.5,NA
"AN/ALR-62 COUNTERMEASURES","Electronics, Comms, & Sensors",199128928.454752,0,113,361,NA
"DEF METEOR SAT PROG","Aircraft",198908266.385483,0,190,252.5,NA
"AMMUNITION SIMULATORS, AL","Ordnance and Missiles",196236930.120705,0,83,177.5,NA
"UH-60 UTTAS BLACK HAWK","Aircraft",195231607.220945,0,191,252.5,NA
"AN/ALQ-126 ECM","Electronics, Comms, & Sensors",195104709.418723,0,114,361,NA
"AN/VRC-12 RADIO","Electronics, Comms, & Sensors",194639465.439218,0,115,361,NA
"2.75"" ROCKET ALL TYPES","Ordnance and Missiles",193951385.355328,0,84,177.5,NA
"AIRCRAFT CARRIER -CVA-64","Ships & Submarines",193695016.069356,0,59,128.5,NA
"RECOVERY VEHICLE M88 MED","Land Vehicles",191261215.650663,0,45,110,NA
"ELECTRONICS ALL SOURCE AN","Electronics, Comms, & Sensors",189624744.276381,0,116,361,NA
"LANDING CRAFT AIR CUSHION","Ships & Submarines",189108548.67173,0,60,128.5,NA
"5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",187712690.712395,0,85,177.5,NA
"CIRCM","Aircraft",187656380.79061,12028187.1809748,192,42,NA
"5.56MM CARBINE","Ordnance and Missiles",186507670.535049,0,86,177.5,NA
"F405-RR-401 ENGINE","Aircraft",185432221.514607,0,193,252.5,NA
"GUIDED MSL LAUNCH MK-49","Ordnance and Missiles",183944489.589822,0,87,177.5,NA
"M-857 SEMI-TRAILER","Land Vehicles",183743159.185307,0,46,110,NA
"APC","Electronics, Comms, & Sensors",181624243.327345,0,117,361,NA
"AN/SSQ-77(VLAD)","Electronics, Comms, & Sensors",181365384.478724,0,118,361,NA
"MQM-39","Ships & Submarines",181207594.331632,0,61,128.5,NA
"AN/SQS-56","Electronics, Comms, & Sensors",179424106.159395,0,119,361,NA
"466","Other Services",177189110.340187,-7729783.9238731,6,36,"466"
"DESTROYER GD MSL DDG-2 CL","Ships & Submarines",175263207.721605,0,62,128.5,NA
"AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",174865382.97386,0,120,361,NA
"GHY","Electronics, Comms, & Sensors",173383517.738796,0,121,361,NA
"STATUS OF FORCES AGREEMENT","Other R&D and Knowledge Based",172424917.164243,27938902.5423174,9,8,NA
"AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",168153510.858333,0,122,361,NA
"T-53","Aircraft",166889684.761564,0,194,252.5,NA
"LANDING SHIP TANK-LST","Ships & Submarines",165604871.44287,0,63,128.5,NA
"NCES","Aircraft",164620058.178032,15399871.6153045,195,40,NA
"J-69","Aircraft",163758170.96681,0,196,252.5,NA
"EBE","Other R&D and Knowledge Based",163545219.020225,0,10,59.5,NA
"MK-84 GENERAL PURPOSE","Ordnance and Missiles",162310450.503965,0,88,177.5,NA
"<15KW 60 CYCLE DE","Electronics, Comms, & Sensors",161823801.858901,0,123,361,NA
"SCY","Other R&D and Knowledge Based",160186383.753559,0,11,59.5,NA
"CNQ","Space Systems",159785305.924616,0,28,34,NA
"AEC","Electronics, Comms, & Sensors",156935760.984359,0,124,361,NA
"F-5E","Aircraft",155679649.409707,-1831697.31390795,197,456,NA
"486L DEEP SEA","Facilities and Construction",154960244.219075,0,21,77,NA
"SSGN","Ships & Submarines",153879203.482543,0,64,128.5,NA
"AN/WSN-1 INERT NAV SYS","Electronics, Comms, & Sensors",152993015.652816,0,125,361,NA
"ACA","Aircraft",152576720.669946,0,198,252.5,NA
"PIONEER UNMANNED AERIAL V","Aircraft",147519850.046605,0,199,252.5,NA
"PEACEKEEPER RAIL GARRISON","Ordnance and Missiles",145600823.721745,0,89,177.5,NA
"OPERATIONAL CONTROL CENTE","Electronics, Comms, & Sensors",144527709.685542,0,126,361,NA
"CCIC2S","Electronics, Comms, & Sensors",144366938.662621,0,127,361,NA
"SURTASS SHIP T-AGOS","Ships & Submarines",142827653.642957,0,65,128.5,NA
"AN/SPN-46(V)","Electronics, Comms, & Sensors",142514434.266048,0,128,361,NA
"155MM ARTY ALL (EXCLG SAD","Ordnance and Missiles",141677173.836333,0,90,177.5,NA
"A/EA-3 SKYWARRIOR","Electronics, Comms, & Sensors",141114212.271391,0,129,361,NA
"MINELAYER COASTAL-MMC","Ships & Submarines",140854554.344734,0,66,128.5,NA
"CARRIER AIRCRAFT-CVA-59","Ships & Submarines",138716634.810433,0,67,128.5,NA
"PREDATOR","Aircraft",137526640.346498,0,200,252.5,NA
"AGM-129/A ADV CRUISE MISS","Ordnance and Missiles",137117226.109827,0,91,177.5,NA
"SUBMARINE GUIDED MISSILE-","Ships & Submarines",136444134.804681,0,68,128.5,NA
"B-2 EHF","Aircraft",135338562.209381,0,201,252.5,NA
"SPACE DEF SYSTEM 64406F","Space Systems",135267307.662868,0,29,34,NA
"NESP","Space Systems",135199086.894872,0,30,34,NA
"M88A2 Heavy Equipment Recovery Combat Utility Lift Evacuation System (M88A2 HERCULES)","Land Vehicles",134666197.377851,122287375.352298,47,5,"M88A2 Heavy Equipment Recovery Combat Utility Lift Evacuation System (M88A2 HERCULES)"
"M198 TOWED HOWITZER (155M","Ordnance and Missiles",134368822.646346,5507932.2888933,92,21,NA
"CARRIER CVV","Ships & Submarines",134229105.338423,0,69,128.5,NA
"AN/SLQ-13","Ordnance and Missiles",133820779.995442,0,93,177.5,NA
"OPTION GRND COMM NETWORK","Electronics, Comms, & Sensors",131439502.352619,0,130,361,NA
"FAAD C2I(ATCCS)","Electronics, Comms, & Sensors",131238789.906833,0,131,361,NA
"APC","Other R&D and Knowledge Based",131080299.382909,0,12,59.5,NA
"AN/TSQ-73 AIR DEF MSL SYS","Missile Defense",130985446.827967,0,36,46,NA
"AN/URC-82","Electronics, Comms, & Sensors",130101478.494317,0,132,361,NA
"CITS","Electronics, Comms, & Sensors",129965512.236312,0,133,361,NA
"H-3 JOLLY GREEN GIANT","Aircraft",129900492.843311,0,202,252.5,NA
"MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",129785270.617672,0,94,177.5,NA
"ILS-S","Ordnance and Missiles",129188739.985799,-215693.247239765,95,325,NA
"MQ-9 Reaper","Facilities and Construction",127562962.86967,0,22,77,NA
"F-100 UPGRADE","Aircraft",126853131.400956,0,203,252.5,NA
"QM-107 GD MSL TGT SYS","Aircraft",126840224.414112,0,204,252.5,NA
"NV THERMAL SYSTEMS","Electronics, Comms, & Sensors",126295902.065947,0,134,361,NA
"BIOMETRICS","Electronics, Comms, & Sensors",126243199.83994,-709966.76862482,135,688,NA
"DEAMS Inc 1","Electronics, Comms, & Sensors",126155233.439488,46352312.9535861,136,13,NA
"AN/BQR-23","Electronics, Comms, & Sensors",125560555.263995,0,137,361,NA
"GUIDED MSL LAUNCH MK-13","Ordnance and Missiles",123973906.534897,0,96,177.5,NA
"H-3 SEA KING","Aircraft",123671602.058678,0,205,252.5,NA
"GBSD","Space Systems",121575390.62278,0,31,34,NA
"FRIGATE FF-1052","Ships & Submarines",121282412.055349,0,70,128.5,NA
"589","Electronics, Comms, & Sensors",121150784.164604,25198820.0858787,138,14,NA
"JPALS","Electronics, Comms, & Sensors",120602389.30472,0,139,361,NA
"DJC2","Electronics, Comms, & Sensors",120086368.079717,0,140,361,NA
"FORK LIFT ATLAS","Land Vehicles",119830311.901721,0,48,110,NA
"MARK XII PROGRAM","Electronics, Comms, & Sensors",119033301.962276,0,141,361,NA
