"assistance_award_unique_key","recipient_name","transaction_count","cfda_num","cfda_title","assistance_type_code","assistance_type_description","prime_award_base_transaction_description","period_of_performance_start_date","initial_period_of_performance_current_end_date","original_loan_subsidy_cost","face_value_of_loan","non_federal_funding_amount","indirect_cost_federal_share_amount","max_last_modified_date","award_id_fain","award_id_uri","sai_number","federal_action_obligation","total_obligated_amount","total_non_federal_funding_amount","total_face_value_of_loan","total_loan_subsidy_cost","action_date","Fiscal_Year","period_of_performance_current_end_date","awarding_agency_code","awarding_agency_name","awarding_sub_agency_code","awarding_sub_agency_name","awarding_office_code","awarding_office_name","funding_agency_code","funding_sub_agency_code","funding_sub_agency_name","funding_office_code","funding_office_name","recipient_uei","recipient_duns","recipient_name_raw","recipient_parent_uei","recipient_parent_duns","recipient_parent_name","recipient_parent_name_raw","recipient_country_code","recipient_country_name","recipient_address_line_1","recipient_address_line_2","recipient_city_code","recipient_city_name","prime_award_transaction_recipient_county_fips_code","recipient_county_name","prime_award_transaction_recipient_state_fips_code","recipient_state_code","recipient_state_name","recipient_zip_code","recipient_zip_last_4_code","prime_award_transaction_recipient_cd_original","prime_award_transaction_recipient_cd_current","primary_place_of_performance_scope","primary_place_of_performance_country_code","primary_place_of_performance_country_name","primary_place_of_performance_code","primary_place_of_performance_city_name","prime_award_transaction_place_of_performance_county_fips_code","primary_place_of_performance_county_name","prime_award_transaction_place_of_performance_state_fips_code","primary_place_of_performance_state_name","primary_place_of_performance_zip_4","prime_award_transaction_place_of_performance_cd_original","prime_award_transaction_place_of_performance_cd_current","cfda_number","transaction_description","business_funds_indicator_code","business_funds_indicator_description","business_types_code","business_types_description","correction_delete_indicator_code","correction_delete_indicator_description","action_type_code","action_type_description","record_type_code","record_type_description","usaspending_permalink","last_modified_date","USAspending_file_name"
"ASST_NON_DELP0000058_8900","DESERT SUNLIGHT 300, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","DESERT SUNLIGHT 300, LLC LOAN NUMBER F1039","2011-09-28","2016-09-27",179676000,2401800000,0,0,"2022-01-31","DELP0000058",NA,NA,0,0,0,2401800000,179676000,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"KENVGRTCSMH7","968695549","DESERT SUNLIGHT 300, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000058_8900/",NA,NA
"ASST_NON_DELP0000059_8900","PROSUN PROJECT COMPANY, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 0209::TAS  PROSUN PROJECT COMPANY LOAN F1029","2011-09-28","2016-09-27",204960000,1.4e+09,0,0,"2015-02-20","DELP0000059",NA,"SAI NOT AVAILABLE",0,0,0,1.4e+09,204960000,15245,2011,"2016-09-27","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"NEAAN5FHQFJ1","968958392","PROSUN PROJECT COMPANY, LLC",NA,NA,NA,NA,NA,NA,"4545 AIRPORT WAY",NA,"20000","DENVER","0831.0","DENVER","08","CO","COLORADO","80239","5716","CO-01","CO-01",NA,NA,NA,"08**031",NA,"08031",NA,"08","COLORADO",NA,NA,NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000059_8900/",NA,"FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000060_8900","HIGH PLAINS RANCH II, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 4589::TAS  HIGH PLAINS RANCH II, LLC LOAN NUMBER 1229","2011-09-29","2016-09-28",697308846,3550452379,0,0,"2018-08-02","DELP0000060",NA,"SAI NOT AVAILABLE",0,0,0,3550452379,697308846,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"FQYVJTAKQ8D3","966692639","HIGH PLAINS RANCH II, LLC",NA,NA,NA,NA,NA,NA,NA,NA,"68000","SAN JOSE",NA,"SANTA CLARA","06","CA","CALIFORNIA","95134","1506",NA,"CA-17",NA,NA,NA,NA,"SAN JOSE",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000060_8900/",NA,NA
"ASST_NON_DELP0000082_8900","STEPHENTOWN REGULATION SERVICES LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","BEACON LOAN NUMBER 1002","2012-03-21","2013-03-20",0,0,0,0,"2015-02-20","DELP0000082",NA,"SAI NOT AVAILABLE",0,0,0,0,0,NA,2012,"2013-03-20","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"D2JVJ16N8L11","963189472","STEPHENTOWN REGULATION SERVICES LLC",NA,NA,NA,NA,NA,NA,"BEACON POWER CORPORATION",NA,"70955","TYNGSBORO (TOWN NAME","2517.0","MIDDLESEX","25","MA","MASSACHUSETTS","01879","2041","MA-05","MA-03","COUNTY-WIDE",NA,NA,"25**017",NA,"25017","MIDDLESEX","25","MASSACHUSETTS",NA,"MA-05","MA-90","81.126000000000005","BEACON LOAN NUMBER 1002",NA,NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000082_8900/","2015-02-20","FY2012_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000089_8900","STEPHENTOWN SPINDLE, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","STEPHENTOWN SPINDLE","2012-07-31","2017-07-30",5400000,2.5e+07,0,0,"2014-10-02","DELP0000089",NA,"SAI NOT AVAILABLE",0,0,0,2.5e+07,5400000,15553,2012,"2017-07-30","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"W9DZKJF3CK59","078408290","STEPHENTOWN SPINDLE, LLC",NA,NA,NA,NA,NA,NA,"STEPHENTOWN SPINDLE, LLC",NA,"70955","TYNGSBORO (TOWN NAME","2517.0","MIDDLESEX","25","MA",NA,"70955",NA,"MA-20","MA-90","SINGLE ZIP CODE",NA,NA,"2570955","STEPHENTOWN",NA,NA,"25","MASSACHUSETTS","12168","MA-20",NA,"81.126000000000005","STEPHENTOWN SPINDLE","NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000089_8900/","2014-10-02","FY2012_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000101_8900","GEORGIA POWER COMPANY",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 4455::TAS  GEORGIA POWER COMPANY  GEORGIA POWER LOAN NUMBER 1021","2014-01-15","2044-01-14",-1,6924818234,0,0,"2019-04-05","DELP0000101",NA,"SAI NOT AVAILABLE",0,0,0,6924818234,-1,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"JKC9LGLDQDV4","006924989","GEORGIA POWER COMPANY",NA,NA,NA,NA,NA,NA,NA,NA,"04000","ATLANTA",NA,"FULTON","13","GA","GEORGIA","30308",NA,NA,"GA-05",NA,NA,NA,NA,"ATLANTA",NA,NA,"13","GEORGIA",NA,"GA-05",NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000101_8900/",NA,NA
"ASST_NON_DELP0000102_8900",NA,1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4455::TAS  OGLETHORPE LOAN 1017","2014-01-15","2019-01-14",0,5443195714,0,0,"2019-04-05","DELP0000102",NA,"SAI NOT AVAILABLE",0,0,0,5443195714,0,NA,NA,"2019-01-14","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04000","ATLANTA",NA,"FULTON","13","GA","GEORGIA","30308",NA,NA,"GA-05",NA,NA,NA,NA,"ATLANTA",NA,NA,"13","GEORGIA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000102_8900/",NA,NA
"ASST_NON_DELP0000111_8900","ARCONIC INC.",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"ALCOA LOAN","2015-03-24","2020-03-23",0,2.59e+08,0,0,"2017-04-20","DELP0000111",NA,"NO SAI NUMBER",0,0,0,2.59e+08,0,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"KGKLV43K3JK3","792796930",NA,"JHWNUX2YXN31","001339472","ALCOA EXTRUSIONS, INC.","ALCOA EXTRUSIONS, INC.",NA,NA,"100 TECHNICAL DR",NA,NA,"NEW KENSINGTON",NA,"WESTMORELAND","42","PA","PENNSYLVANIA",NA,NA,NA,"PA-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000111_8900/",NA,NA
"ASST_NON_DELP0000114_8900","MEAG POWER SPVP, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","MEAG SPVP","2015-06-23","2045-06-22",6406104,605802134,0,0,"2018-03-20","DELP0000114",NA,"SAI NOT AVAILABLE",0,0,0,605802134,6406104,17561,2018,"2045-06-22","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"XCALPX1W3FE7","079803324","MEAG POWER SPVP, LLC",NA,NA,NA,NA,"USA","UNITED STATES","1470 RIVEREDGE PARKWAY",NA,"04000","ATLANTA","13121","FULTON","13","GA","GEORGIA","30328","4640","GA-06","GA-05","City-wide","USA","UNITED STATES","GA04000","ATLANTA","13067","COBB","13","GEORGIA","CITY-WIDE","GA-12","GA-05","81.126000000000005","MEAG POWER SPVP, LLC SPVP NOTE 1 UNIT 3 LOAN 1308","NON",NA,"X",NA,"C",NA,"C",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000114_8900/","2018-03-20","FY2018_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000115_8900","MEAG POWER SPVM, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","MEAG SPVM","2015-06-23","2045-06-22",8899457,532173503,0,0,"2018-03-20","DELP0000115",NA,"SAI NOT AVAILABLE",0,0,0,532173503,8899457,17561,2018,"2045-06-22","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"D4R1KEJW4SL8","079803317","MEAG POWER SPVM, LLC",NA,NA,NA,NA,"USA","UNITED STATES","7821 RIVER RD",NA,"80984","WAYNESBORO","13033","BURKE","13","GA","GEORGIA","30830","4641","GA-12","GA-12","City-wide","USA","UNITED STATES","GA04000","ATLANTA","13067","COBB","13","GEORGIA","CITY-WIDE","GA-12","GA-05","81.126000000000005","MEAG SPVM NOTE 1 UNIT 3 LOAN 1309","NON",NA,"X",NA,"C",NA,"C",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000115_8900/","2018-03-20","FY2018_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000116_8900","MEAG POWER SPVJ LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","MEAG SPVJ","2015-06-23","2018-06-22",5738075,553261098,0,0,"2018-03-20","DELP0000116",NA,"SA NOT AVAILABLE",0,0,0,553261098,5738075,17561,2018,"2018-06-22","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"H3J2YK8GDPU8","079803314","MEAG POWER SPVJ, LLC",NA,NA,NA,NA,"USA","UNITED STATES","1470 RIVEREDGE PARKWAY",NA,"04000","ATLANTA","13121","FULTON","13","GA","GEORGIA","30328","4641","GA-06","GA-05","City-wide","USA","UNITED STATES","GA04000","ATLANTA","13067","COBB","13","GEORGIA","CITY-WIDE","GA-12","GA-05","81.126000000000005","MEAG POWER SPVJ, LLC SPVJ NOTE 1 UNIT 3 LOAN 1307","NON",NA,"X",NA,"C",NA,"C",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000116_8900/","2018-03-20","FY2018_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000124_8900","OGLETHORPE POWER CORPORATION",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","OGLETHORPE POWER CORPORATION LOAN 1347 NOTE 3","2019-03-21","2049-03-21",59507032,3239359412,0,0,"2021-01-26","DELP0000124",NA,NA,0,0,0,3239359412,59507032,NA,NA,"2049-03-21","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","KY6SESB2JY94","073460305",NA,"KY6SESB2JY94","073460305","OGLETHORPE POWER CORPORATION","OGLETHORPE POWER CORPORATION","USA","UNITED STATES",NA,NA,NA,NA,NA,NA,"13","GA","GEORGIA",NA,NA,NA,NA,NA,"USA","UNITED STATES",NA,NA,NA,NA,"13","GEORGIA",NA,NA,NA,"81.126000000000005",NA,"NON","NOT RECOVERY ACT","X","OTHER",NA,NA,NA,NA,"2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000124_8900/",NA,NA
"ASST_NON_DELP0000128_8900","GEORGIA POWER COMPANY",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","GEORGIA POWER COMPANY LOAN 1349 NOTE 2","2019-03-21","2049-03-21",66278531,1668223779,0,0,"2021-07-27","DELP0000128",NA,NA,0,0,0,1668223779,66278531,NA,NA,"2049-03-21","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","JKC9LGLDQDV4","006924989","GEORGIA POWER COMPANY","SXU3LDF7K6Z5","006925341","SOUTHERN CO SERVICES INC",NA,"USA","UNITED STATES","241 RALPH MCGILL BLVD","BIN 10106","04000","ATLANTA","13121","FULTON","13","GA","GEORGIA","30308",NA,"GA-12","GA-05",NA,"USA","UNITED STATES",NA,NA,NA,NA,"13","GEORGIA",NA,NA,NA,"81.126000000000005",NA,"NON","NOT RECOVERY ACT","X","OTHER",NA,NA,NA,NA,"2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000128_8900/",NA,NA
"ASST_NON_DELP0000130_8900","MEAG POWER SPVJ LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","MEAG POWER SPVJ, LLC LOAN 1350","2019-03-21","2049-03-21",2338192,111541000,0,0,"2019-06-19","DELP0000130",NA,"SAI NOT AVAILABLE",0,0,0,111541000,2338192,17976,2019,"2049-03-21","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","H3J2YK8GDPU8","079803314","MEAG POWER SPVJ, LLC",NA,NA,NA,NA,"USA","UNITED STATES","1470 RIVEREDGE PARKWAY",NA,"04000","ATLANTA","13121","FULTON","13","GA","GEORGIA","30328","4641","GA-12","GA-05","Single ZIP Code","USA","UNITED STATES","GA04000","ATLANTA","13121","FULTON","13","GEORGIA","30328-4641","GA-06","GA-05","81.126000000000005","MEAG POWER SPVJ, LLC LOAN 1350","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"A","NEW","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000130_8900/","2019-06-19","FY2019_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000131_8900","MEAG POWER SPVM, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","MEAG POWER SPVM, LLC LOAN 1351","2019-03-21","2049-03-21",3207893,129684000,0,0,"2019-06-19","DELP0000131",NA,"SAI NOT AVAILABLE",0,0,0,129684000,3207893,17976,2019,"2049-03-21","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","D4R1KEJW4SL8","079803317","MEAG WER SPVM, LLC",NA,NA,NA,NA,"USA","UNITED STATES","7821 RIVER ROAD","ATLANTA","04000","ATLANTA","13121","FULTON","13","GA","GEORGIA","30328","4641","GA-12","GA-05","Single ZIP Code","USA","UNITED STATES","GA04000","ATLANTA","13121","FULTON","13","GEORGIA","30328-4641","GA-06","GA-05","81.126000000000005","MEAG POWER SPVM, LLC LOAN 1351","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"A","NEW","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000131_8900/","2019-06-19","FY2019_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000132_8900","MEAG POWER SPVP, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","MEAG POWER SPVP, LLC SPVP LOAN 1352","2019-03-21","2049-03-21",3764313,172490900,0,0,"2019-06-19","DELP0000132",NA,"SAI NOT AVAILABLE",0,0,0,172490900,3764313,17976,2019,"2049-03-21","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","XCALPX1W3FE7","079803324","MEAG POWER SPVP, LLC",NA,NA,NA,NA,"USA","UNITED STATES","1470 RIVEREDGE PARKWAY","ATLANTA","04000","ATLANTA","13121","FULTON","13","GA","GEORGIA","30328","4641","GA-12","GA-05","Single ZIP Code","USA","UNITED STATES","GA04000","ATLANTA","13121","FULTON","13","GEORGIA","30328-4641","GA-06","GA-05","81.126000000000005","MEAG POWER SPVP, LLC SPVP LOAN 1352","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"A","NEW","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000132_8900/","2019-06-19","FY2019_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000137_8900","SYRAH TECHNOLOGIES LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","LOAN A1015 SYRAH TECHNOLOGIES LLC","2022-04-08","2052-04-08",24036768,201600000,0,0,"2022-08-08","DELP0000137",NA,NA,0,0,0,201600000,24036768,NA,2022,"2052-04-08","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","MTVGPRKRPVP4",NA,"SYRAH TECHNOLOGIES LLC",NA,NA,NA,NA,"USA","UNITED STATES","2001 D A BIGLANE RD",NA,"78470","VIDALIA","22029","CONCORDIA","22","LA","LOUISIANA","71373","6377","LA-05","LA-05","CITY-WIDE","USA","UNITED STATES","LA78470","VIDALIA","22029","CONCORDIA","22","LOUISIANA","CITY-WIDE","LA-05","LA-05","81.126000000000005","LOAN A1015 SYRAH TECHNOLOGIES LLC","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,NA,NA,"2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000137_8900/",NA,"FY2022_089_Assistance_Full_20230910_1.csv"
"ASST_NON_DELP0000138_8900","ADVANCED CLEAN ENERGY STORAGE I, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","ADVANCED CLEAN ENERGY STORAGE I, LLC","2022-06-03","2052-06-02",52902544.89,1440308872.71,0,0,"2022-10-04","DELP0000138",NA,NA,0,0,0,1920411830.28,70536726.52,NA,2022,"2052-06-02","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","MQ1MBY9W4757",NA,"ADVANCED CLEAN ENERGY STORAGE I, LLC",NA,NA,NA,NA,"USA","UNITED STATES","3165 E MILLROCK DR STE 330",NA,"67000","SALT LAKE CITY","49035","SALT LAKE","49","UT","UTAH","84121","4770","UT-03","UT-03","CITY-WIDE","USA","UNITED STATES","UT36070","HOLLADAY","49035","SALT LAKE","49","UTAH","CITY-WIDE","UT-02","UT-03","81.126000000000005","ADVANCED CLEAN ENERGY STORAGE I, LLC","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,NA,NA,"2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000138_8900/",NA,"FY2022_089_Assistance_Full_20230910_1.csv"
"ASST_NON_DELP0000139_8900","ULTIUM CELLS LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","LOAN NUMBER #A1019","2022-07-22","2053-07-21",123900000,2.5e+09,0,0,"2022-08-08","DELP0000139",NA,NA,0,0,0,2.5e+09,123900000,19198,2022,"2053-07-21","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE",NA,NA,"ULTIUM CELLS LLC",NA,NA,NA,NA,"USA","UNITED STATES","7400 TOD AVENUE SW",NA,"80892","WARREN","39099","MAHONING","39","OH","OHIO","44481",NA,"OH-13","OH-14","CITY-WIDE","USA","UNITED STATES","OH99165","WARREN COUNTY","39165","WARREN","39","OHIO","CITY-WIDE","OH-13",NA,"81.126000000000005","LOAN NUMBER #A1019","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"A","NEW","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000139_8900/","2022-08-08","FY2022_089_Assistance_Full_20230910_1.csv"
