"","Dur.Simple","Ceil.Simple","StartFY","Term","Action.Obligation","Count","metric"
"268","(~2 years+]","100k - <10m",2013,"Complete or Partial Termination",51345143.6072,106,"Early Results for All Contracts"
"269","(~2 years+]","100k - <10m",2014,"Unterminated",7846477120.1631,4323,"Early Results for All Contracts"
"270","(~2 years+]","100k - <10m",2014,"Complete or Partial Termination",64828780.1047,104,"Early Results for All Contracts"
"271","(~2 years+]","100k - <10m",2015,"Unterminated",7628446286.5633,4373,"Early Results for All Contracts"
"272","(~2 years+]","100k - <10m",2015,"Complete or Partial Termination",43711048.4648,104,"Early Results for All Contracts"
"273","(~2 years+]","100k - <10m",2016,"Unterminated",6754896258.0092,4049,"Early Results for All Contracts"
"274","(~2 years+]","100k - <10m",2016,"Complete or Partial Termination",14633365.6193,38,"Early Results for All Contracts"
"275","(~2 years+]","10m+",2007,"Unterminated",68794899598.7873,757,"Early Results for All Contracts"
"276","(~2 years+]","10m+",2007,"Complete or Partial Termination",2411730105.2943,19,"Early Results for All Contracts"
"277","(~2 years+]","10m+",2008,"Unterminated",92943460612.0969,743,"Early Results for All Contracts"
"278","(~2 years+]","10m+",2008,"Complete or Partial Termination",2408429637.3387,25,"Early Results for All Contracts"
"279","(~2 years+]","10m+",2009,"Unterminated",97033117458.9951,798,"Early Results for All Contracts"
"280","(~2 years+]","10m+",2009,"Complete or Partial Termination",12355610666.1527,27,"Early Results for All Contracts"
"281","(~2 years+]","10m+",2010,"Unterminated",66254474424.8363,913,"Early Results for All Contracts"
"282","(~2 years+]","10m+",2010,"Complete or Partial Termination",1616964804.5435,37,"Early Results for All Contracts"
"283","(~2 years+]","10m+",2011,"Unterminated",78946050400.0301,988,"Early Results for All Contracts"
"284","(~2 years+]","10m+",2011,"Complete or Partial Termination",1203883080.3767,35,"Early Results for All Contracts"
"285","(~2 years+]","10m+",2012,"Unterminated",105315396070.809,747,"Early Results for All Contracts"
"286","(~2 years+]","10m+",2012,"Complete or Partial Termination",4260280934.337,37,"Early Results for All Contracts"
"287","(~2 years+]","10m+",2013,"Unterminated",78246835349.3029,720,"Early Results for All Contracts"
"288","(~2 years+]","10m+",2013,"Complete or Partial Termination",340390383.5284,19,"Early Results for All Contracts"
"289","(~2 years+]","10m+",2014,"Unterminated",50466933510.8714,658,"Early Results for All Contracts"
"290","(~2 years+]","10m+",2014,"Complete or Partial Termination",1188745533.2896,16,"Early Results for All Contracts"
"291","(~2 years+]","10m+",2015,"Unterminated",42486680345.08,732,"Early Results for All Contracts"
"292","(~2 years+]","10m+",2015,"Complete or Partial Termination",1629763317.17,16,"Early Results for All Contracts"
"293","(~2 years+]","10m+",2016,"Unterminated",46740701744.4278,743,"Early Results for All Contracts"
"294","(~2 years+]","10m+",2016,"Complete or Partial Termination",30868222.1437,11,"Early Results for All Contracts"
"295","<~1 year","0k - <100k",2007,"Unterminated",15291912045.0162,794936,"Early Results for All Contracts"
"296","<~1 year","0k - <100k",2007,"Complete or Partial Termination",39724634.4705,4519,"Early Results for All Contracts"
"297","<~1 year","0k - <100k",2008,"Unterminated",15973596546.2364,842248,"Early Results for All Contracts"
"298","<~1 year","0k - <100k",2008,"Complete or Partial Termination",107322505.5228,4591,"Early Results for All Contracts"
"299","<~1 year","0k - <100k",2009,"Unterminated",14279265028.7427,752713,"Early Results for All Contracts"
"300","<~1 year","0k - <100k",2009,"Complete or Partial Termination",56742445.7996,5053,"Early Results for All Contracts"
"301","<~1 year","0k - <100k",2010,"Unterminated",16572231529.8016,747930,"Early Results for All Contracts"
"302","<~1 year","0k - <100k",2010,"Complete or Partial Termination",139748970.7434,7021,"Early Results for All Contracts"
"303","<~1 year","0k - <100k",2011,"Unterminated",13652600228.2499,711837,"Early Results for All Contracts"
"304","<~1 year","0k - <100k",2011,"Complete or Partial Termination",60160819.0294,8694,"Early Results for All Contracts"
"305","<~1 year","0k - <100k",2012,"Unterminated",12698548682.5802,679567,"Early Results for All Contracts"
"306","<~1 year","0k - <100k",2012,"Complete or Partial Termination",35123383.7285,4876,"Early Results for All Contracts"
"307","<~1 year","0k - <100k",2013,"Unterminated",10900486414.3815,619475,"Early Results for All Contracts"
"308","<~1 year","0k - <100k",2013,"Complete or Partial Termination",28127734.8715,6045,"Early Results for All Contracts"
"309","<~1 year","0k - <100k",2014,"Unterminated",12378027915.7646,646387,"Early Results for All Contracts"
"310","<~1 year","0k - <100k",2014,"Complete or Partial Termination",22215889.0763,8859,"Early Results for All Contracts"
"311","<~1 year","0k - <100k",2015,"Unterminated",12762079024.9516,2473923,"Early Results for All Contracts"
"312","<~1 year","0k - <100k",2015,"Complete or Partial Termination",23253998.548,12603,"Early Results for All Contracts"
"313","<~1 year","0k - <100k",2016,"Unterminated",13803976527.044,2916110,"Early Results for All Contracts"
"314","<~1 year","0k - <100k",2016,"Complete or Partial Termination",20832661.7068,17618,"Early Results for All Contracts"
"315","<~1 year","100k - <10m",2007,"Unterminated",58096415304.547,85291,"Early Results for All Contracts"
"316","<~1 year","100k - <10m",2007,"Complete or Partial Termination",838207944.5667,1023,"Early Results for All Contracts"
"317","<~1 year","100k - <10m",2008,"Unterminated",65441147776.1964,91753,"Early Results for All Contracts"
"318","<~1 year","100k - <10m",2008,"Complete or Partial Termination",1817967498.8274,1086,"Early Results for All Contracts"
"319","<~1 year","100k - <10m",2009,"Unterminated",63919360170.1092,92384,"Early Results for All Contracts"
"320","<~1 year","100k - <10m",2009,"Complete or Partial Termination",995339021.713,1316,"Early Results for All Contracts"
"321","<~1 year","100k - <10m",2010,"Unterminated",63608877864.117,90629,"Early Results for All Contracts"
"322","<~1 year","100k - <10m",2010,"Complete or Partial Termination",634346071.2237,1227,"Early Results for All Contracts"
"323","<~1 year","100k - <10m",2011,"Unterminated",60955996707.9022,85287,"Early Results for All Contracts"
"324","<~1 year","100k - <10m",2011,"Complete or Partial Termination",493110742.3658,1150,"Early Results for All Contracts"
"325","<~1 year","100k - <10m",2012,"Unterminated",52679737542.5782,81407,"Early Results for All Contracts"
"326","<~1 year","100k - <10m",2012,"Complete or Partial Termination",686475438.1071,1121,"Early Results for All Contracts"
"327","<~1 year","100k - <10m",2013,"Unterminated",46938465729.2189,69531,"Early Results for All Contracts"
"328","<~1 year","100k - <10m",2013,"Complete or Partial Termination",361156639.1095,888,"Early Results for All Contracts"
"329","<~1 year","100k - <10m",2014,"Unterminated",49096951927.7448,77264,"Early Results for All Contracts"
"330","<~1 year","100k - <10m",2014,"Complete or Partial Termination",407072278.0818,1088,"Early Results for All Contracts"
"331","<~1 year","100k - <10m",2015,"Unterminated",43892139817.696,71046,"Early Results for All Contracts"
"332","<~1 year","100k - <10m",2015,"Complete or Partial Termination",211862958.2187,1083,"Early Results for All Contracts"
"333","<~1 year","100k - <10m",2016,"Unterminated",45008135974.1274,75234,"Early Results for All Contracts"
"334","<~1 year","100k - <10m",2016,"Complete or Partial Termination",195125375.9421,880,"Early Results for All Contracts"
"335","<~1 year","10m+",2007,"Unterminated",51348175421.4773,1649,"Early Results for All Contracts"
"336","<~1 year","10m+",2007,"Complete or Partial Termination",1484415885.5864,34,"Early Results for All Contracts"
"337","<~1 year","10m+",2008,"Unterminated",70277456108.4234,1764,"Early Results for All Contracts"
"338","<~1 year","10m+",2008,"Complete or Partial Termination",1503861386.0523,42,"Early Results for All Contracts"
"339","<~1 year","10m+",2009,"Unterminated",58909030630.5091,1571,"Early Results for All Contracts"
"340","<~1 year","10m+",2009,"Complete or Partial Termination",1829194081.8154,50,"Early Results for All Contracts"
"341","<~1 year","10m+",2010,"Unterminated",72785535427.2428,1317,"Early Results for All Contracts"
"342","<~1 year","10m+",2010,"Complete or Partial Termination",2877680838.3445,55,"Early Results for All Contracts"
"343","<~1 year","10m+",2011,"Unterminated",48640834797.97,1151,"Early Results for All Contracts"
"344","<~1 year","10m+",2011,"Complete or Partial Termination",2396739943.7263,54,"Early Results for All Contracts"
"345","<~1 year","10m+",2012,"Unterminated",51880623548.9373,985,"Early Results for All Contracts"
"346","<~1 year","10m+",2012,"Complete or Partial Termination",2943605727.6828,45,"Early Results for All Contracts"
"347","<~1 year","10m+",2013,"Unterminated",43277850742.5268,947,"Early Results for All Contracts"
"348","<~1 year","10m+",2013,"Complete or Partial Termination",968912424.6361,30,"Early Results for All Contracts"
"349","<~1 year","10m+",2014,"Unterminated",40478020152.3345,1039,"Early Results for All Contracts"
"350","<~1 year","10m+",2014,"Complete or Partial Termination",1235678843.8314,48,"Early Results for All Contracts"
"351","<~1 year","10m+",2015,"Unterminated",37045147386.5754,901,"Early Results for All Contracts"
"352","<~1 year","10m+",2015,"Complete or Partial Termination",179342642.6996,24,"Early Results for All Contracts"
"353","<~1 year","10m+",2016,"Unterminated",24152214895.6427,994,"Early Results for All Contracts"
"354","<~1 year","10m+",2016,"Complete or Partial Termination",200158189.2802,33,"Early Results for All Contracts"
