parentid,ObligatedAmount,NumberOfActions,FreqCount,Year,Rank
LOCKHEED MARTIN,37525322964.8592,294581,144731,2016,1
BOEING,24102028648.68,31225,12958,2016,2
GENERAL DYNAMICS,12367013662.1464,180249,15354,2016,3
RAYTHEON,12007594265.0511,23635,11215,2016,4
NORTHROP GRUMMAN,11000796372.8791,23008,11801,2016,5
BAE SYSTEMS,5569790627.0281,25054,12572,2016,6
L3 COMMUNICATIONS,4821465205.4877,15350,6861,2016,7
UNITED TECH,4531880618.3803,24108,11882,2016,8
HUNTINGTON INGALLS INCORPORATED,4279494891.8157,3941,1977,2016,9
HUMANA,3599241556.5525,488,245,2016,10
BECHTEL,3047269145.7593,180,93,2016,11
UnitedHealth Group,2723101250.0506,386,193,2016,12
MCKESSON,2705003069.8975,94288,47145,2016,13
HEALTH NET,2606211433.2431,322,162,2016,14
SAIC,2429028760.1137,169546,84218,2016,15
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2281496194.8378,7869,3941,2016,16
AMERISOURCEBERGEN,2102690671.5588,609784,304937,2016,17
TEXTRON,1905152755.0853,11173,4966,2016,18
BOOZ ALLEN HAMILTON,1873714104.3141,7749,3825,2016,19
GENERAL ATOMICS,1746737310.4693,2571,938,2016,20
GENERAL ELECTRIC,1672997446.1694,7825,3826,2016,21
UNITED LAUNCH ALLIANCE,1472834320.1749,98,49,2016,22
OSHKOSH,1421478413.9095001,44488,22291,2016,23
LEIDOS,1390361980.3536,5528,2927,2016,24
JOHNS HOPKINS UNIVERSITY,1288051396.106,3176,1596,2016,25
HEWLETT PACKARD,1262824873.0348,65718,2495,2016,26
HONEYWELL,1230754885.9034,16939,8175,2016,27
ATLANTIC DIVING SUPPLY,1198434756.6054,79601,32251,2016,28
CACI,1163466672.9423,3819,1960,2016,29
SIERRA NEVADA,1034160634.349,1337,691,2016,30
URS,1016625355.8539,4682,2401,2016,31
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1001805352.9899,454,230,2016,32
HARRIS,984466117.7811,16157,2530,2016,33
VECTRUS,923378246.8291,661,336,2016,34
AUSTAL,874848096.6122,384,194,2016,35
THE AEROSPACE,866e6,36,18,2016,36
CRSA,849041235.0096,4238,1679,2016,37
ROLLS ROYCE,824200201.1055,2475,1262,2016,38
THE MITRE,822491575.3951,543,273,2016,39
EXPRESS SCRIPTS,789255927.25,123,94,2016,40
ROCKWELL COLLINS,773746135.8037,6212,2488,2016,41
ALION SCIENCE & TECHNOLOGY,739665293.3953,2019,1029,2016,42
AM GENERAL,720895833.2377,2857,1451,2016,43
Orbital ATK,705219974.8497,909,472,2016,44
DYNCORP INTERNATIONAL,698970064.1535,1606,669,2016,45
Foreign Contractor,677486581.6584,8562,4368,2016,46
FLUOR,664412938.4062,112,62,2016,47
EXELIS,588491645.1302,4868,1673,2016,48
ATK,588120662.6007,1280,666,2016,49
FEDEX,578475002.5201,31089,1313,2016,50
KIEWET-TURNER JV,572934467.4688,52,26,2016,51
FINMECCANICA,560347979.5048,2169,1120,2016,52
JACOBS ENGINEERING GROUP,549864016.8402,3298,1677,2016,53
MANTECH INTL A,547203779.8774,2126,1086,2016,54
ROYAL DUTCH SHELL,537555935.879,738,375,2016,55
PATRIOT TEAM,531237066.5718,1681,845,2016,56
CARDINAL HEALTH,514784183.4958,574213,287122,2016,57
CANADIAN COMMERCIAL CORPORATION,506589883.9684,6642,1517,2016,58
ANHAM,474202248.2025,42069,21036,2016,59
INSIGHT ENTERPRISES,469857890.7304,29202,1370,2016,60
ACCENTURE,458917920.9352,2771,266,2016,61
CDW,453674212.3124,23887,2028,2016,62
WORLD WIDE TECHNOLOGY,432237964.4308,18028,1996,2016,63
BAHRAIN PETROLEUM COMPANY,427136118.8761,5279,2642,2016,64
VSE,421524681.3765,1324,676,2016,65
VERIZON,416857047.33889997,159473,7539,2016,66
VIASAT,376835816.3181,914,487,2016,67
CHARLES STARK DRAPER LABORATORY,359661414.797,543,280,2016,68
METLIFE,355231338.8555,124,62,2016,69
CUBIC,354722644.2129,1525,810,2016,70
SERCO GROUP PLC,345127759.5057,1946,999,2016,71
KELLOGG BROWN & ROOT,344699915.0456,917,471,2016,72
SALLYPORT GLOBAL HOLDINGS,343313775.5625,14,7,2016,73
BP GLOBAL,337432918.9881,2520,1282,2016,74
MARTIN'S POINT HEALTH CARE,329475516.8125,30,15,2016,75
PARSONS,327145908.8636,919,479,2016,76
ITT,320639871.2693,1764,936,2016,77
METRO MACHINE [General Dynamics],319625929.4573,1039,523,2016,78
DRS,315683777.527,1278,660,2016,79
IBM,314074917.9176,815,422,2016,80
WYLE LABORATORIES,309328780.4717,1967,1003,2016,81
MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture],309184142.75,33,21,2016,82
DELOITTE,306733579.9068,1647,376,2016,83
TORCH TECHNOLOGIES,299237397.6072,2433,587,2016,84
GOODRICH,295048698.0741,2877,1467,2016,85
CISCO SYSTEMS,290923747.0258,112,57,2016,86
REDSTONE DEFENSE SYSTEMS,290413195.8641,1103,553,2016,87
GEORGIA INSTITUTE OF TECHNOLOGY,286690508.1978,1903,666,2016,88
GREAT LAKES DREDGE DOCK,277313375.2758,261,133,2016,89
CARAHSOFT TECHNOLOGY,277039824.6423,15526,1805,2016,90
INTUITIVE,271936844.7114,712,359,2016,91
ABU DHABI NATIONAL OIL COMPANY,270209468.8818,175,93,2016,92
SUPPLYCORE,269180560.0392,147734,73883,2016,93
JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON],268632120.8852,268,134,2016,94
CH2M HILL,265647354.267,1586,831,2016,95
AT&T,263454009.1806,33710,6855,2016,96
SODEXO,262288874.5836,150,77,2016,97
DEPARTMENT OF ENERGY,259277e3,6,3,2016,98
CB & I,257326340.4179,987,513,2016,99
MICROSOFT,256619735.1918,675,341,2016,100
DLT SOLUTIONS,252762149.7485,16751,1529,2016,101
BATTELLE,248458552.976,2142,1102,2016,102
JOHNSON CONTROLS,246828150.1509,2836,701,2016,103
US FOODS,237563660.2333,65219,32373,2016,104
WASHINGTON GROUP/ALBERICI,237332109,128,64,2016,105
AAR,237057747.4199,7399,3133,2016,106
EARTH TECH,236404451.3109,952,507,2016,107
EXXON MOBIL,223235879.0064,197,102,2016,108
TETRA TECH,223050633.3619,2614,736,2016,109
SCIENTIFIC RESEARCH,222316361.3183,1657,858,2016,110
AP Moller MAERSK,220568232.116,16319,354,2016,111
PAE GOVERNMENT SERVICESORP,220015605.0537,901,452,2016,112
OWENS & MINOR,219345347.6231,253628,126814,2016,113
IRON BOW TECHNOLOGIES,217951040.9097,16846,1498,2016,114
ENGILITY,216617604.8795,2385,1307,2016,115
DELL,214518797.4735,18555,2262,2016,116
CONOCOPHILIPPS,213437453.1617,482,250,2016,117
VALERO ENERGY,210262366.5469,167,87,2016,118
LONGBOW [LOCKHEED MARTIN/NORTHROP GRUMMAN],209587235.6066,215,108,2016,119
CATERPILLAR,209374055.2299,82659,40433,2016,120
CNA,191333602.3659,1327,666,2016,121
PATRIOT HOLDING,189931530.4901,146,73,2016,122
SCIENCE & ENGINEERING SERVICES,189290292.6351,625,313,2016,123
J & J WORLDWIDE SERVICES,188940927.5841,574,294,2016,124
PROGENY SYSTEMS,187890608.7867,648,341,2016,125
RGTS,187513380.2326,95,51,2016,126
AASKI,185202402.291,274,141,2016,127
ADAMS COMMUNICATION & ENGINEERING TECHNOLOGY,184729725.1097,211,108,2016,128
Gilbane Building Company,183556312.6089,500,257,2016,129
NCI INFORMATION SYSTEMS,183421194.1844,483,250,2016,130
INTERPUBLIC GROUP OF COMPANIES,182976971.7934,1030,522,2016,131
S-OIL,179789803.1486,62,32,2016,132
SYSCO,176055240.7245,61725,30881,2016,133
PARKER HANNIFIN,175525798.5207,6252,3149,2016,134
PRIDE INDUSTRIES,174297120.715,465,245,2016,135
AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],173160222.0937,58,29,2016,136
AMERICAN PRESIDENT LINES,170574291.3828,8105,96,2016,137
EADS NV,168657676.7409,448,224,2016,138
FLIR SYSTEMS,168144692.8783,1491,456,2016,139
LHI,166046003.0371,72,40,2016,140
TRAX International Corporation,165950597.164,113,57,2016,141
RAND,164289808.3028,155,83,2016,142
"CLARK-MCCARTHY HEALTHCARE PARTNERS, A JOINT VENTURE",161071760,136,68,2016,143
INTERNATIONAL PETROLEUM INVESTMENT COMPANY,160494635.1609,361,186,2016,144
COLLAZO ENTERPRISES,160267669.2869,708,367,2016,145
HENSEL PHELPS CONSTRUCTION,156234733.4493,293,151,2016,146
PENNSYLVANIA STATE UNIVERSITY,154830354.2282,1164,585,2016,147
INSTITUTE FOR DEFENSE ANALYSES,153853739.5035,124,62,2016,148
CERADYNE,153278579.12,57,30,2016,149
BL HARBERT INTERNATIONAL,153170955.6319,98,50,2016,150
LOCKHEED MARTIN,29242540808.02,441199,36802,2015,1
BOEING,14359418541.24,324971,11555,2015,2
RAYTHEON,11985397974.64,347169,9727,2015,3
GENERAL DYNAMICS,11250404601.15,572253,13584,2015,4
NORTHROP GRUMMAN,9622144749.64,359998,11843,2015,5
UNITED TECH,6651962217.26,161985,15156,2015,6
L3 COMMUNICATIONS,5169282498.5,305073,7180,2015,7
BAE SYSTEMS,4725679260.7463,284159,11095,2015,8
HUMANA,3552750066.17,383,192,2015,9
BECHTEL,2977434289.25,2705,133,2015,10
HUNTINGTON INGALLS INCORPORATED,2798555697.5,8312,1720,2015,11
HEALTH NET,2764954879.23,239,120,2015,12
SAIC,2514626869.14,326518,56790,2015,13
UnitedHealth Group,2505344546.86,248,124,2015,14
GENERAL ATOMICS,2303585286.88,12343,765,2015,15
MCKESSON,2143317543.98,70874,35438,2015,16
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2043326817.57,31127,2560,2015,17
AMERISOURCEBERGEN,1843485904.61,663226,198282,2015,18
BOOZ ALLEN HAMILTON,1802069369.49,193550,4925,2015,19
UNITED LAUNCH ALLIANCE,1723432101.78,148,74,2015,20
TEXTRON,1560251823.8300002,71561,4491,2015,21
GENERAL ELECTRIC,1444631063.29,100269,4088,2015,22
OSHKOSH,1385735642.54,69311,5806,2015,23
Orbital ATK,1344619015.29,76310,1173,2015,24
DYNCORP INTERNATIONAL,1239865692.28,35423,734,2015,25
COMPUTER SCIENCES,1223455816.36,80425,2434,2015,26
CACI,1198852359.68,85616,2171,2015,27
HEWLETT PACKARD,1164663048.75,149659,2883,2015,28
HARRIS,1138285060.63,66190,2509,2015,29
URS,1105538432.29,122369,2532,2015,30
JOHNS HOPKINS UNIVERSITY,1081374041.93,22600,1545,2015,31
ATLANTIC DIVING SUPPLY,1070218555.17,80107,15605,2015,32
LEIDOS,1045926988.46,100444,2028,2015,33
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,967553608.22,6903,200,2015,34
SIERRA NEVADA,922365569.63,45362,736,2015,35
VECTRUS,920872498.72,18941,533,2015,36
AM GENERAL,917296407.08,16758,1067,2015,37
HONEYWELL,898766886.2,139547,5703,2015,38
CARDINAL HEALTH,878954996.14,589136,287261,2015,39
BAHRAIN PETROLEUM COMPANY,864975051.99,5081,103,2015,40
ROYAL DUTCH SHELL,859170868.86,14010,505,2015,41
AUSTAL,841785324.9,2715,138,2015,42
THE AEROSPACE,840444751.69,48,24,2015,43
EXXON MOBIL,770793543.46,5428,279,2015,44
ROCKWELL COLLINS,769604024.66,73135,2119,2015,45
THE MITRE,758640971.1,2864,213,2015,46
EXELIS,703532086.01,96247,1609,2015,47
FLUOR,703458233.28,10799,117,2015,48
DEPARTMENT OF ENERGY,699641366,4,2,2015,49
ALION SCIENCE & TECHNOLOGY,688973124.29,30609,1081,2015,50
VALERO ENERGY,645962647.9300001,12200,409,2015,51
FEDEX,639725543.64,56779,1363,2015,52
JACOBS ENGINEERING GROUP,575826756.12,60692,2036,2015,53
EADS NV,553736152.54,9437,247,2015,54
ROLLS ROYCE,552768227.87,48855,1672,2015,55
EXPRESS SCRIPTS,542886337.31,52284,128,2015,56
PATRIOT TEAM,542793308.47,3770,667,2015,57
Navistar International,536270249.65,18492,714,2015,58
MANTECH INTL A,532578833.55,47267,1284,2015,59
CHARLES STARK DRAPER LABORATORY,517908128.19,6074,192,2015,60
GREAT LAKES DREDGE DOCK,499549010.23,1828,101,2015,61
INSIGHT ENTERPRISES,483297393.99,40840,1105,2015,62
ANHAM,477726895.15999997,43734,20241,2015,63
FINMECCANICA,462064565.73,78671,1950,2015,64
Foreign Contractor,454887608.7,200712,6474,2015,65
HENSEL PHELPS CONSTRUCTION,436637500.32,10178,211,2015,66
WYLE LABORATORIES,421187877.04,25701,1073,2015,67
REDSTONE DEFENSE SYSTEMS,409086090.3,6146,634,2015,68
Gilbane Building Company,390303148.69,17651,290,2015,69
CDW,388985350.05,44917,2129,2015,70
STEYR MOTORS,373996218,16,8,2015,71
CUBIC,373840076.46,26425,612,2015,72
WORLD WIDE TECHNOLOGY,369134733.53000003,27301,2026,2015,73
S-OIL,355897098.89,4214,75,2015,74
ACCENTURE,353340330.91,12070,345,2015,75
METLIFE,350706019.37,104,52,2015,76
AP Moller MAERSK,345138064.71,120351,334,2015,77
JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON],336416914.54,284,142,2015,78
AAR,325669367.24,58251,1875,2015,79
BP GLOBAL,322499561.05,22440,250,2015,80
CANADIAN COMMERCIAL CORPORATION,320938951.1,97185,1212,2015,81
KELLOGG BROWN & ROOT,317846384.47,29465,507,2015,82
ENGILITY,314411967.35,56332,1344,2015,83
PARSONS,312589157.46,26244,523,2015,84
JOHNSON CONTROLS,311805044.62,49813,1312,2015,85
INTERPUBLIC GROUP OF COMPANIES,308934383.39,8693,282,2015,86
MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture],303318379.41,11454,37,2015,87
MANSON CONSTRUCTION,294673562.68,3430,89,2015,88
ITT,293459398.21,48869,865,2015,89
IBM,291290911.06,25437,528,2015,90
BATTELLE,290509874.04,38990,1211,2015,91
AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],286359565.3,60,30,2015,92
PAE GOVERNMENT SERVICESORP,285182848.28,5033,891,2015,93
METRO MACHINE [General Dynamics],283137176.11,670,335,2015,94
QWEST,281703786.51,24814,3322,2015,95
CARAHSOFT TECHNOLOGY,278609115.7,34727,1635,2015,96
THE WHITING TURNER CONTRACTING COMPANY,277992376.98,3524,136,2015,97
DELOITTE,276249417.61,33395,440,2015,98
ABU DHABI NATIONAL OIL COMPANY,270513379.83,4209,72,2015,99
AASKI,269299574.7,6021,167,2015,100
SODEXO,268683525.69,967,77,2015,101
MARTIN'S POINT HEALTH CARE,2667e5,24,12,2015,102
SERCO GROUP PLC,265032884.26,50314,1181,2015,103
ADAMS COMMUNICATION & ENGINEERING TECHNOLOGY,263088577.11,5876,93,2015,104
CB & I,260778221.78,33672,581,2015,105
AC FIRST [Joint Venture - AECOM & CACI],251100015.09,875,31,2015,106
GOODRICH,246926459.56,42653,1416,2015,107
INTUITIVE,244470194.24,11323,377,2015,108
DLT SOLUTIONS,239042968.56,35902,1527,2015,109
IRON BOW TECHNOLOGIES,233591517.3,17083,1722,2015,110
GEORGIA INSTITUTE OF TECHNOLOGY,232160133.02,20881,689,2015,111
TORCH TECHNOLOGIES,230090011.04,19815,560,2015,112
SCIENTIFIC RESEARCH,219039184.73,51212,816,2015,113
AMERICAN PRESIDENT LINES,218580241.71,43591,95,2015,114
CH2M HILL,216672606.56,57006,864,2015,115
DELL,215981899.97,57943,2727,2015,116
TOTAL SA,214883215.81,9926,2933,2015,117
SUPPLYCORE,214035625.49,92554,37475,2015,118
KIEWIT,213132822.9,3510,129,2015,119
BERKSHIRE HATHAWAY,210718494.16,18387,254,2015,120
AT&T,209752415.28,59515,5160,2015,121
RGTS,209308823.79999998,4161,48,2015,122
FLIR SYSTEMS,201432943.85,25640,438,2015,123
INTERNATIONAL PETROLEUM INVESTMENT COMPANY,200470526.66,3598,176,2015,124
FOREIGN UTILITY CONSOLIDATED REPORTING,199703156.09,43858,129,2015,125
MICROSOFT,199164212.38,5528,325,2015,126
WASHINGTON GROUP/ALBERICI,196299188,112,56,2015,127
PATRIOT HOLDING,196026721.79,160,80,2015,128
J & J WORLDWIDE SERVICES,195366110.83,12029,325,2015,129
KUWAIT PETROLEUM,195131830.64000002,6177,245,2015,130
DEFENSE SUPPORT SERVICES,186821812.02,27509,748,2015,131
CONOCOPHILIPPS,181275515.04,7251,375,2015,132
CADDELL CONSTRUCTION CO,180892874.67,1812,93,2015,133
CAE,179712868.3,4896,293,2015,134
TETRA TECH,178162133.95,48651,749,2015,135
SRA INTERNATIONAL,177753064.63,30443,594,2015,136
CISCO SYSTEMS,177607934.03,1739,57,2015,137
RED STAR ENTERPRISES,176539032.35999998,2662,114,2015,138
INDYNE,176203314.76,1974,176,2015,139
JJMA,176169975.66,31826,875,2015,140
PENNSYLVANIA STATE UNIVERSITY,167864984.96,5947,536,2015,141
PRIDE INDUSTRIES,167111709.91,19972,231,2015,142
VIASAT,166995517.21,19740,521,2015,143
SCIENCE & ENGINEERING SERVICES,162575345.26,6229,269,2015,144
UNICOR,162038996.85,59541,1385,2015,145
INSTITUTE FOR DEFENSE ANALYSES,157558893.38,124,62,2015,146
KWAJALEIN RANGE SERVICES [Joint Venture - Bechtel/Lockheed/Chugach],156023310.11,100,50,2015,147
VSE,155869658.46,19927,618,2015,148
HELLFIRE SYSTEMS,154046265.59,42,21,2015,149
EMCOR COMPANY,153638887.83,26475,637,2015,150
LOCKHEED MARTIN,25141640835.86,110527,17636,2014,1
BOEING,16944494741.3,90254,12086,2014,2
GENERAL DYNAMICS,13314787872.28,217418,12527,2014,3
RAYTHEON,11407746917.9,79678,10134,2014,4
NORTHROP GRUMMAN,9381016554.03,89646,12052,2014,5
UNITED TECH,5809332396.64,30904,7569,2014,6
L3 COMMUNICATIONS,5193095314.64,75753,7671,2014,7
BAE SYSTEMS,5170281809.5996,88716,10583,2014,8
HUNTINGTON INGALLS INCORPORATED,3818466750.87,4326,2171,2014,9
HUMANA,3525723605.58,415,208,2014,10
SAIC,3087790670.73,193180,25453,2014,11
HEALTH NET,3086459475.28,257,129,2014,12
UnitedHealth Group,2970075676.38,248,124,2014,13
BECHTEL,2754133038.46,1127,148,2014,14
UNITED LAUNCH ALLIANCE,2519158433.33,178,89,2014,15
BOOZ ALLEN HAMILTON,2292146482.21,26660,4998,2014,16
GENERAL ELECTRIC,2131645002.0600002,23990,4341,2014,17
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2018962820.35,6542,2865,2014,18
MCKESSON,1659858225,32071,16036,2014,19
GENERAL ATOMICS,1624038821.25,3167,758,2014,20
ROYAL DUTCH SHELL,1587717000.17,4727,291,2014,21
TEXTRON,1575463897.74,22641,4161,2014,22
ITT,1538150470.99,7552,1318,2014,23
HEWLETT PACKARD,1532924723.21,91365,3178,2014,24
AMERISOURCEBERGEN,1465441194.35,137234,68202,2014,25
CACI,1404532909.03,17022,2738,2014,26
COMPUTER SCIENCES,1372524532.83,28163,2351,2014,27
VALERO ENERGY,1228851930.22,8751,208,2014,28
JOHNS HOPKINS UNIVERSITY,1215454855.59,8747,1461,2014,29
DYNCORP INTERNATIONAL,1148557336.69,3781,639,2014,30
HONEYWELL,1141205375.19,49041,5687,2014,31
URS,1124363970.67,16646,2548,2014,32
ATK,1122338573.99,11916,983,2014,33
HARRIS,1073907929.4,17723,2973,2014,34
CARDINAL HEALTH,1004628828.3,133831,65253,2014,35
ANHAM,985900614.11,33476,16323,2014,36
ATLANTIC DIVING SUPPLY,984402214.4,48454,6609,2014,37
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,952819502.38,306,154,2014,38
EXXON MOBIL,878349559.83,7859,183,2014,39
FLUOR,874836521.76,1067,122,2014,40
FOSTER FUELS,858699577.98,14557,616,2014,41
ALION SCIENCE & TECHNOLOGY,856589550.63,4951,1247,2014,42
ROLLS ROYCE,850413521.51,8449,1326,2014,43
THE MITRE,782555915.66,503,253,2014,44
AUSTAL,770770169.75,221,112,2014,45
ROCKWELL COLLINS,768080166.66,15826,1900,2014,46
THE AEROSPACE,729239965.95,40,20,2014,47
EXPRESS SCRIPTS,707070328.46,162,83,2014,48
JACOBS ENGINEERING GROUP,697633381.91,12031,2296,2014,49
AP Moller MAERSK,681551303.11,19054,371,2014,50
SIERRA NEVADA,665269153.15,13865,698,2014,51
FEDEX,663169674.15,30813,1294,2014,52
MANTECH INTL A,655851394.99,10286,1421,2014,53
BAHRAIN PETROLEUM COMPANY,636052238.04,91,51,2014,54
LEIDOS,632361867.35,73875,1292,2014,55
EXELIS,628964014.53,17721,1464,2014,56
WORLD FUEL SERVICES CORPORATION,619241945.89,15545,288,2014,57
RED STAR ENTERPRISES,571212304.5600001,12579,35,2014,58
OSHKOSH,545616387.74,9810,2868,2014,59
Foreign Contractor,521623740.82,107045,9813,2014,60
FINMECCANICA,520165433.56,15305,1957,2014,61
JOHNSON CONTROLS,517040930.41,19229,1310,2014,62
CANADIAN COMMERCIAL CORPORATION,513651933.55,31200,1069,2014,63
S-OIL,502134976.55,3400,33,2014,64
PATRIOT TEAM,483688957.56,1060,534,2014,65
WYLE LABORATORIES,469761800.24,11906,960,2014,66
HENSEL PHELPS KIEWIT JOINT VENTURE,439167037,40,20,2014,67
CHARLES STARK DRAPER LABORATORY,431758385.77,1199,185,2014,68
VERIZON,429216330.29,230681,7319,2014,69
IBM,409996635.26,6433,623,2014,70
CHEVRON,403986040.48,9932,394,2014,71
CUBIC,399507382.92,6265,648,2014,72
DEPARTMENT OF ENERGY,391695146,6,3,2014,73
REDSTONE DEFENSE SYSTEMS,361309425.81,4789,727,2014,74
GREAT LAKES DREDGE DOCK,361282430.15,214,109,2014,75
SUPREME GROUP,357539290.57,10608,1552,2014,76
ACCENTURE,343134520.15,3192,351,2014,77
MARTIN'S POINT HEALTH CARE,342569543.77,38,19,2014,78
METLIFE,340001805.59,122,61,2014,79
RGTS,335138539.02,1729,32,2014,80
HAWKER BEECHCRAFT,332968504.34,6772,50,2014,81
KONGSBERG GRUPPEN,332169659.27,24757,291,2014,82
WESTERN REFINING,325297193.04,1176,175,2014,83
ABU DHABI NATIONAL OIL COMPANY,321669648.85,45,23,2014,84
CH2M HILL,318075937.1,10307,1014,2014,85
CDW,314602759.57,20262,2055,2014,86
GOODRICH,314100372.9,9055,1213,2014,87
AAR,306492007.07,10667,1282,2014,88
BATTELLE,302100737.82,6084,1402,2014,89
SERCO GROUP PLC,301568216.88,8607,1415,2014,90
SODEXO,295097133.34,9907,1205,2014,91
WORLD WIDE TECHNOLOGY,289204805.92,19583,1931,2014,92
INTERPUBLIC GROUP OF COMPANIES,284819074.98,658,333,2014,93
ENGILITY,279844246.75,17572,881,2014,94
EADS NV,279255711.96,799,405,2014,95
INTUITIVE,276303403.22,4868,351,2014,96
AC FIRST [Joint Venture - AECOM & CACI],274767832.23,84,43,2014,97
CONOCOPHILIPPS,272323108.6,12850,172,2014,98
PAE GOVERNMENT SERVICESORP,269595583.83,1562,784,2014,99
JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON],264258789.7,200,100,2014,100
AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],260270386.15,52,26,2014,101
FOREIGN UTILITY CONSOLIDATED REPORTING,257649885.08,57176,178,2014,102
MISSION ESSENTIAL PERSONNEL,257451581.20999998,3505,90,2014,103
AMERICAN PRESIDENT LINES,256632740.95,14501,113,2014,104
CARAHSOFT TECHNOLOGY,253677607.64,13969,1574,2014,105
KELLOGG BROWN & ROOT,249167270.9,6644,418,2014,106
J & J WORLDWIDE SERVICES,249102282.57,829,424,2014,107
Gilbane Building Company,247940669.16,5786,407,2014,108
SCIENTIFIC RESEARCH,246443802.63,8226,812,2014,109
SRA INTERNATIONAL,244840269.01,8618,575,2014,110
DELOITTE,239705303.32,4126,404,2014,111
AT&T,238354724.44,60874,6968,2014,112
INSIGHT ENTERPRISES,237706019.3,12612,567,2014,113
METRO MACHINE [General Dynamics],236960410,576,288,2014,114
DELL,236515794.29,29050,3003,2014,115
LHI,233657432.10999998,224,116,2014,116
MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture],231071115,22,15,2014,117
DLT SOLUTIONS,227796766.11,21051,1398,2014,118
TYSON FOODS,223826238.22,40168,87,2014,119
IRON BOW TECHNOLOGIES,222711485.33,12939,1628,2014,120
NATIONAL AIR CARGO,218225898.35,22449,148,2014,121
INDYNE,217512289,2830,166,2014,122
SCIENCE & ENGINEERING SERVICES,216123994.66,405,206,2014,123
TETRA TECH,214232718.83,7002,1025,2014,124
GEORGIA INSTITUTE OF TECHNOLOGY,210576700.92,2968,662,2014,125
MILITARY PRODUCE GROUP,207498742.54,23194,48,2014,126
KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce],206929760.82,3556,110,2014,127
PLACID REFINING,206847567.41,957,65,2014,128
RED RIVER,205587879.5,5321,655,2014,129
JJMA,204717382.06,8023,930,2014,130
BERKSHIRE HATHAWAY,196650987.43,523,275,2014,131
AM GENERAL,195452020.32,2705,944,2014,132
SUNDT COMPANIES,195017930.05,62,32,2014,133
PARSONS,189786969.49,4062,382,2014,134
NCI INFORMATION SYSTEMS,189324600.76,2574,462,2014,135
MICROSOFT,187456790.13,3922,298,2014,136
ORBITAL SCIENCES,187225905.16,394,200,2014,137
Navistar International,186309936.36,3843,266,2014,138
WORLD AIRWAYS,185828249.82,3950,191,2014,139
CON-WAY,184739340.9,4047,28,2014,140
VIASAT,183901173.04,9195,440,2014,141
CADDELL CONSTRUCTION CO,183549701.99,205,105,2014,142
COSMO OIL COMPANY,182871680.82,3559,534,2014,143
NORTHROP GRUMMAN SPACE & MISSION SYSTEMS,182805136.52,14439,559,2014,144
HUSKY ENERGY,181440939.73,135,70,2014,145
SPARTA,179048809.43,3947,308,2014,146
TORCH TECHNOLOGIES,178820307.75,10055,445,2014,147
AASKI,178226140.51,7775,141,2014,148
WEEKS MARINE,173714427.64,149,77,2014,149
KUWAIT PETROLEUM,173162456.17,4325,79,2014,150
LOCKHEED MARTIN,37075749803.33,111278,18619,2013,1
BOEING,19753029502.65,71208,9473,2013,2
RAYTHEON,12706031294.82,95378,10400,2013,3
GENERAL DYNAMICS,12006479996.07,178743,14067,2013,4
NORTHROP GRUMMAN,9872524171.04,76646,12928,2013,5
L3 COMMUNICATIONS,5436866814,64809,8893,2013,6
HUNTINGTON INGALLS INCORPORATED,5414255972.62,6180,3095,2013,7
UNITED TECH,5409725535.38,38604,9851,2013,8
BAE SYSTEMS,4948686748.5101,94167,10750,2013,9
SAIC,4250516659.16,112180,27891,2013,10
HUMANA,3460319622.52,424,214,2013,11
DYNCORP INTERNATIONAL,3010172558.64,3271,907,2013,12
HEALTH NET,2907747743.76,242,123,2013,13
BECHTEL,2760133436.66,3965,152,2013,14
TEXTRON,2688972556.42,30052,4267,2013,15
SUPREME GROUP,2630425829.62,51099,24637,2013,16
ITT,2443266234.79,12325,1630,2013,17
GENERAL ELECTRIC,2230657784.6,22375,4155,2013,18
GENERAL ATOMICS,2122742110.83,1723,651,2013,19
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2094974230.41,4490,1795,2013,20
FLUOR,2094868719.59,1452,276,2013,21
BOOZ ALLEN HAMILTON,2087786793.68,33488,4941,2013,22
COMPUTER SCIENCES,2046143268.22,18849,3528,2013,23
TRIWEST HEALTHCARE ALLIANCE,1819348466.92,156,80,2013,24
