GlobalVendorName,Amount.max,X500million,StandardizedVendorName,parentid
CDW HOLDINGS LLC," 219,783,952 ", N ,CDW HOLDINGS,CDW
JX HOLDINGS  INC.," 97,243,644 ", N ,JX HOLDINGS,
3PSC LLC," 91,877,006 ", N ,3PSC,
ULTRA ELECTRONICS HOLDINGS PLC," 84,032,632 ", N ,ULTRA ELECTRONICS HOLDINGS PLC,ULTRA ELECTRONICS
HORNBECK OFFSHORE SERVICES  INC.," 209,920,722 ", N ,HORNBECK OFFSHORE SERVICES,
EXELIS INC.," 2,175,603,321 ", Y ,EXELIS,EXELIS
HOMELAND CONTRACTING CORP," 80,695,796 ", N ,HOMELAND CONTRACTING,
CDM SMITH-COAKLEY WILLIAMS A JOINT VENTURE," 80,548,000 ", N ,CDM SMITH COAKLEY WILLIAMS A JOINT VENTURE,CDM SMITH-COAKLEY WILLIAMS
ORACLE CORPORATION," 79,460,660 ", N ,ORACLE,ORACLE
DCK-ECC PACIFIC GUAM  LLC," 78,795,051 ", N ,DCK ECC PACIFIC GUAM,DCK-ECC JV
ENVIRONMENTAL CHEMICAL CORPORATION," 993,582,490 ", Y ,ENVIRONMENTAL CHEMICAL,ENVIRONMENTAL CHEMICAL
DETYENS SHIPYARDS  INC.," 99,129,964 ", N ,DETYENS SHIPYARDS,
L-3 COMMUNICATIONS CORPORATION  INC.," 820,288,099 ", Y ,L3 COMMUNICATIONS CORPORATION,L3 COMMUNICATIONS
"AUSTAL USA, LLC"," 696,242,390 ", Y ,AUSTAL USA,AUSTAL
EHW CONSTRUCTORS  A JOINT VENTURE," 206,936,771 ", N ,EHW CONSTRUCTORS A JOINT VENTURE,EHW CONSTRUCTORS
B.L. HARBERT HOLDINGS  L.L.C.," 165,506,694 ", N ,BL HARBERT HOLDINGS,BL HARBERT INTERNATIONAL
MANHATTAN HUNT A JOINT VENTURE," 150,224,139 ", N ,MANHATTAN HUNT A JOINT VENTURE,
3M COMPANY," 133,391,093 ", N ,3M COMPANY,3M
ENGILITY CORP.," 351,129,649 ", N ,ENGILITY,ENGILITY
WYLE SERVICES CORPORATION," 539,660,318 ", Y ,WYLE SERVICES,WYLE
SOFTCHOICE CORPORATION," 130,763,144 ", N ,SOFTCHOICE,
AMERICAN PETROLEUM TANKERS LLC," 93,430,050 ", N ,AMERICAN PETROLEUM TANKERS,
"STRATEGIC COMMUNICATIONS, LLC"," 85,764,519 ", N ,STRATEGIC COMMUNICATIONS,
SHIP COLONNA'S YARD INCORPORATED," 77,506,809 ", N ,SHIP COLONNA'S YARD,COLONNA SHIPYARD
INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS  LLC," 73,982,380 ", N ,INTERNATIONAL MARINE & INDUSTRIAL APPLICATORS,
GILBANE  INC.," 637,407,553 ", Y ,GILBANE,Gilbane
SEALIFT HOLDINGS INC.," 73,642,519 ", N ,SEALIFT HOLDINGS,SEALIFT HOLDINGS
DRS TECHNICAL SERVICES  INC.," 345,824,031 ", N ,DRS TECHNICAL SERVICES,DRS
MOOG INC.," 69,039,746 ", N ,MOOG,
FLUOR CORPORATION," 2,722,386,098 ", Y ,FLUOR,FLUOR
NOVA SHIMMICK A JOINT VENTURE," 66,377,631 ", N ,NOVA SHIMMICK A JOINT VENTURE,
MCKEAN DEFENSE GROUP  LLC," 79,732,407 ", N ,MCKEAN DEFENSE GROUP,
LOGOS TECHNOLOGIES  INC.," 62,320,603 ", N ,LOGOS TECHNOLOGIES,
AUSTAL LIMITED," 865,867,984 ", Y ,AUSTAL,AUSTAL
NETFIRES  LLC," 274,590,439 ", N ,NETFIRES,NETFIRES
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION," 2,169,224,733 ", Y ,SCIENCE APPLICATIONS INTERNATIONAL,SAIC
PATRIOT CONTRACT SERVICES  LLC," 196,026,722 ", N ,PATRIOT CONTRACT SERVICES,
KORTE CONSTRUCTION COMPANY," 166,150,271 ", N ,KORTE CONSTRUCTION COMPANY,
J. WALTER THOMPSON COMPANY," 106,051,524 ", N ,J WALTER THOMPSON COMPANY,
MERCOM INCORPORATED," 93,796,788 ", N ,MERCOM,
DELPHINUS ENGINEERING CORP.," 97,293,441 ", N ,DELPHINUS ENGINEERING,
ICI SERVICES CORPORATION," 86,503,127 ", N ,ICI SERVICES,
KBR  INC.," 5,997,089,901 ", Y ,KBR,KELLOGG BROWN & ROOT
THE TIMKEN COMPANY," 90,705,322 ", N ,THE TIMKEN COMPANY,TIMKEN CO
WALSH CONSTRUCTION GROUP LLC," 148,456,807 ", N ,WALSH CONSTRUCTION GROUP,WALSH GROUP
EJB FACILITIES SERVICES," 67,663,924 ", N ,EJB FACILITIES SERVICES,
CDW CORPORATION," 620,506,251 ", Y ,CDW,CDW
"LEIDOS HOLDINGS, INC"," 1,532,685,593 ", Y ,LEIDOS HOLDINGS,LEIDOS
AECOM TECHNOLOGY CORPORATION," 640,999,985 ", Y ,AECOM TECHNOLOGY,AECOM TECHNOLOGY
"CERBERUS CAPITAL MANAGEMENT, L.P."," 696,493,704 ", Y ,CERBERUS CAPITAL MANAGEMENT,CERBERUS
CORE TECH-AMEC-SKEC LLC," 186,434,924 ", N ,CORE TECH AMEC SKEC,
SHAW INFRASTRUCTURE  INC.," 258,821,552 ", N ,SHAW INFRASTRUCTURE,SHAW GROUP INC
INSIGHT ENTERPRISES  INC.," 718,991,955 ", Y ,INSIGHT ENTERPRISES,INSIGHT ENTERPRISES
MAERSK INC.," 136,882,560 ", N ,MAERSK,
IDENTITY THEFT GUARD SOLUTIONS  LLC," 133,262,983 ", N ,IDENTITY THEFT GUARD SOLUTIONS,
ACCENTURE INC.," 606,214,682 ", Y ,ACCENTURE,ACCENTURE
CROWLEY HOLDINGS  INC," 179,666,310 ", N ,CROWLEY HOLDINGS,
P & S CONSTRUCTION INC.," 112,968,303 ", N ,P & S CONSTRUCTION,
MILLSTEIN & CO.  L.P.," 91,388,143 ", N ,MILLSTEIN & CO,
LANE INDUSTRIES INCORPORATED," 67,224,724 ", N ,LANE INDUSTRIES,LANE INDUSTRIES
COUNTERTRADE PRODUCTS  INC.," 67,105,678 ", N ,COUNTERTRADE PRODUCTS,
ORBITAL SCIENCES CORPORATION," 106,773,517 ", N ,ORBITAL SCIENCES,ORBITAL SCIENCES
G4S-PARSONS PACIFIC  LLC," 82,123,621 ", N ,G4S PARSONS PACIFIC,
"LEIDOS HOLDING, INC."," 1,535,064,604 ", Y ,LEIDOS HOLDING,LEIDOS
LEONARDO SPA," 1,057,806,823 ", Y ,LEONARDO SPA,FINMECCANICA
HEWLETT PACKARD ENTERPRISE COMPANY," 379,100,092 ", N ,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD
"ENGILITY HOLDINGS, INC."," 573,329,167 ", Y ,ENGILITY HOLDINGS,ENGILITY
CSC GOVERNMENT SOLUTIONS LLC," 416,335,965 ", N ,CSC GOVERNMENT SOLUTIONS,
MLS-MULTINATIONAL LOGISTIC SERVICES LIMITED," 121,992,487 ", N ,MLS MULTINATIONAL LOGISTIC SERVICES,
BETHEL-WEBCOR JV-1," 120,391,809 ", N ,BETHEL WEBCOR JV 1,
M. A. MORTENSON COMPANIES  INC.," 379,304,691 ", N ,MA MORTENSON COMPANIES,MA MORTENSON COMPANY
CARAHSOFT TECHNOLOGY CORPORATION," 532,336,969 ", Y ,CARAHSOFT TECHNOLOGY,CARAHSOFT TECHNOLOGY
CADDELL-NAN A JOINT VENTURE," 79,721,831 ", N ,CADDELL NAN A JOINT VENTURE,
HARDIN-WGI JOINT VENTURE," 73,601,356 ", N ,HARDIN WGI JOINT VENTURE,
MUNILLA CONSTRUCTION MANAGEMENT  LLC," 69,628,949 ", N ,MUNILLA CONSTRUCTION MANAGEMENT,
MACANDREWS & FORBES HOLDINGS INC.," 4,712,820,926 ", Y ,MACANDREWS & FORBES HOLDINGS,MACANDREWS AMG HOLDING
INSTITUTE FOR DEFENSE ANALYSES INC," 603,492,323 ", Y ,INSTITUTE FOR DEFENSE ANALYSES,INSTITUTE FOR DEFENSE ANALYSES
COMBAT SUPPORT ASSOCIATES," 659,881,481 ", Y ,COMBAT SUPPORT ASSOCIATES,COMBAT SUPPORT ASSOCIATES
CERADYNE INC," 463,641,965 ", N ,CERADYNE,CERADYNE
UNITED INDUSTRIAL CORPORATION," 562,431,552 ", Y ,UNITED INDUSTRIAL,UNITED INDUSTRIAL
THE MITRE CORPORATION," 797,001,345 ", Y ,THE MITRE,THE MITRE
SYRACUSE RESEARCH CORP," 615,049,000 ", Y ,SYRACUSE RESEARCH,SRC MANAGEMENT
JVYS," 480,948,350 ", N ,JVYS,JVYS [YULISTA/SES]
BUNDESAMT FUER BAUWESEN UND RAUMORDNUNG," 322,835,190 ", N ,BUNDESAMT FUER BAUWESEN UND RAUMORDNUNG,
HELLFIRE SYSTEMS  LLC," 581,133,052 ", Y ,HELLFIRE SYSTEMS,HELLFIRE SYSTEMS
KONGSBERG GRUPPEN ASA," 813,001,606 ", Y ,KONGSBERG GRUPPEN ASA,KONGSBERG GRUPPEN
COMTECH TELECOMMUNICATIONS CORP.," 496,368,925 ", N ,COMTECH TELECOMMUNICATIONS,COMTECH
PARSONS CORPORATION," 375,465,304 ", N ,PARSONS,PARSONS
CLARK CADDELL A JOINT VENTURE," 243,915,000 ", N ,CLARK CADDELL A JOINT VENTURE,CLARK CADDELL JV
SOCIET  HERSTALIENNE POUR LA FINANCE  L'INDUSTRIELLE ET LE C," 304,923,663 ", N ,SOCIET HERSTALIENNE POUR LA FINANCE L'INDUSTRIELLE ET LE C,
THE SUNDT COMPANIES INC," 451,101,139 ", N ,THE SUNDT COMPANIES,SUNDT COMPANIES
CH2M HILL COMPANIES  LTD," 535,805,215 ", Y ,CH2M HILL COMPANIES,CH2M HILL
ATLANTIC DIVING SUPPLY  INC," 560,813,065 ", Y ,ATLANTIC DIVING SUPPLY,ATLANTIC DIVING SUPPLY
COLT DEFENSE HOLDING LLC," 209,091,409 ", N ,COLT DEFENSE HOLDING,COLT DEFENSE
GREAT LAKES DREDGE & DOCK CORPORATION," 578,445,585 ", Y ,GREAT LAKES DREDGE & DOCK,GREAT LAKES DREDGE DOCK
AMERICAN AUTO LOGISTICS LP," 197,534,823 ", N ,AMERICAN AUTO LOGISTICS,
BAE SYSTEMS ANALYTICAL SOLUTIONS INCORPORATED," 196,551,868 ", N ,BAE SYSTEMS ANALYTICAL SOLUTIONS,BAE SYSTEMS
POINT BLANK SOLUTIONS  INC.," 194,355,449 ", N ,POINT BLANK SOLUTIONS,POINT BLANK ENTERPRISES
SENSOR TECHNOLOGIES INC," 365,132,972 ", N ,SENSOR TECHNOLOGIES,SENSOR TECHNOLOGIES
EUROPEAN AERONAUTIC DEFENCE AND SPACE COMPANY EADS N.V.," 556,872,921 ", Y ,EUROPEAN AERONAUTIC DEFENCE & SPACE COMPANY EADS NV,EADS NV
VEYANCE TECHNOLOGIES  INC.," 173,586,066 ", N ,VEYANCE TECHNOLOGIES,
ALLISON TRANSMISSION  INC.," 170,296,875 ", N ,ALLISON TRANSMISSION,
GLOBAL FLEET SALES INC," 236,506,666 ", N ,GLOBAL FLEET SALES,
GTSI CORP.," 207,630,974 ", N ,GTSI,GTSI
PEARSON ENGINEERING LTD," 353,763,355 ", N ,PEARSON ENGINEERING,PEARSON ENGINEERING
RMR JOINT VENTURE," 162,394,306 ", N ,RMR JOINT VENTURE,
SOFTMART  INC.," 161,733,373 ", N ,SOFTMART,SOFTMART
DATAPATH INC," 331,373,966 ", N ,DATAPATH,
J & J MAINTENANCE  INC.," 249,102,283 ", N ,J & J MAINTENANCE,J & J WORLDWIDE SERVICES
SCIENCE AND ENGINEERING SERVICES INC," 154,969,998 ", N ,SCIENCE & ENGINEERING SERVICES,SCIENCE & ENGINEERING SERVICES
KIPPER TOOL COMPANY  INC," 154,726,592 ", N ,KIPPER TOOL COMPANY,KIPPER TOOL COMPANY
B L HARBERT HOLDINGS LLC," 203,774,065 ", N ,BL HARBERT HOLDINGS,BL HARBERT INTERNATIONAL
DOCUMENT AND PACKAGING BROKERS  INC," 270,257,822 ", N ,DOCUMENT & PACKAGING BROKERS,
POND SECURITY SERVICE GMBH," 173,013,969 ", N ,POND SECURITY SERVICE GMBH,POND SECURITY SERVICE GMBH
V T GROUP P L C," 136,441,690 ", N ,VT GROUP PLC,VT GROUP PLC
THE WALBRIDGE GROUP INC," 230,530,633 ", N ,THE WALBRIDGE GROUP,WALBRIDGE
BILFINGER BERGER AG," 134,565,129 ", N ,BILFINGER BERGER AG,
TOMPKINS TURNER GRUNLEY KINSLEY A JOINT VENTURE," 346,376,818 ", N ,TOMPKINS TURNER GRUNLEY KINSLEY A JOINT VENTURE,TOMPKINS TURNER GRUNLEY KINSLEY A JOINT VENTURE
BRISTOL BAY NATIVE CORPORATION," 225,526,959 ", N ,BRISTOL BAY NATIVE,BRISTOL BAY NATIVE
AEY INC," 132,593,511 ", N ,AEY,
PETROMAX  LLC," 426,618,728 ", N ,PETROMAX,PETROMAX
ALLIANT TECHSYSTEMS INCORPORATED (2694)," 130,402,758 ", N ,ALLIANT TECHSYSTEMS,ALLIANT TECHSYSTEMS OPERATIONS
PROGENY SYSTEMS CORPORATION," 183,274,674 ", N ,PROGENY SYSTEMS,PROGENY SYSTEMS
RO DEFENCE PROJECTS LTD," 579,754,142 ", Y ,RO DEFENCE PROJECTS,BAE SYSTEMS
PERINI CORPORATION," 436,155,212 ", N ,PERINI,
SRC  INC.," 553,765,432 ", Y ,SRC,SRC MANAGEMENT
DAIMLER AG," 360,066,667 ", N ,DAIMLER AG,DAIMLER
CERADYNE  INC.," 417,761,224 ", N ,CERADYNE,CERADYNE
PETER KIEWIT SONS'  INC.," 470,856,840 ", N ,PETER KIEWIT SONS',
"MPRI, INC"," 307,198,535 ", N ,MPRI,
DOCUMENT AND PACKAGING BROKERS  INC.," 301,318,389 ", N ,DOCUMENT & PACKAGING BROKERS,
GRANITE CONSTRUCTION INCORPORATED," 293,173,199 ", N ,GRANITE CONSTRUCTION,GRANITE CONSTRUCTION COMPANY
KIPPER TOOL COMPANY," 278,027,059 ", N ,KIPPER TOOL COMPANY,KIPPER TOOL COMPANY
"LITTON SYSTEMS, INC"," 235,688,825 ", N ,LITTON SYSTEMS,
BATTELLE MEMORIAL INSTITUTE INC," 519,359,760 ", Y ,BATTELLE MEMORIAL INSTITUTE,BATTELLE
SCIENCE AND ENGINEERING SERVICES  INC.," 266,028,435 ", N ,SCIENCE & ENGINEERING SERVICES,SCIENCE & ENGINEERING SERVICES
ATLANTIC SCIENCE AND TECHNOLOGY CORPORATION (2952)," 224,726,042 ", N ,ATLANTIC SCIENCE & TECHNOLOGY,
PURCELL CONSTRUCTION CORP.," 220,897,630 ", N ,PURCELL CONSTRUCTION,
EYAK CORPORATION," 301,305,264 ", N ,EYAK,
TTEC-TESORO JOINT VENTURE," 205,194,251 ", N ,TTEC TESORO JOINT VENTURE,
PROPPER INTERNATIONAL INC," 92,205,593 ", N ,PROPPER INTERNATIONAL,PROPPER INTERNATIONAL
ARCHER WESTERN/BUTT CONSTRUCTION  JOINT VENTURE," 195,074,000 ", N ,ARCHER WESTERN/BUTT CONSTRUCTION JOINT VENTURE,
ATLANTIC DIVING SUPPLY  INC.," 1,215,861,538 ", Y ,ATLANTIC DIVING SUPPLY,ATLANTIC DIVING SUPPLY
KIEWIT TEXAS CONSTRUCTION L.P.," 186,568,000 ", N ,KIEWIT TEXAS CONSTRUCTION,LITTON [NORTHROP GRUMMAN]
TELOS CORPORATION," 186,313,591 ", N ,TELOS,TELOS
BERGER CUMMINS J V," 178,942,854 ", N ,BERGER CUMMINS JV,BERGER/CUMMINS [Joint Venture - Louis Berger/Cummins]
CAJUN INDUSTRIES  LLC," 340,536,296 ", N ,CAJUN INDUSTRIES,CAJUN INDUSTRIES
"GULF INTRACOASTAL CONSTRUCTORS, A JOINT VENTURE"," 963,520,252 ", Y ,"GULF INTRACOASTAL CONSTRUCTORS, A JOINT VENTURE",Kiewit & Traylor Bros
SK CHEMICALS CO.  LTD.," 479,988,185 ", N ,SK CHEMICALS CO,SK GROUP
CRITICAL SOLUTIONS INTERNATIONAL  INC.," 423,862,763 ", N ,CRITICAL SOLUTIONS INTERNATIONAL,CRITICAL SOLUTIONS INTERNATIONAL
AEGIS MISSION ESSENTIAL PERSONNEL LLC," 375,954,610 ", N ,AEGIS MISSION ESSENTIAL PERSONNEL,
MANHATTAN TORCON A JOINT VENTURE," 333,000,000 ", N ,MANHATTAN TORCON A JOINT VENTURE,MANHATTAN TORCON A JOINT VENTURE
BALFOUR-WALTON A JOINT VENTURE," 323,692,081 ", N ,BALFOUR WALTON A JOINT VENTURE,BALFOUR WALTON A JOINT VENTURE
CLARK / HUNT  JOINT VENTURE," 267,787,601 ", N ,CLARK / HUNT JOINT VENTURE,CLARK / HUNT JV
SMITHS GROUP PLC," 260,506,875 ", N ,SMITHS GROUP PLC,SMITHS GROUP
CATERPILLER INC," 258,755,004 ", N ,CATERPILLER,CATERPILLAR
BECHTEL PARSONS BLUE GRASS  A JOINT VENTURE," 401,535,206 ", N ,BECHTEL PARSONS BLUE GRASS A JOINT VENTURE,
KALMAR RT CENTER LLC," 243,530,583 ", N ,KALMAR RT CENTER,
WASHINGTON GROUP INTERNATIONAL INC," 219,644,001 ", N ,WASHINGTON GROUP INTERNATIONAL,WASHINGTON GROUP INTERNATIONAL [URS]
NCI  INC.," 496,200,023 ", N ,NCI,NCI INFORMATION SYSTEMS
EAGLE RESEARCH GROUP  INC.," 203,883,133 ", N ,EAGLE RESEARCH GROUP,
NATIONAL PRESTO INDUSTRIES  INC.," 190,915,573 ", N ,NATIONAL PRESTO INDUSTRIES,
CONTRACK INTERNATIONAL INC," 188,940,515 ", N ,CONTRACK INTERNATIONAL,CONTRACK INTERNATIONAL
VH HOLDINGS  INC.," 175,170,117 ", N ,VH HOLDINGS,
AMERICAN ORDNANCE LLC," 169,110,300 ", N ,AMERICAN ORDNANCE,
MARKLAND TECHNOLOGIES  INC.," 168,273,840 ", N ,MARKLAND TECHNOLOGIES,
BALFOUR BEATTY/MCCARTHY A JOINT VENTURE," 529,989,439 ", Y ,BALFOUR BEATTY/MCCARTHY A JOINT VENTURE,BALFOUR BEATTY/MCCARTHY A JOINT VENTURE
BALFOUR BEATTY/DPR/BIG-D  A JOINT VENTURE," 479,000,000 ", N ,BALFOUR BEATTY/DPR/BIG DA JOINT VENTURE,"BALFOUR BEATTY/DPR/BIG-D, A JOINT VENTURE"
WASHINGTON GROUP/ALBERICI JOINT VENTURE," 373,044,000 ", N ,WASHINGTON GROUP/ALBERICI JOINT VENTURE,WASHINGTON GROUP/ALBERICI
QATAR FUEL CO (WOQOD)," 431,866,130 ", N ,QATAR FUEL,QATAR FUEL
TASC  INC.," 468,550,651 ", N ,TASC,TASC
ARCHER WESTERN/ALBERICI JOINT VENTURE," 342,342,128 ", N ,ARCHER WESTERN/ALBERICI JOINT VENTURE,ARCHER WESTERN/ALBERICI JOINT VENTURE
R Q CONSTRUCTION  INC.," 152,763,521 ", N ,RQ CONSTRUCTION,RQ CONSTRUCTION
"MPRI, INC."," 272,958,459 ", N ,MPRI,
CHALMETTE LEVEE CONSTRUCTORS  A JOINT VENTURE," 254,878,963 ", N ,CHALMETTE LEVEE CONSTRUCTORS A JOINT VENTURE,CHALMETTE LEVEE CONSTRUCTORS JV
ROCKWELL INTERNATIONAL CORP," 408,184,968 ", N ,ROCKWELL INTERNATIONAL,ROCKWELL
CONTI FEDERAL SERVICES  INC.," 189,864,976 ", N ,CONTI FEDERAL SERVICES,
LOGISTICS HEALTH  INC.," 184,741,921 ", N ,LOGISTICS HEALTH,
DATRON WORLD COMMUNICATIONS INC.," 184,298,713 ", N ,DATRON WORLD COMMUNICATIONS,
GLOBAL INNOVATION PARTNERS LLC," 180,966,200 ", N ,GLOBAL INNOVATION PARTNERS,
KIEPPE PATRIMONIAL LTDA.," 172,601,743 ", N ,KIEPPE PATRIMONIAL LTDA,
JORGE SCIENTIFIC CORPORATION," 171,004,167 ", N ,JORGE SCIENTIFIC,JORGE SCIENTIFIC
CBY DESIGN BUILDERS A JOINT VENTURE OF CDM  BRASFIELD & GORRIE  AND YATES CONSTR," 674,998,555 ", Y ,CBY DESIGN BUILDERS A JOINT VENTURE OF CDM BRASFIELD & GORRIE & YATES CONSTR,CBY DESIGN BUILDERS
MCDONNELL DOUGLAS HELICOPTER COMPANY," 888,494,479 ", Y ,MCDONNELL DOUGLAS HELICOPTER COMPANY,MCDONNELL DOUGLAS [BOEING]
GLOBAL FLEET SALES INC.," 407,458,215 ", N ,GLOBAL FLEET SALES,
ROSOBORONEXPORT FGUP," 553,980,998 ", Y ,ROSOBORONEXPORT FGUP,ROSOBORONEXPORT FGUP
AC FIRST  LLC," 431,780,104 ", N ,AC FIRST,AC FIRST [Joint Venture - AECOM & CACI]
ADVANCED TECHNOLOGY INTERNATIONAL," 622,175,651 ", Y ,ADVANCED TECHNOLOGY INTERNATIONAL,ADVANCED TECHNOLOGY INTERNATIONAL
CRITICAL SOLUTIONS INTERNATIONAL INC," 244,942,377 ", N ,CRITICAL SOLUTIONS INTERNATIONAL,CRITICAL SOLUTIONS INTERNATIONAL
D & S CONSULTANTS  INC.," 211,198,636 ", N ,D & S CONSULTANTS,
ROBERTSON FUEL SYSTEMS  L.L.C.," 208,824,263 ", N ,ROBERTSON FUEL SYSTEMS,ROBERTSON FUEL SYSTEMS
PHILLIPS AND JORDAN  INCORPORATED," 200,641,223 ", N ,PHILLIPS & JORDAN,PHILLIPS AND JORDAN
ECCI-C METAG JV," 197,452,189 ", N ,ECCI C METAG JV,ECCI-C METAG JV
I & S ACQUISITION CORPORATION," 191,035,890 ", N ,I & S ACQUISITION,
UNITEDHEALTH GROUP INCORPORATED," 3,203,771,598 ", Y ,UNITEDHEALTH GROUP,UnitedHealth Group
TELECOMMUNICATION SYSTEMS  INC.," 179,561,309 ", N ,TELECOMMUNICATION SYSTEMS,TELECOMMUNICATION SYSTEMS
TURNER/ GILBANE  A 50 50 JOINT VENTURE," 177,488,419 ", N ,TURNER/ GILBANE A 50 50 JOINT VENTURE,Turner/Gilbane JV
CONTRACK INTERNATIONAL  INC.," 237,332,309 ", N ,CONTRACK INTERNATIONAL,CONTRACK INTERNATIONAL
WESTON SOLUTIONS HOLDINGS INC," 189,474,416 ", N ,WESTON SOLUTIONS HOLDINGS,
AEROVIRONMENT  INC.," 170,470,449 ", N ,AEROVIRONMENT,AEROVIRONMENT
CUMMINS INC.," 190,805,972 ", N ,CUMMINS,
LAKESHORE TOLTEST JV  LLC," 162,147,062 ", N ,LAKESHORE TOLTEST JV,LAKESHORE TOLTEST
THE WHITE OAK GROUP INC," 157,295,470 ", N ,THE WHITE OAK GROUP,WHITE OAK GROUP
OMRAN CONSULTING  CONSTRUCTION AND ENGINEERING," 156,815,773 ", N ,OMRAN CONSULTING CONSTRUCTION & ENGINEERING,
INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION," 276,311,278 ", N ,INTUITIVE RESEARCH & TECHNOLOGY,INTUITIVE
YUKSEL HOLDING A S," 153,353,408 ", N ,YUKSEL HOLDING AS,Yuksel Holding AS
THE DAY & ZIMMERMANN GROUP INC," 151,827,277 ", N ,THE DAY & ZIMMERMANN GROUP,DAY & ZIMMERMANN
DELOITTE LLP," 516,025,385 ", Y ,DELOITTE LLP,DELOITTE
PCCP CONSTRUCTORS  A JOINT VENTURE," 629,500,000 ", Y ,PCCP CONSTRUCTORS A JOINT VENTURE,PCCP CONSTRUCTORS JV
HUNTINGTON INGALLS INDUSTRIES INC," 517,042,598 ", Y ,HUNTINGTON INGALLS INDUSTRIES,HUNTINGTON INGALLS INCORPORATED
STATE CORPS LIMITED," 217,615,128 ", N ,STATE CORPS,
GOVERNMENT ACQUISITIONS  INC.," 182,353,124 ", N ,GOVERNMENT ACQUISITIONS,GOVERNMENT ACQUISITIONS
LAUGHLIN  MARINACCIO & OWENS  INC.," 168,455,336 ", N ,LAUGHLIN MARINACCIO & OWENS,
METAG INSAAT TICARET A S," 161,051,097 ", N ,METAG INSAAT TICARET AS,
IRON BOW TECHNOLOGIES  LLC," 160,988,914 ", N ,IRON BOW TECHNOLOGIES,IRON BOW TECHNOLOGIES
JOHNSON CONTROLS  INC.," 267,298,949 ", N ,JOHNSON CONTROLS,JOHNSON CONTROLS
ACCENTURE PUBLIC LIMITED COMPANY," 431,832,856 ", N ,ACCENTURE PUBLIC LIMITED COMPANY,ACCENTURE
SAAB AB," 142,075,014 ", N ,SAAB AB,SAAB SPACE AB
CAMP DRESSER & MCKEE INC.," 137,787,826 ", N ,CAMP DRESSER & MCKEE,CAMP DRESSER & MCKEE
A I C GROUP INC," 132,803,468 ", N ,AIC GROUP,
AFGHAN INTEGRATED SUPPORT SERVICES JV," 129,400,522 ", N ,AFGHAN INTEGRATED SUPPORT SERVICES JV,
BLACK BOX CORPORATION," 129,268,965 ", N ,BLACK BOX,BLACK BOX
CLARK MCCARTHY HEALTHCARE PARTNERS II," 312,595,435 ", N ,CLARK MCCARTHY HEALTHCARE PARTNERS II,"CLARK-MCCARTHY HEALTHCARE PARTNERS, A JOINT VENTURE"
REDSTONE DEFENSE SYSTEMS," 409,086,090 ", N ,REDSTONE DEFENSE SYSTEMS,REDSTONE DEFENSE SYSTEMS
KIEWITPHELPS," 223,859,997 ", N ,KIEWITPHELPS,HENSEL PHELPS KIEWIT JOINT VENTURE
HENSEL PHELPS KIEWIT JOINT VENTURE," 439,167,037 ", N ,HENSEL PHELPS KIEWIT JOINT VENTURE,HENSEL PHELPS KIEWIT JOINT VENTURE
ABM INDUSTRIES INCORPORATED," 217,152,242 ", N ,ABM INDUSTRIES,ABM
NANOTHERAPEUTICS  INC.," 126,225,150 ", N ,NANOTHERAPEUTICS,
ADAMS COMMUNICATION & ENGINEERING TECHNOLOGY  INC.," 263,091,078 ", N ,ADAMS COMMUNICATION & ENGINEERING TECHNOLOGY,ADAMS COMMUNICATION & ENGINEERING TECHNOLOGY
ROLLS-ROYCE CORPORATION," 730,936,242 ", Y ,ROLLS ROYCE,ROLLS ROYCE
AASKI TECHNOLOGY INC," 269,299,575 ", N ,AASKI TECHNOLOGY,AASKI
ZWAKMAN NABIZAI CONSTRUCTION COMPANY," 116,070,200 ", N ,ZWAKMAN NABIZAI CONSTRUCTION COMPANY,
THE ROSS GROUP CONSTRUCTION CORPORATION," 113,002,107 ", N ,THE ROSS GROUP CONSTRUCTION,THE ROSS GROUP
GLOBAL INTEGRATED SECURITY (USA) INC.," 103,385,205 ", N ,GLOBAL INTEGRATED SECURITYINC,
AUTOMOTIVE MANAGEMENT SERVICES FZE," 186,236,134 ", N ,AUTOMOTIVE MANAGEMENT SERVICES FZE,
RQ CONSTRUCTION  INC," 90,819,282 ", N ,RQ CONSTRUCTION,RQ CONSTRUCTION
"AVIATION & MISSILE SOLUTIONS, LLC"," 96,813,885 ", N ,AVIATION & MISSILE SOLUTIONS,
ECC CENTCOM CONSTRUCTORS LLC," 91,707,508 ", N ,ECC CENTCOM CONSTRUCTORS,
NESMA & PARTNERS CONTRACTING CO LTD," 206,666,667 ", N ,NESMA & PARTNERS CONTRACTING CO,
BOH BROS. CONSTRUCTION CO.  L.L.C.," 195,834,249 ", N ,BOH BROS CONSTRUCTION CO,
EOD TECHNOLOGY  INC.," 194,725,347 ", N ,EOD TECHNOLOGY,EOD TECHNOLOGY
RENDA/JBROS. JOINT VENTURE," 147,489,050 ", N ,RENDA/JBROS JOINT VENTURE,
ARCHER WESTERN AVIATION PARTNERS," 143,727,000 ", N ,ARCHER WESTERN AVIATION PARTNERS,
