Fiscal_Year,Customer,PlatformPortfolioRemote,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2021,Defense,Ships & Submarines,M,PDuns-1,1,0,0,1,1,1,20,20,41,1616317.2344,2021-01-01,Medium Vendor,Other Than Small,Medium,1728307.9682062645
2010,Defense,Other Products,M,PDuns-2+,1,0,0,0,1,1,22,22,31,322129.48,2010-01-01,Medium Vendor,Other Than Small,Medium,421418.7139046972
2014,Defense,Land Vehicles,U,Name,Unlabeled,Unlabeled,0,1,1,1,1,1,NA,0,2014-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,0
2012,Defense,Ships & Submarines,M,PDuns-2+,1,0,0,0,1,0,2,2,3,16990.23,2012-01-01,Medium Vendor,Other Than Small,Medium,21395.79663491768
2015,Defense,Other Products,N,PDuns-2+,1,0,0,0,1,0,8,9,16,67098.0802,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,80480.62905133207
2015,Defense,Other R&D and Knowledge Based,M,PID,1,0,0,0,1,1,1,1,3,-3522.75,2015-01-01,Medium Vendor,Other Than Small,Medium,-4225.353916915496
2011,Defense,Unlabeled,M,PID,1,0,1,1,1,1,1,1,1,-10001,2011-01-01,Medium Vendor,Other Than Small,Medium,-12825.111297594376
2019,Defense,Aircraft,N,PID,1,1,0,1,1,1,4,4,63,400667.4984,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,448737.6207962442
2015,Defense,Ships & Submarines,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,5,5,0,0,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2010,Defense,Ships & Submarines,N,PDuns-1,1,1,0,0,1,0,7,7,11,24888.1199,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,32559.32825447675
2011,Defense,Facilities and Construction,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,25,25,0,0,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2001,Defense,Other Services,N,PDuns-2+,1,1,0,1,1,1,2,2,4,135769,2001-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,214172.49379360548
2020,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,1,0,0,1,1,17,17,276,682427.6007,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,754240.0193351732
2020,Defense,Other Services,S,PDuns-1,1,1,0,1,1,1,47,47,373,11894696.3958,2020-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,13146385.096897807
2014,Defense,Land Vehicles,N,PDuns-1,1,0,0,0,1,1,76,76,160,790088.6702,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,958534.3570221049
2021,Defense,Land Vehicles,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,7,7,NA,0,2021-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2004,Defense,Other Services,U,Name,1,1,1,1,1,1,4,1,8,316249.58,2004-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,470414.712955536
2007,Defense,Land Vehicles,S,PDuns-1,1,1,0,0,1,0,15,15,25,93316,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,126985.99393857295
2002,Defense,Aircraft,M,PID,1,0,1,1,1,1,27,27,365,423071387,2002-01-01,Medium Vendor,Other Than Small,Medium,657015412.0693837
2021,Defense,Space Systems,L,PID,1,1,1,1,1,1,14,14,403,946938493.9634,2021-01-01,Large Vendor,Other Than Small,Large,1012549584.7513584
2020,Defense,Other Products,M,PDuns-2+,1,1,0,0,1,1,14,14,1664,2697586.8511,2020-01-01,Medium Vendor,Other Than Small,Medium,2981456.1378305242
2016,Defense,Facilities and Construction,N,PDuns-2+,1,0,0,0,1,1,81,89,241,1640395.5105,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1951398.1366956567
2011,Defense,Ordnance and Missiles,S,PDuns-1,1,1,0,1,1,1,7,7,9,72591.46,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,93090.04637084994
2009,Defense,Ships & Submarines,M,PDuns-2+,1,1,1,1,1,1,22,23,265,97236351.1695,2009-01-01,Medium Vendor,Other Than Small,Medium,128313671.9093412
2010,Defense,Ordnance and Missiles,N,Duns,1,1,1,1,1,1,3,2,78,55664074.7773,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,72821285.41400391
2007,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,0,0,1,1,1,176,207,1569,31343582.5563,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,42652878.22567912
2003,Defense,Unlabeled,N,PDuns-2+,1,0,1,1,1,1,7,7,14,4193096,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,6389600.429961349
2000,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,1,0,0,0,1,1,237,237,254,7326580,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,11837775.468037814
2007,Defense,Other Products,L,PID,1,0,1,1,1,1,34,34,15997,2135085555.4993,2007-01-01,Large Vendor,Other Than Small,Large,2905460600.6362123
2009,Defense,Ships & Submarines,N,PDuns-1,1,0,0,0,1,1,131,131,468,3023595.231,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3989954.3924770015
2011,Defense,Ships & Submarines,M,PDuns-1,1,1,1,1,1,1,44,44,1880,75015215.6669,2011-01-01,Medium Vendor,Other Than Small,Medium,96198229.17118666
2020,Defense,Facilities and Construction,M,PDuns-2+,1,1,1,1,1,1,171,272,5013,1689506645.501,2020-01-01,Medium Vendor,Other Than Small,Medium,1867294821.696062
2006,Defense,Aircraft,L,PID,1,1,1,1,1,1,67,67,37392,14417061933.0864,2006-01-01,Large Vendor,Other Than Small,Large,20156995762.1995
2006,Defense,Ships & Submarines,N,PDuns-1,1,0,0,1,1,1,439,439,3979,69406308.9465,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,97039374.72126873
2006,Defense,Facilities and Construction,N,PID,1,0,0,1,1,1,93,93,717,16771264.1482,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,23448487.766163353
2004,Defense,Facilities and Construction,S,PID,1,1,1,1,1,1,8,8,936,430148798,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,639837445.2840025
2010,Defense,Aircraft,M,PDuns-2+,1,0,0,0,1,0,3,3,3,8911.9801,2010-01-01,Medium Vendor,Other Than Small,Medium,11658.899372035914
2017,Defense,Remotely Operated,M,Duns,Unlabeled,Unlabeled,0,0,1,1,1,1,1,14490.8203,2017-01-01,Medium Vendor,Other Than Small,Medium,16935.76799340258
2020,Defense,Other Services,U,Name,1,1,0,1,1,1,1,1,1,60000,2020-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,66313.8494306073
2007,Defense,Other Products,N,PDuns-2+,1,1,0,0,1,0,1,2,2,14713,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,20021.699695853058
2005,Defense,Unlabeled,S,PID,1,0,1,1,1,1,1,1,5,610982,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,882047.0396609324
2018,Defense,Ships & Submarines,S,PID,1,0,0,1,1,1,3,3,16,328423.7106,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,375030.81131296605
2011,Defense,Other R&D and Knowledge Based,M,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,3,4,0,0,2011-01-01,Medium Vendor,Other Than Small,Medium,0
2001,Defense,Land Vehicles,M,PID,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2001-01-01,Medium Vendor,Other Than Small,Medium,0
2014,Defense,Missile Defense,L,PID,1,0,1,1,1,1,2,2,12,1545537.99,2014-01-01,Large Vendor,Other Than Small,Large,1875044.3075242143
2012,Defense,Ships & Submarines,S,PDuns-2+,1,0,0,0,1,0,9,10,57,80843.5693,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,101806.30680006536
2016,Defense,Ships & Submarines,S,PID,1,1,1,1,1,1,1,1,21,1637856.3647,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1948377.594179414
2002,Defense,Unlabeled,N,Duns,1,1,1,1,1,1,2,2,4,5000,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,7764.829202091415
2006,Defense,Other R&D and Knowledge Based,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,3,3,1,9000,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,12583.213050050254
2007,Defense,"Electronics, Comms, & Sensors",S,PID,1,0,0,0,1,1,7,7,18,190837.74,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,259695.230130856
2017,Defense,Facilities and Construction,M,PDuns-1,1,0,0,0,0,0,39,39,82,121987.1594,2017-01-01,Medium Vendor,Other Than Small,Medium,142569.3085002661
2016,Defense,Missile Defense,N,PDuns-1,1,0,0,0,1,0,1,1,2,0,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2007,Defense,Other Services,S,PDuns-1,1,1,0,0,0,0,15,15,29,44006.53,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,59884.83166699846
2004,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,1,1,1,1,1,6,8,33,2649094,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3940472.564745327
2016,Defense,"Electronics, Comms, & Sensors",N,PDuns-2+,1,1,0,0,1,1,7,8,27,202945.999,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,241422.53606737033
2012,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,1,0,0,1,0,12,12,23,53290.9105,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,67109.24357984556
2002,Defense,"Electronics, Comms, & Sensors",N,PID,1,0,0,0,1,1,1,1,1,5839,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,9067.767542202355
2007,Defense,Facilities and Construction,L,Duns,1,1,1,1,1,1,1,1,7928,277252285.3378,2007-01-01,Large Vendor,Other Than Small,Large,377289607.6274313
2009,Defense,Unlabeled,N,PDuns-1,1,0,0,1,1,1,1,1,1,-4570.1802,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-6030.837188935036
2010,Defense,Ships & Submarines,S,PDuns-1,1,1,1,1,1,1,18,18,133,4873757.9285,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,6375985.203562529
2021,Defense,Missile Defense,S,PDuns-1,1,1,1,1,1,1,17,17,58,15173346.3195,2021-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,16224670.992931563
2014,Defense,"Electronics, Comms, & Sensors",M,PDuns-2+,1,1,0,1,1,1,53,55,177,5645377.5799,2014-01-01,Medium Vendor,Other Than Small,Medium,6848963.379422541
2018,Defense,Facilities and Construction,L,PID,1,1,0,1,1,1,1,1,19,1216027.9836,2018-01-01,Large Vendor,Other Than Small,Large,1388596.3362256044
2008,Defense,Other R&D and Knowledge Based,B,PID,1,1,1,1,1,1,5,5,8465,4516473524.6043,2008-01-01,Big Five,Other Than Small,Large,6020530440.546609
2008,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,0,1,1,1,2628,2628,7731,296767059.0852,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,395595170.26737756
2008,Defense,Other Products,M,PDuns-1,1,1,0,0,1,0,92,92,204,732088.9488,2008-01-01,Medium Vendor,Other Than Small,Medium,975886.1150025951
2012,Defense,"Electronics, Comms, & Sensors",N,Duns,1,1,1,1,1,1,3,2,2726,122377402.32,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,154109862.71217182
2021,Defense,Ships & Submarines,N,PDuns-2+,1,0,1,1,1,1,204,302,4419,559007582.296,2021-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,597739873.2177349
2016,Defense,Facilities and Construction,B,PID,1,1,1,1,1,1,5,5,1545,291576205.8207,2016-01-01,Big Five,Other Than Small,Large,346856146.03387636
2002,Defense,Facilities and Construction,N,PDuns-2+,1,1,0,1,1,1,28,51,286,13856918,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,21519320.307477236
2008,Defense,Facilities and Construction,J,PID,1,0,1,1,1,1,1,1,15,16417818.0313,2008-01-01,Large: Big 5 JV,Other Than Small,Large,21885210.37183687
2011,Defense,Ordnance and Missiles,M,PDuns-2+,1,0,0,0,0,0,1,1,2,0,2011-01-01,Medium Vendor,Other Than Small,Medium,0
2001,Defense,Remotely Operated,L,PID,1,1,1,1,1,1,2,2,31,43753407,2001-01-01,Large Vendor,Other Than Small,Large,69019999.33089729
2008,Defense,Space Systems,S,PDuns-1,1,1,1,1,1,1,2,2,4,476654.4063,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,635387.8412253605
2002,Defense,Other Services,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,1,1,1,16160,2002-01-01,Medium Vendor,Other Than Small,Medium,25095.927981159453
2007,Defense,Ships & Submarines,S,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2003,Defense,Unlabeled,M,PDuns-2+,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2003-01-01,Medium Vendor,Other Than Small,Medium,0
2006,Defense,Land Vehicles,S,PID,1,0,0,0,1,1,3,3,5,34998,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,48931.92114729542
2013,Defense,Facilities and Construction,M,PDuns-2+,1,0,0,0,1,1,73,78,115,1112327.83,2013-01-01,Medium Vendor,Other Than Small,Medium,1375581.297943901
2012,Defense,"Electronics, Comms, & Sensors",M,PDuns-2+,1,1,0,0,1,0,12,13,32,76833.4205,2012-01-01,Medium Vendor,Other Than Small,Medium,96756.32641718887
2008,Defense,Ships & Submarines,S,PDuns-2+,1,0,0,0,0,0,17,17,47,20153.1,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,26864.400147681616
2017,Defense,Other Products,M,PID,1,0,0,1,1,1,3,3,5,26522.5796,2017-01-01,Medium Vendor,Other Than Small,Medium,30997.572628248814
2008,Defense,Other Services,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,26,26,0,0,2008-01-01,Medium Vendor,Other Than Small,Medium,0
2000,Defense,Other Products,M,PDuns-2+,1,1,0,0,1,1,2,2,2,53276,2000-01-01,Medium Vendor,Other Than Small,Medium,86079.63413150236
2017,Defense,Other Services,S,PDuns-2+,1,0,0,0,1,1,28,31,69,436461.6307,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,510103.13857507135
2005,Defense,"Electronics, Comms, & Sensors",M,PID,1,0,0,0,1,1,3,3,23,169310,2005-01-01,Medium Vendor,Other Than Small,Medium,244425.17829492924
2003,Defense,Aircraft,S,PDuns-1,1,1,1,1,1,1,3,3,17,5402174,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,8232039.83718141
2012,Defense,Other Products,N,PDuns-2+,1,1,0,0,1,1,8,10,37,185592.952,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,233717.20440900672
2014,Defense,Other Services,N,PID,1,1,0,1,1,1,2,2,4,2280,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2766.092486122071
2004,Defense,Other Products,L,PID,1,0,0,1,1,1,2,2,3,72120,2004-01-01,Large Vendor,Other Than Small,Large,107277.009184813
2021,Defense,Ships & Submarines,N,PDuns-1,1,1,0,1,1,1,45,45,1024,14650498.2673,2021-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,15665596.056683773
2016,Defense,"Electronics, Comms, & Sensors",S,Duns,1,0,1,1,1,1,6,6,100,23902725.1758,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,28434443.444549087
2016,Defense,"Electronics, Comms, & Sensors",S,PID,1,1,1,1,1,1,5,5,121,8745027.2975,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,10402997.243324967
2021,Defense,Ships & Submarines,M,PDuns-2+,1,1,0,1,1,1,28,26,461,13287540.592,2021-01-01,Medium Vendor,Other Than Small,Medium,14208202.322078628
2016,Defense,Ships & Submarines,S,PDuns-1,1,0,0,0,0,0,216,216,448,-76772.7486,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-91328.09594277665
2013,Defense,Other Products,M,PDuns-2+,1,1,1,1,1,1,60,77,2884,617653071.3654,2013-01-01,Medium Vendor,Other Than Small,Medium,763832379.8729856
2002,Defense,Land Vehicles,N,PDuns-2+,1,0,0,1,1,1,58,94,868,13673812,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,21234962.944301605
2012,Defense,Facilities and Construction,S,PID,1,0,0,1,1,1,18,18,74,1433492.625,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1805197.2623180682
2013,Defense,Land Vehicles,M,PDuns-2+,1,1,0,1,1,1,29,37,115,5259295.91,2013-01-01,Medium Vendor,Other Than Small,Medium,6504007.990296215
2021,Defense,Space Systems,M,PID,1,1,1,1,1,1,5,5,64,133575698.4366,2021-01-01,Medium Vendor,Other Than Small,Medium,142830837.32160497
2020,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,0,0,0,0,297,297,381,-279924.17,2020-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-309380.8210227953
2010,Defense,Aircraft,S,PDuns-2+,1,0,1,1,1,1,56,68,815,205833164.8688,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,269276651.1712719
2020,Defense,Ships & Submarines,M,PID,1,0,1,1,1,1,16,16,419,607597116.0876,2020-01-01,Medium Vendor,Other Than Small,Medium,671535061.1784054
2017,Defense,Other Services,B,PID,1,1,1,1,1,1,5,5,2901,2073567949.9616,2017-01-01,Big Five,Other Than Small,Large,2423428418.2728477
2017,Defense,Facilities and Construction,M,PID,1,1,1,1,1,1,49,49,1472,1625326939.8543,2017-01-01,Medium Vendor,Other Than Small,Medium,1899558437.475028
2006,Defense,Aircraft,N,PID,1,0,1,1,1,1,141,141,5070,921215973.7975,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1287984095.9337173
2004,Defense,"Electronics, Comms, & Sensors",L,PID,1,1,1,1,1,1,86,86,54434,12879929848.7953,2004-01-01,Large Vendor,Other Than Small,Large,19158629405.004997
2011,Defense,Other Products,S,PDuns-2+,Unlabeled,Unlabeled,0,0,1,1,2,2,0,0,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2002,Defense,Aircraft,J,PID,1,0,0,1,1,1,1,1,2,121928,2002-01-01,Large: Big 5 JV,Other Than Small,Large,189350.01899052042
2010,Defense,Land Vehicles,S,PDuns-2+,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2008,Defense,Unlabeled,N,PDuns-1,1,1,1,1,1,1,1,1,1,0,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2018,Defense,Ships & Submarines,M,PID,1,0,0,1,1,1,2,2,4,4261.71,2018-01-01,Medium Vendor,Other Than Small,Medium,4866.49564966148
2008,Defense,Other Services,M,PID,1,1,0,1,1,1,1,1,2,9131.2402,2008-01-01,Medium Vendor,Other Than Small,Medium,12172.087201343531
2017,Defense,Land Vehicles,N,PID,1,1,0,1,1,1,1,1,48,123548.5595,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,144394.1541122482
2005,Defense,Missile Defense,M,PDuns-2+,1,1,1,1,1,1,1,1,1,20000,2005-01-01,Medium Vendor,Other Than Small,Medium,28873.094122606963
2016,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,1,0,0,1,1,4,5,18,83115.5302,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,98873.40566624378
2012,Defense,Other R&D and Knowledge Based,M,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,2,2,0,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2019,Defense,Ordnance and Missiles,M,PDuns-1,1,0,0,0,1,0,3,3,3,8164.1,2019-01-01,Medium Vendor,Other Than Small,Medium,9143.588697791458
2009,Defense,Land Vehicles,M,PDuns-2+,1,0,0,0,0,0,1,1,1,114.1,2009-01-01,Medium Vendor,Other Than Small,Medium,150.5670439991595
2020,Defense,Other Services,N,PDuns-1,1,0,0,0,1,1,42,42,79,609007.8401,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,673094.2368408461
2018,Defense,Aircraft,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,2,2,NA,0,2018-01-01,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Aircraft,S,PDuns-2+,1,0,0,0,1,1,25,28,58,369793.0403,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,474216.2682655037
2009,Defense,Ships & Submarines,M,PDuns-1,1,0,0,0,0,0,22,22,35,1664.1901,2009-01-01,Medium Vendor,Other Than Small,Medium,2196.0752323371225
2005,Defense,Ships & Submarines,S,PDuns-2+,1,0,0,0,1,0,14,14,31,89999,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,129927.4798970252
2000,Defense,Ordnance and Missiles,M,PDuns-1,1,0,0,1,1,1,27,27,44,5515427,2000-01-01,Medium Vendor,Other Than Small,Medium,8911441.14120823
2016,Defense,Ordnance and Missiles,M,PID,1,1,1,1,1,1,13,13,184,71452595.1237,2016-01-01,Medium Vendor,Other Than Small,Medium,84999294.43476573
2021,Defense,"Electronics, Comms, & Sensors",S,PID,1,1,1,1,1,1,2,2,7,1042888.5282,2021-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1115147.766093116
2019,Defense,Facilities and Construction,M,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,3,3,NA,0,2019-01-01,Medium Vendor,Other Than Small,Medium,0
2000,Defense,Other R&D and Knowledge Based,N,PDuns-2+,1,1,1,1,1,1,30,67,442,105407258,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,170309674.21437186
2000,Defense,Ships & Submarines,N,PID,1,0,1,1,1,1,58,58,1050,235816271,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,381015435.2792103
2019,Defense,Ships & Submarines,N,PID,1,0,1,1,1,1,48,48,2273,177461109.7352,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,198752023.77142665
2009,Defense,Ordnance and Missiles,L,PID,1,1,1,1,1,1,59,59,3180,2824429297.0529,2009-01-01,Large Vendor,Other Than Small,Large,3727133832.0935946
2011,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,0,1,1,1,1,964,964,12339,1586216421.4975,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2034136801.0976212
2021,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,0,1,1,1,1,179,209,1240,432585350.1567,2021-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,462558148.6685419
2006,Defense,Other Products,B,PID,1,1,1,1,1,1,5,5,2253,402996578,2006-01-01,Big Five,Other Than Small,Large,563443533.268355
2012,Defense,Ordnance and Missiles,M,PDuns-1,1,0,0,0,1,0,4,4,5,24492,2012-01-01,Medium Vendor,Other Than Small,Medium,30842.775594115195
2002,Defense,Ordnance and Missiles,N,PDuns-2+,1,0,0,0,1,1,1,1,1,11200,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,17393.21741268477
2015,Defense,Other Services,N,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2014,Defense,Space Systems,N,PDuns-1,1,0,0,0,1,1,1,1,1,4612.5,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5595.8778913324795
2014,Defense,Facilities and Construction,N,PID,1,1,0,0,1,1,2,2,2,11615.83,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,14092.307053978657
2018,Defense,Ordnance and Missiles,S,PDuns-2+,1,0,0,0,0,0,1,1,1,0,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2015,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,0,0,0,1,0,110,110,141,549563.8089,2015-01-01,Medium Vendor,Other Than Small,Medium,659172.9735378933
2012,Defense,Space Systems,N,PDuns-2+,1,0,1,1,1,1,27,28,101,41048103.3701,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,51691876.56410412
2001,Defense,Ordnance and Missiles,M,PDuns-1,1,0,0,1,1,1,30,30,38,3492275,2001-01-01,Medium Vendor,Other Than Small,Medium,5508983.9783975985
2005,Defense,Ships & Submarines,M,PDuns-2+,1,0,0,0,1,1,6,6,7,89416,2005-01-01,Medium Vendor,Other Than Small,Medium,129085.82920335121
2015,Defense,Other Products,N,Duns,1,0,0,0,0,0,1,1,5,1821.07,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2184.2779809743242
2014,Defense,Other R&D and Knowledge Based,S,PID,1,0,0,0,1,0,1,1,1,3840,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4658.682081889804
2015,Defense,Ordnance and Missiles,M,PDuns-2+,1,0,1,1,1,1,29,32,158,68009648.3991,2015-01-01,Medium Vendor,Other Than Small,Medium,81574007.30996604
2021,Defense,Aircraft,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,1,1,NA,0,2021-01-01,Medium Vendor,Other Than Small,Medium,0
2016,Defense,Aircraft,N,PDuns-2+,1,0,0,0,1,1,19,24,36,152502.6805,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,181415.6675411073
2011,Defense,"Electronics, Comms, & Sensors",M,PID,1,0,0,1,1,1,22,22,313,4072983.8744,2011-01-01,Medium Vendor,Other Than Small,Medium,5223124.837764939
2001,Defense,Other Products,N,Duns,1,0,1,1,1,1,1,1,1629,1309476360,2001-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2065669023.0094726
2006,Defense,Aircraft,N,PDuns-2+,1,0,0,0,0,0,1,1,3,2604,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3640.74297581454
2014,Defense,Ships & Submarines,J,PID,1,1,1,1,1,1,2,2,31,1104961.79,2014-01-01,Large: Big 5 JV,Other Than Small,Large,1340537.9406890324
