Fiscal_Year,Customer,PlatformPortfolio,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2009,Defense,Other R&D and Knowledge Based,N,PID,1,0,0,1,1,1,27,27,82,1690817.9024,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2231213.440010757
2009,Defense,Missile Defense,N,PDuns-1,1,1,0,1,1,1,8,8,15,352288.4596,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,464881.9631637978
2000,Defense,Facilities and Construction,M,PDuns-1,1,0,0,0,1,0,16,16,20,68988,2000-01-01,Medium Vendor,Other Than Small,Medium,111465.98467347557
2011,Defense,Other Products,S,PDuns-1,1,1,0,1,1,1,67,67,781,9917974.0365,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,12718640.222454138
2002,Defense,Other Services,M,PDuns-2+,1,1,1,1,1,1,12,13,32,35462852.25,2002-01-01,Medium Vendor,Other Than Small,Medium,55072598.14805065
2007,Defense,Ordnance and Missiles,L,PID,1,1,1,1,1,1,55,55,2263,2703964462.8822,2007-01-01,Large Vendor,Other Than Small,Large,3679600656.8399386
2000,Defense,Ordnance and Missiles,M,PID,1,0,1,1,1,1,22,22,212,209218948.9,2000-01-01,Medium Vendor,Other Than Small,Medium,338041342.7188507
2017,Defense,Aircraft,N,PID,1,1,1,1,1,1,68,68,4130,746925693.8981,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,872949908.8584692
2010,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,1,0,0,0,1,1,2351,2351,5448,50454133.7295,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,66005496.136092536
2015,Defense,Other Products,S,PDuns-1,1,0,0,0,1,1,1606,1606,36097,67191256.3404,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,80592388.94624434
2009,Defense,Other Products,S,PID,1,0,1,1,1,1,14,14,83,765848204.7963,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1010617882.1055375
2019,Defense,Land Vehicles,N,PDuns-2+,1,1,1,1,1,1,122,251,26414,483235857.475,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,541212126.8450869
2012,Defense,Aircraft,N,PDuns-2+,1,0,1,1,1,1,187,334,6054,650565933.4096,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,819257679.786395
2007,Defense,Aircraft,S,PDuns-1,1,1,1,1,1,1,25,25,121,12781854.640900001,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,17393764.370022807
2020,Defense,Facilities and Construction,M,PDuns-1,1,1,0,0,1,1,162,162,1471,2953095.4309,2020-01-01,Medium Vendor,Other Than Small,Medium,3263852.0959819495
2016,Defense,Aircraft,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,14,2676,235760052.9868,2016-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,280457807.37688184
2006,Defense,Ships & Submarines,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,15,362,28053829.1641,2006-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,39223034.360175945
2005,Defense,Missile Defense,N,PDuns-1,1,1,1,1,1,1,2,2,6,434060,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,626632.7617429389
2001,Defense,Unlabeled,M,PDuns-1,1,1,1,1,1,1,1,1,1,12475,2001-01-01,Medium Vendor,Other Than Small,Medium,19679.027319014123
2001,Defense,Other R&D and Knowledge Based,L,PID,1,1,0,1,1,1,1,1,1,78869,2001-01-01,Large Vendor,Other Than Small,Large,124414.04453894387
2002,Defense,Facilities and Construction,N,PDuns-1,1,1,0,0,1,0,1,1,1,3200,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,4969.490689338506
2010,Defense,Ordnance and Missiles,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2010-01-01,Medium Vendor,Other Than Small,Medium,0
2003,Defense,Facilities and Construction,M,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2003-01-01,Medium Vendor,Other Than Small,Medium,0
2019,Defense,Other Services,S,PDuns-2+,1,0,0,0,0,0,3,3,3,3257.5,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3648.3188818186545
2005,Defense,Land Vehicles,M,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2005-01-01,Medium Vendor,Other Than Small,Medium,0
2002,Defense,Unlabeled,N,PDuns-1,1,1,1,1,1,1,2,2,3,-118053.2344,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-183332.64037409256
2007,Defense,Ships & Submarines,N,PDuns-1,1,1,0,0,0,0,1,1,3,3166,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,4308.346444441703
2004,Defense,Other Services,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,9,9,0,0,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2002,Defense,Aircraft,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,20,20,0,0,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2019,Defense,Other R&D and Knowledge Based,N,PID,1,0,0,0,1,1,1,1,2,12675,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,14195.6843674755
2008,Defense,Other R&D and Knowledge Based,S,PDuns-2+,1,1,0,0,1,1,1,1,2,32000,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,42656.50469286669
2008,Defense,Other R&D and Knowledge Based,M,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,2,2,0,0,2008-01-01,Medium Vendor,Other Than Small,Medium,0
2020,Defense,Aircraft,N,PDuns-2+,1,0,0,0,1,0,4,7,80,67124.2001,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,74187.73497635592
2012,Defense,Ships & Submarines,N,PDuns-1,1,0,0,0,1,0,18,18,86,181776.2104,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,228910.78171304383
2002,Defense,Ships & Submarines,N,PDuns-2+,1,0,0,0,1,1,4,4,9,114180,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,177317.63965895955
2017,Defense,Space Systems,S,PDuns-1,1,0,0,0,1,0,1,1,1,6000,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,7012.343390968384
2009,Defense,Ships & Submarines,S,PDuns-2+,1,0,0,0,0,0,12,12,33,10720.9299,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,14147.403365163931
2007,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,0,0,1,0,17,17,53,100044.7202,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,136142.55039761055
2002,Defense,"Electronics, Comms, & Sensors",S,PID,1,1,1,1,1,1,3,3,89,39033212,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,60617244.87780501
2011,Defense,Aircraft,M,PDuns-1,1,0,0,0,1,0,21,21,31,52632.01,2011-01-01,Medium Vendor,Other Than Small,Medium,67494.38916769325
2008,Defense,Aircraft,N,PDuns-2+,1,1,0,1,1,1,47,64,438,13336478.4596,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,17777736.124945093
2007,Defense,Space Systems,N,PID,1,0,1,1,1,1,43,43,325,108125964.8475,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,147139645.04186836
2000,Defense,Land Vehicles,S,PDuns-1,1,0,0,0,1,1,67,67,72,2230832,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3604422.2983866595
2013,Defense,Other R&D and Knowledge Based,M,PID,1,0,0,0,1,1,3,3,17,103855.58,2013-01-01,Medium Vendor,Other Than Small,Medium,128434.97185098447
2016,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,0,1,1,1,92,102,256,9889894.5114,2016-01-01,Medium Vendor,Other Than Small,Medium,11764919.861174272
2000,Defense,Land Vehicles,S,PDuns-1,1,0,1,1,1,1,98,98,436,107181248,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,173175963.16536188
2000,Defense,"Electronics, Comms, & Sensors",M,PDuns-1,1,1,1,1,1,1,59,59,278,82599296.0436,2000-01-01,Medium Vendor,Other Than Small,Medium,133458164.70742431
2010,Defense,"Electronics, Comms, & Sensors",M,PDuns-2+,1,1,0,1,1,1,59,65,239,6942790.6235,2010-01-01,Medium Vendor,Other Than Small,Medium,9082751.120651737
2008,Defense,Other Products,N,PDuns-1,1,0,0,0,1,0,146,146,327,766811.7698,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1022172.1830318474
2005,Defense,Ordnance and Missiles,M,PDuns-2+,1,0,1,1,1,1,11,14,48,48815935,2005-01-01,Medium Vendor,Other Than Small,Medium,70473354.29690318
2010,Defense,Other Services,N,PDuns-1,1,0,0,0,1,1,185,185,558,3845538.0398,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5030839.446933284
2000,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,1,1,1,1,26,26,408,94138381,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,152102211.0183192
2008,Defense,Other R&D and Knowledge Based,M,PID,1,1,1,1,1,1,30,30,2511,684913868.219,2008-01-01,Medium Vendor,Other Than Small,Medium,913000988.5591642
2019,Defense,Ordnance and Missiles,M,PID,1,1,1,1,1,1,10,10,175,145594837.9897,2019-01-01,Medium Vendor,Other Than Small,Medium,163062592.94954732
2010,Defense,Missile Defense,S,PDuns-1,1,0,1,1,1,1,189,189,682,130198569.9219,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,170329377.76672256
2019,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,1,0,0,0,0,0,221,221,536,-258948.9946,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-290016.4256107864
2010,Defense,Aircraft,S,PDuns-1,1,0,0,0,1,1,725,725,2487,19005328.5151,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,24863297.516792662
2016,Defense,Missile Defense,N,PDuns-1,1,1,1,1,1,1,15,15,27,665389.6395,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,791540.8780295457
2009,Defense,"Electronics, Comms, & Sensors",J,PID,1,0,1,1,1,1,4,4,154,552606384.8593,2009-01-01,Large: Big 5 JV,Other Than Small,Large,729222698.1886652
2003,Defense,Aircraft,M,PDuns-2+,1,1,0,1,1,1,16,18,49,5454894,2003-01-01,Medium Vendor,Other Than Small,Medium,8312376.594238143
2015,Defense,Ships & Submarines,S,PDuns-1,1,0,0,0,1,1,821,821,3818,18332360.0191,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,21988704.623663105
2006,Defense,Land Vehicles,N,PDuns-1,1,0,0,0,1,0,34,34,59,210204,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,293893.5239969737
2013,Defense,Ships & Submarines,N,PDuns-1,1,0,1,1,1,1,295,295,5939,305628098.7667,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,377960782.2898974
2009,Defense,Missile Defense,N,PID,1,1,1,1,1,1,26,26,445,291462888.5304,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,384616174.94722927
2018,Defense,Missile Defense,B,PID,1,1,1,1,1,1,5,5,2215,11135285271.1472,2018-01-01,Big Five,Other Than Small,Large,12715510283.378595
2016,Defense,Aircraft,S,PDuns-1,1,0,1,1,1,1,791,791,9776,920879325.9247,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1095468860.5452702
2008,Defense,Land Vehicles,S,PDuns-1,1,0,1,1,1,1,466,466,4540,628538672.1381,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,837851963.0533458
2010,Defense,Land Vehicles,N,PDuns-2+,1,1,1,1,1,1,162,365,3678,263824254.6665,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,345142202.1307139
2007,Defense,Ships & Submarines,S,PID,1,0,0,0,0,0,1,1,1,69,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,93.89636913028349
2005,Defense,Ships & Submarines,L,PID,1,1,0,1,1,1,1,1,1,-15376,2005-01-01,Large Vendor,Other Than Small,Large,-22197.634761460235
2008,Defense,Unlabeled,S,PDuns-1,1,1,0,0,1,0,1,1,2,-8083,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-10774.766482263796
2020,Defense,Ships & Submarines,S,PID,1,0,0,0,1,1,1,1,1,3235,2020-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3575.4217151335765
2012,Defense,Missile Defense,N,PDuns-1,1,1,0,1,1,1,2,2,2,191260,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,240853.7179540451
2003,Defense,Other R&D and Knowledge Based,J,PID,1,0,1,1,1,1,3,3,24,15765251,2003-01-01,Large: Big 5 JV,Other Than Small,Large,24023693.845323022
2008,Defense,"Electronics, Comms, & Sensors",S,PID,1,0,0,0,0,0,1,1,5,1757,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2342.108710792712
2020,Defense,Ordnance and Missiles,M,PID,1,0,0,1,1,1,2,2,3,115720,2020-01-01,Medium Vendor,Other Than Small,Medium,127897.3109351646
2001,Defense,Unlabeled,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,1,1,1,56480,2001-01-01,Medium Vendor,Other Than Small,Medium,89095.9088559453
2002,Defense,Land Vehicles,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2002-01-01,Medium Vendor,Other Than Small,Medium,0
2016,Defense,Other Services,N,PDuns-2+,1,0,0,0,0,0,1,1,1,2750,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3271.3725693368724
2015,Defense,Facilities and Construction,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,136,136,0,0,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2005,Defense,Space Systems,S,PDuns-2+,1,0,0,1,1,1,1,1,4,795322,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1148170.3481890007
2015,Defense,Facilities and Construction,U,Duns,1,1,1,1,1,1,1,1,10571,33288591.2335,2015-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,39927919.76639502
2014,Defense,Ships & Submarines,S,PID,1,0,1,1,1,1,8,8,45,3401202.78,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4126333.970848903
2014,Defense,Other Products,M,PDuns-2+,1,1,0,0,0,0,4,4,7,10120.4602,2014-01-01,Medium Vendor,Other Than Small,Medium,12278.126717244506
2011,Defense,Facilities and Construction,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,4,4,3,37278.2891,2011-01-01,Medium Vendor,Other Than Small,Medium,47805.04016512342
2001,Defense,Aircraft,S,PDuns-1,1,1,0,1,1,1,2,2,5,284795,2001-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,449257.60202954925
2015,Defense,Space Systems,S,PDuns-1,1,1,1,1,1,1,5,5,4,149959.99,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,179869.14516417813
2007,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,16,16,0,0,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2003,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,1,0,0,0,0,1,1,1,0,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2007,Defense,Facilities and Construction,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,37,37,0,0,2007-01-01,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Ships & Submarines,S,PDuns-2+,1,1,1,1,1,1,4,4,12,882445.7071,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1131633.2774364431
2013,Defense,Space Systems,S,PDuns-1,1,1,1,1,1,1,6,6,20,3782800.87,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4678072.408399525
2011,Defense,Ordnance and Missiles,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,14,171,44532238.2266,2011-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,57107380.42067111
2019,Defense,Land Vehicles,N,PDuns-1,1,0,0,0,1,1,71,71,809,2492100.553,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2791090.5611360273
2006,Defense,Other Services,S,PDuns-1,1,1,0,0,0,0,3,3,26,12698,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,17753.51547883757
2009,Defense,Missile Defense,M,PDuns-2+,1,1,1,1,1,1,2,2,8,4688699.4883,2009-01-01,Medium Vendor,Other Than Small,Medium,6187235.952267334
2011,Defense,Facilities and Construction,M,PDuns-2+,1,0,0,0,0,0,17,17,27,-2139.8501,2011-01-01,Medium Vendor,Other Than Small,Medium,-2744.1071585509903
2003,Defense,Other Services,S,PDuns-1,1,0,1,1,1,1,421,421,1985,375922708.0427,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,572845433.7658547
2005,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,0,0,1,1,45,51,104,1226882,2005-01-01,Medium Vendor,Other Than Small,Medium,1771193.9731666138
2020,Defense,"Electronics, Comms, & Sensors",M,PDuns-1,1,0,1,1,1,1,89,89,330,194041112.039,2020-01-01,Medium Vendor,Other Than Small,Medium,214460218.11836413
2018,Defense,Aircraft,M,PDuns-2+,1,0,0,1,1,1,22,21,236,14963519.1696,2018-01-01,Medium Vendor,Other Than Small,Medium,17087014.588623945
2009,Defense,Ordnance and Missiles,S,PDuns-2+,1,0,0,1,1,1,29,30,69,4043347.2409,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,5335625.257883177
2016,Defense,Ships & Submarines,S,PDuns-1,1,1,0,1,1,1,34,34,409,5005082.6817,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,5953996.433518695
2007,Defense,"Electronics, Comms, & Sensors",N,PDuns-2+,1,1,0,1,1,1,110,184,1267,22336268.9632,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,30395573.269013356
2005,Defense,Other Services,M,PDuns-1,1,1,0,0,1,1,326,326,1050,8334732.1276,2005-01-01,Medium Vendor,Other Than Small,Medium,12032475.26034555
2012,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,0,0,1,1,1,995,995,11773,216833144.4503,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,273057978.7541633
2016,Defense,"Electronics, Comms, & Sensors",J,PID,1,0,1,1,1,1,3,3,124,110906165.9789,2016-01-01,Large: Big 5 JV,Other Than Small,Large,131932868.78316209
2001,Defense,Other Services,S,PDuns-1,1,0,0,1,1,1,1032,1032,1700,121697509,2001-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,191975038.41819376
2005,Defense,Other Services,M,PDuns-1,1,1,1,1,1,1,146,146,1136,349311941.8402,2005-01-01,Medium Vendor,Other Than Small,Medium,504285828.74513525
2005,Defense,Facilities and Construction,S,PDuns-1,1,0,0,0,0,0,1015,1015,1640,92302.02,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,133252.24555833754
2017,Defense,Other Services,N,PID,1,0,1,1,1,1,56,56,1223,503178003.7044,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,588076158.1262023
2018,Defense,Aircraft,N,PDuns-1,1,0,0,1,1,1,596,596,42920,392392833.9316,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,448077888.75509375
2016,Defense,Facilities and Construction,M,PDuns-1,1,1,0,1,1,1,801,801,4641,149941669.5117,2016-01-01,Medium Vendor,Other Than Small,Medium,178369114.41496372
2000,Defense,Aircraft,L,PID,1,1,1,1,1,1,48,48,10053,8465463823.53,2000-01-01,Large Vendor,Other Than Small,Large,13677904284.911243
2004,Defense,Land Vehicles,M,PDuns-2+,1,1,0,0,1,0,2,2,203,165850,2004-01-01,Medium Vendor,Other Than Small,Medium,246698.44666252405
2015,Defense,Aircraft,N,Duns,1,0,0,0,0,0,1,1,2,1671.94,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2005.4043652963435
2011,Defense,"Electronics, Comms, & Sensors",M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,3,3,0,0,2011-01-01,Medium Vendor,Other Than Small,Medium,0
2007,Defense,Other R&D and Knowledge Based,S,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2004,Defense,Space Systems,M,PDuns-1,1,1,0,1,1,1,1,1,1,44489,2004-01-01,Medium Vendor,Other Than Small,Medium,66176.4678538983
2016,Defense,Missile Defense,M,PDuns-1,1,1,1,1,1,1,3,3,14,2814564.4688,2016-01-01,Medium Vendor,Other Than Small,Medium,3348177.8174045547
2012,Defense,Land Vehicles,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,3,3,0,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2017,Defense,Other Products,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,2,2,0,0,2017-01-01,Medium Vendor,Other Than Small,Medium,0
2000,Defense,Other Products,S,PDuns-2+,1,0,0,0,1,1,13,13,16,391999,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,633364.5637794653
2006,Defense,"Electronics, Comms, & Sensors",U,Name,1,1,0,0,0,0,1,1,2,2267,2006-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,3169.5715538293252
2005,Defense,Missile Defense,M,PDuns-1,1,0,0,1,1,1,2,2,2,204248,2005-01-01,Medium Vendor,Other Than Small,Medium,294863.58641771134
2004,Defense,Ordnance and Missiles,S,PDuns-1,1,1,1,1,1,1,3,3,11,2694507,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4008023.463498931
2003,Defense,"Electronics, Comms, & Sensors",L,PID,1,1,0,1,1,1,1,1,944,58593895,2003-01-01,Large Vendor,Other Than Small,Large,89287623.4374577
2018,Defense,Ships & Submarines,L,PID,1,0,0,1,1,1,1,1,92,1050547.3101,2018-01-01,Large Vendor,Other Than Small,Large,1199632.0524778124
2014,Defense,Other Services,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,43,43,0,0,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2017,Defense,Other Products,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,41,41,0,0,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,4,4,0,0,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2000,Defense,Aircraft,M,PDuns-2+,1,0,1,1,1,1,24,29,148,104436294,2000-01-01,Medium Vendor,Other Than Small,Medium,168740858.5023278
2011,Defense,Other Products,M,PDuns-2+,1,0,0,1,1,1,61,65,505,11503742.8934,2011-01-01,Medium Vendor,Other Than Small,Medium,14752203.074369099
2007,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,0,0,1,0,908,908,1445,4887884.4692,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,6651516.005596855
2014,Defense,Land Vehicles,M,PID,1,1,1,1,1,1,13,13,249,58972473.25,2014-01-01,Medium Vendor,Other Than Small,Medium,71545313.66002624
2006,Defense,Land Vehicles,M,PDuns-1,1,1,1,1,1,1,58,58,403,329273589.5537,2006-01-01,Medium Vendor,Other Than Small,Medium,460368858.7898898
2018,Defense,Land Vehicles,M,PID,1,0,1,1,1,1,11,11,138,165416276.2517,2018-01-01,Medium Vendor,Other Than Small,Medium,188890747.7895257
2016,Defense,Other Services,S,PDuns-1,1,0,1,1,1,1,989,989,36060,1241222951.0508,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1476546441.635982
2005,Defense,Other Products,M,PDuns-1,1,1,1,1,1,1,89,89,5581,668392263.625,2005-01-01,Medium Vendor,Other Than Small,Medium,964927636.9233476
2007,Defense,Facilities and Construction,S,PDuns-1,1,0,0,0,1,0,3567,3567,5371,19047684.8914,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,25920412.342611857
2001,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,0,0,1,1,1,331,331,700,68041949,2001-01-01,Medium Vendor,Other Than Small,Medium,107334619.09498723
2007,Defense,Ordnance and Missiles,N,PDuns-1,1,0,0,1,1,1,232,232,1077,26953527.8173,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,36678817.35212413
2015,Defense,Land Vehicles,M,PDuns-2+,1,0,0,1,1,1,17,23,89,3049143.457,2015-01-01,Medium Vendor,Other Than Small,Medium,3657287.70116307
2018,Defense,Facilities and Construction,N,PDuns-1,1,0,0,1,1,1,1225,1225,24888,244561060.3773,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,279267086.78036016
2004,Defense,Ships & Submarines,L,PID,1,1,1,1,1,1,59,59,2946,2091420356.4331,2004-01-01,Large Vendor,Other Than Small,Large,3110944547.786724
2010,Defense,Facilities and Construction,M,PID,1,1,1,1,1,1,57,57,4001,1602064729.4853,2010-01-01,Medium Vendor,Other Than Small,Medium,2095865482.078113
2011,Defense,Other Products,M,PID,1,1,1,1,1,1,28,28,43574,4249952189.4848,2011-01-01,Medium Vendor,Other Than Small,Medium,5450065977.36201
2011,Defense,Facilities and Construction,N,PDuns-1,1,0,0,1,1,1,1330,1330,8219,175719812.8851,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,225340081.73621297
2007,Defense,Other R&D and Knowledge Based,N,PDuns-2+,1,1,1,1,1,1,224,451,4208,748117124.8552,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1018050459.5375398
2016,Defense,Facilities and Construction,M,PID,1,0,0,0,1,1,2,2,2,22629,2016-01-01,Medium Vendor,Other Than Small,Medium,26919.232680554214
2010,Defense,Other Services,S,PDuns-2+,Unlabeled,Unlabeled,0,0,1,1,1,1,0,0,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2013,Defense,Aircraft,S,PDuns-1,1,1,0,0,1,0,1,1,1,-1791.05,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-2214.935936361876
