Fiscal_Year,Customer,SubCustomer,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,SubCustomer.sum,SubCustomer.platform,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2011,Defense,DLA,M,PDuns-1,1,0,0,0,0,20,20,33,14438.8099,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,18516.08278895186
2011,Defense,DLA,M,PDuns-1,1,0,0,1,1,100,100,497,17865686.4829,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,22910650.690042987
2011,Defense,DLA,M,PDuns-1,1,1,0,0,0,5,5,8,4673.4609,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,5993.166302115346
2011,Defense,DLA,M,PDuns-2,Unlabeled,Unlabeled,1,1,1,5,5,0,0,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,0
2011,Defense,DLA,M,PDuns-2,1,0,0,0,0,2,2,4,2739.5,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,3513.0879311828608
2011,Defense,DLA,M,PDuns-2,1,0,0,1,1,36,34,658,16999568.2845,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,21799955.530423757
2011,Defense,DLA,M,PDuns-2,1,0,1,1,1,42,42,1014,131689330.8924,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,168876144.92558378
2011,Defense,DLA,M,PDuns-2,1,1,1,1,1,31,30,250,65917918.2829,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,84532010.64732763
2011,Defense,DLA,M,PDuns-3+,1,0,1,1,1,44,61,948,86185662.529,2011-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,110523019.1172217
2011,Defense,DLA,N,Duns,1,0,1,1,1,8,8,656,55085056.199,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,70640133.64527707
2011,Defense,DLA,N,Duns,1,1,1,1,1,12,12,115,50418947.712,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,64656395.951803945
2011,Defense,DLA,N,PDuns-1,1,0,0,0,1,172,172,1166,7448887.4997,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,9552325.890102189
2011,Defense,DLA,N,PDuns-1,1,1,0,0,1,31,31,201,1306255.0584,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1675119.1387886852
2011,Defense,DLA,N,PDuns-2,1,0,0,0,0,2,3,5,6355.6,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,8150.312705028579
2011,Defense,DLA,N,PDuns-2,1,0,0,1,1,95,101,1929,44552394.4022,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,57133228.35541802
2011,Defense,DLA,N,PDuns-3+,Unlabeled,Unlabeled,1,1,1,1,3,0,0,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2011,Defense,DLA,N,PDuns-3+,1,0,0,0,1,24,29,106,526549.1396,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,675237.6081414417
2011,Defense,DLA,N,PDuns-3+,1,1,1,1,1,217,605,19909,849177472.4618,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1088970662.5069962
2011,Defense,DLA,N,PID,1,0,0,1,1,20,20,1407,28636459.4067,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,36722905.61543555
2011,Defense,DLA,N,PID,1,0,1,1,1,106,106,7103,1427548720.9381,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1830664056.4713156
2011,Defense,DLA,N,PID,1,1,1,1,1,129,129,24128,1564681282.7431,2011-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2006520507.5935397
2011,Defense,DLA,S,Duns,1,0,0,0,1,2,2,2,13320,2011-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,17081.34011438427
2011,Defense,DLA,S,PDuns-1,1,1,0,0,1,22,22,158,775337.1595,2011-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,994279.1084639718
2011,Defense,DLA,S,PDuns-2,Unlabeled,Unlabeled,0,1,1,4,4,0,0,2011-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,DLA,S,PDuns-2,Unlabeled,Unlabeled,1,1,1,1,1,0,0,2011-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,DLA,S,PDuns-2,1,0,1,1,1,80,92,2653,241942817.1231,2011-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,310263329.3927887
2011,Defense,DLA,S,PDuns-2,1,1,1,1,1,5,6,38,938070.7038,2011-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,1202965.8215426146
2011,Defense,DLA,S,PDuns-3+,1,1,1,1,1,1,2,18,979980.1863,2011-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,1256709.824890988
2011,Defense,MDA,NA,PID,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,4,4,114,58839981.0822,2011-01-01,Other DoD,MDA,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,75455385.07424884
2011,Defense,MDA,L,PID,1,0,1,1,1,2,2,15,1999818,2011-01-01,Other DoD,MDA,Large Vendor,Other Than Small,Large,2564532.3892543335
2011,Defense,MDA,L,PID,1,1,1,1,1,14,14,576,181441027.1751,2011-01-01,Other DoD,MDA,Large Vendor,Other Than Small,Large,232676869.0601443
2011,Defense,MDA,M,PDuns-2,1,0,1,1,1,2,2,10,551350,2011-01-01,Other DoD,MDA,Medium Vendor,Other Than Small,Medium,707041.8072121447
2011,Defense,MDA,M,PID,1,0,1,1,1,6,6,61,52372917.4883,2011-01-01,Other DoD,MDA,Medium Vendor,Other Than Small,Medium,67162133.3633811
2011,Defense,MDA,M,PID,1,1,1,1,1,3,3,85,20694190.6719,2011-01-01,Other DoD,MDA,Medium Vendor,Other Than Small,Medium,26537876.070468638
2011,Defense,MDA,N,PDuns-1,1,0,1,1,1,41,41,261,68438744.388,2011-01-01,Other DoD,MDA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,87764674.91687955
2011,Defense,MDA,N,PDuns-1,1,1,1,1,1,14,14,26,2927047.3692,2011-01-01,Other DoD,MDA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3753595.468785203
2011,Defense,MDA,N,PDuns-2,1,1,1,1,1,7,7,9,166528.3398,2011-01-01,Other DoD,MDA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,213553.09390447105
2011,Defense,MDA,S,PDuns-1,1,0,0,0,1,5,5,7,32705.4805,2011-01-01,Other DoD,MDA,Always Small Vendor,Always Small Vendor,Always Small Vendor,41940.94865051521
2011,Defense,MDA,S,PID,1,0,0,1,1,2,2,2,199954,2011-01-01,Other DoD,MDA,Always Small Vendor,Always Small Vendor,Always Small Vendor,256417.5886810505
2011,Defense,MilitaryHealth,M,PID,1,0,0,0,1,2,2,3,5530,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,7091.577389830707
2011,Defense,MilitaryHealth,N,PDuns-1,1,1,1,1,1,20,20,42,3621880.8396,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,4644638.023647091
2011,Defense,MilitaryHealth,N,PDuns-2,1,0,1,1,1,4,4,9,263101.0101,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,337396.2340807921
2011,Defense,MilitaryHealth,S,PDuns-1,1,0,0,0,1,7,7,11,19165.26,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,24577.201534579897
2011,Defense,MilitaryHealth,S,PDuns-1,1,1,1,1,1,1,1,3,17878,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,22926.441333705854
2011,Defense,Navy,B,PID,1,1,1,1,1,5,5,24236,45467821287.2488,2011-01-01,Navy,Navy,Big Five,Other Than Small,Large,58307156131.19655
2011,Defense,Navy,M,Duns,Unlabeled,Unlabeled,1,1,1,3,3,0,0,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Navy,M,Duns,1,0,0,0,1,2,2,3,2050,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,2628.8849275140956
2011,Defense,Navy,M,Duns,1,1,0,0,1,1,1,1,-9291.1699,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,-11914.837321503732
2011,Defense,Navy,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,38,38,0,0,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Navy,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,18,18,0,0,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Navy,M,PDuns-1,1,0,0,0,1,658,658,1152,8134908.4423,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,10432067.410082752
2011,Defense,Navy,M,PDuns-1,1,0,1,1,1,421,421,5071,1771924971.0774,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,2272286267.8786473
2011,Defense,Navy,M,PDuns-1,1,1,0,0,1,544,544,2017,12148149.8717,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,15578579.558485085
2011,Defense,Navy,M,PDuns-1,1,1,1,1,1,329,329,7732,626820005.2722,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,803823250.7923865
2011,Defense,Navy,M,PDuns-2,Unlabeled,Unlabeled,0,0,0,2,2,0,0,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Navy,M,PDuns-2,Unlabeled,Unlabeled,0,1,1,2,3,0,0,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Navy,M,PDuns-2,Unlabeled,Unlabeled,1,1,1,7,7,0,0,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Navy,M,PDuns-2,1,0,0,1,1,94,99,356,10228892.8414,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,13117357.178494288
2011,Defense,Navy,M,PDuns-2,1,1,0,0,0,17,17,46,36693.3198,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,47054.88554276806
2011,Defense,Navy,M,PDuns-2,1,1,0,1,1,96,100,1000,15728916.7968,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,20170493.801576003
2011,Defense,Navy,M,PDuns-3+,1,0,0,0,1,20,22,45,258081.1504,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,330958.85188393097
2011,Defense,Navy,M,PDuns-3+,1,1,0,0,1,10,12,24,144379.5097,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,185149.81311814886
2011,Defense,Navy,M,PID,1,0,0,0,1,6,6,16,184975.5698,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,237209.50605148854
2011,Defense,Navy,M,PID,1,1,0,0,1,5,5,18,185708.692,2011-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,238149.64941812563
2011,Defense,Navy,N,Duns,1,0,0,1,1,2,2,2,-673.9399,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-864.2489976391985
2011,Defense,Navy,N,Duns,1,0,1,1,1,61,61,223,27518740.5359,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,35289562.05804814
2011,Defense,Navy,N,Duns,1,1,1,1,1,29,28,2823,102721922.5925,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,131728836.11155751
2011,Defense,Navy,N,PDuns-1,1,0,0,0,1,634,634,2067,11629114.3034,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,14912977.225632606
2011,Defense,Navy,N,PDuns-1,1,1,0,0,1,124,124,383,2149511.8548,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2756497.227608091
2011,Defense,Navy,N,PDuns-2,1,1,1,1,1,119,137,2340,222553508.8941,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,285398812.242475
2011,Defense,Navy,N,PDuns-3+,1,0,0,0,1,49,74,209,821484.549,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1053457.7312447876
2011,Defense,Navy,N,PDuns-3+,1,1,0,0,1,9,16,36,147552.9908,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,189219.4309871932
2011,Defense,Navy,N,PID,1,0,0,1,1,46,46,329,8572988.2181,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,10993853.419667812
2011,Defense,Navy,N,PID,1,1,0,1,1,8,8,56,1110501.7017,2011-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1424088.3832087242
2011,Defense,Navy,S,Duns,Unlabeled,Unlabeled,1,1,1,5,5,0,0,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,Navy,S,Duns,1,0,1,1,1,229,229,320,87023241.6361,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,111597116.23441969
2011,Defense,Navy,S,Duns,1,1,1,1,1,13,13,38,7188322.6814,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,9218182.024995204
2011,Defense,Navy,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,10,10,0,0,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,Navy,S,PDuns-1,1,0,0,0,0,793,793,1365,865588.8668,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,1110016.353831476
2011,Defense,Navy,S,PDuns-1,1,0,0,1,1,4390,4390,17469,492678504.6244,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,631802485.325497
2011,Defense,Navy,S,PDuns-1,1,1,0,0,1,80,80,443,1329702.5205,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,1705187.7630341235
2011,Defense,Navy,S,PDuns-2,Unlabeled,Unlabeled,0,0,0,1,1,0,0,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,Navy,S,PDuns-2,Unlabeled,Unlabeled,0,1,1,2,2,0,0,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,Navy,S,PDuns-3+,1,0,0,1,1,39,59,270,5059453.5031,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,6488156.612564869
2011,Defense,Navy,S,PDuns-3+,1,1,0,0,1,1,2,5,47053,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,60339.96219235158
2011,Defense,Navy,S,PID,1,0,0,0,0,4,4,17,8447.5399,2011-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,10832.980642772649
2011,Defense,Other DoD,NA,PID,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,19,19,531,229099157.4896,2011-01-01,Other DoD,Other DoD,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,293792840.0149207
2011,Defense,Other DoD,B,PID,1,1,1,1,1,5,5,9366,3081680264.5366,2011-01-01,Other DoD,Other DoD,Big Five,Other Than Small,Large,3951894048.2233753
2011,Defense,Other DoD,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,1,0,0,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Other DoD,M,PDuns-1,1,0,0,1,1,113,113,243,7023470.114,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,9006777.91294649
2011,Defense,Other DoD,M,PDuns-1,1,1,0,0,1,55,55,707,378933.7597,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,485938.17043979425
2011,Defense,Other DoD,M,PDuns-2,1,0,0,0,1,12,12,34,-26138.1901,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,-33519.16779823812
2011,Defense,Other DoD,M,PDuns-2,1,1,0,0,1,8,8,23,94012.2298,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,120559.67508449341
2011,Defense,Other DoD,M,PDuns-2,1,1,1,1,1,25,27,210,22289675.7632,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,28583898.85514767
2011,Defense,Other DoD,M,PDuns-3+,1,1,0,1,1,3,3,7,168999.3781,2011-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,216721.9111445589
2011,Defense,Other DoD,N,Duns,1,0,1,1,1,8,8,30,14110888.9062,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,18095562.5167488
2011,Defense,Other DoD,N,Duns,1,1,1,1,1,11,10,54,17591913.656800002,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,22559569.10170288
2011,Defense,Other DoD,N,PDuns-1,1,0,0,0,1,83,83,148,862021.8744,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1105442.1038037117
2011,Defense,Other DoD,N,PDuns-2,1,0,1,1,1,88,93,701,79654081.4613,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,102147031.30175196
2011,Defense,Other DoD,N,PDuns-2,1,1,1,1,1,58,61,257,15108571.5388,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,19374973.65591208
2011,Defense,Other DoD,N,PDuns-3+,1,0,0,1,1,43,53,262,2194717.3069,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2814467.9259823114
2011,Defense,Other DoD,N,PDuns-3+,1,0,1,1,1,178,266,2550,248050328.7437,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,318095497.8045021
2011,Defense,Other DoD,N,PID,1,0,0,1,1,9,9,28,361834.5742,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,464010.46749651735
2011,Defense,Other DoD,N,PID,1,0,1,1,1,170,170,5019,1150860474.7736,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1475843783.3190408
2011,Defense,Other DoD,N,PID,1,1,0,1,1,2,2,5,102510.33,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,131457.4933909737
2011,Defense,Other DoD,N,PID,1,1,1,1,1,171,171,917599,1949761350.8755,2011-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2500340598.812743
2011,Defense,Other DoD,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,3,3,0,0,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,Other DoD,S,PDuns-1,1,0,1,1,1,946,946,28641,911273507.2979,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,1168601555.2089539
2011,Defense,Other DoD,S,PDuns-1,1,1,1,1,1,81,81,912,100431359.3325,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,128791456.9751031
2011,Defense,Other DoD,S,PDuns-2,Unlabeled,Unlabeled,0,1,1,1,1,0,0,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,Other DoD,S,PDuns-2,1,0,1,1,1,48,48,374,81301062.4289,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,104259091.51717938
2011,Defense,Other DoD,S,PDuns-2,1,1,0,1,1,5,5,29,347134.0877,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,445158.8151126274
2011,Defense,Other DoD,S,PDuns-3+,1,0,0,1,1,1,1,3,69275.7031,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,88837.97645001537
2011,Defense,Other DoD,S,PID,1,0,0,1,1,6,6,6,-24847.75,2011-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,-31864.329491530912
2012,Defense,Air Force,NA,PID,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,22,22,839,261622199.8491,2012-01-01,Air Force,Air Force,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,329460836.20711046
2012,Defense,Air Force,L,PID,1,1,0,1,1,1,1,10,-123613.3705,2012-01-01,Air Force,Air Force,Large Vendor,Other Than Small,Large,-155666.31744094886
2012,Defense,Air Force,M,Duns,1,0,0,1,1,5,5,9,85138.8496,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,107215.3532808233
2012,Defense,Air Force,M,Duns,1,0,1,1,1,15,15,156,63043121.3391,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,79390202.68718098
2012,Defense,Air Force,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,5,5,0,0,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,0
2012,Defense,Air Force,M,PDuns-1,1,0,0,0,1,314,314,491,3858730.8972,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,4859299.817916805
2012,Defense,Air Force,M,PDuns-1,1,1,1,1,1,218,218,5381,404318309.019,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,509158046.4504793
2012,Defense,Air Force,M,PDuns-2,Unlabeled,Unlabeled,0,0,0,1,1,0,0,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,0
2012,Defense,Air Force,M,PDuns-2,Unlabeled,Unlabeled,0,1,1,1,1,0,0,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,0
2012,Defense,Air Force,M,PDuns-3+,1,0,0,0,1,10,10,18,128578.7701,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,161919.2451560358
2012,Defense,Air Force,M,PDuns-3+,1,1,0,1,1,23,32,103,2613480.1488,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,3291155.5507558873
2012,Defense,Air Force,M,PID,1,0,0,0,0,2,2,4,22860.0022,2012-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,28787.600764967323
2012,Defense,Air Force,N,PDuns-1,1,0,0,1,1,697,697,2237,67243960.2494,2012-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,84680319.12591241
2012,Defense,Air Force,N,PDuns-1,1,1,0,0,0,1,1,1,-10810,2012-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-13613.032997402632
2012,Defense,Air Force,N,PDuns-1,1,1,0,1,1,271,271,1595,49304355.3937,2012-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,62088974.73543984
2012,Defense,Air Force,N,PDuns-2,1,0,0,0,0,1,1,2,2710.95,2012-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3413.8993343486277
2012,Defense,Air Force,N,PDuns-2,1,0,0,1,1,108,119,414,7017174.9929,2012-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,8836728.466872921
2012,Defense,Air Force,N,PDuns-3+,1,1,1,1,1,274,714,5696,873701353.7839,2012-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1100252114.6101372
2012,Defense,Air Force,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,123,123,0,0,2012-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2012,Defense,Air Force,S,PDuns-1,1,0,0,0,1,2148,2148,3332,26861681.4926,2012-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,33826915.497177005
2012,Defense,Air Force,S,PDuns-2,1,0,0,0,1,68,71,121,721817.3599,2012-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,908984.6011486357
2012,Defense,Air Force,S,PDuns-2,1,0,1,1,1,115,135,927,188881169.8546,2012-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,237858057.15251446
2012,Defense,Air Force,S,PDuns-2,1,1,0,0,1,1,1,1,10020,2012-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,12618.185997592449
2012,Defense,Air Force,S,PDuns-2,1,1,1,1,1,5,5,19,1526829.2149,2012-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,1922736.029956712
2012,Defense,Air Force,S,PDuns-3+,1,0,0,0,1,7,7,14,86431.0108,2012-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,108842.57187967283
2012,Defense,Army,J,PID,1,1,1,1,1,1,1,87,243957977.7999,2012-01-01,Army,Army,Large: Big 5 JV,Other Than Small,Large,307216281.38479716
2012,Defense,Army,L,Duns,1,1,1,1,1,1,1,5997,260850212.2691,2012-01-01,Army,Army,Large Vendor,Other Than Small,Large,328488672.24780196
2012,Defense,Army,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,32,32,0,0,2012-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,0
2012,Defense,Army,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,60,60,12,325887.7813,2012-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,410390.4829127874
2012,Defense,Army,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,83,83,6,1259418.3984,2012-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,1585985.588802514
2012,Defense,Army,M,PDuns-1,1,0,0,0,1,1161,1161,1875,13895346.5982,2012-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,17498409.967774563
2012,Defense,Army,M,PDuns-1,1,1,0,0,1,599,599,1283,5555610.5041,2012-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,6996180.306478258
