Fiscal_Year,Customer,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2002,Energy,M,PDuns-2+,1,0,0,0,1,1,2,2,3,61470,2002-01-01,Medium Vendor,Other Than Small,Medium,95460.81021051186
2010,VA,M,PDuns-2+,1,0,0,1,1,1,255,331,2410,39448300.4102,2010-01-01,Medium Vendor,Other Than Small,Medium,51607359.94915034
2016,VA,N,PDuns-1,1,0,0,1,1,1,706,706,10195,146112275.0099,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,173813704.91301537
2007,GSA,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,58,58,1,6100,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,8300.983357894627
2019,NASA,N,PDuns-2+,1,0,0,0,1,1,9,10,21,173090.479,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,193857.026185337
2012,Other Agencies,M,Duns,1,0,0,0,1,0,1,1,1,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2019,Other Agencies,M,Duns,1,0,0,0,0,0,2,2,2,3400,2019-01-01,Medium Vendor,Other Than Small,Medium,3807.915333287314
2012,VA,N,PDuns-1,1,1,0,0,1,0,6,6,9,27587.2598,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,34740.636259511484
2000,Defense,M,PDuns-2+,Unlabeled,Unlabeled,0,0,1,1,1,1,1,20000,2000-01-01,Medium Vendor,Other Than Small,Medium,32314.600995383422
2004,NASA,S,PDuns-1,1,0,0,1,1,1,831,831,2184,99781986.9973,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,148423643.03366947
2005,VA,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,9,100,8725605.5073,2005-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,12596761.454450531
2003,Other Agencies,M,PDuns-1,1,0,0,1,1,1,1493,1493,4300,273208180.5836,2003-01-01,Medium Vendor,Other Than Small,Medium,416325099.1930374
2010,NASA,M,PDuns-2+,1,0,1,1,1,1,50,59,431,106310604.0627,2010-01-01,Medium Vendor,Other Than Small,Medium,139078478.7487768
2018,State and IAP,M,PDuns-1,1,0,0,0,1,1,562,562,1613,12939637.1423,2018-01-01,Medium Vendor,Other Than Small,Medium,14775920.431282524
2008,GSA,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,453,453,0,2586191.3848,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3447433.9044491444
2012,Defense,N,PDuns-1,1,0,0,0,0,0,51,51,214,214915.9495,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,270643.65515371115
2009,Other Agencies,S,PID,1,0,0,0,1,1,22,22,62,253662.9673,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,334735.1722911171
2016,VA,M,PID,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2016-01-01,Medium Vendor,Other Than Small,Medium,0
2014,DHS,M,PID,1,0,0,0,1,1,3,3,19,101916.37,2014-01-01,Medium Vendor,Other Than Small,Medium,123644.78301308634
2009,Defense,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,0,6,6,1,3691,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4870.665726563521
2014,DHS,M,PDuns-2+,1,1,0,0,1,0,1,1,1,6000,2014-01-01,Medium Vendor,Other Than Small,Medium,7279.190752952819
2011,HHS,N,PDuns-1,Unlabeled,Unlabeled,0,0,1,0,1,1,0,0,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2009,DHS,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,6,6,0,-3684.3301,2009-01-01,Medium Vendor,Other Than Small,Medium,-4861.8640865392445
2006,DHS,S,PDuns-1,1,0,0,0,1,1,1690,1690,3113,27160386.1867,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,37973880.65654312
2007,State and IAP,M,PDuns-2+,1,1,0,0,0,0,1,1,1,404.71,2007-01-01,Medium Vendor,Other Than Small,Medium,550.7362253727106
2001,Defense,M,PDuns-1,1,1,0,1,1,1,2170,2170,6200,523479886.0984,2001-01-01,Medium Vendor,Other Than Small,Medium,825777553.4657166
2004,GSA,M,PDuns-2+,1,1,0,0,1,0,1,1,0,0,2004-01-01,Medium Vendor,Other Than Small,Medium,0
2009,VA,N,PID,1,0,1,1,1,1,160,160,2936,388923638.7747,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,513225965.22088933
2008,State and IAP,S,PDuns-1,1,0,1,1,1,1,200,200,1006,182295842.56,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,243003233.23908526
2011,GSA,N,PDuns-2+,1,1,0,1,1,1,53,63,1642,2306969.3923,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2958418.079831133
2001,State and IAP,M,PID,1,1,1,1,1,1,9,9,85,13315000,2001-01-01,Medium Vendor,Other Than Small,Medium,21004108.116446737
2012,Other Agencies,S,PDuns-2+,1,1,0,0,1,1,6,7,8,95305.0706,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,120017.67538368063
2009,State and IAP,M,PDuns-1,1,0,0,0,0,0,40,40,68,48674.7099,2009-01-01,Medium Vendor,Other Than Small,Medium,64231.43897598269
2015,Defense,S,PID,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2003,Other Agencies,S,PDuns-1,1,1,0,0,1,0,1,1,2,6644,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,10124.381902218123
2006,VA,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,13,6236,19411425.3221,2006-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,27139788.93701385
2012,DHS,M,PID,1,1,1,1,1,1,23,23,512,200814298.1632,2012-01-01,Medium Vendor,Other Than Small,Medium,252885445.6286672
2018,DHS,N,PDuns-2+,1,0,0,1,1,1,264,357,1464,31229166.3498,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,35660944.1242732
2008,State and IAP,S,PID,Unlabeled,Unlabeled,0,1,1,1,6,6,0,0,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2006,Other Agencies,S,PID,Unlabeled,Unlabeled,0,0,1,0,1,1,3,3766.6299,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,5266.256279154387
2012,State and IAP,N,PDuns-2+,1,0,0,1,1,1,48,55,188,2541932.8368,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3201056.020771479
2006,Energy,S,PDuns-2+,1,0,0,0,1,0,7,7,8,37946.4999,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,53054.321416156745
2015,Defense,U,Name,1,1,0,0,1,0,2,1,3,17433,2015-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,20909.969436828567
2015,Other Agencies,N,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,3,3,0,62292.3008,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,74716.34864210013
2008,HHS,L,PID,1,1,1,1,1,1,78,78,6296,3501729995.7734,2008-01-01,Large Vendor,Other Than Small,Large,4667861312.433128
2006,Other Agencies,S,PDuns-2+,1,0,0,0,0,0,92,99,236,159466.1895,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,222955.22630646522
2015,HHS,N,PDuns-1,1,0,0,0,1,0,59,59,128,586815.7503,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,703854.7240189654
2014,Energy,N,PDuns-1,1,0,0,0,0,0,1,1,2,1767.57,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2144.4131998661355
2013,State and IAP,M,Duns,1,1,1,1,1,1,5,5,40,438340.0285,2013-01-01,Medium Vendor,Other Than Small,Medium,542081.5060833249
2018,HHS,M,PDuns-1,1,0,1,1,1,1,299,299,2996,888624730.1904,2018-01-01,Medium Vendor,Other Than Small,Medium,1014730796.7114578
2017,DHS,L,PID,1,1,1,1,1,1,90,90,20910,3756867777.028,2017-01-01,Large Vendor,Other Than Small,Large,4390741154.497396
2020,Other Agencies,M,Duns,1,1,0,0,1,0,32,32,45,210409.6487,2020-01-01,Medium Vendor,Other Than Small,Medium,232551.2293773129
2004,Defense,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,37,3242,566694301.9219,2004-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,842946059.7928016
2004,GSA,N,PDuns-1,1,1,0,0,1,1,15,15,484,166566.3408,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,247763.98879481823
2002,Other Agencies,N,PID,1,0,1,1,1,1,359,359,17217,2868144698.8144,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,4454130742.635549
2003,Defense,N,PDuns-2+,1,1,1,1,1,1,144,839,16225,2421862629.2497,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3690527118.186945
2017,NASA,N,PDuns-1,1,0,0,0,1,1,62,62,165,1467846.3903,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1715507.155662834
2005,GSA,N,PDuns-2+,1,1,0,0,1,1,4,4,13,31504.81,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,45482.067222242455
2006,NASA,S,PDuns-1,1,1,0,0,1,1,5,5,4,59089,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,82614.38621271327
2014,Other Agencies,M,PDuns-2+,1,0,1,1,1,1,479,1205,25268,2460536321.4362,2014-01-01,Medium Vendor,Other Than Small,Medium,2985118873.050489
2011,HHS,L,PID,1,0,0,0,1,1,1,1,3,13240.0097,2011-01-01,Large Vendor,Other Than Small,Large,16978.761922180696
2012,GSA,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,3,3,0,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2012,State and IAP,S,PDuns-2+,1,1,0,0,1,1,1,1,5,20908.5906,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,26330.188137556197
2000,Other Agencies,S,PDuns-1,1,0,0,0,0,0,592,592,1136,-9241252.752,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-14931369.768918449
2004,NASA,M,PID,1,0,0,0,1,1,1,1,1,8173,2004-01-01,Medium Vendor,Other Than Small,Medium,12157.168553348261
2013,State and IAP,M,PDuns-2+,1,1,0,0,1,1,13,13,37,329459.07,2013-01-01,Medium Vendor,Other Than Small,Medium,407431.8046416141
2012,Other Agencies,N,PID,1,1,0,0,1,0,1,1,3,4710.5,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5931.932648868187
2019,Other Agencies,S,PDuns-1,1,1,0,0,1,0,21,21,37,158488.9597,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,177503.68817599563
2019,HHS,M,PID,Unlabeled,Unlabeled,0,0,0,0,1,1,NA,0,2019-01-01,Medium Vendor,Other Than Small,Medium,0
2005,DHS,S,PID,Unlabeled,Unlabeled,0,0,0,0,1,1,2,0,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,GSA,M,PDuns-1,1,1,0,1,1,1,24,24,24,239222.7786,2011-01-01,Medium Vendor,Other Than Small,Medium,306775.1985266251
2013,State and IAP,M,PDuns-1,1,0,1,1,1,1,55,55,140,65133734.66,2013-01-01,Medium Vendor,Other Than Small,Medium,80548867.74120939
2007,Energy,M,PDuns-2+,1,0,0,1,1,1,9,9,13,622648.7201,2007-01-01,Medium Vendor,Other Than Small,Medium,847310.9284204083
2014,GSA,J,PID,1,0,1,1,1,1,1,1,1,0,2014-01-01,Large: Big 5 JV,Other Than Small,Large,0
2011,GSA,N,PDuns-1,1,1,1,1,1,1,622,622,88676,249456786.6343,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,319899115.34098095
2010,DHS,M,PDuns-1,1,1,0,0,0,0,3,3,5,2092.58,2010-01-01,Medium Vendor,Other Than Small,Medium,2737.571154129362
2014,Other Agencies,N,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,1,1,0,0,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2001,Defense,M,PDuns-2+,1,1,0,0,1,1,13,13,19,515772,2001-01-01,Medium Vendor,Other Than Small,Medium,813618.5393493028
2015,State and IAP,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,21,21,0,378731.9577,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,454269.1252370361
2008,VA,B,PID,1,1,1,1,1,1,5,5,404,94669293.6126,2008-01-01,Big Five,Other Than Small,Large,126195661.4767577
2008,Other Agencies,M,PDuns-2+,1,1,1,1,1,1,31,42,14847,85761381.7291,2008-01-01,Medium Vendor,Other Than Small,Medium,114321274.44356519
2016,VA,N,PDuns-2+,1,0,0,0,0,0,1,1,0,0,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2009,State and IAP,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,5,5,3,29681477.1094,2009-01-01,Medium Vendor,Other Than Small,Medium,39167855.12612687
2017,State and IAP,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,8,8,2,9721.54,2017-01-01,Medium Vendor,Other Than Small,Medium,11361.796128172464
2002,Other Agencies,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,17,235,52803298.3,2002-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,82001718.5213168
2011,Defense,N,PID,1,0,0,1,1,1,70,70,2180,42850276.7191,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,54950461.75934153
2012,NASA,M,PID,1,0,0,1,1,1,5,5,23,894106.3198,2012-01-01,Medium Vendor,Other Than Small,Medium,1125948.0883093092
2016,Energy,S,PDuns-2+,1,0,0,0,0,0,2,2,2,4291.75,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,5105.422990709644
2002,Other Agencies,S,PDuns-1,1,0,0,1,1,1,7829,7829,24748,1211007046.7992,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1880652576.1849828
2013,Defense,M,PDuns-2+,1,1,0,0,1,0,57,56,113,330481.51,2013-01-01,Medium Vendor,Other Than Small,Medium,408696.2244505384
2003,NASA,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,5,5,3,418552.0752,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,637805.6976656711
2006,Defense,U,Name,1,1,0,0,1,0,1,1,1,-3366,2006-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,-4706.121680718795
2008,DHS,S,PDuns-2+,1,0,0,0,1,0,31,31,57,175657.8195,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,234154.64380751504
2015,Other Agencies,N,PDuns-2+,1,1,0,0,1,1,26,39,197,1208112.0894,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1449067.1063854243
2011,GSA,M,PDuns-2+,1,0,0,1,1,1,175,194,1047,6984554.0132,2011-01-01,Medium Vendor,Other Than Small,Medium,8956872.571077839
2006,GSA,L,PID,1,0,0,0,1,0,1,1,39,69.17,2006-01-01,Large Vendor,Other Than Small,Large,96.7089829635529
2019,Other Agencies,S,PDuns-1,1,0,0,0,1,0,2825,2825,7034,18733125.9571,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,20980634.58013049
2014,VA,S,PDuns-1,1,0,0,1,1,1,3620,3620,21439,396159521.6192,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,480620121.0774488
2014,VA,M,Duns,1,0,0,0,1,0,2,2,2,4400,2014-01-01,Medium Vendor,Other Than Small,Medium,5338.073218832067
2010,Defense,N,PDuns-1,1,1,0,0,1,0,80,80,331,960160.5318,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1256108.619593606
2013,HHS,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,20,844,125158498.8481,2013-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,154779630.29494607
2002,Defense,J,PID,1,0,1,1,1,1,4,4,126,1512307033,2002-01-01,Large: Big 5 JV,Other Than Small,Large,2348561162.4733253
2006,HHS,N,Duns,1,0,1,1,1,1,1,1,9,168388.1035,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,235429.26460382366
2016,DHS,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,5,5,0,0,2016-01-01,Medium Vendor,Other Than Small,Medium,0
2001,HHS,S,PDuns-2+,1,1,1,1,1,1,1,1,1,53000,2001-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,83606.28840943876
2013,DHS,M,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,5,5,0,35000,2013-01-01,Medium Vendor,Other Than Small,Medium,43283.413513115585
2008,DHS,N,Duns,1,1,1,1,1,1,4,3,2676,10201496.0096,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,13598755.075242601
2002,State and IAP,N,PDuns-1,1,0,0,1,1,1,72,72,233,14029747,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,21787717.840710886
2012,Other Agencies,L,PID,1,0,0,0,1,1,1,1,2,1520,2012-01-01,Large Vendor,Other Than Small,Large,1914.1359996347828
2011,HHS,N,PDuns-2+,1,0,0,0,0,0,1,1,2,2010,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2577.589611855284
2011,Other Agencies,N,PDuns-2+,1,1,0,1,1,1,110,213,8572,17631634.6268,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,22610506.594063483
2013,State and IAP,M,PDuns-1,1,1,1,1,1,1,185,185,1182,545151484.3591,2013-01-01,Medium Vendor,Other Than Small,Medium,674171917.8515339
2001,Defense,S,PID,1,1,1,1,1,1,4,4,130,58713589,2001-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,92619344.44315568
2010,State and IAP,N,PDuns-2+,1,1,0,0,1,0,4,4,4,16960.8398,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,22188.64071447172
2008,Defense,M,PDuns-1,1,0,0,1,1,1,1574,1574,8408,242010211.5191,2008-01-01,Medium Vendor,Other Than Small,Medium,322603428.8558172
2009,Other Agencies,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,117,117,0,68505662.1871,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,90400482.49532552
2017,Defense,N,PDuns-2+,1,1,0,1,1,1,105,192,14784,56718753.6605,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,66288562.89586183
2002,Other Agencies,S,PID,1,1,1,1,1,1,6,6,139,22318229,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,34659447.2556327
2013,Other Agencies,N,PID,1,1,0,1,1,1,9,9,56,246007.64,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,304230.01170016214
2013,DHS,N,PID,1,0,0,0,0,0,1,1,1,0,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2005,VA,N,PDuns-1,1,1,0,1,1,1,46,46,265,3770040.0156,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5442636.010820671
2007,Defense,U,Name,1,1,0,1,1,1,2,1,2,101949,2007-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,138733.92661540973
2006,VA,S,PDuns-1,1,0,0,0,0,0,4693,4693,35258,11956561.4702,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,16716884.480616521
2003,NASA,U,Name,1,0,0,0,1,1,2,1,2,20400,2003-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,31086.302047749803
2016,HHS,L,Duns,1,1,1,1,1,1,1,1,2,15159,2016-01-01,Large Vendor,Other Than Small,Large,18032.995192210055
2011,Defense,M,PID,1,0,0,0,1,1,17,17,102,502517.7404,2011-01-01,Medium Vendor,Other Than Small,Medium,644420.1529492688
2013,DHS,M,PID,1,0,0,1,1,1,12,12,44,829317.25,2013-01-01,Medium Vendor,Other Than Small,Medium,1025590.899008853
2010,GSA,N,PDuns-1,1,0,1,1,1,1,1888,1888,75655,2401647900.6644,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3141902347.9313583
2020,Energy,N,PDuns-1,1,0,0,0,1,1,6,6,9,132241.8382,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,146157.75578035886
2011,State and IAP,S,PID,1,1,1,1,1,1,4,4,31,191256631.6299,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,245264232.2824194
2018,GSA,M,PID,1,0,0,1,1,1,7,7,30,247176.5488,2018-01-01,Medium Vendor,Other Than Small,Medium,282253.74308283255
2001,HHS,N,PDuns-2+,1,1,1,1,1,1,27,47,208,84223620.6498,2001-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,132860836.20630832
2015,Energy,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2015-01-01,Medium Vendor,Other Than Small,Medium,0
2006,NASA,M,PDuns-2+,1,0,0,0,0,0,3,3,4,11903.3,2006-01-01,Medium Vendor,Other Than Small,Medium,16642.41776651813
2016,Energy,S,PDuns-2+,1,1,1,1,1,1,1,1,20,291662.2742,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,346958.5321193779
2008,HHS,L,PID,1,0,1,1,1,1,35,35,1587,1611646981.8608,2008-01-01,Large Vendor,Other Than Small,Large,2148350845.1559267
2012,GSA,M,PID,1,0,0,0,1,1,1,1,1,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2017,NASA,M,PDuns-2+,1,0,0,1,1,1,31,33,88,5024905.0134,2017-01-01,Medium Vendor,Other Than Small,Medium,5872726.576826564
2000,Other Agencies,M,PDuns-1,1,1,0,1,1,1,134,134,274,21006034,2000-01-01,Medium Vendor,Other Than Small,Medium,33940080.3602729
2005,VA,N,PDuns-1,1,0,0,0,1,1,125,125,17795,3753441.6809,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5418673.74681709
2007,GSA,S,PID,1,0,0,1,1,1,20,20,136,6385558.6908,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,8689576.462818066
2017,NASA,M,PDuns-2+,1,0,0,0,0,0,2,2,2,2028.7,2017-01-01,Medium Vendor,Other Than Small,Medium,2370.9901728762597
2020,DHS,M,Duns,1,1,1,1,1,1,1,1,1,3000000,2020-01-01,Medium Vendor,Other Than Small,Medium,3315692.471530365
2013,GSA,S,Duns,1,0,0,1,1,1,1,1,1,43787,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,54150.02364282263
2012,State and IAP,S,PID,1,1,0,0,1,1,2,2,2,43123,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,54304.79388963864
2012,HHS,N,PDuns-1,1,0,0,1,1,1,484,484,2377,40719199.7522,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,51277688.238161676
2005,HHS,S,PDuns-2+,1,0,0,1,1,1,20,20,65,2708054.5449,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3909495.6882025637
2011,Other Agencies,L,PID,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2011-01-01,Large Vendor,Other Than Small,Large,0
2017,State and IAP,M,Duns,1,1,0,1,1,1,97,97,334,8334480.8775,2017-01-01,Medium Vendor,Other Than Small,Medium,9740706.983081583
2020,NASA,M,PDuns-2+,1,1,1,1,1,1,17,24,197,111419518.5712,2020-01-01,Medium Vendor,Other Than Small,Medium,123144286.3026885
2017,VA,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,74,74,0,0,2017-01-01,Medium Vendor,Other Than Small,Medium,0
2013,GSA,M,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,18,20,0,0,2013-01-01,Medium Vendor,Other Than Small,Medium,0
2003,Other Agencies,S,PDuns-1,1,0,0,0,1,0,1006,1006,1962,6292001.3297,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,9587992.834308706
2011,GSA,B,PID,1,1,1,1,1,1,5,5,1506,780250836.2382,2011-01-01,Big Five,Other Than Small,Large,1000580323.447255
2017,GSA,S,PDuns-1,1,0,1,1,1,1,4544,4544,14656,1913534108.4354,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2236393043.1132593
2006,NASA,M,PDuns-2+,1,1,0,0,0,0,1,1,1,2928,2006-01-01,Medium Vendor,Other Than Small,Medium,4093.7386456163495
2018,State and IAP,M,PDuns-1,1,1,0,0,1,1,560,560,2795,23093480.3166,2018-01-01,Medium Vendor,Other Than Small,Medium,26370710.699760634
2020,State and IAP,N,PDuns-1,1,0,0,1,1,1,230,230,712,17433626.7626,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,19268181.669407703
2012,HHS,N,PDuns-2+,1,1,0,0,1,1,6,7,18,134729.3703,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,169664.69598641797
2003,HHS,M,PDuns-1,1,0,1,1,1,1,382,382,1366,875592396.1273,2003-01-01,Medium Vendor,Other Than Small,Medium,1334261259.6434433
2009,VA,N,PDuns-2+,1,0,0,0,1,0,43,52,129,559665.5109,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,738537.9632295563
2004,State and IAP,M,PDuns-2+,1,1,0,0,1,1,4,4,19,120186.8,2004-01-01,Medium Vendor,Other Than Small,Medium,178775.380580883
2012,NASA,J,PID,1,0,1,1,1,1,2,2,122,942053056.813,2012-01-01,Large: Big 5 JV,Other Than Small,Large,1186327414.2182596
2009,GSA,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,26,33578,83383192.4219,2009-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,110032960.58000527
2020,Other Agencies,N,PDuns-1,1,0,0,1,1,1,1947,1947,20429,506802819.8589,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,560134098.1188381
2009,GSA,M,PDuns-1,1,0,0,0,0,0,63,63,200,36921.0302,2009-01-01,Medium Vendor,Other Than Small,Medium,48721.212783678326
