SIC,Part Indicator,SIC Titles and Part Descriptions,1997 NAICS,1997 NAICS Titles and Part Indicators
2675,pt,".   Pasted, Lined, Laminated, or Surface-Coated Paperboard",322226,Surface-Coated Paperboard Manufacturing
2675,pt,".   Die-Cut Paper and Paperboard Products, Except Office Supplies and Pasted, Lined, Laminated, or Surface-Coated Paperboard",322299,All Other Converted Paper Product Manufacturing (pt)
2676,,Sanitary Paper Products,322291,Sanitary Paper Product Manufacturing (pt)
2677,,Envelopes,322232,Envelope Manufacturing
2678,,"Stationery, Tablets, and Related Products",322233,"Stationery, Tablet, and Related Product Manufacturing"
2679,,"Converted Paper and Paperboard Products, NEC",,
2679,pt,.   Corrugated Paper,322211,Corrugated and Solid Fiber Box Manufacturing (pt)
2679,pt,.   Wallpaper and Gift Wrap Paper,322222,Coated and Laminated Paper Manufacturing (pt)
2679,pt,.   Paper Supplies for Business Machines and Other Paper Office Supplies,322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing (pt)
2679,pt,".   Other Converted Paper and Paperboard Products, such as Paper Filters, Crepe Paper, and Laminated and Tiled Wallboard",322299,All Other Converted Paper Product Manufacturing (pt)
27,,Printing and publishing,,
2711,,"Newspapers:  Publishing, or Publishing and Printing",51111,Newspaper Publishers
2721,,"Periodicals: Publishing, or Publishing and Printing",51112,Periodical Publishers (pt)
2731,,"Books: Publishing, or Publishing and Printing",,
2731,pt,.   Music Book Publishing,51223,Music Publishers (pt)
2731,pt,.   All Other Book Publishers,51113,Book Publishers
2732,,Book Printing,323117,Books Printing
2741,,Miscellaneous Publishing,,
2741,pt,.   Database Publishing,51114,Database and Directory Publishers (pt)
2741,pt,.   Shopping News,51112,Periodical Publishers (pt)
2741,pt,.   Technical Manuals and Books,51113,Book Publishers (pt)
2741,pt,.   Sheet Music Publishers,51223,Music Publishers (pt)
2741,pt,".   Miscellaneous Publishing, Except Database, Shopping News, Technical Manuals and Books, and Sheet Music",511199,All Other Publishers
2752,,"Commercial Printing, Lithographic",,
2752,pt,.   Quick Printing,323114,Quick Printing (pt)
2752,pt,.   Except Quick Printing,323110,Commercial Lithographic Printing (pt)
2754,,"Commercial Printing, Gravure",323111,Commercial Gravure Printing (pt)
2759,,"Commercial Printing, NEC",,
2759,pt,.   Screen Printing,323113,Commercial Screen Printing (pt)
2759,pt,.   Flexographic Printing,323112,Commercial Flexographic Printing (pt)
2759,pt,.   Quick Printing,323114,Quick Printing (pt)
2759,pt,".   Digital Printing,, except Quick Printing",323115,Digital Printing
2759,pt,.   Other Commercial Printing,323119,Other Commercial Printing (pt)
2761,,Manifold Business Forms,323116,Manifold Business Forms Printing (pt)
2771,,Greeting Cards,,
2771,pt,.   Lithographic Printing of Greeting Cards,323110,Commercial Lithographic Printing (pt)
2771,pt,.   Gravure Printing of Greeting Cards,323111,Commercial Gravure Printing (pt)
2771,pt,.   Flexographic Printing of Greeting Cards,323112,Commercial Flexographic Printing (pt)
2771,pt,.   Screen Printing of Greeting Cards,323113,Commercial Screen Printing (pt)
2771,pt,.   Other Printing of Greeting Cards,323119,Other Commercial Printing (pt)
2771,pt,.   Publishing Greeting Cards,511191,Greeting Card Publishers
2782,,"Blankbooks, Loose-leaf Binders and Devices",,
2782,pt,.   Printing of Checkbooks,323116,Manifold Business Forms Printing (pt)
2782,pt,".   Blankbooks, Loose-leaf Binders and Devices",323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing"
2789,,Bookbinding and Related Work,323121,Tradebinding and Related Work
2791,,Typesetting,323122,Prepress Services (pt)
2796,,Platemaking and Related Services,323122,Prepress Services (pt)
28,,Chemicals and allied products,,
2812,,Alkalies and Chlorine,325181,Alkalies and Chlorine Manufacturing
2813,,Industrial Gases,32512,Industrial Gas Manufacturing (pt)
2816,,Inorganic Pigments,,
2816,pt,.   Except Bone and Lamp Black,325131,Inorganic Dye and Pigment Manufacturing (pt)
2816,pt,.   Bone and Lamp Black,325182,Carbon Black Manufacturing (pt)
2819,,"Industrial Inorganic Chemicals, NEC",,
2819,pt,.   Recovering Sulfur from Natural Gas,211112,Natural Gas Liquid Extraction (pt)
2819,pt,.   Activated Carbon and Charcoal,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing (pt)
2819,pt,.   Alumina,331311,Alumina Refining
2819,pt,.   Inorganic Dyes,325131,Inorganic Dye and Pigment Manufacturing (pt)
2819,pt,.   Other,325188,All Other Basic Inorganic Chemical Manufacturing (pt)
2821,,"Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers",325211,Plastics Material and Resin Manufacturing
2822,,Synthetic Rubber,325212,Synthetic Rubber Manufacturing
2823,,Cellulosic Manmade Fibers,325221,Cellulosic Organic Fiber Manufacturing
2824,,"Manmade Organic Fibers, Except Cellulosic",325222,Noncellulosic Organic Fiber Manufacturing
2833,,Medicinal Chemicals and Botanical Products,325411,Medicinal and Botanical Manufacturing
2834,,Pharmaceutical Preparations,325412,Pharmaceutical Preparation Manufacturing (pt)
2835,,In Vitro and In Vivo Diagnostic Substances,,
2835,pt,.   Except In Vitro Diagnostic,325412,Pharmaceutical Preparation Manufacturing  (pt)
2835,pt,.   In Vitro Diagnostic Substances,325413,In-Vitro Diagnostic Substance Manufacturing
2836,,"Biological Products, Except Diagnostic Substances",325414,Biological Product (except Diagnostic) Manufacturing
2841,,"Soaps and Other Detergents, Except Speciality Cleaners",325611,Soap and Other Detergent Manufacturing (pt)
2842,,"Speciality Cleaning, Polishing, and Sanitary Preparations",325612,Polish and Other Sanitation Good Manufacturing
2843,,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",325613,Surface Active Agent Manufacturing
2844,,"Perfumes, Cosmetics, and Other Toilet Preparations",,
2844,pt,".   Toilet Preparations, Except Toothpaste",32562,Toilet Preparation Manufacturing
2844,pt,.   Toothpaste,325611,Soap and Other Detergent Manufacturing (pt)
2851,,"Paints, Varnishes, Lacquers, Enamels, and Allied Products",32551,Paint and Coating Manufacturing (pt)
2861,,Gum and Wood Chemicals,325191,Gum and Wood Chemical Manufacturing
2865,,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments",,
2865,pt,.   Aromatics,32511,Petrochemical Manufacturing (pt)
2865,pt,.   Organic Dyes and Pigments,325132,Synthetic Organic Dye and Pigment Manufacturing
2865,pt,.   Other,325192,Cyclic Crude and Intermediate Manufacturing
2869,,"Industrial Organic Chemicals, NEC",,
2869,pt,.   Aliphatics,32511,Petrochemical Manufacturing (pt)
2869,pt,.   Carbon Bisulfide,325188,All Other Inorganic Chemical Manufacturing (pt)
2869,pt,.   Ethyl Alcohol,325193,Ethyl Alcohol Manufacturing
2869,pt,.   Fluorocarbon Gases,32512,Industrial Gas Manufacturing  (pt)
2869,pt,.   Other,325199,All Other Basic Organic Chemical Manufacturing (pt)
2873,,Nitrogenous Fertilizers,325311,Nitrogenous Fertilizer Manufacturing
2874,,Phosphatic Fertilizers,325312,Phosphatic Fertilizer Manufacturing
2875,,"Fertilizers, Mixing Only",325314,Fertilizer (Mixing Only) Manufacturing
2879,,"Pesticides and Agricultural Chemicals, NEC",32532,Pesticide and Other Agricultural Chemical Manufacturing
2891,,Adhesives and Sealants,32552,Adhesive Manufacturing
2892,,Explosives,32592,Explosives Manufacturing
2893,,Printing Ink,32591,Printing Ink Manufacturing
2895,,Carbon Black,325182,Carbon Black Manufacturing (pt)
2899,,"Chemicals and Chemical Preparations, NEC",,
2899,pt,.   Frit,32551,Paint and Coating Manufacturing (pt)
2899,pt,.   Table Salt,311942,Spice and Extract Manufacturing (pt)
2899,pt,.   Fatty Acids,325199,All Other Basic Organic Chemical Manufacturing (pt)
2899,pt,.   Other,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing (pt)
29,,Petroleum and coal products,,
2911,,Petroleum Refining,32411,Petroleum Refineries
2951,,Asphalt Paving Mixtures and Blocks,324121,Asphalt Paving Mixture and Block Manufacturing
2952,,Asphalt Felts and Coatings,324122,Asphalt Shingle and Coating Materials Manufacturing
2992,,Lubricating Oils and Greases,324191,Petroleum Lubricating Oil and Grease Manufacturing
2999,,"Products of Petroleum and Coal, NEC",324199,All Other Petroleum and Coal Products Manufacturing (pt)
30,,Rubber and miscellaneous plastics products,,
3011,,Tires and Inner Tubes,326211,Tire Manufacturing (except Retreading)
3021,,Rubber and Plastics Footwear,316211,Rubber and Plastics Footwear Manufacturing
3052,,Rubber and Plastics Hose and Belting,32622,Rubber and Plastics Hoses and Belting Manufacturing
3053,,"Gaskets, Packing, and Sealing Devices",339991,"Gasket, Packing, and Sealing Device Manufacturing"
3061,,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods",326291,Rubber Product Manufacturing for Mechanical Use
3069,,"Fabricated Rubber Products, NEC",,
3069,pt,.   Rubberizing Fabric or Purchased Textile Products,31332,Fabric Coating Mills (pt)
3069,pt,.   Rubber Pants and Raincoats,315299,All Other Cut and Sew Apparel Manufacturing (pt)
3069,pt,".   Rubber Bibs, Aprons, and Bathing Caps",315999,Other Apparel Accessories and Other Apparel (pt)
3069,pt,.   Rubber Gloves and Life Jackets,339113,Surgical Appliance and Supplies Manufacturing (pt)
3069,pt,.   Rubber Wet Suits,33992,Sporting and Athletic Goods Manufacturing (pt)
3069,pt,".   Rubber Toys, Except Dolls",339932,"Game, Toy, and Children's Vehicle Manufacturing (pt)"
3069,pt,.   Rubber Resilient Floor Covering,326192,Resilient Floor Covering Manufacturing (pt)
3069,pt,.   Other,326299,All Other Rubber Product Manufacturing
3081,,Unsupported Plastics Film and Sheet,326113,Unsupported Plastics Film and Sheet (except Packaging) Manufacturing
3082,,Unsupported Plastics Profile Shapes,326121,Unsupported Plastics Profile Shape Manufacturing (pt)
3083,,"Laminated Plastics Plate, Sheet, and Profile Shapes",32613,"Laminated Plastics Plate, Sheet, and Shape Manufacturing"
3084,,Plastics Pipe,326122,Plastics Pipe and Pipe Fitting Manufacturing (pt)
3085,,Plastics Bottles,32616,Plastics Bottle Manufacturing
3086,,Plastics Foam Products,,
3086,pt,.   Urethane and Other Foam Products,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing
3086,pt,.   Polystyrene Foam Products,32614,Polystyrene Foam Product Manufacturing
3087,,Custom Compounding of Purchased Plastics Resins,325991,Custom Compounding of Purchased Resin
3088,,Plastics Plumbing Fixtures,326191,Plastics Plumbing Fixtures Manufacturing
3089,,"Plastics Products, NEC",,
3089,pt,.   Pipe Fittings,326122,Plastics Pipe and  Pipe Fitting Manufacturing (pt)
3089,pt,.   Plastics Sausage Casings,326121,Unsupported Plastics Profile Shape Manufacturing (pt)
3089,pt,.   Finished Plastics Furniture Parts,337215,"Showcase, Partition, Shelving, and Locker Manufacturing (pt)"
3089,pt,.   Other,326199,All Other Plastics Product Manufacturing (pt)
31,,Leather and leather products,,
3111,,Leather Tanning and Finishing,31611,Leather and Hide Tanning and Finishing (pt)
3131,,Boot and Shoe Cut Stock and Findings,,
3131,pt,.   Wood Heels,321999,All Other Miscellaneous Wood Product Manufacturing (pt)
3131,pt,.   Metal Buckles,339993,"Fastener, Button, Needle, and Pin Manufacturing (pt)"
3131,pt,.   Except Wood Heels and Metal Buckles,316999,All Other  Leather Good Manufacturing (pt)
3142,,House Slippers,316212,House Slipper Manufacturing
3143,,"Men's Footwear, Except Athletic",316213,Men's Footwear (except Athletic) Manufacturing
3144,,"Women's Footwear, Except Athletic",316214,Women's Footwear (except Athletic) Manufacturing
3149,,"Footwear, Except Rubber, NEC",316219,Other Footwear Manufacturing
3151,,Leather Gloves and Mittens,,
3151,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
3151,pt,".   Women's, Girls', and Infants' Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
3151,pt,.   Except Contractors,315992,Glove and Mitten Manufacturing (pt)
3161,,Luggage,316991,Luggage Manufacturing
3171,,Women's Handbags and Purses,316992,Women's Handbag and Purse Manufacturing
3172,,"Personal Leather Goods, Except Women's Handbags and Purses",316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing
3199,,"Leather Goods, NEC",316999,All Other Leather Good Manufacturing (pt)
32,,"Stone, clay, glass, and concrete products",,
3211,,Flat Glass,327211,Flat Glass Manufacturing
3221,,Glass Containers,327213,Glass Container Manufacturing
3229,,"Pressed and Blown Glass and Glassware, NEC",327212,Other Pressed and Blown Glass and Glassware Manufacturing
3231,,"Glass Products, Made of Purchased Glass",327215,Glass Product Manufacturing Made of Purchased Glass
3241,,"Cement, Hydraulic",32731,Cement Manufacturing
3251,,Brick and Structural Clay Tile,,
3251,pt,.   Slumped Brick,327331,Concrete Block and Brick Manufacturing (pt)
3251,pt,.   Except Slump Brick,327121,Brick and Structural Clay Tile Manufacturing
3253,,Ceramic Wall and Floor Tile,327122,Ceramic Wall and Floor Tile Manufacturing
3255,,Clay Refractories,327124,Clay Refractory Manufacturing
3259,,"Structural Clay Products, NEC",327123,Other Structural Clay Product Manufacturing
3261,,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing
3262,,Vitreous China Table and Kitchen Articles,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product  Manufacturing (pt)"
3263,,Fine Earthenware (Whiteware) Table and Kitchen Articles,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing (pt)"
3264,,Porcelain Electrical Supplies,327113,Porcelain Electrical Supply Manufacturing
3269,,"Pottery Products, NEC",327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing (pt)"
3271,,Concrete Block and Brick,327331,Concrete Block and Brick Manufacturing
3272,,"Concrete Products, Except Block and Brick",,
3272,pt,.   Dry Mixture Concrete,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing (pt)
3272,pt,.   Concrete Pipes,327332,Concrete Pipe Manufacturing
3272,pt,.   Other Concrete Products,32739,Other Concrete Product Manufacturing
3273,,Ready-Mixed Concrete,32732,Ready-Mix Concrete Manufacturing
3274,,Lime,32741,Lime Manufacturing
3275,,Gypsum Products,32742,Gypsum Product Manufacturing (pt)
3281,,Cut Stone and Stone Products,327991,Cut Stone and Stone Product Manufacturing
3291,,Abrasive Products,,
3291,pt,.   Steel Wool With or Without Soap,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3291,pt,.   Abrasive Products (Except Steel Wool With or Without Soap),32791,Abrasive Product Manufacturing
3292,,Asbestos Products,,
3292,pt,.   Asbestos Brake Linings and Pads,33634,Motor Vehicle Brake System Manufacturing (pt)
3292,pt,.   Other Asbestos Products,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing (pt)
3295,,"Minerals and Earths, Ground or Otherwise Treated",,
3295,pt,".   Grinding, Washing, Separating, etc. of Minerals in SIC 1455",212324,Kaolin and Ball Clay Mining (pt)
3295,pt,".   Grinding, Washing, Separating, etc. of Minerals in SIC 1459",212325,Clay and Ceramic and Refractory Minerals Mining (pt)
3295,pt,".   Grinding, Washing, Separating, etc. of Minerals in SIC 1479",212393,Other Chemical and Fertilizer Mineral Mining (pt)
3295,pt,".   Grinding, Washing, Separating, etc. of  Minerals in SIC 1499",212399,All Other Nonmetallic Mineral Mining (pt)
3295,pt,".   Except Grinding, Washing, Separating, etc.",327992,Ground or Treated Mineral and Earth Manufacturing
3296,,Mineral Wool,327993,Mineral Wool Manufacturing
3297,,Nonclay Refractories,327125,Nonclay Refractory Manufacturing
3299,,"Nonmetallic Mineral Products, NEC",,
3299,pt,.   Clay Statuary,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing (pt)"
3299,pt,".   Moldings, Ornamental and Architectural Plaster Work, and Gypsum Statuary",32742,Gypsum Product Manufacturing (pt)
3299,pt,.   Other Nonmetallic Mineral Products,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing (pt)
33,,Primary metal industries,,
3312,,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills",,
3312,pt,".   Coke Ovens, Not Integrated With Steel Mills",324199,All Other Petroleum and Coal Products Manufacturing (pt)
3312,pt,.   Hot Rolling Purchased Steel,331221,Rolled Steel Shape Manufacturing (pt)
3312,pt,.   Except Coke Ovens Not Integrated with Steel Mills and Hot Rolling Purchased Steel,331111,Iron and Steel Mills (pt)
3313,,"Electrometallurgical Products, Except Steel",331112,Electrometallurgical Ferroalloy Product Manufacturing
3315,,Steel Wiredrawing and Steel Nails and Spikes,,
3315,pt,.   Steel Wire Drawing,331222,Steel Wire Drawing
3315,pt,".   Nails, Spikes, Paper Clips, and Wire, Not Made in Wire Drawing Plants",332618,Other Fabricated Wire Product Manufacturing (pt)
3316,,"Cold-Rolled Steel Sheet, Strip, and Bars",331221,Rolled Steel Shape Manufacturing (pt)
3317,,Steel Pipe and Tubes,33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
3321,,Gray and Ductile Iron Foundries,331511,Iron Foundries (pt)
3322,,Malleable Iron Foundries,331511,Iron Foundries (pt)
3324,,Steel Investment Foundries,331512,Steel Investment Foundries
3325,,"Steel Foundries, NEC",331513,Steel Foundries (except Investment)
3331,,Primary Smelting and Refining of Copper,331411,Primary Smelting and Refining of Copper
3334,,Primary Production of Aluminum,331312,Primary Aluminum Production
3339,,"Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum",331419,Primary Smelting and Refining of Nonferrous Metals (except Copper and Aluminum)
3341,,Secondary Smelting and Refining of Nonferrous Metals,,
3341,pt,.   Aluminum,331314,Secondary Smelting and Alloying of Aluminum (pt)
3341,pt,.   Copper,331423,"Secondary Smelting, Refining, and Alloying of Copper (pt)"
3341,pt,.   Except Aluminum and Copper,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metals (except Copper and Aluminum) (pt)"
3351,,"Rolling, Drawing, and Extruding of Copper",331421,"Copper Rolling, Drawing, and Extruding"
3353,,"Aluminum Sheet, Plate, and Foil",331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
3354,,Aluminum Extruded Products,331316,Aluminum Extruded Product Manufacturing
3355,,"Aluminum Rolling and Drawing, NEC",331319,"Other Aluminum Rolling and Drawing,  (pt)"
3356,,"Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding (pt)"
3357,,Drawing and Insulating of Nonferrous Wire,,
3357,pt,.   Aluminum Wire Drawing,331319,Other Aluminum Rolling and Drawing (pt)
3357,pt,.   Copper Wire Drawing,331422,Copper Wire (except Mechanical) Drawing
3357,pt,.   Wire Drawing Except Copper or Aluminum,331491,"Nonferrous Metal (except Copper and  Aluminum) Rolling, Drawing, and Extruding (pt)"
3357,pt,.   Fiber Optic Cable - Insulating Only,335921,Fiber Optic Cable Manufacturing
3357,pt,.   All Other,335929,Other Communication and Energy Wire Manufacturing
3363,,Aluminum Die-Castings,331521,Aluminum Die-Casting Foundries
3364,,"Nonferrous Die-Castings, Except Aluminum",331522,Nonferrous (except Aluminum) Die-Casting Foundries
3365,,Aluminum Foundries,331524,Aluminum Foundries (except Die-Casting)
3366,,Copper Foundries,331525,Copper Foundries (except Die-Casting)
3369,,"Nonferrous Foundries, Except Aluminum and Copper",331528,Other Nonferrous Foundries (except Die-Casting)
3398,,Metal Heat Treating,332811,Metal Heat Treating
3399,,"Primary Metal Products, NEC",,
3399,pt,".   Aluminum Powder, Paste, Flakes, etc.",331314,Secondary Smelting and Alloying of Aluminum (pt)
3399,pt,".   Copper Powder, Flakes, Paste, etc.",331423,"Secondary Smelting, Refining, and Alloying of Copper (pt)"
3399,pt,".   Other Nonferrous Powder, Paste, Flakes, etc.",331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metals (except Copper and Aluminum) (pt)"
3399,pt,".   Making Ferrous Metal Powder, Paste, and Flake From Purchased Iron or Steel",331221,Rolled Steel Shape Manufacturing (pt)
3399,pt,".   Nonferrous Nails, Brads, Staples, etc.",332618,Other Fabricated Wire Product Manufacturing (pt)
3399,pt,.   Laminated Steel,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring (pt)"
34,,Fabricated metal products,,
3411,,Metal Cans,332431,Metal Can Manufacturing
3412,,"Metal Shipping Barrels, Drums, Kegs, and Pails",332439,Other Metal Container Manufacturing (pt)
3421,,Cutlery,,
3421,pt,.   Except Tool-Type Shears,332211,Cutlery and Flatware (except Precious) Manufacturing (pt)
3421,pt,.   Tool-Type Shears,332212,Hand and Edge Tool Manufacturing (pt)
3423,,"Hand and Edge Tools, Except Machine Tools and Handsaws",332212,Hand and Edge Tool Manufacturing (pt)
3425,,Saw Blades and Handsaws,332213,Saw Blade and Handsaw Manufacturing
3429,,"Hardware, NEC",,
3429,pt,".   Fireplace Fixtures, Traps, Handcuffs and Leg Irons, Ladder Jacks, and Other Like Metal Products",332999,All Other Miscellaneous Fabricated Metal Products Manufacturing (pt)
3429,pt,".   Vacuum and Insulated Bottles, Jugs, and Chests",332439,Other Metal Container Manufacturing (pt)
3429,pt,.   Turnbuckles and Hose Clamps,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing (pt)"
3429,pt,.   Luggage and Utility Racks,336399,All Other Motor Vehicle Parts Manufacturing (pt)
3429,pt,.   Fire Hose Nozzles and Couplings,332919,Other Metal Valve and Pipe Fitting Manufacturing (pt)
3429,pt,.   Convertible Bed Sleeper Mechanisms and Chair Glides,337215,"Showcase, Partition, Shelving, and Locker Manufacturing (pt)"
3429,pt,.   Other Hardware,33251,Hardware Manufacturing (pt)
3431,,Enameled Iron and Metal Sanitary Ware,332998,Enameled Iron and Metal Sanitary Ware Manufacturing
3432,,Plumbing Fixture Fittings and Trim,,
3432,pt,".   Plumbing Fixture Fittings and Trim, Except Metal Shower Rods and Lawn Hose Nozzles",332913,Plumbing Fixture Fitting and Trim Manufacturing
3432,pt,.   Lawn Hose Nozzles,332919,Other Metal Valve and Pipe Fitting Manufacturing (pt)
3432,pt,.   Metal Shower Rods,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3433,,"Heating Equipment, Except Electric and Warm Air Furnaces",333414,"Heating Equipment Manufacturing, (except Warm Air  Furnaces) (pt)"
3441,,Fabricated Structural Metal,332312,Fabricated Structural Metal Manufacturing (pt)
3442,,"Metal Doors, Sash, Frames, Molding, and Trim Manufacturing",332321,Metal Window and Door Manufacturing (pt)
3443,,Fabricated Plate Work (Boiler Shops),,
3443,pt,.   Fabricated Plate Work and Metal Weldments,332313,Plate Work Manufacturing
3443,pt,.   Power Boilers and Heat Exchanges,33241,Power Boiler and Heat Exchanger Manufacturing (pt)
3443,pt,.   Heavy Gauge Tanks,33242,Metal Tank (Heavy Gauge) Manufacturing
3443,pt,.   Metal Cooling Towers,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing (pt)
3444,,Sheet Metal Work,,
3444,pt,".   Ducts, Flumes, Flooring. Siding, Dampers, etc.",332322,Sheet Metal Work Manufacturing
3444,pt,.   Metal Bins and Vats,332439,Other Metal Container Manufacturing (pt)
3444,pt,.   Cooling Towers,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing (pt)
3446,,Architectural and Ornamental Metal Work,332323,Ornamental and Architectural Metal Work Manufacturing (pt)
3448,,Prefabricated Metal Buildings and Components,332311,Prefabricated Metal Building and Component Manufacturing
3449,,Miscellaneous Structural Metal Work,,
3449,pt,.   Custom Roll Forming,332114,Custom Roll Forming
3449,pt,.   Fabricated Bar Joists and Concrete Reinforcing Bars,332312,Fabricated Structural Metal Manufacturing (pt)
3449,pt,.   Curtain Wall,332321,Metal Window and Door Manufacturing (pt)
3449,pt,.   Metal Plaster Bases,332323,Ornamental and Architectural Metal Work Manufacturing (pt)
3451,,Screw Machine Products,332721,Precision Turned Product Manufacturing
3452,,"Bolts, Nuts, Screws, Rivets, and Washers",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing (pt)"
3462,,Iron and Steel Forgings,332111,Iron and Steel Forging
3463,,Nonferrous Forgings,332112,Nonferrous Forging
3465,,Automotive Stamping,33637,Motor Vehicle Metal Stamping
3466,,Crowns and Closures,332115,Crown and Closure Manufacturing
3469,,"Metal Stamping, NEC",,
3469,pt,".   Metal Stamping, NEC (Except Kitchen Utensils, Pots and Pans for Cooking, and Coins)",332116,Metal Stamping
3469,pt,.   Kitchen Utensils and Pots and Pans for Cooking,332214,"Kitchen Utensil, Pot, and Pan Manufacturing"
3471,,"Electroplating, Plating, Polishing, Anodizing, and Coloring",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring (pt)"
3479,,"Coating, Engraving, and Allied Services, NEC",,
3479,pt,".   Jewelry Engraving and Etching, Costume Jewelry",339914,Costume Jewelry and Novelty Manufacturing (pt)
3479,pt,".   Jewelry Engraving and Etching, Precious Metal",339911,Jewelry (except Costume) Manufacturing  (pt)
3479,pt,.   Silverware and Flatware Engraving and Etching,339912,Silverware and Hollowware Manufacturing (pt)
3479,pt,".   Other Coating, Engraving and Allied Services",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
3482,,Small Arms Ammunition,332992,Small Arms Ammunition Manufacturing
3483,,"Ammunition, Except for Small Arms",332993,Ammunition (except Small Arms) Manufacturing
3484,,Small Arms,332994,Small Arms Manufacturing (pt)
3489,,"Ordnance and Accessories, NEC",332995,Other Ordnance and Accessories Manufacturing
3491,,Industrial Valves,332911,Industrial Valve Manufacturing
3492,,Fluid Power Valves and Hose Fittings,332912,Fluid Power Valve and Hose Fitting Manufacturing (pt)
3493,,"Steel Springs, Except Wire",332611,Spring (Heavy Gauge) Manufacturing
3494,,"Valves and Pipe Fittings, NEC",,
3494,pt,.   Except Metal Pipe Hangers and Supports,332919,Other Metal Valve and Pipe Fitting Manufacturing (pt)
3494,pt,.   Metal Pipe Hangers and Supports,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3495,,Wire Springs,,
3495,pt,.   Wire Springs (Except Watch and Clock Springs),332612,Spring (Light Gauge) Manufacturing
3495,pt,.   Watch and Clock Springs,334518,"Watch, Clock, and Part Manufacturing (pt)"
3496,,Miscellaneous Fabricated Wire Products,,
3496,pt,.   Grocery Carts,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing (pt)"
3496,pt,.   Except Grocery Carts,332618,Other Fabricated Wire Product Manufacturing (pt)
3497,,Metal Foil and Leaf,,
3497,pt,.   Laminated Aluminum Foil Rolls/Sheets for Flexible Packaging Uses,322225,Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses
3497,pt,.   Foil and Foil Containers,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3498,,Fabricated Pipe and Pipe Fittings,332996,Fabricated Pipe and Pipe Fitting Manufacturing
3499,,"Fabricated Metal Products, NEC",,
3499,pt,.   Metal Furniture Frames,337215,"Showcase, Partition, Shelving, and Locker Manufacturing (pt)"
3499,pt,.   Metal Motor Vehicle Seat Frames,33636,Motor Vehicle Seating and Interior Trim Manufacturing (pt)
3499,pt,.   Powder Metallurgy,332117,Powder Metallurgy Part Manufacturing
3499,pt,.   Metal Boxes,332439,Other Metal Container Manufacturing (pt)
3499,pt,.   Safe and Vault Locks,33251,Hardware Manufacturing (pt)
3499,pt,.   Metal Aerosol Valves,332919,Other Metal Valve and Pipe Fitting Manufacturing (pt)
3499,pt,.   Other Metal Products,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
35,,Industrial machinery and equipment,,
3511,,"Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units",333611,Turbine and Turbine Generator Set Unit Manufacturing
3519,,"Internal Combustion Engines, NEC",,
