SIC,Part.Indicator,SIC.Titles.and.Part.Descriptions,X1997.NAICS,X1997.NAICS.Titles.and.Part.Indicators
3272,NA,"Concrete Products, Except Block and Brick",NA,NA
3273,NA,Ready-Mixed Concrete,32732,Ready-Mix Concrete Manufacturing
3274,NA,Lime,32741,Lime Manufacturing
3275,NA,Gypsum Products,32742,Gypsum Product Manufacturing (pt)
3281,NA,Cut Stone and Stone Products,327991,Cut Stone and Stone Product Manufacturing
3291,NA,Abrasive Products,NA,NA
3292,NA,Asbestos Products,NA,NA
3295,NA,"Minerals and Earths, Ground or Otherwise Treated",NA,NA
3296,NA,Mineral Wool,327993,Mineral Wool Manufacturing
3297,NA,Nonclay Refractories,327125,Nonclay Refractory Manufacturing
3299,NA,"Nonmetallic Mineral Products, NEC",NA,NA
33,NA,Primary metal industries,NA,NA
3312,NA,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills",NA,NA
3313,NA,"Electrometallurgical Products, Except Steel",331112,Electrometallurgical Ferroalloy Product Manufacturing
3315,NA,Steel Wiredrawing and Steel Nails and Spikes,NA,NA
3316,NA,"Cold-Rolled Steel Sheet, Strip, and Bars",331221,Rolled Steel Shape Manufacturing (pt)
3317,NA,Steel Pipe and Tubes,33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
3321,NA,Gray and Ductile Iron Foundries,331511,Iron Foundries (pt)
3322,NA,Malleable Iron Foundries,331511,Iron Foundries (pt)
3324,NA,Steel Investment Foundries,331512,Steel Investment Foundries
3325,NA,"Steel Foundries, NEC",331513,Steel Foundries (except Investment)
3331,NA,Primary Smelting and Refining of Copper,331411,Primary Smelting and Refining of Copper
3334,NA,Primary Production of Aluminum,331312,Primary Aluminum Production
3339,NA,"Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum",331419,Primary Smelting and Refining of Nonferrous Metals (except Copper and Aluminum)
3341,NA,Secondary Smelting and Refining of Nonferrous Metals,NA,NA
3351,NA,"Rolling, Drawing, and Extruding of Copper",331421,"Copper Rolling, Drawing, and Extruding"
3353,NA,"Aluminum Sheet, Plate, and Foil",331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
3354,NA,Aluminum Extruded Products,331316,Aluminum Extruded Product Manufacturing
3355,NA,"Aluminum Rolling and Drawing, NEC",331319,"Other Aluminum Rolling and Drawing,  (pt)"
3356,NA,"Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding (pt)"
3357,NA,Drawing and Insulating of Nonferrous Wire,NA,NA
3363,NA,Aluminum Die-Castings,331521,Aluminum Die-Casting Foundries
3364,NA,"Nonferrous Die-Castings, Except Aluminum",331522,Nonferrous (except Aluminum) Die-Casting Foundries
3365,NA,Aluminum Foundries,331524,Aluminum Foundries (except Die-Casting)
3366,NA,Copper Foundries,331525,Copper Foundries (except Die-Casting)
3369,NA,"Nonferrous Foundries, Except Aluminum and Copper",331528,Other Nonferrous Foundries (except Die-Casting)
3398,NA,Metal Heat Treating,332811,Metal Heat Treating
3399,NA,"Primary Metal Products, NEC",NA,NA
34,NA,Fabricated metal products,NA,NA
3411,NA,Metal Cans,332431,Metal Can Manufacturing
3412,NA,"Metal Shipping Barrels, Drums, Kegs, and Pails",332439,Other Metal Container Manufacturing (pt)
3421,NA,Cutlery,NA,NA
3423,NA,"Hand and Edge Tools, Except Machine Tools and Handsaws",332212,Hand and Edge Tool Manufacturing (pt)
3425,NA,Saw Blades and Handsaws,332213,Saw Blade and Handsaw Manufacturing
3429,NA,"Hardware, NEC",NA,NA
3431,NA,Enameled Iron and Metal Sanitary Ware,332998,Enameled Iron and Metal Sanitary Ware Manufacturing
3432,NA,Plumbing Fixture Fittings and Trim,NA,NA
3433,NA,"Heating Equipment, Except Electric and Warm Air Furnaces",333414,"Heating Equipment Manufacturing, (except Warm Air  Furnaces) (pt)"
3441,NA,Fabricated Structural Metal,332312,Fabricated Structural Metal Manufacturing (pt)
3442,NA,"Metal Doors, Sash, Frames, Molding, and Trim Manufacturing",332321,Metal Window and Door Manufacturing (pt)
3443,NA,Fabricated Plate Work (Boiler Shops),NA,NA
3444,NA,Sheet Metal Work,NA,NA
3446,NA,Architectural and Ornamental Metal Work,332323,Ornamental and Architectural Metal Work Manufacturing (pt)
3448,NA,Prefabricated Metal Buildings and Components,332311,Prefabricated Metal Building and Component Manufacturing
3449,NA,Miscellaneous Structural Metal Work,NA,NA
3451,NA,Screw Machine Products,332721,Precision Turned Product Manufacturing
3452,NA,"Bolts, Nuts, Screws, Rivets, and Washers",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing (pt)"
3462,NA,Iron and Steel Forgings,332111,Iron and Steel Forging
3463,NA,Nonferrous Forgings,332112,Nonferrous Forging
3465,NA,Automotive Stamping,33637,Motor Vehicle Metal Stamping
3466,NA,Crowns and Closures,332115,Crown and Closure Manufacturing
3469,NA,"Metal Stamping, NEC",NA,NA
3471,NA,"Electroplating, Plating, Polishing, Anodizing, and Coloring",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring (pt)"
3479,NA,"Coating, Engraving, and Allied Services, NEC",NA,NA
3482,NA,Small Arms Ammunition,332992,Small Arms Ammunition Manufacturing
3483,NA,"Ammunition, Except for Small Arms",332993,Ammunition (except Small Arms) Manufacturing
3484,NA,Small Arms,332994,Small Arms Manufacturing (pt)
3489,NA,"Ordnance and Accessories, NEC",332995,Other Ordnance and Accessories Manufacturing
3491,NA,Industrial Valves,332911,Industrial Valve Manufacturing
3492,NA,Fluid Power Valves and Hose Fittings,332912,Fluid Power Valve and Hose Fitting Manufacturing (pt)
3493,NA,"Steel Springs, Except Wire",332611,Spring (Heavy Gauge) Manufacturing
3494,NA,"Valves and Pipe Fittings, NEC",NA,NA
3495,NA,Wire Springs,NA,NA
3496,NA,Miscellaneous Fabricated Wire Products,NA,NA
3497,NA,Metal Foil and Leaf,NA,NA
3498,NA,Fabricated Pipe and Pipe Fittings,332996,Fabricated Pipe and Pipe Fitting Manufacturing
3499,NA,"Fabricated Metal Products, NEC",NA,NA
35,NA,Industrial machinery and equipment,NA,NA
3511,NA,"Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units",333611,Turbine and Turbine Generator Set Unit Manufacturing
3519,NA,"Internal Combustion Engines, NEC",NA,NA
3523,NA,Farm Machinery and Equipment,NA,NA
3524,NA,Lawn and Garden Tractors and Home Lawn and Garden  Equipment,NA,NA
3531,NA,Construction Machinery and Equipment,NA,NA
3532,NA,"Mining Machinery and Equipment, Except Oil and Gas Field  Machinery and Equipment",333131,Mining Machinery and Equipment Manufacturing
3533,NA,Oil and Gas Field Machinery and Equipment,333132,Oil and Gas Field Machinery and Equipment Manufacturing
3534,NA,Elevators and Moving Stairways,333921,Elevator and Moving Stairway Manufacturing
3535,NA,Conveyors and Conveying Equipment,333922,Conveyor and Conveying Equipment Manufacturing (pt)
3536,NA,"Overhead Traveling Cranes, Hoists, and Monorail Systems",333923,"Overhead Traveling Crane, Hoist, and Monorail System  Manufacturing (pt)"
3537,NA,"Industrial Trucks, Tractors, Trailers, and Stackers",NA,NA
3541,NA,"Machine Tools,  Metal Cutting Type",333512,Machine Tool (Metal Cutting Types) Manufacturing
3542,NA,"Machine Tools, Metal Forming Type",333513,Machine Tool (Metal Forming Types) Manufacturing
3543,NA,Industrial Patterns,332997,Industrial Pattern Manufacturing
3544,NA,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds",NA,NA
3545,NA,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices",NA,NA
3546,NA,Power-Driven Handtools,333991,Power-Driven Handtool Manufacturing
3547,NA,Rolling Mill Machinery and Equipment,333516,Rolling Mill Machinery and Equipment Manufacturing
3548,NA,Electric and Gas Welding and Soldering Equipment,NA,NA
3549,NA,"Metalworking Machinery, NEC",333518,Other Metalworking Machinery Manufacturing
3552,NA,Textile Machinery,333292,Textile Machinery Manufacturing
3553,NA,Woodworking Machinery,33321,Sawmill and Woodworking Machinery Manufacturing
3554,NA,Paper Industries Machinery,333291,Paper Industry Machinery Manufacturing
3555,NA,Printing Trades Machinery and Equipment,333293,Printing Machinery and Equipment Manufacturing
3556,NA,Food Products Machinery,333294,Food Product Machinery Manufacturing
3559,NA,"Special  Industry Machinery, NEC",NA,NA
3561,NA,Pumps and Pumping Equipment,333911,Pump and Pumping Equipment Manufacturing (pt)
3562,NA,Ball and Roller Bearings,332991,Ball and Roller Bearing Manufacturing
3563,NA,Air and Gas Compressors,333912,Air and Gas Compressor Manufacturing
3564,NA,Industrial and Commercial Fans and Blowers and Air  Purification Equipment,NA,NA
3565,NA,Packaging Machinery,333993,Packaging Machinery Manufacturing
3566,NA,"Speed Changers, Industrial High-Speed Drives, and Gears",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
3567,NA,Industrial Process Furnaces and Ovens,333994,Industrial Process Furnace and Oven Manufacturing
3568,NA,"Mechanical Power Transmission Equipment, NEC",333613,Mechanical Power Transmission Equipment Manufacturing
3569,NA,"General Industrial Machinery and Equipment, NEC",NA,NA
3571,NA,Electronic Computers,334111,Electronic Computer Manufacturing
3572,NA,Computer Storage Devices,334112,Computer Storage Device Manufacturing
3575,NA,Computer Terminals,334113,Computer Terminal Manufacturing
3577,NA,"Computer Peripheral Equipment, NEC",NA,NA
3578,NA,"Calculating and Accounting Machines, Except Electronic Computers",NA,NA
3579,NA,"Office Machines, NEC",NA,NA
3581,NA,Automatic Vending Machines,333311,Automatic Vending Machine Manufacturing
3582,NA,"Commercial Laundry, Drycleaning, and Pressing Machines",333312,"Commercial Laundry, Drycleaning, and Pressing Machine  Manufacturing"
3585,NA,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment,NA,NA
3586,NA,Measuring and Dispensing Pumps,333913,Measuring and Dispensing Pump Manufacturing
3589,NA,"Service Industry Machinery, NEC",333319,Other Commercial and Service Industry Machinery Manufacturing (pt)
3592,NA,"Carburetors, Pistons, Piston Rings, and Valves",336311,"Carburetor, Piston, Piston Ring, and Valve Manufacturing"
3593,NA,Fluid Power Cylinders and Actuators,333995,Fluid Power Cylinder and Actuator Manufacturing
3594,NA,Fluid Power Pumps and Motors,333996,Fluid Power Pump and Motor Manufacturing
3596,NA,"Scales and Balances, Except Laboratory",333997,Scale and Balance (except Laboratory) Manufacturing
3599,NA,"Industrial and Commercial Machinery and Equipment, NEC",NA,NA
36,NA,Electrical and electronic equipment,NA,NA
3612,NA,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing (pt)"
3613,NA,Switchgear and Switchboard Apparatus,335313,Switchgear and Switchboard Apparatus Manufacturing
3621,NA,Motors and Generators,335312,Motor and Generator Manufacturing (pt)
3624,NA,Carbon and Graphite Products,335991,Carbon and Graphite Product Manufacturing
3625,NA,Relays and Industrial Controls,335314,Relay and Industrial Control Manufacturing
3629,NA,"Electrical Industrial Apparatus, NEC",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing (pt)
3631,NA,Household Cooking Equipment,335221,Household Cooking Appliance Manufacturing
3632,NA,Household Refrigerators and Home and Farm Freezers,335222,Household Refrigerator and Home Freezer Manufacturing
3633,NA,Household Laundry Equipment,335224,Household Laundry Equipment Manufacturing
3634,NA,Electric Housewares and Fans,NA,NA
3635,NA,Household Vacuum Cleaners,335212,Household Vacuum Cleaner Manufacturing (pt)
3639,NA,"Household Appliances, NEC",NA,NA
3641,NA,Electric Lamp Bulbs and Tubes,33511,Electric Lamp Bulb and Part Manufacturing
3643,NA,Current-Carrying Wiring Devices,335931,Current-Carrying Wiring Device Manufacturing
3644,NA,Noncurrent-Carrying Wiring Devices,NA,NA
3645,NA,Residential Electric Lighting Fixtures,335121,Residential Electric Lighting Fixture Manufacturing (pt)
3646,NA,"Commercial, Industrial, and Institutional Electric Lighting Fixtures",335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
3647,NA,Vehicular Lighting Equipment,336321,Vehicular Lighting Equipment Manufacturing
3648,NA,"Lighting Equipment, NEC",335129,Other Lighting Equipment Manufacturing (pt)
3651,NA,Household Audio and Video Equipment,33431,Audio and Video Equipment Manufacturing
3652,NA,Phonograph Records and Prerecorded Audio Tapes and Disks,NA,NA
3661,NA,Telephone and Telegraph Apparatus,NA,NA
3663,NA,Radio and Television Broadcasting and Communications Equipment,33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing  (pt)
3669,NA,"Communications Equipment, NEC",33429,Other Communications Equipment Manufacturing
3671,NA,Electron Tubes,334411,Electron Tube Manufacturing
3672,NA,Printed Circuit Boards,334412,Bare Printed Circuit Board Manufacturing
3674,NA,Semiconductors and Related Devices,334413,Semiconductor and Related Device Manufacturing
3675,NA,Electronic Capacitors,334414,Electronic Capacitor Manufacturing
3676,NA,Electronic Resistors,334415,Electronic Resistor Manufacturing
3677,NA,"Electronic Coils, Transformers, and Other Inductors",334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing (pt)"
3678,NA,Electronic Connectors,334417,Electronic Connector Manufacturing
3679,NA,"Electronic Components, NEC",NA,NA
3691,NA,Storage Batteries,335911,Storage Battery Manufacturing
3692,NA,"Primary Batteries, Dry and Wet",335912,Primary Battery Manufacturing
3694,NA,Electrical Equipment for Internal Combustion Engines,336322,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing (pt)
3695,NA,Magnetic and Optical Recording Media,334613,Magnetic and Optical Recording Media Manufacturing
3699,NA,"Electrical Machinery, Equipment, and Supplies, NEC",NA,NA
37,NA,Transportation equipment,NA,NA
3711,NA,Motor Vehicles and Passenger Car Bodies,NA,NA
3713,NA,Truck and Bus Bodies,336211,Motor Vehicle Body Manufacturing (pt)
3714,NA,Motor Vehicle Parts and Accessories,NA,NA
3715,NA,Truck Trailers,336212,Truck Trailer Manufacturing
3716,NA,Motor  Homes,336213,Motor Home Manufacturing
3721,NA,Aircraft,NA,NA
3724,NA,Aircraft Engines and Engine Parts,NA,NA
3728,NA,"Aircraft Parts and Auxiliary Equipment, NEC",NA,NA
3731,NA,Ship Building and Repairing,NA,NA
3732,NA,Boat  Building and Repairing,NA,NA
3743,NA,Railroad Equipment,NA,NA
3751,NA,"Motorcycles, Bicycles, and Parts",336991,"Motorcycle, Bicycle, and Parts Manufacturing (pt)"
3761,NA,Guided Missiles and Space Vehicles,NA,NA
3764,NA,Guided Missile and Space Vehicle Propulsion Units and Propulsion Unit Parts,NA,"Research and Development in the Physical, Engineering, and Life Sciences (pt)"
3769,NA,"Guided Missile Space Vehicle Parts and Auxiliary Equipment, NEC",NA,NA
3792,NA,Travel Trailers and Campers,336214,Travel Trailer and Camper Manufacturing (pt)
3795,NA,Tanks and Tank Components,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing (pt)"
3799,NA,"Transportation Equipment, NEC",NA,NA
38,NA,Instruments and related products,NA,NA
3812,NA,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and  Instruments",334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
3821,NA,Laboratory Apparatus and Furniture,339111,Laboratory Apparatus and Furniture Manufacturing (pt)
3822,NA,Automatic Controls for Regulating Residential and Commercial Environments and Appliances,334512,"Automatic Environmental Control Manufacturing for Regulating Residential, Commercial, and Appliance Use"
3823,NA,"Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products",334513,"Instruments and Related Product Manufacturing for Measuring Displaying, and Controlling Industrial Process Variables"
3824,NA,Totalizing Fluid Meters and Counting Devices,334514,Totalizing Fluid Meter and Counting Device Manufacturing (pt)
3825,NA,Instruments for Measuring and Testing of Electricity and Electrical Signals,NA,NA
3826,NA,Laboratory Analytical Instruments,334516,Analytical Laboratory Instrument Manufacturing
3827,NA,Optical Instruments and Lenses,333314,Optical Instrument and Lens Manufacturing
3829,NA,"Measuring and Controlling Devices, NEC",NA,NA
3841,NA,Surgical and Medical Instruments and Apparatus,NA,NA
3842,NA,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",NA,NA
3843,NA,Dental Equipment and Supplies,339114,Dental Equipment and Supplies Manufacturing
3844,NA,X-Ray Apparatus and Tubes and Related Irradiation Apparatus,334517,Irradiation Apparatus Manufacturing (pt)
3845,NA,Electromedical and Electrotherapeutic Apparatus,NA,NA
3851,NA,Ophthalmic Goods,NA,NA
3861,NA,Photographic Equipment and Supplies,NA,NA
3873,NA,"Watches, Clocks, Clockwork Operated Devices and Parts",334518,"Watch, Clock, and Part Manufacturing (pt)"
39,NA,Miscellaneous manufacturing industries,NA,NA
3911,NA,"Jewelry, Precious Metal",339911,Jewelry (except Costume) Manufacturing (pt)
3914,NA,"Silverware, Plated Ware, and Stainless Steel Ware",NA,NA
3915,NA,"Jewelers' Findings and Materials, and Lapidary Work",NA,NA
3931,NA,Musical Instruments,339992,Musical  Instrument Manufacturing
3942,NA,Dolls and Stuffed Toys,339931,Doll and Stuffed Toy Manufacturing
3944,NA,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles",NA,NA
3949,NA,"Sporting and Athletic Goods, NEC",33992,Sporting and Athletic Good Manufacturing
3951,NA,"Pens, Mechanical Pencils, and Parts",339941,Pen and Mechanical Pencil Manufacturing
3952,NA,"Lead Pencils, Crayons, and Artist's Materials",NA,NA
3953,NA,Marking Devices,339943,Marking Device Manufacturing
3955,NA,Carbon Paper and Inked Ribbons,339944,Carbon Paper and Inked Ribbon Manufacturing
3961,NA,"Costume Jewelry and Costume Novelties, Except Precious Metals",339914,Costume Jewelry and Novelty  Manufacturing (pt)
3965,NA,"Fasteners, Buttons, Needles, and Pins",339993,"Fastener, Button, Needle, and Pin Manufacturing (pt)"
3991,NA,Brooms and Brushes,339994,"Broom, Brush, and Mop Manufacturing (pt)"
3993,NA,Signs and Advertising Specialties,NA,NA
3995,NA,Burial Caskets,339995,Burial Casket Manufacturing
3996,NA,"Linoleum, Asphalted-Felt-Base, and Other Hard Surface Floor Coverings, NEC",326192,Resilient Floor Covering Manufacturing (pt)
3999,NA,"Manufacturing Industries, NEC",NA,NA
NA,NA,"Transportation, communications, and utilities",NA,NA
4011,NA,"Railroads, Line-haul Operating",482111,Line-Haul Railroads
4013,NA,Railroad Switching and Terminal Establishments,NA,NA
41,NA,Local and interurban passenger transit,NA,NA
4111,NA,Local and Suburban Transit,NA,NA
4119,NA,"Local Passenger Transportation, NEC",NA,NA
4121,NA,Taxicabs,48531,Taxi Service (pt)
4131,NA,Intercity and Rural Bus Transportation,48521,Interurban and Rural Bus Transportation
4141,NA,Local Bus Charter Service,48551,Charter Bus Industry (pt)
4142,NA,"Bus Charter Service, Except Local",48551,Charter Bus Industry (pt)
4151,NA,School Buses,48541,School and Employee Bus Transportation (pt)
4173,NA,Terminal and Service Facilities for Motor Vehicle Passenger Transportation,48849,Other Support Activities for Road Transportation (pt)
42,NA,Motor freight transportation and warehousing,NA,NA
4212,NA,Local Trucking Without Storage,NA,NA
4213,NA,"Trucking, Except Local",NA,NA
4214,NA,Local Trucking with Storage,NA,NA
4215,NA,Courier Services Except by Air,NA,NA
4221,NA,Farm Product Warehousing and Storage,49313,Farm Product Warehousing and Storage
4222,NA,Refrigerated Warehousing and Storage,49312,Refrigerated Warehousing and Storage (pt)
4225,NA,General Warehousing and Storage,NA,NA
4226,NA,"Special Warehousing and Storage, NEC",NA,NA
4231,NA,Terminal and Joint Terminal Maintenance Facilities for Motor Freight Transportation,48849,Other Support Activities for Road Transportation (pt)
43,NA,U.S. Postal Service,NA,NA
4311,NA,United States Postal Service,49111,Postal Service (pt)
44,NA,Water transportation,NA,NA
4412,NA,Deep Sea Foreign Transportation of  Freight,483111,Deep Sea Freight Transportation
4424,NA,Deep Sea Domestic Transportation of Freight,483113,Coastal and Great Lakes Freight Transportation (pt)
4432,NA,Freight Transportation on the Great Lakes - St. Lawrence Seaway,483113,Coastal and Great Lakes Freight Transportation (pt)
4449,NA,"Water Transportation of Freight, NEC",483211,Inland Water Freight Transportation
4481,NA,"Deep Sea Transportation of Passengers, Except by Ferry",NA,NA
4482,NA,Ferries,NA,NA
4489,NA,"Water Transportation of Passengers, NEC",NA,NA
4491,NA,Marine Cargo Handling,NA,NA
4492,NA,Towing and Tugboat Services,48833,Navigational Services to Shipping (pt)
4493,NA,Marinas,71393,Marinas
4499,NA,"Water Transportation Services, NEC",NA,NA
45,NA,Transportation by air,NA,NA
4512,NA,"Air Transportation, Scheduled",NA,NA
4513,NA,Air Courier Services,49211,Couriers (pt)
4522,NA,"Air Transportation, Nonscheduled",NA,NA
4581,NA,"Airports, Flying Fields, and Airport Terminal Services",NA,NA
46,NA,"Pipelines, except natural gas",NA,NA
4612,NA,Crude Petroleum Pipelines,48611,Pipeline Transportation of Crude Oil
4613,NA,Refined Petroleum Pipelines,48691,Pipeline Transportation of Refined Petroleum Products
4619,NA,"Pipelines, NEC",48699,All Other Pipeline Transportation
47,NA,Transportation services,NA,NA
4724,NA,Travel Agencies,56151,Travel Agencies
4725,NA,Tour Operators,56152,Tour Operators
4729,NA,"Arrangement of Passenger Transportation, NEC",NA,NA
4731,NA,Arrangement of Transportation of  Freight and Cargo,NA,NA
4741,NA,Rental of Railroad Cars,NA,NA
4783,NA,Packing and Crating,488991,Packing and Crating
4785,NA,Fixed Facilities and Inspection and Weighing Services for Motor Vehicle Transportation,NA,NA
4789,NA,"Transportation Services, NEC",NA,NA
48,NA,Communications,NA,NA
4812,NA,Radiotelephone Communications,NA,NA
4813,NA,"Telephone Communications, Except Radiotelephone",NA,NA
4822,NA,Telegraph and Other  Message Communications,51331,Wired Telecommunications Carriers (pt)
4832,NA,Radio Broadcasting Stations,NA,NA
4833,NA,Television Broadcasting Stations,51312,Television Broadcasting
4841,NA,Cable and Other Pay Television Services,NA,NA
4899,NA,"Communications Services, NEC",NA,NA
49,NA,"Electric, gas, and sanitary services",NA,NA
4911,NA,Electric Services,NA,NA
4922,NA,Natural Gas Transmission,48621,Pipeline Transportation of Natural Gas (pt)
4923,NA,Natural Gas Transmission and Distribution,NA,NA
4924,NA,Natural Gas Distribution,22121,Natural Gas Distribution (pt)
4925,NA,"Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or Distribution",22121,Natural Gas Distribution (pt)
4931,NA,Electric and Other Services Combined,NA,NA
4932,NA,Gas and Other Services Combined,22121,Natural Gas Distribution (pt)
4939,NA,"Combination Utilities, NEC",NA,NA
4941,NA,Water Supply,22131,Water Supply and Irrigation Systems (pt)
4952,NA,Sewerage Systems,22132,Sewage Treatment Facilities
4953,NA,Refuse Systems,NA,NA
4959,NA,"Sanitary Services, NEC",NA,NA
4961,NA,Steam and Air-Conditioning Supply,22133,Steam and Air-Conditioning Supply
4971,NA,Irrigation Systems,22131,Water Supply and Irrigation Systems (pt)
NA,NA,Wholesale trade,NA,NA
50,NA,Wholesale trade--durable goods,NA,NA
5012,NA,Automobiles and Other Motor Vehicles,42111,Automobile and Other Motor Vehicle Wholesalers
5013,NA,Motor Vehicle Supplies and New Parts,NA,NA
5014,NA,Tires and Tubes,NA,NA
5015,NA,"Motor Vehicle Parts, Used",NA,NA
5021,NA,Furniture,NA,NA
5023,NA,Home Furnishings,NA,NA
5031,NA,"Lumber, Plywood, Millwork, and Wood Panels",42131,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers"
5032,NA,"Brick, Stone and Related Construction Materials",NA,NA
5033,NA,"Roofing, Siding, and Insulation Materials",42133,"Roofing, Siding, and Insulation Material Wholesalers"
5039,NA,"Construction Materials, NEC",NA,NA
5043,NA,Photographic Equipment and Supplies,42141,Photographic Equipment and Supplies Wholesalers
5044,NA,Office Equipment,NA,NA
5045,NA,Computers and Computer Peripheral Equipment and Software,NA,NA
5046,NA,"Commercial Equipment, NEC",42144,Other Commercial Equipment Wholesalers
5047,NA,"Medical, Dental, and Hospital Equipment and Supplies",NA,NA
5048,NA,Ophthalmic Goods,42146,Ophthalmic Goods Wholesalers
5049,NA,"Professional Equipment and Supplies, NEC",NA,NA
5051,NA,Metals Service Centers and Offices,42151,Metals Service Centers and Offices
5052,NA,Coal and Other Minerals and Ores,42152,Coal and Other Mineral and Ore Wholesalers
5063,NA,"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials",NA,NA
5064,NA,"Electrical Appliances, Television and Radio Sets",42162,"Electrical Appliance, Television, and Radio Set Wholesalers"
5065,NA,"Electronic Parts and Equipment, NEC",42169,Other Electronic Parts and Equipment Wholesalers
5072,NA,Hardware,NA,NA
5074,NA,Plumbing and Heating Equipment and Supplies (Hydronics),NA,NA
5075,NA,Warm Air Heating and Air-Conditioning Equipment and Supplies,42173,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers
5078,NA,Refrigeration Equipment and Supplies,42174,Refrigeration Equipment and Supplies Wholesalers
5082,NA,Construction and Mining (Except Petroleum) Machinery and Equipment,42181,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers
5083,NA,Farm and Garden Machinery and Equipment,NA,NA
5084,NA,Industrial Machinery and Equipment,42183,Industrial Machinery and Equipment Wholesalers (pt)
5085,NA,Industrial Supplies,NA,NA
5087,NA,Service Establishment Equipment and Supplies,NA,NA
5088,NA,"Transportation Equipment and Supplies, Except Motor Vehicles",42186,Transportation Equipment and Supplies (except Motor Vehicles) Wholesalers
5091,NA,Sporting and Recreational Goods and Supplies,42191,Sporting and Recreational Goods and Supplies Wholesalers
5092,NA,Toys and Hobby Goods and Supplies,42192,Toy and Hobby Goods and Supplies Wholesalers
5093,NA,Scrap and Waste Materials,42193,Recyclable Material Wholesalers
5094,NA,"Jewelry, Watches, Precious Stones, and Precious Metals",42194,"Jewelry, Watch , Precious Stone, and Precious Metal Wholesalers"
5099,NA,"Durable Goods, NEC",42199,Other Miscellaneous Durable Goods Wholesalers (pt)
51,NA,Wholesale trade--nondurable goods,NA,NA
5111,NA,Printing and Writing Paper,42211,Printing and Writing Paper Wholesalers
5112,NA,Stationery and Office Supplies,NA,NA
5113,NA,Industrial and Personal Service Paper,42213,Industrial and Personal Service Paper Wholesalers
5122,NA,"Drugs, Drug Proprietaries, and Druggists' Sundries",42221,Drugs and Druggists' Sundries Wholesalers
5131,NA,"Piece Goods, Notions, and Other Dry Goods",NA,NA
5136,NA,Men's and Boys' Clothing and Furnishings,42232,Men's and Boys' Clothing and Furnishings Wholesalers
5137,NA,"Women's, Children's, and Infants' Clothing and Accessories",42233,"Women's, Children's, and Infants' Clothing and Accessories Wholesalers"
5139,NA,Footwear,42234,Footwear Wholesalers
5141,NA,"Groceries, General Line",42241,General Line Grocery Wholesalers
5142,NA,Packaged Frozen Foods,42242,Packaged Frozen Food Wholesalers
5143,NA,"Dairy Products, Except Dried or Canned",42243,Dairy Products (except Dried or Canned) Wholesalers
5144,NA,Poultry and Poultry Products,42244,Poultry and Poultry Product Wholesalers
5145,NA,Confectionery,42245,Confectionery Wholesalers
5146,NA,Fish and Seafoods,42246,Fish and Seafood Wholesalers
5147,NA,Meats and Meat Products,NA,NA
5148,NA,Fresh Fruits and Vegetables,42248,Fresh Fruit and Vegetable Wholesalers
5149,NA,"Groceries and Related Products, NEC",NA,NA
5153,NA,Grain and Field Beans,42251,Grain and Field Bean Wholesalers
5154,NA,Livestock,42252,Livestock Wholesalers
5159,NA,"Farm-Product Raw Materials, NEC",42259,Other Farm Product Raw Material Wholesalers
5162,NA,Plastics Materials and Basic Forms and Shapes,42261,Plastics Materials and Basic Forms and Shapes Wholesalers
5169,NA,"Chemicals and Allied Products, NEC",42269,Other Chemical and Allied Products Wholesalers
5171,NA,Petroleum Bulk Stations and Terminals,NA,NA
