Name,City,State,Manager,"Vintage year","Fund size","Average investment","Investment strategy","Making new investments?","Investor relations name","Investor relations email","Investor relations phone"
"Lake Country Capital SBIC, LP",Edina,MN,"LC2 Partners, LLC",2019,182550000,1230262,Mezzanine,Yes,"Andrew P. Leonard",andrew@lakecountrycapital.com,612-800-9947
"LBC Small Cap SBIC, L.P.",Radnor,PA,"LBC Small Cap",2017,131988621,2134888,"Direct Lending",No,"Mark Tyson",mtyson@lbccredit.com,215-883-7143
"LCM Healthcare Fund I, L.P.",Dallas,TX,"Latticework Capital Management, LLC",2018,110737954,4068778,"Growth Equity",No,"Kyle Bradford",kyle.bradford@lattcap.com,917-676-6742
"Leeds Novamark Capital I, L.P.",Reston,VA,"Leeds Novamark Management, LLC",2013,24387816,3436539,"Hybrid Debt/Equity",No,"Mark Raterman",raterman@LNC-partners.com,703-651-2149
"LFE Growth Fund III, LP",Naples,FL,"LFE Capital, LLC",2014,7060972,688755,"Growth Equity",No,"Leslie Frecon",lfrecon@lfecapital.com,612-752-1801
"LFE Growth Fund IV, L.P.",Naples,FL,"LFE Capital, LLC",2022,18917839,2182500,Venture,Yes,"Kellie Bauer",Kellie@lfecapital.com,612-752-1801
"Lightspring Capital I, L.P.","St. Louis Park",MN,"Lightspring Capital Partners, LLC",2020,130404113,4572816,"Hybrid Debt/Equity",Yes,"Susan Gohman",sgohman@lightspringcapitalpartners.com,612-289-6614
"Lineage Capital II, L.P.",Boston,MA,"Lineage Capital, LLC",2015,154686605,7298468,"Hybrid Debt/Equity",No,"T. Brook Parker",sba@lineagecap.com,617-778-0672
"Lineage Capital III, L.P.",Boston,MA,"Lineage Capital, LLC",2022,180238000,11306750,"Hybrid Debt/Equity",Yes,"T. Brook Parker",sba@lineagecap.com,617-778-0672
"LiveOak Venture Partners IA, L.P.",Austin,TX,"LOVP Management Services, L.L.C.",2013,27871439,661283,Venture,No,"Venu Shamapant",venu@liveoakvp.com,512-413-5886
"LNC Partners II - SBIC, L.P.",Reston,VA,"LNC Management, LLC",2019,298192752,6715692,"Hybrid Debt/Equity",Yes,"Mark Raterman",Raterman@LNC-Partners.com,703-651-2149
"LO3 SBIC, LP",Nashville,TN,"LO3 Capital",2022,146900000,4075362,"Direct Lending",Yes,"Glenn Harrison",Glenn@lo3capital.com,732-735-5581
"Long River Ventures III, L.P.",Boston,MA,"Long River Capital Management III, LLC",2014,18600496,352384,"Growth Equity",No,"Tripp Peake",tpeake@lrvhealth.com,413-587-2155
"LongueVue Capital Partners II, LP",Metairie,LA,"LongueVue Management Company, LLC",2012,69615221,1082076,"Hybrid Debt/Equity",No,"Max Vorhoff",btoups@lvcpartners.com,504-293-3610
"LongueVue Capital Partners III, L.P.",Metairie,LA,"LongueVue Management Company, LLC",2017,221119200,5158483,"Hybrid Debt/Equity",No,"Max Vorhoff",btoups@lvcpartners.com,504-293-3610
"LongueVue Capital Partners IV, L.P.",Metairie,LA,"LongueVue Management Company, LLC",2022,272500000,6910301,"Hybrid Debt/Equity",Yes,"Becky Toups",btoups@lvcpartners.com,504-293-3607
"Main Street Capital III, L.P.",Houston,TX,"Main Street Capital Corporation",2016,262500000,3998831,"Direct Lending",No,"Kate Silva",Ksilva@MainStCapital.com,713-350-6039
"Main Street Mezzanine Fund, L.P.",Houston,TX,"Main Street Capital Corporation",2002,233333334,2029753,Mezzanine,Yes,"Kate Silva, V. Pres and Asst. Treasurer",Ksilva@MainStCapital.com,713-350-6039
"Maranon Mezzanine Fund III-B, L.P.",Chicago,IL,"Maranon Capital, L.P.",2018,168810583,3944398,Mezzanine,No,"Michael Parilla",MSP@MaranonCapital.com,312-646-1205
"Marquette Capital Fund II, L.P.","St. Louis Park",MN,"Marquette Capital, LLC",2010,35630788,1657375,Mezzanine,No,"Thomas Jenkins",tom.jenkins@marquettecapital.com,612-661-3990
"McLarty Capital Partners SBIC II, L.P.","New York",NY,"McLarty Capital Advisors SBIC, LLC",2017,151133298,3281606,Mezzanine,No,"Christopher D. Smith",csmith@thefirmamentgroup.com,212-314-0172
"McLarty Capital Partners SBIC, L.P.","New York",NY,"McLarty Capital Advisors SBIC, LLC",2014,24020629,4163404,Mezzanine,No,"Christopher D. Smith",csmith@thefirmamentgroup.com,202-956-1061
"MCM Capital Partners III Parallel Fund, L.P.",Beachwood,OH,"MCM Capital Partners",2015,8542744,775008,Buyout,No,"Kevin Hayes",kevin@mcmcapital.com,216-514-1846
"Medallion Capital, Inc.",Excelsior,MN,"Medallion Capital Inc.",1979,135008986,1215238,"Direct Lending",No,"Stephen Lewis",mvannelli@medallioncapital.com,612-804-9886
"Medallion Funding LLC","New York",NY,"Medallion Capital Inc.",1980,72093895,565641,"Direct Lending",No,"Thomas Munson",Tmunson@medallion.com,212-328-2122
"Merion Investment Partners III, L.P.",Wayne,PA,"Phineas Management, LLC",2016,137669893,2841320,Mezzanine,No,"Gayle G. Hughes",ghughes@merionpartners.com,610-230-0880
"Merion Investment Partners IV, L.P.",Wayne,PA,"Merion Investment Partners",2023,82512000,3000000,Mezzanine,Yes,"Gayle Hughes",ghughes@merionpartners.com,610-230-0880
"MidWest Mezzanine Fund V SBIC, L.P.",Chicago,IL,"Midwest Growth Partners",2014,40641330,2930629,Mezzanine,No,"Paul Kreie",pkreie@mmfcapital.com,312-291-7303
"Midwest Mezzanine Fund VI SBIC, L.P.",Chicago,IL,"Midwest Growth Partners",2018,249204493,2971279,Mezzanine,No,"Paul Kreie",pkreie@mmfcapital.com,312-291-7303
"Mizzen Capital, L.P.","New York",NY,"Mizzen Capital Management, LLC",2020,267235252,5297411,"Hybrid Debt/Equity",Yes,"Kevin Wolpert",kwolpert@mizzencapital.com,717-201-1172
"Monroe Capital Partners Fund II, LP",Chicago,IL,"Monroe Capital Partners Fund II Advisors, Inc.",2014,13689420,531913,"Direct Lending",No,"Karina Stahl",kstahl@monroecap.com,312-568-7805
"Morgan Stanley Impact SBIC LP","New York",NY,"No Investment Advisor",2014,42000000,1594745,Mezzanine,No,"Mike George, CFA",Ian.McDaniel@morganstanley.com,212-761-0439
"Mosaic Capital Investors I, LP",Charlotte,NC,"Mosaic Capital Partners, LLC",2014,90127249,2581704,Mezzanine,No,"H. Dabney Smith",dsmith@mosaic-cp.com,919-636-6164
"Mountain State Capital SBIC, L.P.",Morgantown,WV,"Mountain State Capital Management LLC",2019,19072500,200461,"Early Stage",Yes,"Matt Harbaugh",matt@mountainstatecapital.com,412-401-2909
"Mountain Ventures, Inc.",London,KY,na,1978,2081675,230000,"Direct Lending",No,"Brenda McDaniels",BMcDaniel@khic.org,606-864-5175
"Multiplier Capital II, L.P.",Washington,DC,"Multiplier Capital, LLC",2017,190450448,5176978,"Direct Lending",No,"Kevin P. Sheehan",sheehan@multipliercapital.com,917-783-3223
"Multiplier Capital III, L.P.",Washington,DC,"Multiplier Capital, LLC",2022,131613500,8500000,"Direct Lending",Yes,"Kevin P. Sheehan",sheehan@multipliercapital.com,917-783-3223
"Multiplier Capital, LP",Washington,DC,"Multiplier Capital, LLC",2012,27673887,881434,"Direct Lending",No,"Kevin P. Sheehan",sheehan@multipliercapital.com,202-971-9228
"MV Fund II SBIC, L.P.",Folsom,CA,"Moneta Venture LLC",2018,10560916,289125,"Early Stage",No,"Denise Ferre",dferre@monetaventures.com,916-270-2704
"MV Fund III SBIC, L.P.",Folsom,CA,"Moneta Ventures",2023,26526767,268882,"Early Venture",Yes,"Denise Ferre",denise@moneta.vc,916-529-9210
"New Canaan Funding Mezzanine V SBIC, LP","New Canaan",CT,"New Canaan Funding Leverage Mezzanine Advisors, LLC",2012,17899380,2102236,Mezzanine,No,"Mark Thies",mthies@newcanaanfunding.com,203-966-1071
"New Canaan Funding Mezzanine VI SBIC, LP","New Canaan",CT,"New Canaan Funding Leverage Mezzanine Advisors, LLC",2015,81809571,3274563,Mezzanine,No,"Mark Thies",mthies@newcanaanfunding.com,203-966-1071
"New Canaan Funding Mezzanine VII SBIC, L.P.",Naples,FL,"New Canaan Funding Leverage Mezzanine Advisors, LLC",2020,241300000,6236572,Mezzanine,Yes,"Mark Thies",kjones@newcanaanfunding.com,203-966-1071
"New Mountain Finance SBIC II, L.P.","New York",NY,"New Mountain Finance Advisors BDC, L.L.C.",2017,225000000,7463869,Mezzanine,No,"John R. Kline",jkline@newmountaincapital.com,212-720-0309
"New Mountain Finance SBIC, L.P.","New York",NY,"New Mountain Finance Advisors BDC, L.L.C.",2014,225000000,3431389,Mezzanine,No,"John R. Kline",jkline@newmountaincapital.com,212-720-0309
"New York Credit SBIC Fund II L.P.",Conshohocken,PA,"Hamilton Lane Advisors, LLC",2022,96284330,,Mezzanine,Yes,"Trevor Messerly",tmesserly@hamiltonlane.com,610-617-5338
"New York Credit SBIC Fund L.P.",Conshohocken,PA,"Hamilton Lane Advisors, LLC",2015,64612970,3096770,Mezzanine,No,"Trevor Messerly",tmesserly@hamiltonlane.com,610-617-5328
"NewSpring Mezzanine Capital II, L.P.",Radnor,PA,NewSpring,2011,6230650,2849352,Mezzanine,No,"Jonathan Schwartz",mkubacki@newspringcapital.com,610-567-2387
"NewSpring Mezzanine Capital III, L.P.",Radnor,PA,NewSpring,2016,124353742,3461818,Mezzanine,No,"Jonathan Schwartz",mkubacki@newspringcapital.com,610-567-2387
"NewSpring Mezzanine Capital IV, L.P.",Radnor,PA,NewSpring,2019,344542157,5033164,Mezzanine,Yes,"Jonathan Schwartz",jschwartz@newspringcapital.com,610-567-2387
"NewSpring Mezzanine Capital V, L.P.",Radnor,PA,"NewSpring Capital",2023,285842100,5451605,Mezzanine,Yes,"Anne Vazquez",avazquez@newspringcapital.com,610-567-2397
"Noro-Moseley Partners SBIC, LP",Atlanta,GA,"NMP Managemet Corporation",2013,14910612,1084017,Venture,No,"William L. Hudson",Bhudson@noro-moseley.com,404-233-1966
"North Atlantic Venture Fund V, L.P.",Portland,ME,"North Atlantic Capital Corporation",2014,76390000,1306693,Mezzanine,No,"Mark Morrissette",dcoit@northatlanticcapital.com,207-772-4470
"NorthCoast Mezzanine SBIC III, L.P.",Minneapolis,MN,"NorthCoast Mezzanine, LP",2022,198300000,2887866,Mezzanine,Yes,"Stacy Harmsen",stacy@NorthCoastMezz.com,612-843-1554
"Northcreek Mezzanine Fund II, L.P.",Cincinnati,OH,"Northcreek Management, Inc.",2014,86077691,1257104,Mezzanine,No,"Rodger Davis",rdavis@northcreekmezzanine.com,513-985-6600
"Northcreek Mezzanine Fund III, L.P.",Cincinnati,OH,"Northcreek Management, Inc.",2019,184879314,2800757,Mezzanine,Yes,"Rodger Davis",rdavis@northcreekmezzanine.com,513-985-6600
"Northstar Mezzanine Partners SBIC, L.P.",Minneapolis,MN,"Northstar Capital",2020,134601941,1791481,Mezzanine,Yes,"Christopher Kocourek",tduffy@northstarcapital.com,612-371-5718
"Norwest Strategic Capital, L.P.","Palo Alto",CA,"NVP Associates, LLC",2016,1257468746,4728207,Venture,No,"Ben Hui",bhui@nvp.com,650-289-2229
"Oaktree SBIC Fund, L.P.","New York",NY,"Oaktree Capital",2021,265239238,3423529,"Direct Lending",Yes,"Christina Lee",cslee@oaktreecapital.com,212-284-7834
"OFS SBIC I, LP","New York",NY,"OFS Capital Management, LLC",2012,69173267,4537062,"Direct Lending",No,"Bilal Rashid",brashid@ofsmanagement.com,646-652-8480
"Oxer BCP Mezzanine Fund, L.P.",Columbus,OH,"Oxer Capital",2016,55202300,1959130,Mezzanine,No,"Daniel Phlegar",,614-917-7659
"Oxer Mezzanine Fund II, L.P.",Columbus,OH,"Oxer Capital",2019,206000000,2478723,Mezzanine,Yes,"Daniel Phlegar",,614-907-7373
"Oxer Mezzanine Fund III, L.P.",Columbus,OH,"Oxer Capital",2023,146720000,1648282,Mezzanine,Yes,"Daniel Phlegar",dan.phlegar@oxercapital.com,614-907-7373
"Parliament SBIC Growth Fund, LP","San Juan",PR,"Parlaiment Capital",2022,27731667,1000000,"Direct Lending",Yes,"Rodolfo Sanchez-Colberg",wa@parliamentcapital.com,787-200-9004
"Patriot Capital III SBIC, L.P.",Baltimore,MD,"Patriot Capital",2013,105526801,2453204,Mezzanine,No,"Charles McCusker",cmccusker@patriot-capital.com,443-573-3015
"Patriot Capital IV (A), L.P.",Baltimore,MD,"Patriot Capital",2017,302972498,3664537,Mezzanine,No,"Charles McCusker",cmccusker@patriot-capital.com,443-573-3015
"Patriot Capital V, L.P.",Baltimore,MD,"Patriot Capital",2023,180306419,2009500,Mezzanine,Yes,"Charles McCusker",cmccusker@patriot-capital.com,443-573-3015
"PCI II, L.P.",Lutherville,MD,"PCI Capital Management, LLC",2020,105228000,2923116,"Hybrid Debt/Equity",Yes,"Chris Pope, Prin & Carrie Sowers, CFO",cpope@cscp.com,443-573-3714
"Pelham S2K SBIC II, L.P.","New York",NY,"Pelham S2K",2022,71500000,3625000,"Direct Lending",Yes,"Jonathan Terzi",jterzi@pelhams2k.com,212-603-9766
"Pelham S2K SBIC, L.P.","New York",NY,"Pelham S2K",2015,95199449,2516952,Mezzanine,No,"Jonathan Terzi",jterzi@pelhams2k.com,212-603-9766
"Pelion Ventures V Financial Institutions Fund, L.P.","Salt Lake City",UT,"Pelion, Inc.",2012,1132653,161099,Venture,No,"Blake Modersitzki",blake@pelionvp.com,801-365-0262
"Pelion Ventures VII Financial Institutions Fund, L.P.","Salt Lake City",UT,"Pelion, Inc.",2020,50510204,613091,Venture,Yes,"Blake Modersitzki",blake@pelionvp.com,801-365-0262
"Penta Mezzanine SBIC Fund I, L.P.","Winter Park",FL,"Penta Capital LLC",2013,53243409,725446,Mezzanine,No,"Rebecca Irish - Managing Principal/CFO",rirish@pentamezz.com,407-867-3884
"Petra Growth Fund II, L.P.",Nashville,TN,"Petra Capital",2007,38238114,271031,"Hybrid Debt/Equity",No,"Melanie Beavon, CFO",mlb@petracapital.com,615-777-5983
"Petra Growth Fund III, L.P.",Nashville,TN,"Petra Capital",2013,77346142,1330647,"Hybrid Debt/Equity",No,"Melanie Beavon, CFO",mlb@petracapital.com,615-777-5983
"Petra Growth Fund IV, L.P.",Nashville,TN,"Petra Capital",2019,207023571,3056084,Mezzanine,Yes,"Douglas B. Owen",mlb@petracapital.com,615-313-5994
"Pharos Capital Partners III-A, L.P.",Brentwood,TN,"Pharos Capital Group, LLC",2013,169536307,2214503,Mezzanine,No,"Kneeland Youngblood",jgoldberg@pharosfunds.com,615-234-5522
"Pine Street Capital Partners III, L.P.",Albany,NY,"PSCP Management, Inc.",2016,121414500,1382086,Mezzanine,No,"Michael P. Lasch",laschm@pinecap.com,518-449-9070
"Pine Street Capital Partners IV, L.P.",Albany,NY,"Pine Street Capital Partners",2023,98109385,,Mezzanine,Yes,"Tim Welles",wellest@pinecap.com,518-449-9070
"Pivotal Capital Fund II, L.P.","Menlo Park",CA,"Pivotal Capital Partners, LLC",2022,39995000,4083333,Mezzanine,Yes,"Renee Baker",renee@pivotalcp.com,650-233-5402
"Pivotal Capital Fund, LP","Menlo Park",CA,"Pivotal Capital Partners, LLC",2014,10331026,2032898,Mezzanine,No,"Renee Baker",renee@pivotalcp.com,650-233-5402
"Plexus Fund III, L.P.",Raleigh,NC,"Plexus Capital, LLC",2013,60236354,909418,Mezzanine,No,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund IV-A, L.P.",Raleigh,NC,"Plexus Capital, LLC",2017,162232000,1636160,Mezzanine,No,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund IV-B, L.P.",Raleigh,NC,"Plexus Capital, LLC",2017,69528000,705162,Mezzanine,No,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund IV-C, L.P.",Raleigh,NC,"Plexus Capital, LLC",2017,77677196,782397,Mezzanine,No,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund QP III, L.P.",Raleigh,NC,"Plexus Capital, LLC",2013,60236354,895345,Mezzanine,No,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund V-A, L.P.",Raleigh,NC,"Plexus Capital, LLC",2020,250000000,1888802,Mezzanine,Yes,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund V-B, L.P.",Raleigh,NC,"Plexus Capital, LLC",2020,99763840,755597,Mezzanine,Yes,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund V-C, L.P.",Raleigh,NC,"Plexus Capital, LLC",2020,72387498,549869,Mezzanine,Yes,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Praesidian Capital Opportunity Fund III, LP",Larchmont,NY,"Praesidian Capital Opportunity Management III, LLC",2011,61263422,195219,Mezzanine,No,"Linda Dignelli",jdrattell@praesidian.com,212-520-2600
"Propel Venture Partners US Fund I, L.P.","San Francisco",CA,"Propel Venture Partners Management Co., LLC",2016,150722819,2068139,Mezzanine,No,"Jay Reinemann",jay@propel.vc,415-794-9634
"QS Capital Strategies II, L.P.","New York",NY,"Quilvest Capital Partners",2020,234989000,4828931,Mezzanine,Yes,"Benton Cummings",bcummings@quilvestusa.com,212-920-3851
"RCS SBIC Fund II, L.P.",Boston,MA,"Riverside Investment Management Company, LLC",2021,280025000,8952940,"Hybrid Debt/Equity",Yes,"Doug England",dengland@riversidecompany.com,216-535-1768
"Renovus Capital Partners II, L.P.",Wayne,PA,"Renovus Associates, LLC",2016,302775000,9456000,Buyout/Growth/Hybrid,No,"Atif Gilani",Daniel.Maine@renovuscapital.com,610-848-7706
"Renovus Capital Partners III, L.P.",Wayne,PA,"Renovus Capital Partners",2021,359500000,6007544,"Hybrid Debt/Equity",Yes,"Bradley Whitman",brad.whitman@renovuscapital.com,610-848-7702
"Resolute Capital Partners Fund III, L.P.",Nashville,TN,"Resolute Capital Partners",2011,48501145,693855,Mezzanine,No,"Bill Nutter",bill@resolutecap.com,615-665-3636
"Resolute Capital Partners Fund IV, L.P.",Nashville,TN,"Resolute Capital Partners",2018,321524600,2111976,Mezzanine,No,"Bill Nutter",bill@resolutecap.com,615-665-3636
"Resolute Capital Partners Fund V-A, L.P.",Nashville,TN,"Resolute Capital Partners",2021,199245000,1822693,Mezzanine,Yes,"William Nutter",bill@resolutecap.com,615-665-3636
"Resolute Capital Partners Fund V-B, L.P.",Nashville,TN,"Resolute Capital Partners",2021,199245000,1822693,Mezzanine,Yes,"William Nutter",bill@resolutecap.com,615-665-3636
"RF Investment Partners SBIC II, L.P.","New York",NY,"RF Investment Management Company, LLC",2022,278550000,1716762,Mezzanine,Yes,"Peter Rothschild",prothschild@rf-partners.com,212-590-2440
"RF Investment Partners SBIC, L.P.","New York",NY,"RF Investment Management Company, LLC",2018,275601966,2416373,Mezzanine,No,"Peter Rothschild",prothschild@rf-partners.com,212-590-2440
"RFE Investment Partners IX, L.P.",Westport,CT,"RFE Investment Partners",2020,362303272,3590777,"Hybrid Debt/Equity",Yes,"James Parsons",djuricic@rfeip.com,203-966-2800
"River Cities Financial Institutions Fund V, L.P.",Cincinnati,OH,"River Cities Management, Inc.",2014,2585939,250098,"Growth Equity",No,"Adrienne Vannarsdall",avannarsdall@rccf.com,513-621-9700
"Riverside Micro-Cap Fund III, L.P.","New York",NY,"Riverside Partners, LLC",2014,334222017,4536281,"Hybrid Debt/Equity",No,"Doug England",dengland@riversidecompany.com,216-535-1768
"RLJ Credit Opportunity Fund I, L.P.",Bethesda,MD,"RLJ Credit Management, LLC",2012,7338114,6562500,Mezzanine,No,"Trevoir D. Gregg",tgregg@rljcredit.com,240-744-7849
"Route 2 Capital Partners SBIC II, L.P.",Greenville,SC,"Route 2 Capital Management LLC",2023,61500000,,Mezzanine,Yes,"Spalding White",swhite@route2capital.com,470-632-1554
"Route 2 Capital Partners SBIC, L.P.",Charleston,SC,"Route 2 Capital Partners",2018,205408000,3815317,Mezzanine,No,"Patrick Weston",pweston@route2capital.com,864-421-5203
"Salem Investment Partners IV, Limited Partnership",Greensboro,NC,"Salem Investment Partners",2015,111000000,1686125,Mezzanine,No,"Philip W. Martin",kjessup@salemip.com,704-578-4091
"Salem Investment Partners V, Limited Partnership",Greensboro,NC,"Salem Investment Partners",2021,185040000,2739635,Mezzanine,Yes,"Kevin Jessup",kjessup@salemip.com,704-578-4091
"Saratoga Investment Corp. SBIC II LP","New York",NY,"Saratoga Investment Advisors",2019,262500000,5358164,"Direct Lending",Yes,"Michael Grisius",mgrisius@saratogapartners.com,212-906-7333
"Saratoga Investment Corp. SBIC III LP","New York",NY,"Saratoga Investment Advisors",2022,200100000,7137000,"Direct Lending",Yes,"Michael Grisius",mgrisius@saratogapartners.com,212-906-7333
"Saratoga Investment Corp. SBIC LP","New York",NY,"Saratoga Investment Advisors",2012,102000000,4329976,"Direct Lending",No,"Michael Grisius",hsteenkamp@saratogapartners.com,212-906-7966
"SBJ Fund, LP","Walnut Creek",CA,"SBJ Capital",2014,147745136,3579455,"Hybrid Debt/Equity",No,"Gus Spanos",sbamessages@sbjcap.com,415-848-1990
"Seacoast Capital Partners III, L.P.",Danvers,MA,"Seacoast Capital",2011,31882956,1820620,"Hybrid Debt/Equity",No,"Thomas Gorman",tgorman@seacoastcapital.com,978-750-1311
"Seacoast Capital Partners IV, L.P.",Danvers,MA,"Seacoast Capital",2016,179534108,2840172,"Hybrid Debt/Equity",No,"Thomas Gorman",jstroh@seacoastcapital.com,978-750-1300
"Seacoast Capital Partners V, L.P.",Danvers,MA,"Seacoast Capital Partners",2023,72430030,4599849,"Hybrid Debt/Equity",Yes,"Thomas Gorman",tgorman@seacoastcapital.com,978-750-1300
"Serra Capital (SBIC) III, L.P.",Champaign,IL,"Serra Partners III SBIC, LLC",2019,18457696,216904,Venture,Yes,"Dennis E. Beard",dennis@serraventures.com,217-819-5202
"SharpVue Capital Credit Fund II, L.P.",Raleigh,NC,"SharpVue Capital",2021,175870833,3387403,Mezzanine,Yes,"James Burke",James.Burke@sharpvuecap.com,919-890-0528
"Siguler Guff SBIC Fund II, L.P.","New York",NY,"Siguler Guff & Company",2023,23413067,,Mezzanine,Yes,"Sean J. Greene",sgreene@sigulerguff.com,202-415-8020
"Siguler Guff SBIC Fund, L.P.","New York",NY,"Siguler Guff & Company",2019,54638054,1111226,Mezzanine,Yes,"Sean J. Greene",sgreene@sigulerguff.com,617-648-2134
"Silver Lake Waterman Fund II, L.P.","Menlo Park",CA,"Silver Lake Waterman Mangement Company, LLC",2015,107968334,4195391,"Direct Lending",No,"Thomas Conneely",tom.conneely@silverlake.com,415-525-8705
"Silver Lake Waterman Fund III-S, L.P.","Menlo Park",CA,"Silver Lake Waterman Mangement Company, LLC",2022,175000000,2140298,"Direct Lending",Yes,"Thomas Conneely",tom.conneely@silverlake.com,415-730-8858
"SJF Ventures III, LP",Durham,NC,"SJF Management LLC",2012,,501698,Expansion,No,"David A. Kirkpatrick",dkirk@sjfventures.com,919-530-1177
"Small Business Community Capital II, L.P.",Norwalk,CT,"Small Business Community Capital, LLC",2015,110458008,1501281,Mezzanine,No,"Jay C. Garcia",jgarcia@sbccfund.com,646-206-3284
"Source Capital Credit Opportunities IV, L.P.",Atlanta,GA,"Source Capital, LLC",2021,186845752,3449864,"Direct Lending",Yes,"Tom Harbin",JeremyStandrod@source-cap.com,404-249-9330
"Southfield Mezzanine Capital II, L.P.",Greenwich,CT,"Southfield Mezzanine Associates LLC",2020,173600000,2446164,Buyout,Yes,"Steven A. Axel",saxel@southfieldmezz.com,203-813-4100
"Southfield Mezzanine Capital LP",Greenwich,CT,"Southfield Mezzanine Associates LLC",2013,76480688,1780491,Buyout,No,"Steven A. Axel",saxel@southfieldmezz.com,203-813-4100
"Spell Capital Mezzanine Partners SBIC II, L.P.",Minneapolis,MN,"Spell Capital Partners, LLC",2018,204946142,2548872,Mezzanine,No,"Andrea Nelson",stacy@spellcapital.com,612-843-1545
"Spring Capital Partners III, L.P.",Lutherville,MD,"Spring Capital Partners",2013,58237770,1901184,Mezzanine,No,"Robert M. Stewart",rms@springcap.com,410-685-8007
"Spring Capital Partners IV, L.P.",Lutherville,MD,"Spring Capital Partners",2020,183500000,3522726,"Hybrid Debt/Equity",Yes,"John Charles Acker",JCA@springcap.com,410-685-8007
"St. Cloud Capital Partners III SBIC, LP","Los Angeles",CA,"St. Cloud Capital, LLC",2015,145436103,2036001,Mezzanine,No,"Kacy Rozelle",krozelle@stcloudcapital.com,310-475-2700
"St. Cloud Capital Partners IV SBIC, L.P.","Los Angeles",CA,"St. Cloud Capital, LLC",2022,132945000,4527778,Mezzanine,Yes,"Kacy Rozelle",krozelle@stcloudcapital.com,310-475-2700
"Star Mountain SBIC Fund, L.P.","New York",NY,"Star Mountain Capital",2021,290580000,3996202,Mezzanine,Yes,"Brett Hickey",brett.hickey@starmountaincapital.com,646-787-0222
"Stellus Capital SBIC II LP",Houston,TX,"Stellus Capital Management",2019,262500000,7828660,"Balanced Venture",Yes,"W. Todd Huskinson",vgarcia@stelluscapital.com,713-292-5414
"Stellus Capital SBIC LP",Houston,TX,"Stellus Capital Management",2014,225000000,7269934,"Balanced Venture",No,"W. Todd Huskinson",Thuskinson@stelluscapital.com,713-292-5414
"Stonehenge Community Impact Fund, L.P.",Columbus,OH,"Stonehenge Community Development, LLC",2020,178023240,5288072,"Hybrid Debt/Equity",Yes,"L'Quentus Thomas",lthomas@stonehengecapital.com,614-545-7244
"Stonehenge Growth Equity Fund, L.P.",Tampa,FL,"Stonehenge Growth Management, LLC",2013,10662834,625476,"Growth Equity",No,"Steven F. Lux",sflux@stonehengegep.com,813-221-8302
"Stonehenge Opportunity Fund III, L.P.",Columbus,OH,"Stonehenge Partners Corp.",2010,32317698,2903412,"Hybrid Debt/Equity",No,"Erin N. Bender, CPA",enbender@stonehengepartners.com,614-246-2500
"Stonehenge Opportunity Fund III-B, L.P.",Columbus,OH,"Stonehenge Partners Corp.",2010,4998907,485605,"Hybrid Debt/Equity",No,"Erin N. Bender, CPA",enbender@stonehengepartners.com,614-246-2500
"Stonehenge Opportunity Fund IV, L.P.",Columbus,OH,"Stonehenge Partners Corp.",2017,237434578,5944733,"Hybrid Debt/Equity",No,"Erin N. Bender, CPA",enbender@stonehengepartners.com,614-246-2476
"Stonehenge Opportunity Fund V, L.P.",Columbus,OH,Stonehenge Partners,2023,285091815,10223748,"Hybrid Debt/Equity",Yes,"Erin N. Bender",enbender@stonehengepartners.com,614-246-2435
"Svoboda Capital Fund IV (SBIC), L.P.",Chicago,IL,"Svoboda Capital Partners LLC",2017,38385872,1819161,"Growth Equity",No,"John Simpson",jsimpson@svoco.com,312-267-8751
"Tamarix Capital Partners II, L.P.","New York",NY,Tamarix,2022,120345786,11250000,"Direct Lending",Yes,"Mark Hauser",mhauser@tamarixcapital.com,212-430-8400
"TCPC SBIC, LP","Santa Monica",CA,"Tennenbaum Capital Partners, LLC",2014,247500000,4575459,"Balanced Venture",No,"Erik L. Cuellar, CFO",erik.cuellar@blackrock.com,310-899-4954
"Tecum Capital Partners II, L.P.",Wexford,PA,"Tecum Capital",2017,179046048,3658453,Mezzanine,No,"Stephen Gurgovits",sgurgovits@tecum.com,724-602-4401
"Tecum Capital Partners III, L.P.",Wexford,PA,"Tecum Capital",2021,257897353,5851739,Mezzanine,Yes,"Stephen Gurgovis",sgurgovits@tecum.com,312-750-3617
"TGEF III, L.P.",Tampa,FL,"Topmark Partners",2020,48954299,2037500,"Growth Equity",Yes,"Steven Lux",sflux@stonehengegep.com,813-221-8302
"Trailhead Fund Limited Partnership",Minneapolis,MN,"Goldner Hawn Johnson & Morrison Incorporated",2012,42377250,5720934,"Hybrid Debt/Equity",No,"Jason T. Brass",Haagenson@ghjm.com,612-338-5912
