"","Primary.Export.Product.NAICS","Product.Description"
"571","335212","Household Vacuum Cleaner Manufacturing"
"572","335220","Major Household Appliance Manufacturing"
"573","335221","Household Cooking Appliance Manufacturing"
"574","335222","Household Refrigerator And Home Freezer Manufactu"
"575","335228","Other Major Household Appliance Manufacturing"
"576","335311","Power, Distribution, and Specialty Transformer Manufacturing"
"577","335312","Motor and Generator Manufacturing"
"578","335313","Switchgear and Switchboard Apparatus Manufacturing"
"579","335314","Relay and Industrial Control Manufacturing"
"580","3354","Aluminum Extruded Products"
"581","3357","Drawing and Insulating of Nonferrous Wire"
"582","335911","Storage Battery Manufacturing"
"583","335912","Primary Battery Manufacturing"
"584","335921","Fiber Optic Cable Manufacturing"
"585","335929","Other Communication and Energy Wire Manufacturing"
"586","335931","Current-Carrying Wiring Device Manufacturing"
"587","335932","Noncurrent-Carrying Wiring Device Manufacturing"
"588","335991","Carbon and Graphite Product Manufacturing"
"589","335999","All Other Miscellaneous Electrical Equipment and Component Manufacturing"
"590","336111","Automobile Manufacturing"
"591","336112","Light Truck and Utility Vehicle Manufacturing"
"592","336120","Heavy Duty Truck Manufacturing"
"593","336211","Motor Vehicle Body Manufacturing"
"594","336212","Truck Trailer Manufacturing"
"595","336214","Travel Trailer and Camper Manufacturing"
"596","3363","Aluminum Die-Castings"
"597","336310","Motor Vehicle Gasoline Engine and Engine Parts Manufacturing"
"598","336311","Carburetor, Piston, Piston Ring, And Valve Manufa"
"599","336312","Gasoline Engine And Engine Parts Manufacturing"
"600","336320","Motor Vehicle Electrical and Electronic Equipment Manufacturing"
"601","336321","Vehicular Lighting Equipment Manufacturing"
"602","336322","Other Motor Vehicle Electrical And Electronic Equ"
"603","336330","Motor Vehicle Steering and Suspension Components (except Spring) Manufactur"
"604","336340","Motor Vehicle Brake System Manufacturing"
"605","336350","Motor Vehicle Transmission and Power Train Parts Manufacturing"
"606","336360","Motor Vehicle Seating and Interior Trim Manufacturing"
"607","336370","Motor Vehicle Metal Stamping"
"608","336390","Other Motor Vehicle Parts Manufacturing"
"609","336391","Motor Vehicle Air-Conditioning Manufacturing"
"610","336399","All Other Motor Vehicle Parts Manufacturing"
"611","336410","Aerospace Product And Parts Manufacturing"
"612","336411","Aircraft Manufacturing"
"613","336412","Aircraft Engine and Engine Parts Manufacturing"
"614","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing"
"615","336414","Guided Missile and Space Vehicle Manufacturing"
"616","336419","Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufa"
"617","336510","Railroad Rolling Stock Manufacturing"
"618","336611","Ship Building and Repairing"
"619","336612","Boat Building"
"620","336991","Motorcycle, Bicycle, and Parts Manufacturing"
"621","336999","All Other Transportation Equipment Manufacturing"
"622","337110","Wood Kitchen Cabinet and Countertop Manufacturing"
"623","337121","Upholstered Household Furniture Manufacturing"
"624","337122","Nonupholstered Wood Household Furniture Manufacturing"
"625","337124","Metal Household Furniture Manufacturing"
"626","337125","Household Furniture (except Wood and Metal) Manufacturing"
"627","337127","Institutional Furniture Manufacturing"
"628","337211","Wood Office Furniture Manufacturing"
"629","337212","Custom Architectural Woodwork and Millwork Manufacturing"
"630","337214","Office Furniture (except Wood) Manufacturing"
"631","337215","Showcase, Partition, Shelving, and Locker Manufacturing"
"632","337910","Mattress Manufacturing"
"633","337920","Blind and Shade Manufacturing"
"634","339110","Medical Equipment And Supplies Manufacturing"
"635","339111","Laboratory Apparatus And Furniture Manufacturing"
"636","339112","Surgical and Medical Instrument Manufacturing"
"637","339113","Surgical Appliance and Supplies Manufacturing"
"638","339114","Dental Equipment and Supplies Manufacturing"
"639","339115","Ophthalmic Goods Manufacturing"
"640","3399","Primary Metal Products - NEC"
"641","339910","Jewelry and Silverware Manufacturing"
"642","339911","Jewelry (Except Costume) Manufacturing"
"643","339913","Jewelers' Material And Lapidary Work Manufacturin"
"644","339914","Costume Jewelry And Novelty Manufacturing"
"645","339920","Sporting and Athletic Goods Manufacturing"
"646","339930","Doll, Toy, and Game Manufacturing"
"647","339932","Game, Toy, And Children's Vehicle Manufacturing"
"648","339940","Office Supplies (except Paper) Manufacturing"
"649","339950","Sign Manufacturing"
"650","339991","Gasket, Packing, and Sealing Device Manufacturing"
"651","339992","Musical Instrument Manufacturing"
"652","339993","Fastener, Button, Needle, and Pin Manufacturing"
"653","339994","Broom, Brush, and Mop Manufacturing"
"654","339999","All Other Miscellaneous Manufacturing"
"655","3400","Fabricated Metal Products - Except Machinery and Tr"
"656","3423","Hand and Edge Tools - Except Machine Tools and Hand"
"657","3425","Saw Blades and Handsaws"
"658","3429","Hardware - NEC"
"659","3443","Fabricated Plate Work (Boiler Shops)"
"660","3444","Sheet Metal Work"
"661","3448","Prefabricated Metal Buildings and Components"
"662","3451","Screw Machine"
"663","3452","Bolts - Nuts - Screws - Rivets - and Washers"
"664","3462","Iron and Steel Forgings"
"665","3463","Nonferrous Forgings"
"666","3465","Automotive Stampings"
"667","3469","Metal Stampings - NEC"
"668","3471","Electroplating - Plating - Polishing - Anodizing - and"
"669","3491","Industrial Valves"
"670","3492","Fluid Power Valves and Hose Fittings"
"671","3493","Steel Springs - Except Wire"
"672","3494","Valves and Pipe Fittings - NEC"
"673","3497","Metal Foil and Leaf"
"674","3498","Fabricated Pipe and Pipe Fittings"
"675","3499","Fabricated Metal Products - NEC"
"676","3510","Engines and Turbines"
"677","3511","Steam - Gas - and Hydraulic Turbines - and Turbine Ge"
"678","3523","Farm Machinery and Equipment"
"679","3524","Lawn and Garden Tractors and Home Lawn and Garden"
"680","3531","Construction Machinery and Equipment"
"681","3532","Mining Machinery and Equipment - Except Oil and Gas"
"682","3533","Oil and Gas Field Machinery and Equipment"
"683","3535","Conveyors and Conveying Equipment"
"684","3536","Overhead Traveling Cranes - Hoists - and Monorail Sy"
"685","3537","Industrial trucks - Tractors - Trailers - and Stacker"
"686","3541","Machine Tools - Metal Cutting Types"
"687","3542","Machine Tools - Metal Forming Types"
"688","3543","Industrial Patterns"
"689","3544","Special Dies and Tools - Die Sets - Jigs and Fixture"
"690","3546","Power-Driven Handtools"
"691","3547","rolling mill machinery and processing equipment manufacture"
"692","3548","Elec and gas welding and soldering equip and acc manufacture"
"693","3549","metalworking machinery manufacture, not elsewhere classified"
"694","3554","Paper Industries Machinery"
"695","3555","Printing Trades Machinery and Equipment"
"696","3556","Food Products Machinery"
"697","3559","Metalworking Machinery - NEC"
"698","3561","Pumps and Pumping Equipment"
"699","3563","Air and Gas Compressors"
"700","3564","Industrial and Cmmercial Fans and Blowers and Air"
"701","3565","Packaging Machinery"
"702","3567","Industrial Furnaces and Ovens"
"703","3568","Mechanical Power Transmission Equipment - NEC"
"704","3569","General Industrial Machinery and Equipment - NEC"
"705","3570","Computer and Office Equipment"
"706","3571","Electronic Computers"
"707","3572","Computer Storage Devices"
"708","3575","Computer Terminals"
"709","3577","Computer PErpheral Equipment - NEC"
"710","3578","Calculating and Accounting Machines - Except Comput"
"711","3585","Air-Conditioning and Warm Air Heating Equipment an"
"712","3589","Service Industry Machinery - NEC"
"713","3594","Fluid Power Pumps and Motors"
"714","3599","Industrial and Commercial Machinery - NEC"
"715","3612","Power - Distribution - and Specialty Transformers"
"716","3613","Switchgear and Switchboard Apparatus"
"717","3621","Motors and Generators"
"718","3624","Carbon and Graphite Products"
"719","3625","Relays and Industrial Controls"
"720","3629","Electrical Industrial Apparatus - NEC"
"721","3643","Current-Carrying Wiring Devices"
"722","3651","Household Audio and Video Equipment"
"723","3661","Telephone and Telegraph Apparatus"
"724","3663","Radio and Television Broadcasting and Communicatio"
"725","3669","Communications Equipment - NEC"
"726","3672","Printed Circuit Boards"
"727","3674","Semicinductors and Related Devices"
"728","3678","Electronic Connectors"
"729","3679","Electronic Components - NEC"
"730","3691","Storage Batteries"
"731","3699","Electrical Machinery - Equipment - and Supplies - NEC"
"732","3711","Motor Vehicles and Passenger Car Bodies"
"733","3714","Motor Vehicle Parts and Accessories"
"734","3721","Aircraft"
"735","3721","Aircraft - NEC"
"736","3721","Executive Jet Aircraft"
"737","3721","Helicopters"
"738","3721","Large Commercial Jet Aircraft"
"739","3721","Propeller - Turbine Powered Aircraft"
"740","3721","Small Commercial Jet Aircraft"
"741","3724","Aircraft Engines and Engine Parts"
"742","3728","Aircraft Parts and Auxiliary Equipment - NEC"
"743","3731","Ship Building and Repairing"
"744","3732","Boat Building and Repairing"
"745","3743","Railroad Equipment"
"746","3799","Transportation Equipment - NEC"
"747","3812","Search - Detection - Navigation - Guidance - Aernautic"
"748","3822","Automatic Controls for Regulating Residential and"
"749","3823","Industrial Instruments for Measurement - Display -"
"750","3825","Instruments for Measuring and Testing of Electrici"
"751","3826","Laboratory Analytical Instruments"
"752","3827","Optical Instruments and Lenses"
"753","3829","Measuring and Controlling Devices - NEC"
"754","3841","Surgical and Medical Instruments and Apparatus"
"755","3842","Orthopedic - Prosthetic - and Surgical Appliances an"
"756","3843","Dental Equipment and Supplies"
"757","3844","X-Ray Apparatus and Tubes and Related Irradiation"
"758","3845","Electromedical and Electrotherapeutic Apparatus"
"759","3851","Ophthalmic Goods"
"760","3861","Photographic Equipment and Supplies"
"761","3911","Jewelry - Precious Metal"
"762","3949","Sporting and Athletic Goods - NEC"
"763","3955","Carbon Paper and Inked Ribbons"
"764","3999","Manufacturing Industries - NEC"
"765","421120","Motor Vehicle Supplies And New Parts Wholesalers"
"766","4213","Trucking - Except Local"
"767","421310","Lumber, Plywood, Millwork, And Wood Panel Wholesa"
"768","421440","Other Commercial Equipment Wholesalers"
"769","421450","Medical, Dental, And Hospital Equipment And Suppl"
"770","421620","Electrical Appliance, Television, And Radio Set W"
"771","422470","Meat And Meat Product Wholesalers"
"772","423110","Automobile and Other Motor Vehicle Merchant Wholesalers"
"773","423120","Motor Vehicle Supplies and New Parts Merchant Wholesalers"
"774","423130","Tire and Tube Merchant Wholesalers"
"775","423140","Motor Vehicle Parts (Used) Merchant Wholesalers"
"776","423210","Furniture Merchant Wholesalers"
"777","423220","Home Furnishing Merchant Wholesalers"
"778","423310","Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
"779","423320","Brick, Stone, and Related Construction Material Merchant Wholesalers"
"780","423330","Roofing, Siding, and Insulation Material Merchant Wholesalers"
"781","423390","Other Construction Material Merchant Wholesalers"
"782","423410","Photographic Equipment and Supplies Merchant Wholesalers"
"783","423420","Office Equipment Merchant Wholesalers"
"784","423430","Computer and Computer Peripheral Equipment and Software Merchant Wholesaler"
"785","423440","Other Commercial Equipment Merchant Wholesalers"
"786","423450","Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
"787","423460","Ophthalmic Goods Merchant Wholesalers"
"788","423490","Other Professional Equipment and Supplies Merchant Wholesalers"
"789","423510","Metal Service Centers and Other Metal Merchant Wholesalers"
"790","423520","Coal and Other Mineral and Ore Merchant Wholesalers"
"791","423610","Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment"
"792","423620","Household Appliances, Electric Housewares, and Consumer Electronics Merchan"
"793","423690","Other Electronic Parts and Equipment Merchant Wholesalers"
"794","423710","Hardware Merchant Wholesalers"
"795","423720","Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesaler"
"796","423730","Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Whole"
"797","423740","Refrigeration Equipment and Supplies Merchant Wholesalers"
"798","423810","Construction and Mining (except Oil Well) Machinery and Equipment Merchant"
"799","423820","Farm and Garden Machinery and Equipment Merchant Wholesalers"
"800","423830","Industrial Machinery and Equipment Merchant Wholesalers"
"801","423840","Industrial Supplies Merchant Wholesalers"
"802","423850","Service Establishment Equipment and Supplies Merchant Wholesalers"
"803","423860","Transportation Equipment and Supplies (except Motor Vehicle) Merchant Whole"
"804","423910","Sporting and Recreational Goods and Supplies Merchant Wholesalers"
"805","423920","Toy and Hobby Goods and Supplies Merchant Wholesalers"
"806","423930","Recyclable Material Merchant Wholesalers"
"807","423940","Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
"808","423990","Other Miscellaneous Durable Goods Merchant Wholesalers"
"809","424110","Printing and Writing Paper Merchant Wholesalers"
"810","424120","Stationery and Office Supplies Merchant Wholesalers"
"811","424130","Industrial and Personal Service Paper Merchant Wholesalers"
"812","424210","Drugs and Druggists' Sundries Merchant Wholesalers"
"813","424310","Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
"814","424320","Men's and Boys' Clothing and Furnishings Merchant Wholesalers"
"815","424330","Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesa"
"816","424340","Footwear Merchant Wholesalers"
"817","424410","General Line Grocery Merchant Wholesalers"
"818","424420","Packaged Frozen Food Merchant Wholesalers"
"819","424430","Dairy Product (except Dried or Canned) Merchant Wholesalers"
"820","424440","Poultry and Poultry Product Merchant Wholesalers"
"821","424450","Confectionery Merchant Wholesalers"
"822","424460","Fish and Seafood Merchant Wholesalers"
"823","424470","Meat and Meat Product Merchant Wholesalers"
"824","424480","Fresh Fruit and Vegetable Merchant Wholesalers"
"825","424490","Other Grocery and Related Products Merchant Wholesalers"
"826","424510","Grain and Field Bean Merchant Wholesalers"
"827","424520","Livestock Merchant Wholesalers"
"828","424590","Other Farm Product Raw Material Merchant Wholesalers"
"829","424610","Plastics Materials and Basic Forms and Shapes Merchant Wholesalers"
"830","424690","Other Chemical and Allied Products Merchant Wholesalers"
"831","424710","Petroleum Bulk Stations and Terminals"
"832","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations"
"833","424810","Beer and Ale Merchant Wholesalers"
"834","424820","Wine and Distilled Alcoholic Beverage Merchant Wholesalers"
"835","424910","Farm Supplies Merchant Wholesalers"
"836","424920","Book, Periodical, and Newspaper Merchant Wholesalers"
"837","424930","Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
"838","424940","Tobacco Product and Electronic Cigarette Merchant Wholesalers"
"839","424950","Paint, Varnish, and Supplies Merchant Wholesalers"
"840","424990","Other Miscellaneous Nondurable Goods Merchant Wholesalers"
"841","425110","Business to Business Electronic Markets"
"842","425120","Wholesale Trade Agents and Brokers"
"843","441110","New Car Dealers"
"844","441120","Used Car Dealers"
"845","441210","Recreational Vehicle Dealers"
"846","441222","Boat Dealers"
"847","441228","Motorcycle, ATV, and All Other Motor Vehicle Dealers"
"848","441229","All Other Motor Vehicle Dealers"
"849","441310","Automotive Parts and Accessories Stores"
"850","441320","Tire Dealers"
"851","442299","All Other Home Furnishings Stores"
"852","443111","Household Appliance Stores"
"853","443112","Radio, Television, And Other Electronics Stores"
"854","443120","Computer And Software Stores"
"855","444110","Home Centers"
"856","444130","Hardware Stores"
"857","444190","Other Building Material Dealers"
"858","444210","Outdoor Power Equipment Stores"
"859","444220","Nursery, Garden Center, and Farm Supply Stores"
"860","445110","Supermarkets and Other Grocery (except Convenience) Stores"
"861","445110","Supermarkets and Other Grocery Retailers (except Convenience Retailers)"
"862","445120","Convenience Stores"
"863","445210","Meat Markets"
"864","445220","Fish and Seafood Markets"
"865","445230","Fruit and Vegetable Retailers"
"866","445299","All Other Specialty Food Stores"
"867","445310","Beer, Wine, and Liquor Stores"
"868","446110","Pharmacies and Drug Stores"
"869","446120","Cosmetics, Beauty Supplies, and Perfume Stores"
"870","446130","Optical Goods Stores"
"871","446191","Food (Health) Supplement Stores"
"872","446199","All Other Health and Personal Care Stores"
"873","447110","Gasoline Stations with Convenience Stores"
"874","448110","Men's Clothing Stores"
"875","448120","Women's Clothing Stores"
"876","448190","Other Clothing Stores"
"877","448310","Jewelry Stores"
"878","451110","Sporting Goods Stores"
"879","451120","Hobby, Toy, and Game Stores"
"880","451140","Musical Instrument and Supplies Stores"
"881","4512","Air Transportation - Scheduled"
"882","4513","Air Courier Services"
"883","452111","Department Stores (Except Discount Department Sto"
"884","452910","Warehouse Clubs And Supercenters"
"885","453310","Used Merchandise Stores"
"886","453910","Pet and Pet Supplies Stores"
"887","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)"
"888","454111","Electronic Shopping"
"889","454390","Other Direct Selling Establishments"
"890","4581","Airport - Flying Fields - and Airport Terminal Servi"
"891","4731","Arrangemnt of Transportation of Freight and Cargo"
"892","481111","Scheduled Passenger Air Transportation"
"893","481112","Scheduled Freight Air Transportation"
"894","4812","Radiotelephone Communications"
"895","481211","Nonscheduled Chartered Passenger Air Transportation"
"896","481212","Nonscheduled Chartered Freight Air Transportation"
"897","481219","Other Nonscheduled Air Transportation"
"898","4813","Telephone Communications - Except Radiotelephone"
"899","482111","Line-Haul Railroads"
"900","483111","Deep Sea Freight Transportation"
"901","483212","Inland Water Passenger Transportation"
"902","484122","General Freight Trucking, Long-Distance, Less Than Truckload"
"903","484230","Specialized Freight (except Used Goods) Trucking, Long-Distance"
"904","485999","All Other Transit and Ground Passenger Transportation"
"905","487110","Scenic and Sightseeing Transportation, Land"
"906","488119","Other Airport Operations"
"907","488190","Other Support Activities for Air Transportation"
"908","488210","Support Activities for Rail Transportation"
"909","488320","Marine Cargo Handling"
"910","488490","Other Support Activities for Road Transportation"
"911","488510","Freight Transportation Arrangement"
"912","488991","Packing and Crating"
"913","488999","All Other Support Activities for Transportation"
"914","4911","Electric Power Generation - Solar (Photovoltaic)"
"915","4911","Electric Services-Electric Power Generation - Trans"
"916","492110","Couriers and Express Delivery Services"
"917","4931","Electric and Other Services Combined"
"918","493110","General Warehousing and Storage"
"919","493120","Refrigerated Warehousing and Storage"
"920","493130","Farm Product Warehousing and Storage"
"921","4953","Refuse Systems"
"922","4959","Sanitary Services - NEC"
"923","4971","Irrigation Systems"
"924","5012","Automobiles and Other Motor Vehicles"
"925","5013","Motor Vehicle Supplies and New Parts"
"926","5014","Tires and Tubes"
"927","5031","Lumber - Plywood - Millwork - and Wood Panels"
"928","5032","Brick - Stone - and Related Construction Materials"
"929","5039","Construction Materials - NEC"
"930","5045","Computers and Computer Peripheral Equipment and So"
"931","5046","Commercial Equipment - NEC"
"932","5047","Medical - Dental - and Hospital Equipment and Suppli"
"933","5049","Professional Equipment and Supplies - NEC"
"934","5051","Metals Service Centers and Offices"
"935","5052","Coal and Other Minerals and Ores"
"936","5063","Electrical Apparatus and Equipment - Wiring Supplie"
"937","5064","Electrical Appliances - Television and Radio Sets"
"938","5065","Electronic Parts and Equipment - NEC"
"939","5072","Hardware"
"940","5074","Plumbing and Heating Equipment and Supplies"
"941","5075","Warm Air Heating and Air-Conditioning Equipment an"
"942","5082","Construction and Mining Machinery and Equipment"
"943","5083","Farm and Garden Machinery and Equipment"
"944","5084","Industrial Machinery and Equipment"
"945","5085","Industrial Supplies"
"946","5087","Service Establishment Equipment and Supplies"
"947","5088","Transportation Equipment and Supplies - Except Moto"
"948","5091","Sporting and Recreational Goods and Supplies"
"949","5093","Scrap and Waste Materials"
"950","5099","Durable Goods - NEC"
"951","5111","Printing and Writing Paper"
"952","511120","Periodical Publishers"
"953","511130","Book Publishers"
"954","511191","Greeting Card Publishers"
"955","511199","All Other Publishers"
"956","5112","Stationery and Office Supplies"
"957","511210","Software Publishers"
"958","5113","Industrial and Personnal Service Paper"
"959","512191","Teleproduction and Other Postproduction Services"
"960","5122","Drugs - Drug Proprietaries. and Druggists' Sundries"
"961","5136","Men's and Boys' Clothing and Furnishings"
"962","5141","Groceries - General Line"
"963","5142","Packaged Frozen Foods"
"964","5143","Dairy Products - Except Dried or Canned"
"965","5144","Poultry and Poultry Products"
"966","5145","Confectionery"
"967","5146","Fish and Seafood"
"968","5147","Meats and Meat Products"
"969","5148","Fresh Fruits and Vegetables"
"970","5149","Groceries and Related Products - NEC"
"971","515210","Cable and Other Subscription Programming"
"972","5153","Grain and Field Beans"
"973","5159","Farm-Product Raw Materials - NEC"
"974","5162","Plastics Materials and Basic Forms and Shapes"
"975","5169","Chemicals and Allied Products - NEC"
"976","517110","Wired Telecommunications Carriers"
"977","5172","Petroleum and Petroleum Products Wholesalers - Exce"
"978","517210","Wireless Telecommunications Carriers (Except Satellites)"
"979","517310","Telecommunications Resellers"
"980","517410","Satellite Telecommunications"
"981","517510","Cable And Other Program Distribution"
"982","517910","Other Telecommunications"
"983","517911","Telecommunications Resellers"
"984","517919","All Other Telecommunications"
"985","5182","Wine and Distilled Alcoholic Beverages"
"986","518210","Computing Infrastructure Providers, Data Processing, Web Hosting, and Relat"
"987","518210","Data Processing, Hosting, and Related Services"
"988","5191","Farm Supplies"
"989","519130","Internet Publishing and Broadcasting and Web Search Portals"
"990","519190","All Other Information Services"
"991","5199","Nondurable Goods - NEC"
"992","522210","Credit Card Issuing"
"993","522220","Sales Financing"
"994","522291","Consumer Lending"
"995","522293","International Trade Financing"
"996","523130","Commodity Contracts Dealing"
"997","523140","Commodity Contracts Brokerage"
"998","523920","Portfolio Management"
"999","523999","Miscellaneous Financial Investment Activities"
"1000","524210","Insurance Agencies and Brokerages"
"1001","525110","Pension Funds"
"1002","525920","Trusts, Estates, and Agency Accounts"
"1003","531390","Other Activities Related to Real Estate"
"1004","532120","Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
"1005","532291","Home Health Equipment Rental"
"1006","532299","All Other Consumer Goods Rental"
"1007","532411","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
"1008","532412","Construction, Mining, and Forestry Machinery and Equipment Rental and Leasi"
"1009","532490","Other Commercial and Industrial Machinery and Equipment Rental and Leasing"
"1010","541110","Offices of Lawyers"
"1011","541199","All Other Legal Services"
"1012","541310","Architectural Services"
"1013","541320","Landscape Architectural Services"
"1014","541330","Engineering Services"
"1015","541340","Drafting Services"
"1016","541360","Geophysical Surveying and Mapping Services"
"1017","541370","Surveying and Mapping (except Geophysical) Services"
"1018","541380","Testing Laboratories"
"1019","541380","Testing Laboratories and Services"
"1020","541410","Interior Design Services"
"1021","541420","Industrial Design Services"
"1022","541430","Graphic Design Services"
"1023","541490","Other Specialized Design Services"
"1024","541511","Custom Computer Programming Services"
"1025","541512","Computer Systems Design Services"
"1026","541519","Other Computer Related Services"
"1027","541611","Administrative Management and General Management Consulting Services"
"1028","541612","Human Resources Consulting Services"
"1029","541613","Marketing Consulting Services"
"1030","541614","Process, Physical Distribution, and Logistics Consulting Services"
"1031","541618","Other Management Consulting Services"
"1032","541620","Environmental Consulting Services"
"1033","541690","Other Scientific and Technical Consulting Services"
"1034","541710","Research And Development In The Physical, Enginee"
"1035","541711","Research and Development in Biotechnology"
"1036","541712","Research and Development in the Physical, Engineering, and Life Sciences (e"
"1037","541714","Research and Development in Biotechnology (except Nanobiotechnology)"
"1038","541715","Research and Development in the Physical, Engineering, and Life Sciences (e"
"1039","541720","Research and Development in the Social Sciences and Humanities"
"1040","541810","Advertising Agencies"
"1041","541840","Media Representatives"
"1042","541850","Indoor and Outdoor Display Advertising"
"1043","541910","Marketing Research and Public Opinion Polling"
"1044","541922","Commercial Photography"
"1045","541930","Translation and Interpretation Services"
"1046","541940","Veterinary Services"
"1047","541990","All Other Professional, Scientific, and Technical Services"
"1048","551112","Offices of Other Holding Companies"
"1049","561110","Office Administrative Services"
"1050","561311","Employment Placement Agencies"
"1051","561320","Temporary Help Services"
"1052","561440","Collection Agencies"
"1053","561499","All Other Business Support Services"
"1054","561621","Security Systems Services (except Locksmiths)"
"1055","561710","Exterminating and Pest Control Services"
"1056","561720","Janitorial Services"
"1057","561730","Landscaping Services"
"1058","561910","Packaging and Labeling Services"
"1059","561920","Convention and Trade Show Organizers"
"1060","561990","All Other Support Services"
"1061","562211","Hazardous Waste Treatment and Disposal"
"1062","562213","Solid Waste Combustors and Incinerators"
"1063","562219","Other Nonhazardous Waste Treatment and Disposal"
"1064","562910","Remediation Services"
"1065","562920","Materials Recovery Facilities"
"1066","562991","Septic Tank and Related Services"
"1067","562998","All Other Miscellaneous Waste Management Services"
"1068","6021","National Commercial Banks"
"1069","6111","Federal and Federally-Sponsored Credit Agencies"
"1070","611430","Professional and Management Development Training"
"1071","611512","Flight Training"
"1072","611630","Language Schools"
"1073","611699","All Other Miscellaneous Schools and Instruction"
"1074","611710","Educational Support Services"
"1075","621112","Offices of Physicians, Mental Health Specialists"
"1076","621340","Offices of Physical, Occupational and Speech Therapists, and Audiologists"
"1077","621511","Medical Laboratories"
"1078","621512","Diagnostic Imaging Centers"
"1079","621610","Home Health Care Services"
"1080","621991","Blood and Organ Banks"
"1081","621999","All Other Miscellaneous Ambulatory Health Care Services"
"1082","6221","Commodity Contracts Brokers and Dealers"
"1083","622110","General Medical and Surgical Hospitals"
"1084","622310","Specialty (except Psychiatric and Substance Abuse) Hospitals"
"1085","711130","Musical Groups and Artists"
"1086","711219","Other Spectator Sports"
"1087","712110","Museums"
"1088","713120","Amusement Arcades"
"1089","713290","Other Gambling Industries"
"1090","713940","Fitness and Recreational Sports Centers"
"1091","713990","All Other Amusement and Recreation Industries"
"1092","722211","Limited-Service Restaurants"
"1093","722213","Snack And Nonalcoholic Beverage Bars"
"1094","722310","Food Service Contractors"
"1095","722330","Mobile Food Services"
"1096","722410","Drinking Places (Alcoholic Beverages)"
"1097","723","Crop Preparation Services for Market"
"1098","7352","Medical Equipment Rentaland Leasing"
"1099","7363","Help Supply Service"
"1100","7371","Computer Programming Services"
"1101","7372","Prepackaged Software"
"1102","7373","Computer Integrated Systems Design"
"1103","7374","Computer Processing and Data Preparation and Proce"
"1104","7376","Computer Facilities Management Services"
"1105","7379","Computer Related Services - NEC"
"1106","7538","General Automotive Repair Shops"
"1107","7692","Welding Repairs"
"1108","7699","Repair Shops and Related Services - NEC"
"1109","7822","Motion Picture and Video Tape Distribution"
"1110","811","Timber Tracts"
"1111","811111","General Automotive Repair"
"1112","811118","Other Automotive Mechanical and Electrical Repair and Maintenance"
"1113","811198","All Other Automotive Repair and Maintenance"
"1114","811212","Computer and Office Machine Repair and Maintenance"
"1115","811213","Communication Equipment Repair and Maintenance"
"1116","811219","Other Electronic and Precision Equipment Repair and Maintenance"
"1117","811310","Commercial and Industrial Machinery and Equipment (except Automotive and El"
"1118","811412","Appliance Repair and Maintenance"
"1119","811430","Footwear and Leather Goods Repair"
"1120","812112","Beauty Salons"
"1121","812199","Other Personal Care Services"
"1122","812910","Pet Care (except Veterinary) Services"
"1123","812990","All Other Personal Services"
"1124","8711","Engineering Services"
"1125","8712","Architectural Services"
"1126","8713","Surveying Services"
"1127","8734","Testing Laboratories"
"1128","8741","Management Services"
"1129","8742","Management Consulting Services"
"1130","8744","Facilities Support Management Services"
"1131","8748","Business Consulting Services - NEC"
"1132","922160","Fire Protection"
"1133","926150","Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
"1134","9999","Nonclassifiable Establishments"
"1135","999999","Ex-Im Online Placeholder"
