"","NaicsCode","NaicsDescription"
"566",334517,"Irradiation Apparatus Manufacturing"
"567",334518,"Watch, Clock, and Part Manufacturing"
"568",334519,"Other Measuring and Controlling Device Manufacturing"
"569",334610,NA
"570",334611,"Software Reproducing"
"571",334612,"Prerecorded Compact Disc (except Software), Tape, and Record Reproduci"
"572",334613,"Magnetic and Optical Recording Media Manufacturing"
"573",334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproduc"
"574",335110,"Electric Lamp Bulb and Part Manufacturing"
"575",335121,"Residential Electric Lighting Fixture Manufacturing"
"576",335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Ma"
"577",335129,"Other Lighting Equipment Manufacturing"
"578",335131,NA
"579",335132,NA
"580",335139,NA
"581",335211,"Electric Housewares and Household Fan Manufacturing"
"582",335220,NA
"583",335221,"Household Cooking Appliance Manufacturing"
"584",335222,"Household Refrigerator and Home Freezer Manufacturing"
"585",335224,"Household Laundry Equipment Manufacturing"
"586",335228,"Other Major Household Appliance Manufacturing"
"587",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
"588",335312,"Motor and Generator Manufacturing"
"589",335313,"Switchgear and Switchboard Apparatus Manufacturing"
"590",335314,"Relay and Industrial Control Manufacturing"
"591",335910,NA
"592",335911,"Storage Battery Manufacturing"
"593",335912,"Primary Battery Manufacturing"
"594",335921,"Fiber Optic Cable Manufacturing"
"595",335929,"Other Communication and Energy Wire Manufacturing"
"596",335931,"Current-Carrying Wiring Device Manufacturing"
"597",335932,"Noncurrent-Carrying Wiring Device Manufacturing"
"598",335991,"Carbon and Graphite Product Manufacturing"
"599",335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturi"
"600",336111,"Automobile Manufacturing"
"601",336112,"Light Truck and Utility Vehicle Manufacturing"
"602",336120,"Heavy Duty Truck Manufacturing"
"603",336211,"Motor Vehicle Body Manufacturing"
"604",336212,"Truck Trailer Manufacturing"
"605",336213,"Motor Home Manufacturing"
"606",336214,"Travel Trailer and Camper Manufacturing"
"607",336310,"Motor Vehicle Gasoline Engine and Engine Parts Manufacturing"
"608",336311,"Carburetor, Piston, Piston Ring, and Valve Manufacturing"
"609",336312,"Gasoline Engine and Engine Parts Manufacturing"
"610",336320,"Motor Vehicle Electrical and Electronic Equipment Manufacturing"
"611",336321,"Vehicular Lighting Equipment Manufacturing"
"612",336322,"Other Motor Vehicle Electrical and Electronic Equipment Manufacturing"
"613",336330,"Motor Vehicle Steering and Suspension Components (except Spring) Manuf"
"614",336340,"Motor Vehicle Brake System Manufacturing"
"615",336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing"
"616",336360,"Motor Vehicle Seating and Interior Trim Manufacturing"
"617",336370,"Motor Vehicle Metal Stamping"
"618",336390,"Other Motor Vehicle Parts Manufacturing"
"619",336391,"Motor Vehicle Air-Conditioning Manufacturing"
"620",336399,"All Other Motor Vehicle Parts Manufacturing"
"621",336411,"Aircraft Manufacturing"
"622",336412,"Aircraft Engine and Engine Parts Manufacturing"
"623",336413,"Other Aircraft Parts and Auxiliary Equipment Manufacturing"
"624",336415,"Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit M"
"625",336419,"Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment M"
"626",336510,"Railroad Rolling Stock Manufacturing"
"627",336611,"Ship Building and Repairing"
"628",336612,"Boat Building"
"629",336991,"Motorcycle, Bicycle, and Parts Manufacturing"
"630",336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
"631",336999,"All Other Transportation Equipment Manufacturing"
"632",337110,"Wood Kitchen Cabinet and Countertop Manufacturing"
"633",337110,NA
"634",337121,"Upholstered Household Furniture Manufacturing"
"635",337122,"Nonupholstered Wood Household Furniture Manufacturing"
"636",337124,"Metal Household Furniture Manufacturing"
"637",337125,"Household Furniture (except Wood and Metal) Manufacturing"
"638",337126,NA
"639",337127,"Institutional Furniture Manufacturing"
"640",337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing"
"641",337211,"Wood Office Furniture Manufacturing"
"642",337212,"Custom Architectural Woodwork and Millwork Manufacturing"
"643",337214,"Office Furniture (except Wood) Manufacturing"
"644",337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
"645",337910,"Mattress Manufacturing"
"646",337920,"Blind and Shade Manufacturing"
"647",339111,"Laboratory Apparatus and Furniture Manufacturing"
"648",339112,"Surgical and Medical Instrument Manufacturing"
"649",339113,"Surgical Appliance and Supplies Manufacturing"
"650",339114,"Dental Equipment and Supplies Manufacturing"
"651",339115,"Ophthalmic Goods Manufacturing"
"652",339116,"Dental Laboratories"
"653",339910,"Jewelry and Silverware Manufacturing"
"654",339911,"Jewelry (except Costume) Manufacturing"
"655",339913,"Jewelers' Material and Lapidary Work Manufacturing"
"656",339914,"Costume Jewelry and Novelty Manufacturing"
"657",339920,"Sporting and Athletic Goods Manufacturing"
"658",339930,"Doll, Toy, and Game Manufacturing"
"659",339931,"Doll and Stuffed Toy Manufacturing"
"660",339932,"Game, Toy, and Children's Vehicle Manufacturing"
"661",339940,"Office Supplies (except Paper) Manufacturing"
"662",339941,"Pen and Mechanical Pencil Manufacturing"
"663",339942,"Lead Pencil and Art Good Manufacturing"
"664",339943,"Marking Device Manufacturing"
"665",339944,"Carbon Paper and Inked Ribbon Manufacturing"
"666",339950,"Sign Manufacturing"
"667",339991,"Gasket, Packing, and Sealing Device Manufacturing"
"668",339992,"Musical Instrument Manufacturing"
"669",339993,"Fastener, Button, Needle, and Pin Manufacturing"
"670",339994,"Broom, Brush, and Mop Manufacturing"
"671",339995,"Burial Casket Manufacturing"
"672",339999,"All Other Miscellaneous Manufacturing"
"673",421110,"Automobile and Other Motor Vehicle Wholesalers"
"674",421120,"Motor Vehicle Supplies and New Parts Wholesalers"
"675",421130,"Tire and Tube Wholesalers"
"676",421140,"Motor Vehicle Parts (Used) Wholesalers"
"677",421210,"Furniture Wholesalers"
"678",421220,"Home Furnishing Wholesalers"
"679",421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers"
"680",421320,"Brick, Stone, and Related Construction Material Wholesalers"
"681",421330,"Roofing, Siding, and Insulation Material Wholesalers"
"682",421390,"Other Construction Material Wholesalers"
"683",421410,"Photographic Equipment and Supplies Wholesalers"
"684",421420,"Office Equipment Wholesalers"
"685",421430,"Computer and Computer Peripheral Equipment and Software Wholesalers"
"686",421440,"Other Commercial Equipment Wholesalers"
"687",421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers"
"688",421460,"Ophthalmic Goods Wholesalers"
"689",421490,"Other Professional Equipment and Supplies Wholesalers"
"690",421510,"Metal Service Centers and Offices"
"691",421520,"Coal and Other Mineral and Ore Wholesalers"
"692",421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction"
"693",421620,"Electrical Appliance, Television, and Radio Set Wholesalers"
"694",421690,"Other Electronic Parts and Equipment Wholesalers"
"695",421710,"Hardware Wholesalers"
"696",421720,"Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers"
"697",421730,"Warm Air Heating and Air-Conditioning Equipment and Suppplies Wholesal"
"698",421740,"Refrigeration Equipment and Supplies Wholesalers"
"699",421810,"Construction and Mining (except Oil Well) Machinery and Equipment Whol"
"700",421820,"Farm and Garden Machinery and Equipment Wholesalers"
"701",421830,"Industrial Machinery and Equipment Wholesalers"
"702",421840,"Industrial Supplies Wholesalers"
"703",421850,"Service Establishment Equipment and Supplies Wholesalers"
"704",421860,"Transportation Equipment and Supplies (except Motor Vehicle) Wholesale"
"705",421910,"Sporting and Recreational Goods and Supplies Wholesalers"
"706",421920,"Toy and Hobby Goods and Supplies Wholesalers"
"707",421930,"Recyclable Material Wholesalers"
"708",421940,"Jewelry, Watch, Precious Stone, and Precious Metal Wholesalers"
"709",421990,"Other Miscellaneous Durable Goods Wholesalers"
"710",422110,"Printing and Writing Paper Wholesalers"
"711",422120,"Stationery and Office Supplies Wholesalers"
"712",422130,"Industrial and Personal Service Paper Wholesalers"
"713",422210,"Drugs and Druggists' Sundries Wholesalers"
"714",422310,"Piece Goods, Notions, and Other Dry Goods Wholesalers"
"715",422320,"Men's and Boys' Clothing and Furnishing Wholesalers"
"716",422330,"Women's, Children's, and Infants' Clothing and Accessories Wholesalers"
"717",422340,"Footwear Wholesalers"
"718",422410,"General Line Grocery Wholesalers"
"719",422420,"Packaged Frozen Food Wholesalers"
"720",422430,"Dairy Product (except Dried or Canned) Wholesalers"
"721",422440,"Poultry and Poultry Product Wholesalers"
"722",422450,"Confectionery Wholesalers"
"723",422460,"Fish and Seafood Wholesalers"
"724",422470,"Meat and Meat Product Wholesalers"
"725",422480,"Fresh Fruit and Vegetable Wholesalers"
"726",422490,"Other Grocery and Related Products Wholesalers"
"727",422510,"Grain and Field Bean Wholesalers"
"728",422520,"Livestock Wholesalers"
"729",422590,"Other Farm Product Raw Material Wholesalers"
"730",422610,"Plastics Materials and Basic Forms and Shapes Wholesalers"
"731",422690,"Other Chemical and Allied Products Wholesalers"
"732",422710,"Petroleum Bulk Stations and Terminals"
"733",422720,"Petroleum and Petroleum Products Wholesalers (except Bulk Stations and"
"734",422810,"Beer and Ale Wholesalers"
"735",422820,"Wine and Distilled Alcoholic Beverage Wholesalers"
"736",422910,"Farm Supplies Wholesalers"
"737",422920,"Book, Periodical, and Newspaper Wholesalers"
"738",422930,"Flower, Nursery Stock, and Florists' Supplies Wholesalers"
"739",422940,"Tobacco and Tobacco Product Wholesalers"
"740",422950,"Paint, Varnish, and Supplies Wholesalers"
"741",422990,"Other Miscellaneous Nondurable Goods Wholesalers"
"742",423110,"Automobile and Other Motor Vehicle Merchant Wholesalers"
"743",423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers"
"744",423120,NA
"745",423130,"Tire and Tube Merchant Wholesalers"
"746",423140,"Motor Vehicle Parts (Used) Merchant Wholesalers"
"747",423140,NA
"748",423210,"Furniture Merchant Wholesalers"
"749",423220,"Home Furnishing Merchant Wholesalers"
"750",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
"751",423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
"752",423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
"753",423390,"Other Construction Material Merchant Wholesalers"
"754",423410,"Photographic Equipment and Supplies Merchant Wholesalers"
"755",423420,"Office Equipment Merchant Wholesalers"
"756",423430,"Computer and Computer Peripheral Equipment and Software Merchant Whole"
"757",423440,"Other Commercial Equipment Merchant Wholesalers"
"758",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal"
"759",423460,"Ophthalmic Goods Merchant Wholesalers"
"760",423490,"Other Professional Equipment and Supplies Merchant Wholesalers"
"761",423510,"Metal Service Centers and Other Metal Merchant Wholesalers"
"762",423510,NA
"763",423520,"Coal and Other Mineral and Ore Merchant Wholesalers"
"764",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equip"
"765",423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchan"
"766",423690,"Other Electronic Parts and Equipment Merchant Wholesalers"
"767",423710,"Hardware Merchant Wholesalers"
"768",423710,NA
"769",423720,"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Whole"
"770",423730,"Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant"
"771",423740,"Refrigeration Equipment and Supplies Merchant Wholesalers"
"772",423810,"Construction and Mining (except Oil Well) Machinery and Equipment Merc"
"773",423810,NA
"774",423820,"Farm and Garden Machinery and Equipment Merchant Wholesalers"
"775",423830,"Industrial Machinery and Equipment Merchant Wholesalers"
"776",423840,"Industrial Supplies Merchant Wholesalers"
"777",423850,"Service Establishment Equipment and Supplies Merchant Wholesalers"
"778",423860,"Transportation Equipment and Supplies (except Motor Vehicle) Merchant"
"779",423910,"Sporting and Recreational Goods and Supplies Merchant Wholesalers"
"780",423920,"Toy and Hobby Goods and Supplies Merchant Wholesalers"
"781",423930,"Recyclable Material Merchant Wholesalers"
"782",423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesaler"
"783",423940,NA
"784",423990,"Other Miscellaneous Durable Goods Merchant Wholesalers"
"785",424110,"Printing and Writing Paper Merchant Wholesalers"
"786",424120,"Stationery and Office Supplies Merchant Wholesalers"
"787",424120,NA
"788",424130,"Industrial and Personal Service Paper Merchant Wholesalers"
"789",424210,"Drugs and Druggists' Sundries Merchant Wholesalers"
"790",424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
"791",424320,"Men's and Boys' Clothing and Furnishings Merchant Wholesalers"
"792",424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wh"
"793",424340,"Footwear Merchant Wholesalers"
"794",424350,NA
"795",424410,"General Line Grocery Merchant Wholesalers"
"796",424420,"Packaged Frozen Food Merchant Wholesalers"
"797",424430,"Dairy Product (except Dried or Canned) Merchant Wholesalers"
"798",424440,"Poultry and Poultry Product Merchant Wholesalers"
"799",424450,"Confectionery Merchant Wholesalers"
"800",424450,NA
"801",424460,"Fish and Seafood Merchant Wholesalers"
"802",424470,"Meat and Meat Product Merchant Wholesalers"
"803",424480,"Fresh Fruit and Vegetable Merchant Wholesalers"
"804",424480,NA
"805",424490,"Other Grocery and Related Products Merchant Wholesalers"
"806",424510,"Grain and Field Bean Merchant Wholesalers"
"807",424520,"Livestock Merchant Wholesalers"
"808",424590,"Other Farm Product Raw Material Merchant Wholesalers"
"809",424610,"Plastics Materials and Basic Forms and Shapes Merchant Wholesalers"
"810",424690,"Other Chemical and Allied Products Merchant Wholesalers"
"811",424690,NA
"812",424710,"Petroleum Bulk Stations and Terminals"
"813",424720,"Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Sta"
"814",424810,"Beer and Ale Merchant Wholesalers"
"815",424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers"
"816",424910,"Farm Supplies Merchant Wholesalers"
"817",424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
"818",424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
"819",424940,"Tobacco and Tobacco Product Merchant Wholesalers"
"820",424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
"821",424990,"Other Miscellaneous Nondurable Goods Merchant Wholesalers"
"822",425110,"Business to Business Electronic Markets"
"823",425120,"Wholesale Trade Agents and Brokers"
"824",441110,"New Car Dealers"
"825",441110,NA
"826",441120,"Used Car Dealers"
"827",441120,NA
"828",441210,"Recreational Vehicle Dealers"
"829",441221,"Motorcycle Dealers"
"830",441222,"Boat Dealers"
"831",441227,NA
"832",441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
"833",441229,"All Other Motor Vehicle Dealers"
"834",441310,"Automotive Parts and Accessories Stores"
"835",441320,"Tire Dealers"
"836",441330,NA
"837",441340,NA
"838",442110,"Furniture Stores"
"839",442210,"Floor Covering Stores"
"840",442291,"Window Treatment Stores"
"841",442299,"All Other Home Furnishings Stores"
"842",443111,"Household Appliance Stores"
"843",443112,"Radio, Television, and Other Electronics Stores"
"844",443120,"Computer and Software Stores"
"845",443130,"Camera and Photographic Supplies Stores"
"846",443141,"Household Appliance Stores"
"847",443142,"Electronics Stores"
"848",444110,"Home Centers"
"849",444120,"Paint and Wallpaper Stores"
"850",444130,"Hardware Stores"
"851",444140,NA
"852",444180,NA
"853",444190,"Other Building Material Dealers"
"854",444210,"Outdoor Power Equipment Stores"
"855",444220,"Nursery and Garden Centers"
"856",444230,NA
"857",444240,NA
"858",445110,"Supermarkets and Other Grocery (except Convenience) Stores"
"859",445110,NA
"860",445120,"Convenience Stores"
"861",445131,NA
"862",445210,"Meat Markets"
"863",445220,"Fish and Seafood Markets"
"864",445230,"Fruit and Vegetable Markets"
"865",445240,NA
"866",445250,NA
"867",445291,"Baked Goods Stores"
"868",445292,"Confectionery and Nut Stores"
"869",445298,NA
"870",445299,"All Other Specialty Food Stores"
"871",445310,"Beer, Wine, and Liquor Stores"
"872",445320,NA
"873",446110,"Pharmacies and Drug Stores"
"874",446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
"875",446130,"Optical Goods Stores"
"876",446191,"Food (Health) Supplement Stores"
"877",446199,"All Other Health and Personal Care Stores"
"878",447110,"Gasoline Stations with Convenience Stores"
"879",447190,"Other Gasoline Stations"
"880",448110,"Men's Clothing Stores"
"881",448120,"Women's Clothing Stores"
"882",448130,"Children's and Infants' Clothing Stores"
"883",448140,"Family Clothing Stores"
"884",448150,"Clothing Accessories Stores"
"885",448190,"Other Clothing Stores"
"886",448210,"Shoe Stores"
"887",448310,"Jewelry Stores"
"888",448320,"Luggage and Leather Goods Stores"
"889",449110,NA
"890",449121,NA
"891",449122,NA
"892",449129,NA
"893",449210,NA
"894",451110,"Sporting Goods Stores"
"895",451120,"Hobby, Toy, and Game Stores"
"896",451130,"Sewing, Needlework, and Piece Goods Stores"
"897",451140,"Musical Instrument and Supplies Stores"
"898",451211,"Book Stores"
"899",451220,"Prerecorded Tape, Compact Disc, and Record Stores"
"900",452110,"Department Stores"
"901",452111,"Department Stores (except Discount Department Stores)"
"902",452112,"Discount Department Stores"
"903",452210,NA
"904",452311,NA
"905",452319,NA
"906",452910,"Warehouse Clubs and Superstores"
"907",452990,"All Other General Merchandise Stores"
"908",453110,"Florists"
"909",453210,"Office Supplies and Stationery"
"910",453220,"Gift, Novelty, and Souvenir Stores"
"911",453310,"Used Merchandise Stores"
"912",453910,"Pet and Pet Supplies Stores"
"913",453920,"Art Dealers"
"914",453930,"Manufactured (Mobile) Home Dealers"
"915",453991,"Tobacco Stores"
"916",453998,"All Other Miscellaneous Store Retailers (except Tobacco Stores)"
"917",454110,"Electronic Shopping and Mail-Order Houses"
"918",454111,"Electronic Shopping"
"919",454112,"Electronic Auctions"
"920",454113,"Mail-Order Houses"
"921",454210,"Vending Machine Operators"
"922",454310,"Fuel Dealers"
"923",454311,"Heating Oil Dealers"
"924",454312,"Liquefied Petroleum Gas (Bottled Gas) Dealers"
"925",454319,"Other Fuel Dealers"
"926",454390,"Other Direct Selling Establishments"
"927",455110,NA
"928",455219,NA
"929",456110,NA
"930",456120,NA
"931",456130,NA
"932",456191,NA
"933",456199,NA
"934",457110,NA
"935",457120,NA
"936",457210,NA
"937",458110,NA
"938",458210,NA
"939",458310,NA
"940",459110,NA
"941",459120,NA
"942",459130,NA
"943",459140,NA
"944",459210,NA
"945",459310,NA
"946",459410,NA
"947",459420,NA
"948",459510,NA
"949",459910,NA
"950",459920,NA
"951",459991,NA
"952",459999,NA
"953",481111,"Scheduled Passenger Air Transportation"
"954",481112,"Scheduled Freight Air Transportation"
"955",481211,"Nonscheduled Chartered Passenger Air Transportation"
"956",481212,"Nonscheduled Chartered Freight Air Transportation"
"957",481219,"Other Nonscheduled Air Transportation"
"958",482111,"Line-Haul Railroads"
"959",482112,"Short Line Railroads"
"960",483111,"Deep Sea Freight Transportation"
"961",483113,"Coastal and Great Lakes FreightWater Transportation"
"962",483114,"Coastal and Great Lakes Passenger Transportation"
"963",483211,"Inland Water Freight Transportation"
"964",483212,"Inland Water Passenger Water Transportation"
"965",484110,"General Freight Trucking, Local"
"966",484110,NA
"967",484120,NA
"968",484121,"General Freight Trucking, Long Distance, Truckload"
"969",484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
"970",484210,"Used Household and Office Goods Moving"
"971",484220,"Specialized Freight (except Used Goods) Trucking, Local"
"972",484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
"973",485113,"Bus and Other Motor Vehicle Transit Systems"
"974",485119,"Other Urban Transit Systems"
"975",485210,"Interurban and Rural Bus Transportation"
"976",485310,"Taxi Service"
"977",485320,"Limousine Service"
"978",485410,"School and Employee Bus Transportation"
"979",485510,"Charter Bus Industry"
"980",485991,"Special Needs Transportation"
"981",485999,"All Other Transit and Ground Passenger Transportation"
"982",486110,"Pipeline Transportation of Crude Oil"
"983",487110,"Scenic and Sightseeing Transportation, Land"
"984",487210,"Scenic and Sightseeing Transportation, Water"
"985",487210,NA
"986",487990,"Scenic and Sightseeing Transportation, Other"
"987",488111,"Air Traffic Control"
"988",488119,"Other Airport Operations"
"989",488119,NA
"990",488190,"Other Support Activities for Air Transportation"
"991",488210,"Support Activities for Rail Transportation"
"992",488310,"Port and Harbor Operations"
"993",488320,"Marine Cargo Handling"
"994",488330,"Navigational Services to Shipping"
"995",488390,"Other Support Activities for Water Transportation"
"996",488410,"Motor Vehicle Towing"
"997",488490,"Other Support Activities for Road Transportation"
"998",488510,"Freight Transportation Arrangement"
"999",488991,"Packing and Crating"
"1000",488991,NA
"1001",488999,"All Other Support Activities for Transportation"
"1002",488999,NA
"1003",491110,"Postal Service"
"1004",492110,"Couriers"
"1005",492210,"Local Messengers and Local Delivery"
"1006",493110,"General Warehousing and Storage"
"1007",493110,NA
"1008",493120,"Refrigerated Warehousing and Storage"
"1009",493130,"Farm Product Warehousing and Storage"
"1010",493190,"Other Warehousing and Storage"
"1011",511110,"Newspaper Publishers"
"1012",511120,"Periodical Publishers"
"1013",511130,"Book Publishers"
"1014",511140,"Database and Directory Publishers"
"1015",511191,"Greeting Card Publishers"
"1016",511199,"All Other Publishers"
"1017",511210,"Software Publishers"
"1018",512110,"Motion Picture and Video Production"
"1019",512110,NA
"1020",512120,"Motion Picture and Video Distribution"
"1021",512131,"Motion Picture Theaters (except Drive-Ins)"
"1022",512132,"Drive-In Motion Picture Theaters"
"1023",512191,"Teleproduction and Other Postproduction Services"
"1024",512199,"Other Motion Picture and Video Industries"
"1025",512210,"Record Production"
"1026",512220,"Integrated Record Production/Distribution"
"1027",512230,"Music Publishers"
"1028",512240,"Sound Recording Studios"
"1029",512290,"Other Sound Recording Industries"
"1030",513110,NA
"1031",513111,"Radio Networks"
"1032",513112,"Radio Stations"
"1033",513120,"Television Broadcasting"
"1034",513210,"Cable Networks"
"1035",513220,"Cable and Other Program Distribution"
"1036",513310,"Wired Telecommunications Carriers"
"1037",513321,"Paging"
"1038",513322,"Cellular and Other Wireless"
"1039",513330,"Telecommunications Resellers"
"1040",513340,"Satellite Telecommunications"
"1041",513390,"Other Telecommunications"
"1042",514120,"Libraries and Archives"
"1043",514191,"On-Line Information Services"
"1044",514199,"All Other Information Services"
"1045",514210,"Data Processing Services"
"1046",515111,"Radio Networks"
"1047",515112,"Radio Stations"
"1048",515120,"Television Broadcasting"
"1049",515210,"Cable and Other Subscription Programming"
"1050",516210,NA
"1051",517110,"Wired Telecommunications Carriers"
"1052",517111,NA
"1053",517112,NA
"1054",517121,NA
"1055",517122,NA
"1056",517210,"Wireless Telecommunications Carriers (except Satellite)"
"1057",517212,"Cellular and Other Wireless Telecommunications"
"1058",517310,"Telecommunications Resellers"
"1059",517311,NA
"1060",517312,NA
"1061",517410,"Satellite Telecommunications"
"1062",517510,"Cable and Other Program Distribution"
"1063",517810,NA
"1064",517910,"Other Telecommunications"
"1065",517911,"Telecommunications Resellers"
"1066",517919,"All Other Telecommunications"
"1067",518111,"Internet Service Providers"
"1068",518112,"Web Search Portals"
"1069",518210,"Data Processing, Hosting, and Related Services"
"1070",519110,"News Syndicates"
"1071",519120,"Libraries and Archives"
"1072",519130,"Internet Publishing and Broadcasting and Web Search Portals"
"1073",519190,"All Other Information Services"
"1074",519290,NA
"1075",522110,"Commercial Banking"
"1076",522190,"Other Depository Credit intermediation"
"1077",522210,"Credit Card Issuing"
"1078",522220,"Sales Financing"
"1079",522291,"Consumer Lending"
"1080",522292,"Real Estate Credit"
"1081",522293,"International Trade Financing"
"1082",522294,"Secondary Market Financing"
"1083",522298,"All Other Nondepository Credit Intermediation"
"1084",522299,NA
"1085",522310,"Mortgage and Nonmortgage Loan Brokers"
"1086",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activiti"
"1087",522390,"Other Activities Related to Credit Intermediation"
"1088",523110,"Investment Banking and Securities Dealing"
"1089",523120,"Securities Brokerage"
"1090",523130,"Commodity Contracts Dealing"
"1091",523140,"Commodity Contracts Brokerage"
"1092",523150,NA
"1093",523210,"Securities and Commodity Exchanges"
"1094",523910,"Miscellaneous Intermediation"
"1095",523920,"Portfolio Management"
"1096",523930,"Investment Advice"
"1097",523940,NA
"1098",523991,"Trust, Fiduciary, and Custody Activities"
"1099",523999,"Miscellaneous Financial Investment Activities"
"1100",524113,"Direct Life Insurance Carriers"
"1101",524113,NA
"1102",524114,"Direct Health and Medical Insurance Carriers"
"1103",524126,"Direct Property and Casualty Insurance Carriers"
"1104",524127,"Direct Title Insurance Carriers"
"1105",524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
"1106",524130,"Reinsurance Carriers"
"1107",524210,"Insurance Agencies and Brokerages"
"1108",524291,"Claims Adjusting"
"1109",524292,"Third Party Administration of Insurance and Pension Funds"
"1110",524298,"All Other Insurance Related Activities"
"1111",525110,"Pension Funds"
"1112",525120,"Health and Welfare Funds"
"1113",525910,"Open-End Investment Funds"
"1114",525920,"Trusts, Estates, and Agency Accounts"
"1115",525930,"Real Estate Investment Trusts"
"1116",525990,"Other Financial Vehicles"
"1117",531110,"Lessors of Residential Buildingsv and Dwellings"
"1118",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)"
"1119",531130,"Lessors of Miniwarehouses and Self-Storage Units"
"1120",531190,"Lessors of Other Real Estate Property"
"1121",531210,"Offices of Real Estate Agents and Brokers"
"1122",531210,NA
"1123",531311,"Residential Property Managers"
"1124",531312,"Nonresidential Property Managers"
"1125",531312,NA
"1126",531320,"Offices of Real Estate Appraisers"
"1127",531390,"Other Activities Related to Real Estate"
"1128",532111,"Passenger Car Rental"
"1129",532112,"Passenger Car Leasing"
"1130",532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasi"
"1131",532210,"Consumer Electronics and Appliances Rental"
"1132",532220,"Formal Wear and Costume Rental"
"1133",532230,"Video Tape and Disc Rental"
"1134",532281,NA
"1135",532283,NA
"1136",532284,NA
"1137",532289,NA
"1138",532291,"Home Health Equipment Rental"
"1139",532292,"Recreational Goods Rental"
"1140",532299,"All Other Consumer Goods Rental"
"1141",532310,"General Rental Centers"
"1142",532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Le"
"1143",532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and"
"1144",532420,"Office Machinery and Equipment Rental and Leasing"
"1145",532490,"Other Commercial and Industrial Machinery and Equipment Rental and Lea"
"1146",533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"
"1147",541110,"Offices of Lawyers"
"1148",541110,NA
"1149",541120,"Offices of Notaries"
"1150",541191,"Title Abstract and Settlement Offices"
"1151",541199,"All Other Legal Services"
"1152",541211,"Offices of Certified Public Accountants"
"1153",541213,"Tax Preparation Services"
"1154",541213,NA
"1155",541214,"Payroll Services"
"1156",541219,"Other Accounting Services"
"1157",541310,"Architectural Services"
"1158",541320,"Landscape Architectural Services"
"1159",541320,NA
"1160",541330,"Engineering Services"
"1161",541340,"Drafting Services"
"1162",541350,"Building Inspection Services"
"1163",541360,"Geophysical Surveying and Mapping Services"
"1164",541370,"Surveying and Mapping (except Geophysical) Services"
"1165",541380,"Testing Laboratories"
"1166",541410,"Interior Design Services"
"1167",541420,"Industrial Design Services"
"1168",541430,"Graphic Design Services"
"1169",541490,"Other Specialized Design Services"
"1170",541511,"Custom Computer Programming Services"
"1171",541512,"Computer Systems Design Services"
"1172",541513,"Computer Facilities Management Services"
"1173",541519,"Other Computer Related Services"
"1174",541611,"Administrative Management and General Management Consulting Services"
"1175",541611,NA
"1176",541612,"Human Resources and Executive Search Consulting Services"
"1177",541613,"Marketing Consulting Services"
"1178",541614,"Process, Physical Distribution, and Logistics Consulting Services"
"1179",541618,"Other Management Consulting Services"
"1180",541620,"Environmental Consulting Services"
"1181",541690,"Other Scientific and Technical Consulting Services"
