Fiscal.Year,Unique.Identifier,Deal.Number,Decision,Decision.Date,Effective.Date,Expiration.Date,Brokered,Deal.Cancelled,Country,Program,Policy.Type,Decision.Authority,Primary.Export.Product.NAICS.SIC.code,Product.Description,Term,Primary.Applicant,Primary.Lender,Primary.Exporter,Primary.Exporter.City,Primary.Exporter.State.Code,Primary.Exporter.State.Name,Primary.Borrower,Primary.Source.of.Repayment.(PSOR),Working.Capital.Delegated.Authority,Approved.Declined.Amount,Disbursed.Shipped.Amount,Undisbursed.Exposure.Amount,Outstanding.Exposure.Amount,Small.Business.Authorized.Amount,Woman.Owned.Authorized.Amount,Minority.Owned.Authorized.Amount,Loan.Interest.Rate,Multiyear.Working.Capital.Extension,Primary.Export.Product.NAICS,Primary.Export.Product.SIC,principalnaicscodeText,AnyTag,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech,CriticalTech
2009,09292557ST0004,292557,Approved,02/20/2009 12:00:00 AM,4/1/2009,04/01/2010 12:00:00 AM,No,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334119,Other Computer Peripheral Equipment Manufacturing,Short Term,"Znyx Networks, Inc.",,"Znyx Networks, Inc.",Fremont,CA,California,Multiple - Borrowers,Multiple - PSORs,,500000,0,0,0,500000,500000,0,,,334119,,Other Computer Peripheral Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09294371ST0004,294371,Approved,06/24/2009 12:00:00 AM,6/1/2009,06/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334419,Other Electronic Component Manufacturing,Short Term,"Dairyland Electrical Industries, Inc.",,"Dairyland Electrical Industries, Inc.",Stoughton,WI,Wisconsin,Multiple - Borrowers,Multiple - PSORs,,400000,1084049.28,0,0,400000,0,0,,,334419,,Other Electronic Component Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
2009,09400284ST0004,400284,Approved,08/26/2009 12:00:00 AM,9/1/2009,09/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,541511,Custom Computer Programming Services,Short Term,Western Services Corporation,,Western Services Corporation,Frederick,MD,Maryland,Multiple - Borrowers,Multiple - PSORs,,1500000,2305009.29,0,0,1500000,1500000,0,,,541511,,Custom Computer Programming Services,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09400284ST0005,400284,Approved,04/28/2009 12:00:00 AM,9/1/2008,09/01/2009 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,541511,Custom Computer Programming Services,Short Term,Western Services Corporation,,Western Services Corporation,Frederick,MD,Maryland,Multiple - Borrowers,Multiple - PSORs,,0,1396354.42,0,0,0,0,0,,,541511,,Custom Computer Programming Services,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09400465ST0004,400465,Approved,08/28/2009 12:00:00 AM,9/1/2009,09/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,325411,Medicinal and Botanical Manufacturing,Short Term,"Natural Organics, Inc",,"Natural Organics, Inc",Melville,NY,New York,Multiple - Borrowers,Multiple - PSORs,,750000,6314665,0,0,750000,0,0,,,325411,,Medicinal and Botanical Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Biotechnology
2009,09401148ST0003,401148,Approved,10/28/2008 12:00:00 AM,11/1/2008,11/01/2009 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,"Superior Modular Products, Inc.",,"Superior Modular Products, Inc.",Swannanoa,NC,North Carolina,Multiple - Borrowers,Multiple - PSORs,,1000000,1816739.32,0,0,0,0,0,,,334220,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09402309ST0003,402309,Approved,10/31/2008 12:00:00 AM,12/1/2008,12/01/2009 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,"UVP, LLC","Comerica Bank (Costa Mesa, CA)","Uvp, Llc",Upland,CA,California,Multiple - Borrowers,Multiple - PSORs,,2000000,4129013.5,0,0,2000000,0,0,,,334516,,Analytical Laboratory Instrument Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09408542ST0003,408542,Approved,05/07/2009 12:00:00 AM,6/1/2009,06/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,517910,Other Telecommunications,Short Term,"Worldwide Supply, LLC",Lakeland Bank,Worldwide Supply Llc,Franklin,NJ,New Jersey,Multiple - Borrowers,Multiple - PSORs,,1000000,1498385.84,0,0,1000000,0,0,,,517910,,Other Telecommunications,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09409873ST0003,409873,Approved,06/02/2009 12:00:00 AM,6/1/2009,06/01/2010 12:00:00 AM,No,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334111,Electronic Computer Manufacturing,Short Term,Motherboard Express Company,,Motherboard Express Company,Wauconda,IL,Illinois,Multiple - Borrowers,Multiple - PSORs,,400000,0,0,0,400000,400000,0,,,334111,,Electronic Computer Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09410485ST0003,410485,Approved,06/17/2009 12:00:00 AM,7/1/2009,07/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,325412,Pharmaceutical Preparation Manufacturing,Short Term,"Vitamec USA, Inc.",Saehan Bank,"Vitamec Usa, Inc.",Van Nuys,CA,California,Ali Abdulwahab Sons & Co,Ali Abdulwahab Sons & Co,,400000,88661.43,0,0,400000,0,0,,,325412,,Pharmaceutical Preparation Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Biotechnology
2009,09410952ST0003,410952,Approved,05/19/2009 12:00:00 AM,6/1/2009,06/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,"Ktech Telecommunications, Inc.",GBC International Bank,"Ktech Telecommunications, Inc.",Chatsworth,CA,California,Multiple - Borrowers,Multiple - PSORs,,500000,307707.2,0,0,500000,0,500000,,,334220,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09411570ST0003,411570,Approved,08/19/2009 12:00:00 AM,10/1/2009,10/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,"Engineering & Research Associates, Inc.",,"Engineering & Research Associates, Inc.",Tucson,AZ,Arizona,Multiple - Borrowers,Multiple - PSORs,,1000000,996908.45,0,0,1000000,0,0,,,334516,,Analytical Laboratory Instrument Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09412660ST0003,412660,Approved,07/06/2009 12:00:00 AM,8/1/2009,08/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Sierra Monitor Corporation,,Sierra Monitor Corporation,Milpitas,CA,California,Multiple - Borrowers,Multiple - PSORs,,500000,1047379.4,0,0,500000,0,0,,,334513,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09412888ST0003,412888,Approved,09/25/2009 12:00:00 AM,10/1/2009,10/01/2010 12:00:00 AM,No,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Waltron LLC,,Waltron Llc,Whitehouse,NJ,New Jersey,Multiple - Borrowers,Multiple - PSORs,,100000,8691.04,0,0,100000,0,0,,,334513,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09413350ST0003,413350,Approved,09/18/2009 12:00:00 AM,10/1/2009,10/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334290,Other Communications Equipment Manufacturing,Short Term,"Tektone Sound And Signal, Mfg.,inc.",,"Tektone Sound And Signal, Mfg.,Inc.",Franklin,NC,North Carolina,Multiple - Borrowers,Multiple - PSORs,,100000,0,0,0,100000,0,100000,,,334290,,Other Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09414913ST0003,414913,Approved,09/25/2009 12:00:00 AM,10/1/2009,10/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electric,Short Term,Ballantine Laboratories Inc,,Ballantine Laboratories Inc,Cedar Knolls,NJ,New Jersey,Multiple - Borrowers,Multiple - PSORs,,50000,0,0,0,50000,0,0,,,334515,,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09417450ST0002,417450,Approved,12/16/2008 12:00:00 AM,12/1/2008,12/01/2009 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,"J And N Enterprises, Inc. /dba/ Sensit Technologies",,"J And N Enterprises, Inc. /Dba/ Sensit Technologies",Valparaiso,IN,Indiana,Multiple - Borrowers,Multiple - PSORs,,500000,0,0,0,500000,500000,0,,,334516,,Analytical Laboratory Instrument Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09417838ST0002,417838,Approved,11/26/2008 12:00:00 AM,1/1/2009,01/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334413,Semiconductor and Related Device Manufacturing,Short Term,"Expert Semiconductor Technology, Inc.",,"Expert Semiconductor Technology, Inc.",Scotts Valley,CA,California,USED4Semiconductor Ltd,USED4Semiconductor Ltd,,250000,0,0,0,250000,0,0,,,334413,,Semiconductor and Related Device Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
2009,09419799ST0002,419799,Approved,12/02/2008 12:00:00 AM,1/1/2009,01/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334419,Other Electronic Component Manufacturing,Short Term,"Imtec Acculine, Inc.",Private Bank of the Peninsula,"Imtec Acculine, Llc",Fremont,CA,California,Multiple - Borrowers,Multiple - PSORs,,500000,1754099.96,0,0,500000,0,500000,,,334419,,Other Electronic Component Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
2009,09420272ST0002,420272,Approved,10/17/2008 12:00:00 AM,12/1/2008,12/01/2009 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Vortek Instruments LLC,,Vortek Instruments Llc,Longmont,CO,Colorado,Multiple - Borrowers,Multiple - PSORs,,200000,511856.82,0,0,200000,0,0,,,334513,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09421210ST0002,421210,Approved,02/06/2009 12:00:00 AM,2/1/2009,02/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,325412,Pharmaceutical Preparation Manufacturing,Short Term,"Helica Biosystems, Inc.",,"Helica Biosystems, Inc.",Santa Ana,CA,California,Multiple - Borrowers,Multiple - PSORs,,100000,151036.05,0,0,100000,0,100000,,,325412,,Pharmaceutical Preparation Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Biotechnology
2009,09422792MT0001,422792,Approved,10/15/2008 12:00:00 AM,4/1/2008,02/29/2012 12:00:00 AM,Yes,No,Argentina,Insurance,MSM,Loan/Credit Committee,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,Philips Medical Systems Hsg,"Banco Bilbao Vizcaya Argentaria, S.A.","Philips Medical Systems Export, Inc.",Andover,MA,Massachusetts,Hospital Británico De Buenos Aires,Hospital Británico De Buenos Aires,,822141,822140.96,0,0,0,0,0,,,334510,,Electromedical and Electrotherapeutic Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09423451ST0002,423451,Approved,03/11/2009 12:00:00 AM,5/1/2009,05/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334119,Other Computer Peripheral Equipment Manufacturing,Short Term,"Pertech Resources, Inc.",,"Pertech Resources, Inc.",Riverton,WY,Wyoming,Multiple - Borrowers,Multiple - PSORs,,1000000,335248.7,0,0,1000000,0,0,,,334119,,Other Computer Peripheral Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09423863ST0002,423863,Approved,08/18/2009 12:00:00 AM,10/1/2009,10/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,"Fox Thermal Instruments, Inc.",,"Fox Thermal Instruments, Inc.",Marina,CA,California,Multiple - Borrowers,Multiple - PSORs,,500000,984948.38,0,0,500000,0,0,,,334513,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09425730ST0002,425730,Approved,01/14/2009 12:00:00 AM,1/15/2009,03/09/2009 12:00:00 AM,Yes,No,United Kingdom,Insurance,ESS,Individual Delegated Authority,325412,Pharmaceutical Preparation Manufacturing,Short Term,"Capricorn Products, Inc./dba/Capricorn Products",,Capricorn Products Llc,Portland,ME,Maine,"Randox Laboratories, Ltd.","Randox Laboratories, Ltd.",,108000,332440,0,0,108000,108000,0,,,325412,,Pharmaceutical Preparation Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Biotechnology
2009,09426592ST0002,426592,Approved,06/01/2009 12:00:00 AM,6/1/2009,06/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Murray Equipment Inc,,Murray Equipment Inc,Fort Wayne,IN,Indiana,Multiple - Borrowers,Multiple - PSORs,,750000,2057979.26,0,0,750000,0,0,,,334513,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09426956ST0002,426956,Approved,02/20/2009 12:00:00 AM,4/1/2009,04/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,Emissions Methods Inc. dba Webber EMI,,Emissions Methods Inc. Dba Webber Emi,Ontario,CA,California,Multiple - Borrowers,Multiple - PSORs,,600000,0,0,0,600000,0,0,,,334516,,Analytical Laboratory Instrument Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09427015ST0002,427015,Approved,02/26/2009 12:00:00 AM,3/1/2009,03/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electric,Short Term,Radian Research Inc,,Radian Research Inc,Lafayette,IN,Indiana,Multiple - Borrowers,Multiple - PSORs,,1000000,3047379.22,0,0,1000000,0,0,,,334515,,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09428735ST0002,428735,Approved,06/11/2009 12:00:00 AM,6/1/2009,06/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENV,Individual Delegated Authority,541380,Testing Laboratories and Services,Short Term,"New Age/Landmark, Inc.",,"New Age/Landmark, Inc.",Benton Harbor,MI,Michigan,Multiple - Borrowers,Multiple - PSORs,,250000,0,0,0,250000,0,0,,,541380,,Testing Laboratories,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09429405MT0001,429405,Approved,04/21/2009 12:00:00 AM,8/1/2008,11/15/2010 12:00:00 AM,Yes,No,Brazil,Insurance,MSM,Loan/Credit Committee,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,"Philips Medical Systems Export, Inc.","Banco Bilbao Vizcaya Argentaria, S.A.","Philips Medical Systems Export, Inc.",Andover,MA,Massachusetts,Hospital De Caridade Dr Astrogildo Azevedo,Hospital De Caridade Dr Astrogildo Azevedo,,2423731,2374900,0,0,0,0,0,,,334510,,Electromedical and Electrotherapeutic Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09429787MT0002,429787,Approved,12/31/2008 12:00:00 AM,6/1/2008,04/01/2009 12:00:00 AM,Yes,No,Brazil,Insurance,MSM,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,1st United Bank,1st United Bank,Volcano Corporation,Rancho Cordova,CA,California,CMS PRODUTOS MEDICOS LTDA.,CMS PRODUTOS MEDICOS LTDA.,,210.63,0,0,0,57.796872,0,0,,,334510,,Electromedical and Electrotherapeutic Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09430579ST0002,430579,Approved,06/01/2009 12:00:00 AM,6/1/2009,06/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Short Term,Luminetx Corporation,,Luminetx Corporation,Memphis,TN,Tennessee,Multiple - Borrowers,Multiple - PSORs,,1000000,329454.95,0,0,1000000,0,0,,,334510,,Electromedical and Electrotherapeutic Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09431138MT0001,431138,Approved,12/31/2008 12:00:00 AM,7/25/2008,12/15/2009 12:00:00 AM,Yes,No,Argentina,Insurance,MSM,Loan/Credit Committee,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,"Philips Medical Systems Export, Inc.",,"Philips Medical Systems Export, Inc.",Andover,MA,Massachusetts,Diagnostico Medico Por Imagenes S.R.L.,Diagnostico Medico Por Imagenes S.R.L.,,307927,307927,0,0,0,0,0,,,334510,,Electromedical and Electrotherapeutic Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09431397MT0001,431397,Approved,10/31/2008 12:00:00 AM,2/15/2009,06/15/2009 12:00:00 AM,Yes,No,Mexico,Insurance,MSM,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Medium Term,1st United Bank,1st United Bank,Idirect Inc,Herndon,VA,Virginia,"Turn Key, S.A de C.V.","Turn Key, S.A de C.V.",,172395.8,0,0,0,47305.40752,0,0,,,334220,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09432132ST0002,432132,Approved,07/02/2009 12:00:00 AM,6/20/2009,07/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334119,Other Computer Peripheral Equipment Manufacturing,Short Term,"Stallard Technologies, Inc.",,"Stallard Technologies, Inc.",Overland Park,KS,Kansas,Multiple - Borrowers,Multiple - PSORs,,500000,0,0,0,500000,0,0,,,334119,,Other Computer Peripheral Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09432480ST0002,432480,Approved,07/15/2009 12:00:00 AM,8/1/2009,08/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System",Short Term,Freeflight Acquisition Corporation,,Freeflight Acquisition Corporation,Waco,TX,Texas,Multiple - Borrowers,Multiple - PSORs,,700000,1033440.26,0,0,700000,0,0,,,334511,,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",TRUE,,,,,,,,,,,,,,,,,,SensorCyber
2009,09433592ST0002,433592,Approved,08/28/2009 12:00:00 AM,9/1/2009,09/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,541512,Computer Systems Design Services,Short Term,"Winbourne & Costas, Inc.",,"Winbourne & Costas, Inc.",Washington,DC,District of Columbia,Multiple - Borrowers,Multiple - PSORs,,150000,0,0,0,150000,0,0,,,541512,,Computer Systems Design Services,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09433629ST0002,433629,Approved,08/06/2009 12:00:00 AM,8/31/2009,08/31/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334112,Computer Storage Device Manufacturing,Short Term,"CMS Products, Inc.",,"Cms Products, Inc.",Irvine,CA,California,Multiple - Borrowers,Multiple - PSORs,,300000,221583.1,0,0,300000,0,0,,,334112,,Computer Storage Device Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09433751MT0001,433751,Approved,02/26/2009 12:00:00 AM,2/25/2009,04/01/2010 12:00:00 AM,Yes,No,Brazil,Insurance,MSM,Loan/Credit Committee,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,"PNC Bank, N.A.","PNC Bank, N.A.","Varian Medical Systems, Inc.",Palo Alto,CA,California,Oncorad - Servicos Em Radioterapia Ltda.,Instituto Do Radium De Campinas Ltda.,,1611937.8,1574514.67,0,0,442315.7323,0,0,,,334510,,Electromedical and Electrotherapeutic Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09433904MT0001,433904,Approved,02/06/2009 12:00:00 AM,11/15/2008,03/25/2009 12:00:00 AM,Yes,No,Russia,Insurance,MSM,Individual Delegated Authority,334119,Other Computer Peripheral Equipment Manufacturing,Medium Term,Diebold Global Finance Corporation,Diebold Global Finance Corporation,"Diebold, Incorporated",North Canton,OH,Ohio,Commercial Bank Master-Bank (Open Joint Stock Company),Commercial Bank Master-Bank (Open Joint Stock Company),,3770421.6,0,0,0,0,0,0,,,334119,,Other Computer Peripheral Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Computing
2009,09434095ST0004,434095,Approved,07/28/2009 12:00:00 AM,9/15/2009,09/15/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,325412,Pharmaceutical Preparation Manufacturing,Short Term,BIOS Biochemicals Corp.,,Bios Biochemicals Corp.,Phoenix,AZ,Arizona,Multiple - Borrowers,Multiple - PSORs,,150000,0,0,0,150000,0,0,,,325412,,Pharmaceutical Preparation Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Biotechnology
2009,09434556ST0002,434556,Approved,08/06/2009 12:00:00 AM,9/1/2009,09/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334417,Electronic Connector Manufacturing,Short Term,"Ohio Associated Enterprises, LLC",PNC Bank N.A.,"Ohio Associated Enterprises, Llc",Painesville,OH,Ohio,Multiple - Borrowers,Multiple - PSORs,,1000000,2387883.19,0,0,1000000,0,0,,,334417,,Electronic Connector Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
2009,09434800ST0001,434800,Approved,10/07/2008 12:00:00 AM,10/1/2008,10/01/2009 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334210,Telephone Apparatus Manufacturing,Short Term,"Nuphoton Technologies, Inc",,"Nuphoton Technologies, Inc",Murrieta,CA,California,Multiple - Borrowers,Multiple - PSORs,,200000,109775,0,0,200000,0,200000,,,334210,,Telephone Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09434800ST0002,434800,Approved,08/25/2009 12:00:00 AM,10/1/2009,10/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334210,Telephone Apparatus Manufacturing,Short Term,"Nuphoton Technologies, Inc",,"Nuphoton Technologies, Inc",Murrieta,CA,California,Multiple - Borrowers,Multiple - PSORs,,200000,87719,0,0,200000,0,200000,,,334210,,Telephone Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09435004ST0002,435004,Approved,07/27/2009 12:00:00 AM,9/15/2009,09/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ENV,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,"California Analytical Instruments, Inc.",,"California Analytical Instruments, Inc.",Orange,CA,California,Multiple - Borrowers,Multiple - PSORs,,400000,0,0,0,400000,0,0,,,334516,,Analytical Laboratory Instrument Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09435149ST0002,435149,Approved,09/08/2009 12:00:00 AM,9/1/2009,09/01/2010 12:00:00 AM,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,Nexcelom Bioscience LLC,,Nexcelom Bioscience Llc,Lawrence,MA,Massachusetts,Multiple - Borrowers,Multiple - PSORs,,200000,865382.18,0,0,200000,0,200000,,,334516,,Analytical Laboratory Instrument Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09435845MT0001,435845,Approved,10/30/2008 12:00:00 AM,11/15/2008,01/15/2010 12:00:00 AM,Yes,No,Brazil,Insurance,MSM,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,"Philips Medical Systems Export, Inc.","Banco Bilbao Vizcaya Argentaria, S.A.","Philips Medical Systems Export, Inc.",Andover,MA,Massachusetts,Fundacao Instituto de Pesquisas e Estudos de Diagnostico por Imagem/dba/...,Fundacao Instituto de Pesquisas e Estudos de Diagnostico por Imagem/dba/...,,715096,705500,0,0,0,0,0,,,334510,,Electromedical and Electrotherapeutic Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2009,09436729MT0001,436729,Approved,02/25/2009 12:00:00 AM,2/1/2009,02/01/2010 12:00:00 AM,Yes,No,Argentina,Insurance,MTR,Loan/Credit Committee,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Medium Term,PNC Bank N.A.,PNC Bank N.A.,Kathrein Inc Scala Division,Medford,OR,Oregon,"Telecentro, S.A.","Telecentro, S.A.",,4652475,0,0,0,1276639.14,0,0,,,334220,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2009,09436855ST0001,436855,Approved,10/07/2008 12:00:00 AM,9/1/2008,09/01/2009 12:00:00 AM,Yes,No,China,Insurance,ESS,Individual Delegated Authority,334419,Other Electronic Component Manufacturing,Short Term,Mayville Products Corporation,,Mayville Products Corporation,Mayville,WI,Wisconsin,Lucent Technologies Qingdao Telecommunications Equipment Ltd.,Lucent Technologies Qingdao Telecommunications Equipment Ltd.,,450000,1696613.29,0,0,450000,0,0,,,334419,,Other Electronic Component Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
