Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2016,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,BOA,No Competition (Only One Source Exception),No competition,UCA,J,Large: Big 5,TRUE,N,Y,NA,2018,NA,2018,>2-4 Years,>2-4 Years,2,149990,NA,2,2016-01-01,2016,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Big Five,186183.43815162574,UCA,>1 year,FFP,UCA,Crosscutting,>1 year
2023,4,Defense,DLA,Other,Aircraft,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,NA,2022,NA,2022,>7-12 Months,>7-12 Months,1,-4387.5,NA,1,2023-01-01,2023.4,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Medium,-4387.5,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2025,2,Defense,Air Force,Aircraft,Aircraft,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,X,2025,FALSE,2025,>4 years,>4 years,1,0,NA,1,2025-01-01,2025.2,YTD,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,Air Force,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2020,NA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large,FALSE,Y,N,NA,2020,FALSE,2020,>7-12 Months,>7-12 Months,1,-17050,NA,1,2020-01-01,2020,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Large,-19733.511896191976,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Army,ERS,Land Vehicles,NA,NA,NA,Full Competition (Multiple Offers),3-4 Offers,NA,1,Unlabeled,TRUE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2006-01-01,2006,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Order Dependent (IDV only),NA,NA,Crosscutting,Crosscutting,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Army,Unlabeled,0,NA,NA,NA,NA,Crosscutting,NA
2017,NA,Defense,Other DoD,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,BPA,Competition with single offer,One Offer,FFP,J,Large,TRUE,N,N,NA,2018,NA,2018,>7-12 Months,>7-12 Months,1,2135247.25,NA,1,2017-01-01,2017,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Other DoD,Large,2606496.3185757077,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2019,NA,Defense,DLA,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,Other FP,A,Medium <1B,FALSE,N,N,NA,2019,FALSE,2019,<=2 Months,<=2 Months,2,0,NA,2,2019-01-01,2019,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Fixed Price Redetermination,Other FP,All Other,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,DLA,Medium,0,All Other,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,1,Defense,Army,Ground Vehicles,Land Vehicles,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,Other CB,U,Large: Big 5,TRUE,N,Y,NA,2023,FALSE,2023,>7-12 Months,>7-12 Months,1,815913,NA,1,2023-01-01,2023.1,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Land Vehicles,Army,Big Five,815913,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,Army,ERS,Facilities and Construction,NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2020,NA,2024,>4 years,>7-12 Months,1,0,NA,1,2020-01-01,2020,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
1996,NA,Defense,Army,Advanced Development,"Electronics, Comms, & Sensors",NA,NA,NA,Limited Competition with multiple offers,Two Offers,NA,J,Large: Big 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,594785,NA,4,1996-01-01,1996,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,NA,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Army,Big Five,1064907.6698364224,FFP,NA,FFP,FFP,Crosscutting,NA
2022,3,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,BOA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,X,2022,NA,2023,>2-4 Years,>2-4 Years,1,113764.9,NA,1,2022-01-01,2022.3,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Small,118969.25677350567,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Army,Aircraft,Aircraft,FALSE,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,FALSE,N,Y,X,2010,FALSE,2009,>1-2 Years,>2-4 Years,1,-62400,NA,1,2010-01-01,2010,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Aircraft,Army,Small,-84937.19889839555,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2002,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,NA,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,NA,,Small,FALSE,Y,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2002-01-01,2002,Full Year,Air Force,Air Force,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,NA,NA,NA,NA,NA,Crosscutting,Crosscutting,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,0,NA,NA,NA,NA,Crosscutting,NA
2004,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,X,2005,FALSE,1900,NA,>1-2 Years,1,178632,NA,1,2004-01-01,2004,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,276475.31686250214,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2019,NA,Defense,Navy,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,NA,2020,FALSE,2017,>1-2 Years,>4 years,1,0,NA,1,2019-01-01,2019,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2006,NA,Defense,Army,FRS,Facilities and Construction,FALSE,NA,MULTIPLE AWARD IDC,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Medium <1B,TRUE,N,N,X,2006,FALSE,1900,NA,>7-12 Months,11,61524233.6875,NA,11,2006-01-01,2006,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,89503792.19670835,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2010,NA,Defense,DLA,Other,Other Products,NA,NA,PO,Limited Competition with multiple offers,25-99 Offers,FFP,J,Small,TRUE,N,N,NA,2010,NA,2010,<=2 Months,<=2 Months,2,39405,NA,2,2010-01-01,2010,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Small,53637.024400501236,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other FP,M,Small,TRUE,Y,N,NA,2010,FALSE,2010,>7-12 Months,>7-12 Months,1,0,NA,1,2010-01-01,2010,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Fixed Price Award Fee,Other FP,All Other,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,0,All Other,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2025,1,Defense,Army,R&D administrative and operational expenses,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Small,TRUE,N,N,Y,2025,FALSE,2025,>1-2 Years,>1-2 Years,1,1018000,NA,1,2025-01-01,2025.1,YTD,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Small,970231.5740524493,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2010,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,NA,2011,NA,2013,>2-4 Years,>1-2 Years,2,239500,NA,2,2010-01-01,2010,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Medium,326000.9476949637,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2020,NA,Defense,Navy,Other,Ships & Submarines,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,NA,2016,NA,2016,>2-7 Months,>2-7 Months,1,-4715,NA,1,2020-01-01,2020,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ships & Submarines,Navy,Small,-5457.097278037841,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,X,2015,FALSE,2015,>4 years,>4 years,2,67952,NA,2,2015-01-01,2015,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,85023.58179440613,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2021,NA,Defense,Other DoD,Aircraft,Aircraft,NA,NA,MULTIPLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Small,TRUE,N,N,NA,2019,FALSE,2017,>2-4 Years,>2-4 Years,2,-84296.3984,NA,2,2021-01-01,2021,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,Products,Products (All),Products (All),Aircraft,Other DoD,Small,-94317.70259095242,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2002,NA,Defense,Army,Engines & Power Plants,Land Vehicles,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,N,N,X,2002,FALSE,1900,NA,<=2 Months,1,3000,NA,1,2002-01-01,2002,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Land Vehicles,Army,Small,4847.895156394261,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2013,NA,Defense,Air Force,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,DCA,Limited Competition with multiple offers,5-9 Offers,Other CB,U,Small,FALSE,N,N,X,2015,FALSE,2015,>2-4 Years,>2-4 Years,1,359439,NA,1,2013-01-01,2013,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Air Force,Small,462688.16529573995,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2020,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Small,FALSE,N,N,X,2020,FALSE,2021,>4 years,>4 years,3,843036,3372144,3,2020-01-01,2020,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,975722.0489688035,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2009,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Large,TRUE,N,N,X,2009,FALSE,2009,<=2 Months,>2-7 Months,1,-0.99,NA,1,2009-01-01,2009,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Large,-1.3592318066668219,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,4,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,TRUE,N,N,NA,2023,FALSE,2022,>7-12 Months,>1-2 Years,1,-11646.6797,NA,1,2023-01-01,2023.4,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,-11646.6797,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2000,NA,Defense,Air Force,Advanced Development,"Electronics, Comms, & Sensors",NA,NA,DCA,Limited Competition with multiple offers,Two Offers,Other CB,U,Medium <1B,FALSE,N,N,X,2001,FALSE,NA,NA,>2-4 Years,1,150000,NA,1,2000-01-01,2000,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Air Force,Medium,252176.00870651455,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2020,NA,Defense,Navy,PAMS,Ordnance and Missiles,FALSE,NA,DCA,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,X,2021,FALSE,2022,>2-4 Years,>2-4 Years,1,294746.85,589493.6875,1,2020-01-01,2020,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Ordnance and Missiles,Navy,Medium,341137.2710170154,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,2,Defense,Army,Launchers & Munitions,Ordnance and Missiles,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2024,NA,2024,>2-7 Months,>2-7 Months,1,-3683.01,NA,1,2024-01-01,2024.2,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ordnance and Missiles,Army,Medium,-3587.2100124539256,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,BPA,Competition with single offer,One Offer,FFP,J,Large,TRUE,Y,N,NA,2021,NA,2021,>2-4 Years,>2-4 Years,4,9252.1002,NA,4,2021-01-01,2021,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Large,10352.00615410031,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2004,NA,Defense,Army,Basic Research (6.1),Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,No Competition (Unlabeled Exception),No competition,FFP,J,Medium >1B,FALSE,N,N,X,2003,FALSE,1900,NA,>1-2 Years,2,58138,NA,2,2004-01-01,2004,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,R&D,R&D,R&D,Ordnance and Missiles,Army,Medium,89982.32103851577,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2017,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,S,Small,FALSE,N,N,NA,2017,FALSE,2015,>2-7 Months,>2-4 Years,1,-32964.05,NA,1,2017-01-01,2017,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,-40239.21584272996,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2015,NA,Defense,Navy,Other,Other Products,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2015,NA,2015,>2-7 Months,<=2 Months,1,18390,NA,1,2015-01-01,2015,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Navy,Small,23010.119925817173,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2013,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,N,N,X,2015,FALSE,2015,>4 years,>4 years,5,175321.1,NA,5,2013-01-01,2013,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,225682.23842329564,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,2,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2023,NA,2026,>4 years,>1-2 Years,2,2331116.92,NA,2,2022-01-01,2022.2,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,2437757.580980985,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2025,1,Defense,DLA,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2025,NA,2025,>2-7 Months,>2-7 Months,106,2404667.26,NA,106,2025-01-01,2025.1,YTD,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,2291831.140218261,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,2,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,NA,2023,NA,2019,>1-2 Years,>4 years,1,26279.9,NA,1,2022-01-01,2022.2,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Small,27482.11593454617,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2021,NA,Defense,Army,PAMS,Other Services,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,Other CB,R,Large,TRUE,N,Y,X,2006,FALSE,2012,>4 years,>7-12 Months,4,0,NA,4,2021-01-01,2021,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Large,0,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2024,3,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,Other CB,S,Large,TRUE,N,N,Y,2023,FALSE,2023,>2-7 Months,>2-7 Months,2,-8004.77,NA,2,2024-01-01,2024.3,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Large,-7796.555288036365,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
