"Dur.Simple","Ceil.Simple","StartFY","Term","Action_Obligation_OMB20_GDP18","Count","metric",".group"
"(~1 year,~2 years]","0k - <100k",2016,"Complete or Partial Termination",7830201.07525462,1369,"Early Results for All Contracts",43
"(~1 year,~2 years]","0k - <100k",2017,"Unterminated",941161308.557707,37380,"Early Results for All Contracts",44
"(~1 year,~2 years]","0k - <100k",2017,"Complete or Partial Termination",4399972.57706558,773,"Early Results for All Contracts",44
"(~1 year,~2 years]","100k - <10m",2007,"Unterminated",30281258651.3574,22001,"Early Results for All Contracts",45
"(~1 year,~2 years]","100k - <10m",2007,"Complete or Partial Termination",501979356.81829,525,"Early Results for All Contracts",45
"(~1 year,~2 years]","100k - <10m",2008,"Unterminated",32523722214.9361,23314,"Early Results for All Contracts",46
"(~1 year,~2 years]","100k - <10m",2008,"Complete or Partial Termination",557915803.600148,778,"Early Results for All Contracts",46
"(~1 year,~2 years]","100k - <10m",2009,"Unterminated",31095400125.7662,22594,"Early Results for All Contracts",47
"(~1 year,~2 years]","100k - <10m",2009,"Complete or Partial Termination",507588089.205556,788,"Early Results for All Contracts",47
"(~1 year,~2 years]","100k - <10m",2010,"Unterminated",31761766541.6634,22033,"Early Results for All Contracts",48
"(~1 year,~2 years]","100k - <10m",2010,"Complete or Partial Termination",540035271.306381,598,"Early Results for All Contracts",48
"(~1 year,~2 years]","100k - <10m",2011,"Unterminated",35022301354.8591,24055,"Early Results for All Contracts",49
"(~1 year,~2 years]","100k - <10m",2011,"Complete or Partial Termination",696015887.944977,663,"Early Results for All Contracts",49
"(~1 year,~2 years]","100k - <10m",2012,"Unterminated",30831996413.1501,22697,"Early Results for All Contracts",50
"(~1 year,~2 years]","100k - <10m",2012,"Complete or Partial Termination",818152997.0603,709,"Early Results for All Contracts",50
"(~1 year,~2 years]","100k - <10m",2013,"Unterminated",26207271801.6315,18990,"Early Results for All Contracts",51
"(~1 year,~2 years]","100k - <10m",2013,"Complete or Partial Termination",512211036.269344,568,"Early Results for All Contracts",51
"(~1 year,~2 years]","100k - <10m",2014,"Unterminated",25460011399.2583,19900,"Early Results for All Contracts",52
"(~1 year,~2 years]","100k - <10m",2014,"Complete or Partial Termination",321187520.549273,528,"Early Results for All Contracts",52
"(~1 year,~2 years]","100k - <10m",2015,"Unterminated",31803477306.8336,22696,"Early Results for All Contracts",53
"(~1 year,~2 years]","100k - <10m",2015,"Complete or Partial Termination",286797618.015513,512,"Early Results for All Contracts",53
"(~1 year,~2 years]","100k - <10m",2016,"Unterminated",27815680778.2542,21363,"Early Results for All Contracts",54
"(~1 year,~2 years]","100k - <10m",2016,"Complete or Partial Termination",200251377.121275,398,"Early Results for All Contracts",54
"(~1 year,~2 years]","100k - <10m",2017,"Unterminated",23265310061.704,20641,"Early Results for All Contracts",55
"(~1 year,~2 years]","100k - <10m",2017,"Complete or Partial Termination",140349327.020841,300,"Early Results for All Contracts",55
"(~1 year,~2 years]","10m+",2007,"Unterminated",53251909237.2632,1264,"Early Results for All Contracts",56
"(~1 year,~2 years]","10m+",2007,"Complete or Partial Termination",3895273211.85216,36,"Early Results for All Contracts",56
"(~1 year,~2 years]","10m+",2008,"Unterminated",77861089511.2458,1380,"Early Results for All Contracts",57
"(~1 year,~2 years]","10m+",2008,"Complete or Partial Termination",4012408630.97211,46,"Early Results for All Contracts",57
"(~1 year,~2 years]","10m+",2009,"Unterminated",79525659120.9065,1378,"Early Results for All Contracts",58
"(~1 year,~2 years]","10m+",2009,"Complete or Partial Termination",4729527617.24245,70,"Early Results for All Contracts",58
"(~1 year,~2 years]","10m+",2010,"Unterminated",65081894563.3137,1374,"Early Results for All Contracts",59
"(~1 year,~2 years]","10m+",2010,"Complete or Partial Termination",1555000198.84847,46,"Early Results for All Contracts",59
"(~1 year,~2 years]","10m+",2011,"Unterminated",64160577604.5129,1424,"Early Results for All Contracts",60
"(~1 year,~2 years]","10m+",2011,"Complete or Partial Termination",21439179097.8414,48,"Early Results for All Contracts",60
"(~1 year,~2 years]","10m+",2012,"Unterminated",61396725216.4446,1251,"Early Results for All Contracts",61
"(~1 year,~2 years]","10m+",2012,"Complete or Partial Termination",17705114318.6638,72,"Early Results for All Contracts",61
"(~1 year,~2 years]","10m+",2013,"Unterminated",44778428690.3029,926,"Early Results for All Contracts",62
"(~1 year,~2 years]","10m+",2013,"Complete or Partial Termination",579102951.499902,47,"Early Results for All Contracts",62
"(~1 year,~2 years]","10m+",2014,"Unterminated",38264161208.9251,930,"Early Results for All Contracts",63
"(~1 year,~2 years]","10m+",2014,"Complete or Partial Termination",295114338.662364,29,"Early Results for All Contracts",63
"(~1 year,~2 years]","10m+",2015,"Unterminated",39571939881.2347,1166,"Early Results for All Contracts",64
"(~1 year,~2 years]","10m+",2015,"Complete or Partial Termination",239415498.459884,26,"Early Results for All Contracts",64
"(~1 year,~2 years]","10m+",2016,"Unterminated",39888905913.5369,1239,"Early Results for All Contracts",65
"(~1 year,~2 years]","10m+",2016,"Complete or Partial Termination",3271258780.25962,21,"Early Results for All Contracts",65
"(~1 year,~2 years]","10m+",2017,"Unterminated",40454359960.922,1183,"Early Results for All Contracts",66
"(~1 year,~2 years]","10m+",2017,"Complete or Partial Termination",71114248.6893294,9,"Early Results for All Contracts",66
"(~2 years+]","0k - <100k",2007,"Unterminated",2319227522.19416,7020,"Early Results for All Contracts",67
"(~2 years+]","0k - <100k",2007,"Complete or Partial Termination",9788063.67965368,333,"Early Results for All Contracts",67
"(~2 years+]","0k - <100k",2008,"Unterminated",476224385.174001,6992,"Early Results for All Contracts",68
"(~2 years+]","0k - <100k",2008,"Complete or Partial Termination",105126400.278655,139,"Early Results for All Contracts",68
"(~2 years+]","0k - <100k",2009,"Unterminated",352893607.912579,4742,"Early Results for All Contracts",69
"(~2 years+]","0k - <100k",2009,"Complete or Partial Termination",17209057.5222222,101,"Early Results for All Contracts",69
"(~2 years+]","0k - <100k",2010,"Unterminated",1138964251.75857,5706,"Early Results for All Contracts",70
"(~2 years+]","0k - <100k",2010,"Complete or Partial Termination",5409123.48191644,221,"Early Results for All Contracts",70
"(~2 years+]","0k - <100k",2011,"Unterminated",991064868.330854,7271,"Early Results for All Contracts",71
"(~2 years+]","0k - <100k",2011,"Complete or Partial Termination",2552662.50815162,157,"Early Results for All Contracts",71
"(~2 years+]","0k - <100k",2012,"Unterminated",240054098.2268,7185,"Early Results for All Contracts",72
"(~2 years+]","0k - <100k",2012,"Complete or Partial Termination",4571859.5606,171,"Early Results for All Contracts",72
"(~2 years+]","0k - <100k",2013,"Unterminated",173503144.047231,4993,"Early Results for All Contracts",73
"(~2 years+]","0k - <100k",2013,"Complete or Partial Termination",3424184.99184996,189,"Early Results for All Contracts",73
"(~2 years+]","0k - <100k",2014,"Unterminated",366356612.65408,6691,"Early Results for All Contracts",74
"(~2 years+]","0k - <100k",2014,"Complete or Partial Termination",3271315.07099509,238,"Early Results for All Contracts",74
"(~2 years+]","0k - <100k",2015,"Unterminated",221421550.579423,5587,"Early Results for All Contracts",75
"(~2 years+]","0k - <100k",2015,"Complete or Partial Termination",4410766.84714952,387,"Early Results for All Contracts",75
"(~2 years+]","0k - <100k",2016,"Unterminated",147048206.958506,4729,"Early Results for All Contracts",76
"(~2 years+]","0k - <100k",2016,"Complete or Partial Termination",991651.994058846,137,"Early Results for All Contracts",76
"(~2 years+]","0k - <100k",2017,"Unterminated",155851222.18581,5992,"Early Results for All Contracts",77
"(~2 years+]","0k - <100k",2017,"Complete or Partial Termination",932538.088643942,106,"Early Results for All Contracts",77
"(~2 years+]","100k - <10m",2007,"Unterminated",11981195754.4216,6083,"Early Results for All Contracts",78
"(~2 years+]","100k - <10m",2007,"Complete or Partial Termination",201352975.71829,400,"Early Results for All Contracts",78
"(~2 years+]","100k - <10m",2008,"Unterminated",11511451088.8659,5683,"Early Results for All Contracts",79
"(~2 years+]","100k - <10m",2008,"Complete or Partial Termination",127562195.800127,126,"Early Results for All Contracts",79
"(~2 years+]","100k - <10m",2009,"Unterminated",11903958313.0898,5454,"Early Results for All Contracts",80
"(~2 years+]","100k - <10m",2009,"Complete or Partial Termination",182389876.759329,144,"Early Results for All Contracts",80
"(~2 years+]","100k - <10m",2010,"Unterminated",10514373066.8049,5430,"Early Results for All Contracts",81
"(~2 years+]","100k - <10m",2010,"Complete or Partial Termination",234867354.533465,201,"Early Results for All Contracts",81
"(~2 years+]","100k - <10m",2011,"Unterminated",10377931489.3108,5422,"Early Results for All Contracts",82
"(~2 years+]","100k - <10m",2011,"Complete or Partial Termination",225609299.401875,194,"Early Results for All Contracts",82
"(~2 years+]","100k - <10m",2012,"Unterminated",9276791308.2676,4908,"Early Results for All Contracts",83
"(~2 years+]","100k - <10m",2012,"Complete or Partial Termination",237426057.5788,205,"Early Results for All Contracts",83
"(~2 years+]","100k - <10m",2013,"Unterminated",7076592101.43883,4052,"Early Results for All Contracts",84
"(~2 years+]","100k - <10m",2013,"Complete or Partial Termination",57185452.2094462,117,"Early Results for All Contracts",84
"(~2 years+]","100k - <10m",2014,"Unterminated",7902567873.25421,4276,"Early Results for All Contracts",85
"(~2 years+]","100k - <10m",2014,"Complete or Partial Termination",69360585.972546,114,"Early Results for All Contracts",85
"(~2 years+]","100k - <10m",2015,"Unterminated",8107274287.9585,4292,"Early Results for All Contracts",86
"(~2 years+]","100k - <10m",2015,"Complete or Partial Termination",49793060.0947939,124,"Early Results for All Contracts",86
"(~2 years+]","100k - <10m",2016,"Unterminated",7692591720.01735,3990,"Early Results for All Contracts",87
"(~2 years+]","100k - <10m",2016,"Complete or Partial Termination",18841883.4781215,54,"Early Results for All Contracts",87
"(~2 years+]","100k - <10m",2017,"Unterminated",6936207982.98314,4710,"Early Results for All Contracts",88
"(~2 years+]","100k - <10m",2017,"Complete or Partial Termination",11039864.8017784,72,"Early Results for All Contracts",88
"(~2 years+]","10m+",2007,"Unterminated",75291398829.8778,812,"Early Results for All Contracts",89
"(~2 years+]","10m+",2007,"Complete or Partial Termination",2649778407.81039,19,"Early Results for All Contracts",89
"(~2 years+]","10m+",2008,"Unterminated",99521312796.4233,800,"Early Results for All Contracts",90
"(~2 years+]","10m+",2008,"Complete or Partial Termination",2543494974.16541,27,"Early Results for All Contracts",90
"(~2 years+]","10m+",2009,"Unterminated",102125605105.148,838,"Early Results for All Contracts",91
"(~2 years+]","10m+",2009,"Complete or Partial Termination",13208327584.7788,30,"Early Results for All Contracts",91
"(~2 years+]","10m+",2010,"Unterminated",70223920160.3272,855,"Early Results for All Contracts",92
"(~2 years+]","10m+",2010,"Complete or Partial Termination",1694802162.89108,35,"Early Results for All Contracts",92
"(~2 years+]","10m+",2011,"Unterminated",84172780015.9519,880,"Early Results for All Contracts",93
"(~2 years+]","10m+",2011,"Complete or Partial Termination",1228794559.29998,36,"Early Results for All Contracts",93
"(~2 years+]","10m+",2012,"Unterminated",105236542860.509,711,"Early Results for All Contracts",94
"(~2 years+]","10m+",2012,"Complete or Partial Termination",7068123356.9832,40,"Early Results for All Contracts",94
"(~2 years+]","10m+",2013,"Unterminated",79595594340.7585,687,"Early Results for All Contracts",95
"(~2 years+]","10m+",2013,"Complete or Partial Termination",226029522.69128,17,"Early Results for All Contracts",95
"(~2 years+]","10m+",2014,"Unterminated",53060791242.4868,642,"Early Results for All Contracts",96
"(~2 years+]","10m+",2014,"Complete or Partial Termination",1419820761.01378,16,"Early Results for All Contracts",96
"(~2 years+]","10m+",2015,"Unterminated",46354581228.2514,605,"Early Results for All Contracts",97
"(~2 years+]","10m+",2015,"Complete or Partial Termination",2053558961.13905,21,"Early Results for All Contracts",97
"(~2 years+]","10m+",2016,"Unterminated",63665704389.1192,719,"Early Results for All Contracts",98
"(~2 years+]","10m+",2016,"Complete or Partial Termination",168956663.393059,14,"Early Results for All Contracts",98
"(~2 years+]","10m+",2017,"Unterminated",48221750463.776,741,"Early Results for All Contracts",99
"(~2 years+]","10m+",2017,"Complete or Partial Termination",33124314.7947388,8,"Early Results for All Contracts",99
