"ProjectAbbreviation","ProjectName","ProjectPlatform","Fiscal.Year","Action_Obligation"
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1992,3637774
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1993,1145929
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1994,73954385
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1995,72793101
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1996,30174679
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1997,7718249
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1998,64692591
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",1999,35886614
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",2000,2461739
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",2001,3455647
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",2002,11911063
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",2003,-3794780
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",2004,2900
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",2010,-711594.6875
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",2020,0
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",1994,676167
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",1995,3370412
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",1996,3837035
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",1997,6403323
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",1998,13518126
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",1999,13172685
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",2000,305111
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",2001,4221095
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",2002,6592481
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",2003,10700292
"1CNQ","BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",1998,466014
"1CNQ","BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",1999,50622472
"1CNQ","BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",2000,11614599
"1CNQ","BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",2001,4386481
"1CNQ","BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",2002,1434530
"1CNQ","BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",2003,73886
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",1994,33493765
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",1995,27074714
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",1996,40194171
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",1997,2906213
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",1998,50144739
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",1999,56768284
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",2000,5525695
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",2001,9228229
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",2002,41344610
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",2003,8012769
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",2004,-250
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",1995,139053
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",1996,87470
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",1997,78863982
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",1998,20078078
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",1999,29931997
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",2000,6755986
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",2001,2441010
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",2002,19482280
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",2003,18950253
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",2010,-88479.2578
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",2011,-11612
"1CNU","CORPS SAM","Missile Defense",1996,9534872
"1CNU","CORPS SAM","Missile Defense",2001,2293048
"1CNU","CORPS SAM","Missile Defense",2002,2418953
"1CNU","CORPS SAM","Missile Defense",2003,3578555
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",1994,30637302
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",1995,105750000
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",1996,207574000
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",1997,63366074
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",1998,88766000
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",1999,53220000
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",2000,0
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",2002,55216
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",2003,72140
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",1995,1294200
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",1996,9280000
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",1997,44631914
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",1998,55584871
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",1999,49272015
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",2000,1735068
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",2001,12474957
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",2002,27467905
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",2003,2645844
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",2016,0
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1990,42496000
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1991,259903000
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1992,159769992
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1993,245871114
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1994,254353648
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1995,161929808
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1996,297134679
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1997,344311966
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1998,124031831
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",1999,333758198
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",2000,1749114
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",2001,2578594
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",2002,13575267
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",2003,43870200
"1CRC","XMQR-13","Missile Defense",1991,60000
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",1991,43134000
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",1992,5437653
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",1993,8439080
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",1994,21742808
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",1995,12038667
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",1996,2695057
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",1999,3925723
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",2001,1117224
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",2002,3795252
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",2003,4432347
"1CRM","LAUNCHER, ROCKET 2.75","Ordnance and Missiles",2002,4333976
"1CRM","LAUNCHER, ROCKET 2.75","Ordnance and Missiles",2003,2495054
"1CRN","1CRN",NA,1997,198856
"1CRN","1CRN",NA,2001,105600
"1CRO","1CRO","Ordnance and Missiles",1998,4631118
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1990,237801000
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1991,635583000
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1992,505787171
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1993,354868698
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1994,220790247
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1995,252366714
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1996,318178671
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1997,112393936
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1998,185378030
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",1999,186358518
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",2000,2584764
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",2001,37660877
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",2002,147079123
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",2003,36760863
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",2009,-608802.875
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",2010,-8388.2598
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",2011,-495009.0625
"1DAD","TRUCKS <1T","Land Vehicles",1999,96200
"1DAE","TRUCKS 2 1/2T","Land Vehicles",2001,2838289
"1DAE","TRUCKS 2 1/2T","Land Vehicles",2002,857030
"1DAE","TRUCKS 2 1/2T","Land Vehicles",2003,-578
"1DAF","TRUCKS 5T","Land Vehicles",1997,714800
"1DAF","TRUCKS 5T","Land Vehicles",1998,1222375
"1DAF","TRUCKS 5T","Land Vehicles",2002,187756
"1DAF","TRUCKS 5T","Land Vehicles",2003,7927221
"1DAI","RECOVERY VEHICLE M88 IMPR","Land Vehicles",1997,54880
"1DAI","RECOVERY VEHICLE M88 IMPR","Land Vehicles",2003,1000
"1DAM","H. MOB. MP WHEELED VEH (H","Land Vehicles",1996,211000
"1DAM","H. MOB. MP WHEELED VEH (H","Land Vehicles",2002,241499
"1DAM","H. MOB. MP WHEELED VEH (H","Land Vehicles",2003,1354833
"1DBP","TNK & AUTO TECH","Land Vehicles",1991,2567000
"1DBP","TNK & AUTO TECH","Land Vehicles",1993,-77220
"1DBQ","CAVALRY FIGHTING VEHICLE","Ordnance and Missiles",1991,40999000
"1DBQ","CAVALRY FIGHTING VEHICLE","Ordnance and Missiles",1992,3844844
"1DBQ","CAVALRY FIGHTING VEHICLE","Ordnance and Missiles",1993,14602941
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1990,72000
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1991,5480000
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1992,8793388
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1993,2005498
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1994,18814211
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1995,18607055
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1996,10031479
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1997,17931864
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1998,1659142
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",1999,10079623
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",2000,1808161
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",2001,2823609
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",2002,5180958
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",2003,2215648
"1DBW","ASSAULT GEN SHERIDAN XM55","Land Vehicles",1991,-115000
"1DBW","ASSAULT GEN SHERIDAN XM55","Land Vehicles",1992,362394
"1DBW","ASSAULT GEN SHERIDAN XM55","Land Vehicles",1993,-37762
"1DCE","CARRIER VULCAN SP XM-741","Land Vehicles",1992,41195
"1DCG","PERSONNEL CARRIER M113","Land Vehicles",1991,82000
"1DCG","PERSONNEL CARRIER M113","Land Vehicles",1992,407160
"1DCK","CARRIER GM901 ITV","Land Vehicles",1990,325000
"1DCK","CARRIER GM901 ITV","Land Vehicles",1992,3e+05
"1DCK","CARRIER GM901 ITV","Land Vehicles",1993,-92866
"1DEF","LOADER SCOOP TYPE 4-6 CU ","Land Vehicles",1996,67200
"1DGG","AIR CUSHION VEH 30 TON","Land Vehicles",1990,103000
"1DJA","M-60 COMBAT 152MM GUN","Land Vehicles",1992,-1567462
"1DJB","M-60 COMBAT 105MM GUN","Land Vehicles",1991,4e+05
"1DJB","M-60 COMBAT 105MM GUN","Land Vehicles",1992,216766
"1DJB","M-60 COMBAT 105MM GUN","Land Vehicles",1993,526838
"1DJB","M-60 COMBAT 105MM GUN","Land Vehicles",2002,450906
"1DJC","M-48 TANK","Land Vehicles",1991,188000
"1DJE","M-1 COMBAT 105MM GUN (ABR","Land Vehicles",1991,10949000
"1DJE","M-1 COMBAT 105MM GUN (ABR","Land Vehicles",1992,18542533
"1DJE","M-1 COMBAT 105MM GUN (ABR","Land Vehicles",1993,1416618
"1DJG","M-728 COMBAT","Ordnance and Missiles",1991,62000
"1DJG","M-728 COMBAT","Ordnance and Missiles",1992,313221
"1DJG","M-728 COMBAT","Ordnance and Missiles",1993,136911
"1DJJ","M-2 IFV (BRADLEY)","Land Vehicles",1991,222000
"1DJJ","M-2 IFV (BRADLEY)","Land Vehicles",1992,115533
"1DJJ","M-2 IFV (BRADLEY)","Land Vehicles",1993,1409338
"1DJK","M-3 CFV (BRADLEY)","Land Vehicles",1992,75415
"1DJK","M-3 CFV (BRADLEY)","Land Vehicles",1993,48000
"1DJL","FIRE SUPT TEAM VEH","Land Vehicles",1990,22167000
"1DJL","FIRE SUPT TEAM VEH","Land Vehicles",1992,358401
"1DJM","LIGHT ARMORED VEHICLE (LA","Land Vehicles",1994,1134999
"1DJM","LIGHT ARMORED VEHICLE (LA","Land Vehicles",1995,-100388
"1DJM","LIGHT ARMORED VEHICLE (LA","Land Vehicles",1996,280000
"1DJM","LIGHT ARMORED VEHICLE (LA","Land Vehicles",1999,151200
"1DJM","LIGHT ARMORED VEHICLE (LA","Land Vehicles",2002,301873
"1DJM","LIGHT ARMORED VEHICLE (LA","Land Vehicles",2003,607633
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",1994,1953182
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",1995,1261797
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",1996,1087816
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",1997,6661229
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",1998,12145869
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",1999,17097330
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",2000,399288
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",2001,2198017
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",2002,8065828
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",2003,4163242
"1DJP","M1A2 UPGRADE","Land Vehicles",1994,32850
"1DNE","2 1/2 TON 6X6 ALL BODY TY","Land Vehicles",1991,637000
"1DNE","2 1/2 TON 6X6 ALL BODY TY","Land Vehicles",1992,37384
"1DNE","2 1/2 TON 6X6 ALL BODY TY","Land Vehicles",1993,6087
"1DNH","FORK LIFT 50000 LB","Land Vehicles",2002,104502
"1DPS","UTILITY 1/4 TON 4X4 M151","Land Vehicles",1992,56378
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1991,14103000
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1992,18005769
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1993,12205296
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1994,4302353
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1995,1972219
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1996,735410
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1997,21027021
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1998,22482121
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",1999,6739720
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",2000,2612500
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",2001,13956091
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",2002,5841160
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",2003,8374045
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",2004,14127413
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",2005,1870792
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1991,3291000
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1992,3398025
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1993,231597
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1994,90695
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1995,429085
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1996,106000
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1997,89958
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",1998,92406
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",2001,39197
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",2002,933271
"1EBC","7.62MM M73 MACHINE GUN","Ordnance and Missiles",1991,113000
"1EBC","7.62MM M73 MACHINE GUN","Ordnance and Missiles",1993,345303
"1EBE","7.62MM M134 AUTOMATIC","Ordnance and Missiles",1993,-55151
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1991,-142000
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1992,9947092
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1993,1144092
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1994,1830513
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1995,973978
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1996,321952
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1997,608018
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1998,59886
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",1999,382315
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",2001,1596370
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",2002,803309
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",2003,355554
"1EBH","20MM GUN (HS)","Ordnance and Missiles",1991,40000
"1EBH","20MM GUN (HS)","Ordnance and Missiles",1994,30723
"1EBH","20MM GUN (HS)","Ordnance and Missiles",1996,69084
"1EBH","20MM GUN (HS)","Ordnance and Missiles",1998,808273
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",1991,239000
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",1992,383042
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",1993,-95802
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",1994,-2234
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",1997,50700
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",2001,73242
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",2002,130680
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",2003,554209
"1EBL","20MM GUN XM163","Ordnance and Missiles",1991,4513000
"1EBL","20MM GUN XM163","Ordnance and Missiles",1992,-665114
"1EBL","20MM GUN XM163","Ordnance and Missiles",1993,-937258
"1EBL","20MM GUN XM163","Ordnance and Missiles",1994,-218790
"1EBM","20MM GUN (VULCAN) M61","Ordnance and Missiles",1992,223394
"1EBM","20MM GUN (VULCAN) M61","Ordnance and Missiles",1995,59286
"1EBM","20MM GUN (VULCAN) M61","Ordnance and Missiles",1996,295915
"1EBM","20MM GUN (VULCAN) M61","Ordnance and Missiles",2003,45808
"1EBN","105MM GUN M68","Ordnance and Missiles",1991,44000
"1EBO","5.56MM CARBINE","Ordnance and Missiles",1996,5615538
"1EBO","5.56MM CARBINE","Ordnance and Missiles",1997,-3077365
"1EBO","5.56MM CARBINE","Ordnance and Missiles",1998,8735705
"1EBO","5.56MM CARBINE","Ordnance and Missiles",1999,18670498
"1EBO","5.56MM CARBINE","Ordnance and Missiles",2000,6116482
"1EBO","5.56MM CARBINE","Ordnance and Missiles",2001,13850686
"1EBO","5.56MM CARBINE","Ordnance and Missiles",2002,23218471
"1EBO","5.56MM CARBINE","Ordnance and Missiles",2003,42162879
"1EBO","5.56MM CARBINE","Ordnance and Missiles",2004,3110006
"1EBQ","70MM GUN (VIPER)","Ordnance and Missiles",1991,-3558000
"1EBS","7.62MM M-240 MACHINE GUN","Ordnance and Missiles",1991,80000
"1EBS","7.62MM M-240 MACHINE GUN","Ordnance and Missiles",1992,748998
"1EBS","7.62MM M-240 MACHINE GUN","Ordnance and Missiles",1993,367952
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1991,349000
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1992,1286274
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1993,-35145
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1994,14738940
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1995,12112623
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1996,26846761
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1997,11580064
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1998,2743750
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",1999,9489114
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",2000,9713148
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",2001,4613426
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",2002,4801790
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",2003,13355014
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",2004,192237
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1991,1283000
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1992,2646959
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1993,1033055
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1994,2602388
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1995,8329904
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1996,2221199
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1997,3842905
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1998,4883474
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",1999,479582
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",2000,244070
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",2001,1608191
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",2002,1670222
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",2003,3226101
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",2006,-224905
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",2012,0
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",1995,620744
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",1996,3757627
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",1997,649592
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",1998,1550148
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",1999,2290850
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",2000,308728
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",2001,1147126
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",2002,2769244
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",2003,1811549
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",1995,2257710
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",1996,1799349
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",1997,1616810
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",1998,10271567
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",1999,11413073
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",2000,80730
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",2001,16819320
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",2002,25283518
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",2003,11873149
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",1991,210000
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",1992,635224
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",1993,399607
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",1994,386578
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",1995,97367
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",1996,131331
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",1997,197514
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",2001,140196
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",2002,88059
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",2003,123889
"1EDB","M114A2 155MM TOWED HOW","Ordnance and Missiles",1992,26788
"1EDC","M110 8'' SP HOWITZER","Land Vehicles",1991,269000
"1EDC","M110 8'' SP HOWITZER","Land Vehicles",1992,-159400
"1EDD","AFAS (PRE-MS I) 155MM SP","Land Vehicles",2003,137650
"1EDE","M198 155MM TOWED HOW","Ordnance and Missiles",1990,2952000
"1EDE","M198 155MM TOWED HOW","Ordnance and Missiles",1991,2532000
"1EDE","M198 155MM TOWED HOW","Ordnance and Missiles",1992,1362814
"1EDE","M198 155MM TOWED HOW","Ordnance and Missiles",1993,154743
"1EDE","M198 155MM TOWED HOW","Ordnance and Missiles",1994,300636
"1EDE","M198 155MM TOWED HOW","Ordnance and Missiles",1995,87800
