Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2003,NA,Defense,Army,Aircraft,Aircraft,FALSE,NA,DCA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,X,2005,FALSE,1900,NA,>2-4 Years,1,70870,NA,1,2003-01-01,2003,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Army,Small,112366.55272806036,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2024,4,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2025,NA,2025,>4 years,>4 years,1,121418.7,NA,1,2024-01-01,2024.4,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Navy,Medium,118260.43815768609,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2025,1,Defense,Navy,Ships,Ships & Submarines,NA,NA,DCA,No Competition (Only One Source Exception),No competition,UCA,U,Medium <1B,NA,N,Y,Y,2029,FALSE,2023,>4 years,>4 years,2,3912017,NA,2,2025-01-01,2025.1,YTD,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,Products,Products (All),Products (All),Ships & Submarines,Navy,Medium,3728450.3061197842,UCA,>1 year,Cost-Based,UCA,Crosscutting,>1 year
2016,NA,Defense,Navy,Aircraft,Aircraft,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,Y,Y,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2016-01-01,2016,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Navy,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2006,NA,Defense,DLA,Other,Facilities and Construction,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Large,FALSE,Y,N,X,2006,FALSE,1900,NA,<=2 Months,1,24592,NA,1,2006-01-01,2006,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,DLA,Large,35775.776889499866,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2020,NA,Defense,Navy,Aircraft,Aircraft,NA,NA,BOA,Unlabeled: Blank Fair Opportunity,Unlabeled: Blank Fair Opportunity,FFP,J,Medium >1B,TRUE,N,Y,X,NA,NA,NA,NA,NA,1,0,NA,NA,2020-01-01,2020,Full Year,Navy,Navy,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Navy,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2025,1,Defense,DLA,Aircraft,Aircraft,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,NA,N,Y,NA,2025,NA,2025,>2-7 Months,>2-7 Months,1,12720,NA,1,2025-01-01,2025.1,YTD,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Small,12123.12929464357,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,Other DoD,PAMS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,Other CB,U,Small,TRUE,N,N,NA,2018,FALSE,2017,>2-4 Years,>2-4 Years,1,-111346.3516,NA,4,2021-01-01,2021,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Other DoD,Small,-124583.40183127466,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2011,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,NA,2012,FALSE,2012,<=2 Months,<=2 Months,1,7817.0801,NA,1,2011-01-01,2011,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,10431.033760577533,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1995,NA,Defense,Navy,PAMS,Aircraft,NA,NA,NA,Limited Competition with multiple offers,Two Offers,NA,J,Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1944871,NA,1,1995-01-01,1995,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Navy,Large,3547674.8827091446,FFP,NA,FFP,FFP,Crosscutting,NA
2013,NA,Defense,Navy,Other,Facilities and Construction,NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2013,NA,2013,<=2 Months,<=2 Months,184,2328783.0297,NA,184,2013-01-01,2013,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Navy,Small,2997727.979945826,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,4,Defense,Navy,FRS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,NA,2023,FALSE,2022,>2-7 Months,>1-2 Years,3,685234,NA,3,2022-01-01,2022.4,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,716581.1220854269,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2012,NA,Defense,Other DoD,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,NA,2013,FALSE,2013,>1-2 Years,>1-2 Years,4,1854838.4004,NA,4,2012-01-01,2012,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Other DoD,Medium,2430965.467292132,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2006,NA,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,Full Competition (Multiple Offers),Two Offers,Other CB,S,Large: Big 5,TRUE,N,N,X,2007,FALSE,2007,>4 years,>4 years,1,600634,NA,1,2006-01-01,2006,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Big Five,873786.1083379906,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2004,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Unlabeled Exception),No competition,FFP,J,Small,FALSE,N,N,X,2005,FALSE,1900,NA,>2-7 Months,15,724491,NA,15,2004-01-01,2004,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,1121321.3690102056,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2001,NA,Defense,DLA,Other,"Electronics, Comms, & Sensors",NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Large: Big 5,TRUE,N,N,X,2002,FALSE,1900,NA,>1-2 Years,1,27048,NA,1,2001-01-01,2001,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Big Five,44396.25330288231,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2024,4,Defense,Air Force,ERS,Land Vehicles,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,TRUE,Y,Y,X,2025,FALSE,2025,>7-12 Months,>7-12 Months,1,882595.5,NA,1,2024-01-01,2024.4,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Air Force,Medium,859638.0174223742,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Army,Applied Research (6.2),Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,Other CB,U,Large,TRUE,N,N,NA,2018,FALSE,2018,>7-12 Months,>7-12 Months,1,0,NA,1,2018-01-01,2018,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Large,0,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2013,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Large,TRUE,N,N,X,2013,FALSE,2015,>2-4 Years,>7-12 Months,1,0,NA,1,2013-01-01,2013,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2003,NA,Defense,Navy,Applied Research (6.2),Ordnance and Missiles,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,Other CB,U,Small,FALSE,N,N,X,2005,FALSE,1900,NA,>1-2 Years,1,749053,NA,1,2003-01-01,2003,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Ordnance and Missiles,Navy,Small,1187646.4430733991,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2014,NA,Defense,Army,ERS,Land Vehicles,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,X,2012,FALSE,2013,>4 years,>2-4 Years,1,-159075,NA,1,2014-01-01,2014,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Army,Big Five,-201100.717174524,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2012,NA,Defense,Army,Other,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,X,2012,FALSE,2010,>7-12 Months,>2-4 Years,1,-165,NA,1,2012-01-01,2012,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Army,Small,-216.2502684960057,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2020,NA,Defense,Navy,ERS,Other Services,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,TRUE,Y,N,NA,2021,NA,2021,>7-12 Months,>7-12 Months,2,171088.76,171088.7656,2,2020-01-01,2020,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Medium,198016.5443263774,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,N,N,NA,2014,FALSE,2014,>2-7 Months,>2-7 Months,1,-1323.4,NA,1,2015-01-01,2015,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,-1655.8777982504866,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Navy,Ships,Ships & Submarines,FALSE,NA,BOA,No Competition (Only One Source Exception),No competition,Other CB,R,Large: Big 5,TRUE,N,N,NA,2017,NA,2017,>7-12 Months,>1-2 Years,2,0,NA,2,2017-01-01,2017,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,BOA or BPA,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,Products,Products (All),Products (All),Ships & Submarines,Navy,Big Five,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2008,NA,Defense,Army,MED,Other Services,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,10-24 Offers,Combination/Other,2,Small,FALSE,Y,N,X,2008,FALSE,NA,NA,>4 years,23,2709186.3517,NA,23,2008-01-01,2008,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Combination (two or more),Combination or Other,All Other,Crosscutting,Crosscutting,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Small,3757645.4700394464,All Other,>1 year,All Other,All Other,Crosscutting,NA
2023,4,Defense,Navy,ERS,Other Services,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2024,NA,2024,<=2 Months,<=2 Months,1,35000,NA,1,2023-01-01,2023.4,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Small,35000,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,DLA,Aircraft,Aircraft,NA,NA,PO,No Competition (Other Exception),No competition,NA,NO,Medium <1B,FALSE,N,N,X,2005,FALSE,1900,NA,<=2 Months,1,34544,NA,1,2005-01-01,2005,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Not Reported,NA,NA,Crosscutting,Crosscutting,Products,Products (All),Products (All),Aircraft,DLA,Medium,51886.133656685604,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2023,1,Defense,Navy,Other,Ships & Submarines,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,Y,NA,2023,NA,2023,>2-7 Months,>7-12 Months,1,-7999.94,NA,1,2023-01-01,2023.1,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Navy,Small,-7999.94,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,Other CB,R,Large,TRUE,Y,N,Y,2002,FALSE,1900,NA,<=2 Months,3,280160,NA,3,2002-01-01,2002,Full Year,Navy,Navy,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,452728.7690051387,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2011,NA,Defense,Navy,ICT,Facilities and Construction,FALSE,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,Other CB,U,Small,TRUE,Y,N,X,2012,FALSE,2013,>4 years,>2-4 Years,1,150000,NA,1,2011-01-01,2011,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ICT,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,200158.50471925316,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2022,3,Defense,DLA,FRS,Facilities and Construction,NA,NA,DCA,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2025,FALSE,2019,>4 years,>4 years,1,6098.04,NA,1,2022-01-01,2022.3,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,DLA,Medium,6377.004564458005,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2004,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,X,2006,FALSE,1900,NA,>1-2 Years,1,72000,NA,1,2004-01-01,2004,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Medium,111437.04831217337,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2024,1,Defense,MDA,Experimental Development,Missile Defense,FALSE,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Small,TRUE,N,N,Y,2024,FALSE,2024,>7-12 Months,>1-2 Years,1,0,NA,1,2024-01-01,2024.1,Full Year,Other DoD,MDA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Missile Defense,MDA,Small,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
1998,NA,Defense,Air Force,PAMS,Aircraft,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,T&M/LH/FPLOE,Y,Large: Big 5,NA,N,N,X,1999,FALSE,NA,NA,>1-2 Years,3,895000,NA,3,1998-01-01,1998,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Big Five,1554976.517048685,All Other,>1 year,All Other,All Other,Cost or Effort-Based,NA
2008,NA,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,Y,N,X,2009,FALSE,2009,>2-7 Months,>2-7 Months,1,362480.0938,NA,1,2008-01-01,2008,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Big Five,502760.4253182328,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Other DoD,Other,Facilities and Construction,NA,NA,NA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,FFP,J,Small,FALSE,N,N,X,NA,FALSE,NA,NA,NA,2,0,NA,NA,2009-01-01,2009,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Other DoD,Small,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2017,NA,Defense,Air Force,Applied Research (6.2),Space Systems,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,Other CB,U,Small,TRUE,N,N,X,2018,FALSE,2016,>2-4 Years,>4 years,1,98032,NA,1,2017-01-01,2017,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Space Systems,Air Force,Small,119667.66242298816,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2021,NA,Defense,DLA,Other,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,FALSE,N,N,NA,2018,NA,2018,<=2 Months,<=2 Months,2,-107.75,NA,2,2021-01-01,2021,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,DLA,Small,-120.55950962402117,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Large,TRUE,Y,N,NA,2014,FALSE,2014,>1-2 Years,>1-2 Years,1,20721.7402,NA,1,2012-01-01,2012,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Large,27158.072011845303,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2012,NA,Defense,DISA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,Y,N,NA,2013,NA,2013,>7-12 Months,>7-12 Months,4,125818.5625,NA,4,2012-01-01,2012,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Other DoD,Small,164898.775287312,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,DLA,Fuels,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2006,FALSE,1900,NA,>1-2 Years,2,2261901,NA,2,2005-01-01,2005,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Fuels,Products (All),Products (All),Other Products,DLA,Medium,3397443.7703853296,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2021,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,NA,2023,FALSE,2025,>4 years,>2-4 Years,2,8348079.8438,NA,2,2021-01-01,2021,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Small,9340514.267013488,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
