"principalnaicscode","principalnaicscodeText","NAICS_ShortHand","Action_Obligation_OMB20_GDP20","rank"
562119,"Other Waste Collection","",28485.8013750173,357
562910,"Remediation Services","",50525.4981705777,319
611210,"Junior Colleges","",7095570.05580263,98
611310,"Colleges, Universities, and Professional Schools","",10227358.6771347,88
611420,"Computer Training","",259086919.582433,30
611430,"Professional and Management Development Training","",39493062.7105364,57
611519,"Other Technical and Trade Schools","",220962.814889248,233
611699,"All Other Miscellaneous Schools and Instruction","",75067.524020878,292
611710,"Educational Support Services","",8290733.27037408,93
621399,"Offices of All Other Miscellaneous Health Practitioners","",697054.77116488,181
624310,"Vocational Rehabilitation Services","",9983.84491114701,416
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","",11463461.3347461,83
713910,"Golf Courses and Country Clubs","",4823.31342301804,447
713940,"Fitness and Recreational Sports Centers","",508435.17462252,193
721110,"Hotels (except Casino Hotels) and Motels","",2384087.81546297,134
721120,"Casino Hotels","",5317.65531765532,440
721199,"All Other Traveler Accommodation","",222425.969692757,231
722310,"Food Service Contractors","",20147.9302528822,373
722320,"Caterers","",29645.6521570643,352
811111,"General Automotive Repair","",47928.3346484744,321
811113,"Automotive Transmission Repair","",11453.3782509639,406
811118,"Other Automotive Mechanical and Electrical Repair and Maintenance","",37589.8095785634,338
811121,"Automotive Body, Paint, and Interior Repair and Maintenance","",166260.952615214,247
811198,"All Other Automotive Repair and Maintenance","",24885.1308232291,364
811211,"Consumer Electronics Repair and Maintenance","",501068.636785073,195
811212,"Computer and Office Machine Repair and Maintenance","",335293723.413282,28
811213,"Communication Equipment Repair and Maintenance","",80314248.4828756,47
811219,"Other Electronic and Precision Equipment Repair and Maintenance","",8081246.82419109,95
811310,"Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance","",265850973.224856,29
811412,"Appliance Repair and Maintenance","",434016.119255943,204
811490,"Other Personal and Household Goods Repair and Maintenance","",33201.892982637,347
812112,"Beauty Salons","",9096.82680001813,420
812921,"Photofinishing Laboratories (except One-Hour)","",60501.4890448841,305
812990,"All Other Personal Services","",4563.00456300456,452
813319,"Other Social Advocacy Organizations","",3224.52322452322,461
813410,"Civic and Social Organizations","",73187.2912794058,295
813910,"Business Associations","",869807.307511898,168
813920,"Professional Organizations","",1584561.69626782,147
921110,"Executive Offices","",32383980.2585847,59
921190,"Other General Government Support","",764680444.559705,18
922160,"Fire Protection","",36190.4761904762,340
922190,"Other Justice, Public Order, and Safety Activities","",55108805.5308438,51
923110,"Administration Of Education Programs","",5055.53427805439,443
923130,"Administration Of Human Resource Programs (Except Education, Public Health, and Veterans' Affairs Programs)","",14218.7088274045,393
926130,"Regulation and Administration Of Communications, Electric, Gas, and Other Utilities","",119606.237415691,262
927110,"Space Research and Technology","",84383.9706051211,281
928110,"National Security","",1398171.67796418,151
NA,NA,"",1863935555.74356,13
NA,NA,NA,0,472.5
