"SimpleArea","ProductServiceOrRnDarea","ProductOrServiceCode","ProductOrServiceCodeText","MDAcat","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Products","Other","5220","GAGES & PRECISION LAYOUT TOOL","Other via Platform Portfolio",28000,87000,216215,69388,80692,,89586,354098,,95992,,,0,82151,18518,8016,14641,35850,13890,,34625.5508,128102.3008,62144.25,55738,24278,47048,77519.8401,,,15308.7,90681.25
"Products","Other","5280","SETS, KITS & OUTFITS OF MEASURING T","Other via Platform Portfolio",,,,,,,,175201,,,,32045742,,,,,44700,15980,145411.6211,352581.1406,418230.7813,0,134379,-49770,-43409,,78631.7422,119485,,,1037.5
"Products","Other","5305","SCREWS","Other via Platform Portfolio",304000,59000,,,,,38997,75372,35625,47175,88867,78009,41004,132971,484869,878707,787425.75,1123664.06,1800623.913,800361.1199,552896.26,316618.5199,65160.0997,45250.5,95270.18,-3801.34,13723.18,24275.2298,19220.4496,8072.88,37051.58
"Products","Other","5306","BOLTS","Other via Platform Portfolio",59000,,270336,58635,,148247,95010,56560,31348,28608,35215,99190,64251,66904,16245,38939,470280,1122120.8859,1479226.5293,1001441.5938,52913.3199,-6181.07,6580.32,59631.3,61784.06,8738.5,155015.6031,3869.5201,3825.72,22679.2498,7996.5299
"Products","Other","5307","STUDS","Other via Platform Portfolio",,,,,,,,,,,,,,2113,,5820,50486,53907,100058,106095,,24340,7775.6699,4076.4,125700,251.82,,,1447.2,,
"Products","Other","5310","NUTS AND WASHERS","Other via Platform Portfolio",,54000,,,33315,,152257,35862,97308,13743,33750,33204,95127,142188,214344,276566,274610.7998,384114.4002,72569.25,223207.0064,190866.5235,33771.5502,28358.7,940376.02,17114.44,47714.5198,14287.5595,18187.1401,107313.5794,14718.42,13936.2998
"Products","Other","5315","NAILS, MACHINE KEYS, AND PINS","Other via Platform Portfolio",,756000,982900,249410,,,,,,,,,33613,395522,555021,1045041,482072,388880.58,512271.45,458455.2312,253662.0005,51215.6301,184602.1499,70082.54,97779.68,14039.8499,18034.9199,111966.6396,683751.5885,121134.2503,9271.4401
"Products","Other","5320","RIVETS","Other via Platform Portfolio",,,,,37674,,,,,,,,,,11113,8840,80353,59423.7798,3950,4453,,2585.02,,,,3.96,,39,7024.4902,,1900
"Products","Other","5325","FASTENING DEVICES","Other via Platform Portfolio",36000,62000,,,,,,,,,,,,31607,107853,126402,216198,289800.44,766335.5008,384907.75,12000,1689.07,1076.01,14938.02,,58174.78,1219,869.35,14520.58,16.8,46057.11
"Products","Other","5330","PACKING AND GASKET MATERIALS","Other via Platform Portfolio",122000,150000,583397,154984,27852,183950,87881,194564,131968,123259,108608,405429,,379088,189002,226586,165013.2002,420097.8701,2158067.3,1323776.5701,700304.3987,170903.2298,137369.4706,168651.84,42300.52,513058.8294,228411.0006,123300.4806,145693.2485,90730.481,13791.5496
"Products","Other","5331","O-RING","Other via Platform Portfolio",,,,,,,,,,,,,,3441,34722,,52455,3110,911.71,109880,442695.2969,108402.1502,7212.46,,,95.2,79758.58,47325,374151.09,80850,679.35
"Products","Other","5335","METAL SCREENING","Other via Platform Portfolio",,,,,,,,,,,,,69600,139700,,,,76000,,,,,,,,,,,,,
"Products","Other","5340","HARDWARE","Other via Platform Portfolio",1818000,3520000,1815936,1250876,1764817,1575768,1020576,1327275,622832,647365,26505,366927,1392215,2880188,2615828,9575682,5916332.0996,3486904.6764,12077278.3344,4897771.7383,3616742.9991,7985287.4576,1403280.7807,1092441.8766,1700245.98,614772.9303,1607516.9762,977789.2893,939150.013,672172.2772,5903044.5803
"Products","Other","5341","BRACKETS","Other via Platform Portfolio",,,,,,,,,,,,,47630,,,,120638,2253,298,-2798,,11041.7998,,,-4790,,,,,,
"Products","Other","5342","HARDWARE, WEAPON SYSTEM","Other via Platform Portfolio",,,,,,,,,,,456827,68847,46940,380989,284812,313308,44942000,779993.75,89666852.8501,53602872.316,83396.9424,106934.4406,2064327.1123,-61495.27,4738272.76,10585142.3898,1116674.5697,592281.1304,6196559.5899,11143547.2383,22492776.125
"Products","Other","5345","DISKS AND STONES, ABRASIVE","Other via Platform Portfolio",,,,,,,,,,,,,,,13790,,,,,,,101.76,,,,,,,,,
"Products","Other","5350","ABRASIVE MATERIALS","Other via Platform Portfolio",125000,,,,,,,,,,,,,,,21274,5302,,,,,,16858,15360,,,41991.5,25000,57600,51350,57600
"Products","Other","5355","KNOBS AND POINTERS","Other via Platform Portfolio",35000,,27117,35888,,,,,,,406450,25925,,39839,8190,93859,64440,76617.05,58047.25,35512.5,11620.78,71670.47,7213.5,,188697.96,2047.94,1144.5,,,,
"Products","Other","5360","COIL, FLAT, LEAF, AND WIRE SPRINGS","Other via Platform Portfolio",,,411609,30084,352536,80942,67001,39125,535869,-56029,138624,92482,137219,287557,735394,859463,463992,762220.0998,953522.79,803381.4657,516848.5069,447310.49,316133.7607,417600.99,102818.21,38872.44,18241,31919.8197,204170.0566,25191.3796,11265
"Products","Other","5365","BUSHINGS, RINGS, SHIMS AND SPACERS","Other via Platform Portfolio",,38000,132867,-72867,-10812,,,,45176,,56404,437494,262564,212064,480085,611521,272831,235299.2696,163455.69,163060.75,60477.4502,220030.5362,262372.31,266850.3,189910.76,105236.1299,147994.4896,74391.2302,53046.01,74699.6598,54502.8209
"Products","Other","5410","PREFABRICATED & PORTABLE BUILDINGS","Other via Platform Portfolio",31000,29000,,344200,85941,,,,,,55663,,,72600,6556366,192505,44918,374615,,37070,0,143122.4399,7090.4399,133506.38,160560.45,105389.06,0,-215.63,,0,572403
"Products","Other","5411","RIGID WALL SHELTERS","Other via Platform Portfolio",,,,,,,,,,,,,,3250,,,,,,,,,,,,,,,,35858.2891,1202335.7969
"Products","Other","5419","COLLECTIVE MODULAR SUPPORT SYSTEM","Other via Platform Portfolio",,,,,,,,,,,,,,,,,79320,,,,,,,,,,,,,,
"Products","Other","5420","BRIDGES, FIXED AND FLOATING","Other via Platform Portfolio",,,,,,,,,,,,,,,89700,,,,,2720,8585,,,,13305.7,8748,,,2964.78,6959.5,
"Products","Other","5430","STORAGE TANKS","Other via Platform Portfolio",,40000,,58616,,,170243,,,,,,,,10139,,,,,39600,,,,125297.2,,41227.5313,,12028.3999,,798.69,
"Products","Other","5440","SCAFFOLDING EQ & CONCRETE FORMS","Other via Platform Portfolio",,,,,,,,,,,284220,,,,,,,,3254.97,7.29,,21696.3398,,,,0,0,0,0,24520.1602,
"Products","Other","5445","PREFABRICATED TOWER STRUCTURES","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,,,,3380,,,,,,,,,
"Products","Other","5450","MISC PREFABRICATED STRUCTURES","Other via Platform Portfolio",,,144943,116233,149850,,,,,,,,,,-165644,,11450,,16063,19185,16249.05,1221348.5547,83645.6602,172009.96,99998.83,268456.0781,84260.1602,78714.6719,,8916,
"Products","Other","5510","LUMBER & RELATED WOOD MATERIALS","Other via Platform Portfolio",,50000,,,215521,,,,,,,,,,89340,514265,526884,384376,545342,203554,16705,258839.6914,40662,18357.5,,,73521.2116,46655,0,,
"Products","Other","5520","MILLWORK","Other via Platform Portfolio",,,,,,,,,,,,,,,,,17343,6914.2002,11654.54,,,,,,,,,,,15480,
"Products","Other","5530","PLYWOOD AND VENEER","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,,15993.9004,,14142.7998,5307.5098,,,,,,,0,
"Products","Other","5610","MINERAL CONSTRUCTION MATERIALS, BULK","Other via Platform Portfolio",,,,,,,,,,,,,,545200,555656,39905,,,3473,,,,,11998.2,,,,,,,
"Products","Other","5620","TILE, BRICK AND BLOCK","Other via Platform Portfolio",,,,,,,,,,,,,,,75100,,,,,,,,,,,,,,7614.25,63592.5102,45988.25
"Products","Other","5630","PIPE AND CONDUIT, NONMETALLIC","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,590637,356788,0
"Products","Other","5640","WALLBOARD BLDG & THERMAL INSULATION","Other via Platform Portfolio",,,,,,,,,,,,,,1714,31948,14562,57237,1992.74,,,,,,90476,,,140177.3076,-13771.1201,0,78308.88,1847.9
"Products","Other","5660","FENCING FENCES & GATES","Other via Platform Portfolio",,88000,,,,,,,,,,,,19950,,,,,,,,,,,,,15071.7598,,,,
"Products","Other","5670","BUILDING COMPONENTS, PREFABRICATED","Other via Platform Portfolio",,,,,,89250,,,,,,110508,,3364,,,,,,6654.5298,6887.3799,0,896303.2545,1518004.06,158180.41,376479.6372,0,,,,
"Products","Other","5680","MISC CONTRUCT MATERIALS","Other via Platform Portfolio",,,,,,,,,52962,,,,,22720,3447,,136600,7500,134615.4524,16580.04,,,,,18069,0,8600,,,0,
"Products","Electronics & Communications","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","Other via Platform Portfolio",,-265000,,,,,163425,,,42690,,,,71150,202987,127629,-10508,2752,184814.8297,179845.2685,37615.4902,26770.8604,,18656,101565.86,118713.0391,5276.33,110977.7427,,-8267.69,
"Products","Electronics & Communications","5810","COMM SECURITY EQ & COMPS","Other via Platform Portfolio",,90000,354195,57488046,75975,144509,,,345000,820744,,,45345,13523765,4573878,8789932,851796,437465.125,966699.3957,347072,-1837.7407,569383.7468,653482.1114,15397988.44,981913.17,1623301.1163,2299795.8947,401747.6486,191866.6513,124568.3591,0
"Products","Electronics & Communications","5811","OTHER CRYPTOLOGIC EQ & COMPONENTS","Other via Platform Portfolio",,,,,461800,4263241,28177692,10671712,10463021,9099933,3304973,2221103,392198,,,,99604,2072516,1970689,,-3900,,40124.25,,,,494490,9182250,4258678,0,0
"Products","Electronics & Communications","5815","TELETYPE AND FACSIMILE EQUIPMENT","Other via Platform Portfolio",,,576849,18876087,,,,,,,,,,3808,,,,,,,,,,,,3051.48,,2878.85,,-172.73,
"Products","Electronics & Communications","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","Other via Platform Portfolio",,12634000,2378540,3310846,1109625,7026044,26345217,25022275,-604245,9436404,246168,-232676,558125,9468391,30016915,9613650,1965170,5650642.0712,842727.6905,59903.3594,108093.7198,199139.8296,321094.7906,134219,3466.5,16327.2002,40205.6387,801996.7397,691773.7344,35937.95,93809.8828
"Products","Electronics & Communications","5821","RADIO & TV EQ AIRBORNE","Other via Platform Portfolio",,,3470317,,1685000,183525,1475084,1059742,,,,,5403262,,,,,268817,56160.25,,,29226.1191,,18049.99,,1971235,,,,345082,654892
"Products","Electronics & Communications","5825","RADIO NAVIGATION EQ - EXCEPT AIR","Other via Platform Portfolio",,42927000,2362903,845788,843144,213000,216000,87920,4440094,,1121130,24858771,32508149,16991003,9393720,35002160,41872020,63482151.0538,69781913.1191,80391485,22568076.625,54608821.7344,43471625.9062,8448887,1379813.56,1526684.4475,151738.9766,0,0,0,-2377.0601
"Products","Electronics & Communications","5826","RADIO NAVIGATION EQ AIR","Other via Platform Portfolio",,26451000,21153283,43413311,53436415,31279145,31281235,8536674,1040929,7107131,3607806,2860781,5552456,4724940,4638798,124653642,28475291,9579250.2891,22858042.5483,137517682.5587,199003193.6619,60446903.6739,62470575.8438,29330319.85,14658444.93,7905734.8109,4182015.2568,1312560.3301,3241483.2363,2243733.6562,5095117
"Products","Electronics & Communications","5830","INTERCOMM PUBLIC ADDRESS SYS EX AIR","Other via Platform Portfolio",,5e+05,1447477,419377,136472,28490,,34070,,,,,,44314,409285,153804,,0,,27848,,8297.5,,,,,4072.22,,,,
"Products","Electronics & Communications","5835","SOUND RECORDING & REPRODUCING EQ","Other via Platform Portfolio",4148000,70000,377561,,,,,,,,,,,,34738,5184,272910,124332,,,,,,,,,,,,,
"Products","Electronics & Communications","5836","VIDEO RECORDING AND REPRODUCING EQU","Other via Platform Portfolio",207000,34000,,204632,,,,,,,,,27678,,,116887,284546,161890,17955,86913,37841.5698,,,32447.43,,,274814,-17575.7993,,7817.72,-5881.95
"Products","Electronics & Communications","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","Other via Platform Portfolio",1319000,112104854,120201663,90174199,43948975,34687012,30421808,78418846,40523682,20383603,13439554,26529325,21995906,7737404,177441258,158286672,219326925,481398869.1963,197988957.4688,333866787.8556,254918562.9806,207293391.4824,236004877.0156,222220445.53,206539570.72,205465349.8513,454333812.625,328819588.1875,576919842.2813,642465943.0637,3346918990.5078
"Products","Electronics & Communications","5841","RADAR EQUIPMENT, AIRBORNE","Other via Platform Portfolio",,683000,1442423,-205411,-981261,2925077,8559992,332275,,-28725,201631,189444,144275,740703,,6884,,10734061.9,1440888,2791640.65,132993492,-1,1926030,-19783,,16491505.5544,112702662,256860863.5,7443829.2812,81224624,36881106
"Products","Electronics & Communications","5845","UNDERWATER SOUND EQUIPMENT","Other via Platform Portfolio",4953000,3427000,10631349,2102858,-1103177,542375,49000684,37218994,196250,4866723,308693,272000,3078036,2931318,-2883863,494836,1362402,2773273,120954,210905,1439653.5,2534950.5,0,281734,4346733.28,4009665.5,2251000,68200.6,30507.52,457497,350406
"Products","Electronics & Communications","5850","VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT","Other via Platform Portfolio",,,11972000,,,,65777,,503699,138720,,,319200,642891,47200,8920,7477267,0,122733.4219,,-2018,,,,,,25390,,,,
"Products","Electronics & Communications","5855","NIGHT VISION EQ","Other via Platform Portfolio",5808000,19108000,2294497,9906971,8501521,6221428,28909073,11619819,569092,606962,1935330,159384,1601005,277321,4784695,10482526,541326.5,753467.9,211415.0401,367446.0312,3899587.2222,3283277.718,16577903.819,1186539.58,3534197.39,5449440.2,-833991.6971,21352834.9004,17428049.0908,9725512,15912487.4004
"Products","Electronics & Communications","5860","STIMULATED COHERENT RADIATION DEV","Other via Platform Portfolio",60000,221000,,-58758,,113372,139983,94845,34285,,,,8800,189897,932469,567524,111634,344316,324250,-30000,1572663.8809,155987,60060,650197.78,577388,,,,415321.3501,349131,1920000
"Products","Electronics & Communications","5865","ELEC COUNTERMEASURE & QUICK REAC EQ","Other via Platform Portfolio",4942000,6405000,863525,2788313,8790162,92800,6656830,1383455,544106,12708236,10303447,8837271,13377025,7884150,26733481,52901159,38261620.8008,4899505.545,8196846.5938,6447649.3877,2872123.9648,5574408.1661,5285497.375,19782468.35,45263085.0144,35980479.5174,8422398.375,109476177.0389,162246317.0976,22011159.7598,17677794.8672
"Products","Electronics & Communications","5895","MISC COMMUNICATION EQ","Other via Platform Portfolio",31433000,60087000,35126574,25807060,52834723,56711506,66518792,61221471,145432179,134066856,8611223,13086415,56705549,63606857,61777636,36111470,30231435.75,116728858.9874,99486084.5382,102150188.246,134107303.2063,172021475.3673,139053348.1316,151201179.6,177323950.1117,112742024.476,25836091.196,10426902.5079,10453425.0712,23832549.5129,39739902.5507
"Products","Electronics & Communications","5905","RESISTORS","Other via Platform Portfolio",304000,581000,183720,58974,,,209650,291751,76725,80978,45600,60960,51478,200596,279496,30276,4550,62704,104237,8721,14190,,,31620,,427,493.2,92194.78,54677.8909,292912.8211,25638.7002
"Products","Electronics & Communications","5910","CAPACITORS","Other via Platform Portfolio",753000,-54000,239335,605000,1468805,262279,,,,,,62591,,30814,,3037,,0,85600,238663.73,6483,,,23516.51,3463.58,,,5182.99,39207.6894,14935.6903,226593.7031
"Products","Electronics & Communications","5915","FILTERS AND NETWORKS","Other via Platform Portfolio",1054000,632000,511737,208095,67268,150440,134392,1855475,164584,589715,41080,1299200,320555,157744,130371,7290,108542,1534207.3789,90160,21757,17550,137248.8496,4680,253035.15,76376,54881.25,,69716.7002,77888.9698,93602.5298,178860
"Products","Electronics & Communications","5920","FUSES ARRESTERS ABORBERS & PROTECTO","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,195043.3169,12015,17947.3496,120906,193270.6094,14665.1299,944,,,25000,2699.72,59098.1796,54775.35,33142.5509
"Products","Electronics & Communications","5925","CIRCUIT BREAKERS","Other via Platform Portfolio",122000,69000,35536,,241192,59208,109000,299839,166545,453936,,197544,195403,56578,19247,15302,-250,96700,133128.3799,308676.51,-351444.22,470382.6196,0,168228,,,,84870.0024,101030.1,160415.911,179414.7911
"Products","Electronics & Communications","5930","SWITCHES","Other via Platform Portfolio",1336000,1270000,482832,385126,1434229,952056,557293,2215926,340725,399456,384986,240853,1136698,251307,611866,1258201,424145,601368.951,1098626.7992,388895.8,534515.9457,180582.2685,203330.3001,121588.35,82070,9992.93,90990,7455.52,412497.5904,573791.8072,121510.692
"Products","Electronics & Communications","5935","CONNECTORS, ELECTRICAL","Other via Platform Portfolio",3218000,1943000,804320,-45340,1004203,977082,857809,1233748,63526639,299660,352105,673099,404701,980014,581764,392259,1261598,1427554.3134,850855.9308,619431.7606,1008758.8972,695058.9885,663602.193,323003.98,842082.99,564535.86,626549.6988,662383.3741,1144669.2032,1868885.3038,2430141.801
"Products","Electronics & Communications","5940","LUGS TERMINALS & TERMINAL STRIPS","Other via Platform Portfolio",121000,661000,,87276,,,48951,,105490,,,52432,273886,3945,23640,35429,19507,5440,10448,76525,151740,18990.98,98594.3984,3228,1250,4935.24,13334.89,14981.4299,16882.8005,16636.92,3198.2
"Products","Electronics & Communications","5945","RELAYS AND SOLENOIDS","Other via Platform Portfolio",678000,1969000,2179339,541307,1747293,627089,598087,343668,114785,664891,,,949180,1214964,1262844,1398462,922284,2252076.125,248528,79857,27845,67947.6982,,123055,789135,2496,2175860.17,170904.6402,161663.9702,472773.038,331337.0601
"Products","Electronics & Communications","5950","COILS AND TRANSFORMERS","Other via Platform Portfolio",154000,566000,484168,57867,42750,98680,6358,53000,,,73376,76602,718822,759396,,,20774,119592.8999,176401,219497,26336,21371.6001,,114375.39,,290772,61218,126750,176048.6563,14319.5195,
"Products","Electronics & Communications","5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS","Other via Platform Portfolio",96000,2022000,1241548,-263197,1634980,89811,474606,1120313,1171719,170430,,,190088,317007,109680,11615,,132000,1307295,650499.0175,0,40678,318000,0,-84393,92380,22940,,,,
"Products","Electronics & Communications","5960","ELECTRON TUBES & ASSOC HARDWARE","Other via Platform Portfolio",10991000,9343000,6028584,8312752,5532930,4400336,8138647,5968964,11265954,16072644,5658939,7559771,7899237,17616575,902529,1553210,81760,846403,2162693.75,246238,-169333.6563,18837588.625,1677272,3366144,3180733.5,89440,129450,837000,30612152,25262055.25,4097816.6406
"Products","Electronics & Communications","5961","SEMI CONDUCTOR DEVICES","Other via Platform Portfolio",210000,274000,148366,113413,122291,299827,11329096,,160000,955801,,75209,28886,117489,332621,274966,3719,99298,28710.27,28356,6867,77639,16500,263636.48,-64585.23,3573.15,11660,,3644935,205112.14,3382.5
"Products","Electronics & Communications","5962","MICROCIRCUITS, ELECTRONIC","Other via Platform Portfolio",3753000,6962000,1078389,1154083,1116527,5201403,3929755,851075,481945,440590,571796,183500,231667,1546631,494704,339068,196128,37286316.1551,469124.027,0,1046145.375,7990,-1819.4998,7083.8,64461.0201,0,,555.66,,,
"Products","Electronics & Communications","5963","ELECTRONIC MODULES","Other via Platform Portfolio",150000,280000,-8339,-44360,-131870,,82379,313497,,171600,,68641,244917,1709091,550760,1545804,24240,56588,26380,824633.8633,613612,5851.2002,40984.25,206203.19,31869.6,720,3981082.3501,775.64,,0,
"Products","Electronics & Communications","5965","HEADSET,HANDSET,MICROPHONE & SPEAK","Other via Platform Portfolio",,,242351,,,,,,60460,443380,,,98512,,,130239,10019,,6000,376811.6396,1112400,3058866.3398,1207244.6933,,,,-494246.1016,,719396.0479,281418.25,160059
"Products","Electronics & Communications","5970","ELECT INSULATORS & INSULATING MAT","Other via Platform Portfolio",-17000,,,,,,,124764,,,35746,33210,,11965,676724,4626553,276358,6397,84486,449945.4375,54793.6999,5562,45222.0706,95938.28,0,22170.1301,11405.7698,6594.02,14195.3999,12099.6896,66166.2997
"Products","Electronics & Communications","5975","ELECTRICAL HARDWARE AND SUPPLIES","Other via Platform Portfolio",1003000,2739000,287436,374923,4673658,1571900,1578909,4376169,1895069,1642516,106165,253483,6861726,7158430,4751048,1966174,2009053,-315051.1696,470788.9916,1552505.125,1193597.128,6652455.3925,18072697.6602,9553902.41,3097638.42,3719840.599,5033681.5847,-277857.6187,4447509.841,2930671.8806,2734543.7599
"Products","Electronics & Communications","5977","ELECT CONTACT BRUSHES & ELECTRODES","Other via Platform Portfolio",41000,130000,253783,1515748,162597,186900,95580,503732,489313,279220,448874,1114581,638701,714603,1212352,65400,210691,637673.6875,1143077.44,325930.94,778298.25,269785.8672,158500.9531,194593.6,4710.4,2376,154875,68000,90972.8516,-2069.46,589724.1875
"Products","Electronics & Communications","5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA","Other via Platform Portfolio",,,170141,,1197612,2124978,9288836,125000,1241668,11433608,3839262,5927062,10548204,3100085,,,,187308,0,-4930.46,271874,3199205.9902,-5333,74665.58,48613.74,,,,24325.0601,26850,
"Products","Electronics & Communications","5985","ANTENNAS WAVEGUIDES & RELATED EQ","Other via Platform Portfolio",,6532000,2815272,1720103,6237776,8197173,5741993,9023968,5980869,7990173,6806847,14671370,51493556,12880861,11817335,11297475,14017559,3763894.3458,15694731.5649,1201406.6,20671506.8809,50201406.7147,11008942.7026,29205249.17,5607598.53,1000301.8789,12810933.4063,6617843.2,17629730.6397,15111488.6377,1106432.1748
"Products","Electronics & Communications","5990","SYNCHROS AND RESOLVERS","Other via Platform Portfolio",139000,373000,351010,320262,,-8188055,164235,,492478,,88650,,213300,357408,374658,1686964,35600,-5121.0498,217736,143812.34,58025.77,43100,,,84604,,47500,282828,190497,1167959.125,-5011.53
"Products","Electronics & Communications","5995","CABLE CORD WIRE ASSEMBLY - COMM EQ","Other via Platform Portfolio",,4453000,2437728,946343,655088,1451606,1159968,5110858,2760830,71691826,1372518,2968915,2277972,1748080,1032336,1383795,1859697,1643858.8157,2377182.794,1952931.8662,2210638.6142,4652096.356,4724666.4231,2705432.91,538688.71,1344168.86,603502.2099,1878742.7771,1253376.9184,479649.7217,1576296.6994
"Products","Electronics & Communications","5996","AMPLIFIERS","Other via Platform Portfolio",,,,,,,,251671,126714,1620750,2868865,,290232,863788,175009,896074,417189,1345279,20483,-7018,35229.6406,7130,-114737.1382,77709.62,149472,13524,,87300,212824.2969,557625,
"Products","Electronics & Communications","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE","Other via Platform Portfolio",,8508000,8333516,13575056,6689876,9784996,13645108,52207963,53490860,55366866,56346110,70015279,46874781,73978923,63194445,98902635,49165694,31543780.2874,29424136.8193,50507608.3718,52431828.2029,65442090.6086,45957537.2741,55940371.48,57325959.25,43736725.9242,47569623.0914,64601972.6726,65747248.0181,15656483.8483,8925978.001
"Products","Electronics & Communications","5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS","Other via Platform Portfolio",30329000,26934000,13188212,16436065,63079406,55822242,7354641,23162026,3507694,6926096,814545,2133787,4166238,2386714,18941945,4639044,2915705,14772565.581,7750770.9189,25384179.6269,8887237.4724,13846167.9924,24254353.8062,13781344.54,43065417.6,77421093.6384,45143277.0194,10503498.7608,11171707.66,254391.2128,684655.3225
"Products","Electronics & Communications","6010","FIBER OPTIC CONDUCTORS","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,,5536.2002,0,,,,,,,,,,
"Products","Electronics & Communications","6015","FIBER OPTIC CABLES","Other via Platform Portfolio",,,49950,,,,,,,,,,,,,9432,3322,,,399406.2334,1119058.75,3207493.5,,,,,,800,,1509.12,
"Products","Electronics & Communications","6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES","Other via Platform Portfolio",,-39000,227400,110105,,,,,489855,743657,,225967,1637732,609917,6444055,16500,23245,59481.4016,168226.3125,82243.5498,396918.5156,282862.7207,204979.4844,365134.7,321970.25,70869.5,28823,612256.8306,95711.8819,227500,6950
"Products","Electronics & Communications","6021","FIBER OPTIC SWITCHES","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Products","Electronics & Communications","6030","FIBER OPTIC DEVICES","Other via Platform Portfolio",,,,,,,,,,,,,,,,3211,,,,,,,,246000,61725,,,136719.2031,144900,0,6692
"Products","Electronics & Communications","6032","FIBER OPTIC LIGHT SOURCES","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,,,,,,,104983,,,,,,
"Products","Electronics & Communications","6034","FIBER OPTIC MOD/DEMODULATORS","Other via Platform Portfolio",,,,,,,,,,,,,,,,2830,,,,,,,,,,,,,,,
"Products","Electronics & Communications","6040","FIBER OPTIC SENSORS","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,17052866,46725362,18588698,4963602,-754727,,,,2117421.5,,,,,
"Products","Electronics & Communications","6060","FIBER OPTIC INTERCONNECTORS","Other via Platform Portfolio",,,,,,,,66345,,,,,,,,,,,88589.8401,485546.5938,210000,97320,5000,69627.5,16625,86321,,511.81,,12512,8000
"Products","Electronics & Communications","6070","FIBER OPTIC ACCESSORIES & SUPPLIES","Other via Platform Portfolio",,,,,,,,32520,,,,,,,,19721,,,,,3591.5,,,,,,76362.5078,,,,
"Products","Electronics & Communications","6080","FIBER OPTIC KITS AND SETS","Other via Platform Portfolio",,,,,,,,31500,-31500,,,,,,,,,,18299.1895,35302.8008,35520,33670,,41810,,,,,,,
"Products","Electronics & Communications","6099","MISC FIBER OPTIC COMPONENTS","Other via Platform Portfolio",,,,,,,,,,224770,,,,,,53310,,15450,,17600,,418367.6016,,,,14928.7998,,,,,
"Products","Engines & Power Plants","6105","MOTORS, ELECTRICAL","Other via Platform Portfolio",,1516000,791487,1079988,1143285,2704604,1269258,4295718,4669119,5170485,1419576,3192770,3509322,1522669,709474,1293111,5546047,1794996,1405093.4063,1394942.5,585836.4936,1133015.2207,3330529.72,1728533.16,3841008.91,5744548.4,2276642.08,2352413.9199,-356568.0313,3779820.1998,430760.9375
"Products","Engines & Power Plants","6110","ELECTRICAL CONTROL EQUIPMENT","Other via Platform Portfolio",2952000,5258000,1331346,2923785,999869,2229687,1767000,830484,1170593,3667420,338910,893438,2627297,25397838,3976428,10805217,3037150,3747624.8,721503.6504,2658862.7998,10197079.2612,4821673.2031,4183733.7568,704137.46,39583.69,1489072.45,26183.9805,7860.4262,43169.1406,188611.9995,-36642
"Products","Engines & Power Plants","6115","GENERATORS & GENERATOR SETS ELECT","Other via Platform Portfolio",49000,299000,-674400,35340,88712,2339283,13555147,22637748,186276,360156,,,39500,34044,38667228,6417527,40230879,6908229.4766,1320442.1902,721528.4209,4004117.8887,2559590.127,119031.6065,782916.2,2953290.36,3013364.9028,-2938.1399,-102817.3999,16761.4898,1192135.4199,29808
"Products","Engines & Power Plants","6117","SOLAR ELECTRIC POWER SYSTEMS","Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,1456.58,
"Products","Engines & Power Plants","6120","TRANSFORMERS - DISTRIB & POWER STA","Other via Platform Portfolio",,,,25225,,,,,,,,,78390,207095,1013405,61414,,3774.1899,,,,,,,4475,,,,,,
"Products","Engines & Power Plants","6125","CONVERTERS, ELECTRICAL, ROTATING","Other via Platform Portfolio",,3047000,1745975,696557,4501068,378430,546673,509113,425678,735868,3918493,-50000,285015,446569,35880,,,,,,1000,,,,,,,,,,
"Products","Engines & Power Plants","6130","CONVERTERS, ELECTRICAL, NONROTATING","Other via Platform Portfolio",,9438000,6184467,6679383,2965569,3484910,3866435,1412696,16467819,2624272,1368940,2633607,3919185,14524409,5856530,2030540,815895,222765.6578,89958.9942,5382565.625,12763732.7402,10139984.8403,261934.7772,709601.55,1094983.36,4033295.2138,383476.5879,392778.2969,2244264.075,404924.2803,332564.4375
