Year,Global.Vendor.Name,Number.of.Actions,Dollars.Obligated,ParentID_M,ObligatedAmount,NumberOfActions,FreqCount,Rank,Diff_Amount,Diff_Action,Diff_Freq
2014,GENERAL DYNAMICS CORPORATION,16329,13630604800.84,GENERAL DYNAMICS,13314787872.28,217418,12527,3,315816928.55999947,-201089,3802
2014,RAYTHEON COMPANY,10275,11816577883.63,RAYTHEON,11407746917.9,79678,10134,4,408830965.72999954,-69403,141
2014,NORTHROP GRUMMAN CORPORATION,10194,9213821365.01,NORTHROP GRUMMAN,9381016554.03,89646,12052,5,-167195189.02000046,-79452,-1858
2014,UNITED TECHNOLOGIES CORPORATION,9296,6117086747.690001,UNITED TECH,5809332396.64,30904,7569,6,307754351.0500002,-21608,1727
2014,L-3 COMMUNICATIONS HOLDINGS  INC.,8499,5288631065.98,L3 COMMUNICATIONS,5193095314.64,75753,7671,7,95535751.3399992,-67254,828
2014,BAE SYSTEMS PLC,9340,4876213940.43,BAE SYSTEMS PLC [SURVEILLANCE & ATTACK BUSINESS],NA,NA,NA,NA,NA,NA,NA
2014,HUNTINGTON INGALLS INDUSTRIES  INC.,3116,4025292235.52,HUNTINGTON INGALLS INCORPORATED,3818466750.87,4326,2171,9,206825484.6500001,-1210,945
2014,HUMANA INC.,231,3527209086.24,HUMANA,3525723605.58,415,208,10,1485480.6599998474,-184,23
2014,UNITEDHEALTH GROUP INCORPORATED,243,3203771598.01,UnitedHealth Group,2970075676.38,248,124,13,233695921.6300001,-5,119
2014,HEALTH NET  INC.,129,3086459475.28,HEALTH NET,3086459475.28,257,129,12,0,-128,0
2014,SAIC  INC.,13789,2988612860.95,SAIC,3087790670.73,193180,25453,11,-99177809.78000021,-179391,-11664
2014,UNITED LAUNCH ALLIANCE  L.L.C.,89,2519158433.33,UNITED LAUNCH ALLIANCE,2519158433.33,178,89,15,0,-89,0
2014,BECHTEL GROUP  INC.,153,2476019275.51,BECHTEL,2754133038.46,1127,148,14,-278113762.9499998,-974,5
2014,GENERAL ELECTRIC COMPANY,4649,2200317806.74,GENERAL ELECTRIC,2131645002.0600002,23990,4341,17,68672804.67999959,-19341,308
2014,BOOZ ALLEN HAMILTON HOLDING CORPORATION,4507,2166187575.84,BOOZ ALLEN HAMILTON,2292146482.21,26660,4998,16,-125958906.36999989,-22153,-491
2014,EXELIS INC.,2583,2105471497.3,EXELIS,628964014.53,17721,1464,56,1476507482.77,-15138,1119
2014,BELL BOEING JOINT PROJECT OFFICE,2859,2018971983.94,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2018962820.35,6542,2865,18,9163.590000152588,-3683,-6
2014,HEWLETT-PACKARD COMPANY,42041,1766447587.13,HEWLETT PACKARD,1532924723.21,91365,3178,24,233522863.92000008,-49324,38863
2014,MCKESSON CORPORATION,16139,1663708861.81,MCKESSON,1659858225,32071,16036,19,3850636.809999943,-15932,103
2014,ROYAL DUTCH SHELL PLC,489,1606631098.63,ROYAL DUTCH SHELL,1587717000.17,4727,291,21,18914098.46000004,-4238,198
2014,TEXTRON INC.,3717,1584800612.37,TEXTRON,1575463897.74,22641,4161,22,9336714.629999876,-18924,-444
2014,GENERAL ATOMIC TECHNOLOGIES CORPORATION,707,1577207888.26,GENERAL ATOMICS,1624038821.25,3167,758,20,-46830932.99000001,-2460,-51
2014,COMPUTER SCIENCES CORPORATION,2592,1523472772.36,COMPUTER SCIENCES,1372524532.83,28163,2351,27,150948239.52999997,-25571,241
2014,AMERISOURCEBERGEN CORPORATION,68252,1468704529.13,AMERISOURCEBERGEN,1465441194.35,137234,68202,25,3263334.78000021,-68982,50
2014,CACI INTERNATIONAL INC,2734,1465494053.95,CACI,1404532909.03,17022,2738,26,60961144.92000008,-14288,-4
2014,URS CORPORATION,2588,1226800302.53,URS,1124363970.67,16646,2548,32,102436331.8599999,-14058,40
2014,HONEYWELL INTERNATIONAL INC.,6282,1143718543.59,HONEYWELL,1141205375.19,49041,5687,31,2513168.399999857,-42759,595
2014,ALLIANT TECHSYSTEMS INC.,1023,1124202961.56,ALLIANT TECHSYSTEMS OPERATIONS,NA,NA,NA,NA,NA,NA,NA
2014,HARRIS CORPORATION,3053,1102221228.06,HARRIS,1073907929.4,17723,2973,34,28313298.659999847,-14670,80
2014,CARDINAL HEALTH  INC.,64950,989787643.82,CARDINAL HEALTH,1004628828.3,133831,65253,35,-14841184.4799999,-68881,-303
2014,ANHAM FZCO,16323,985900614.11,ANHAM,985900614.11,33476,16323,36,0,-17153,0
2014,ATLANTIC DIVING SUPPLY  INC.,6716,984580065.4,ATLANTIC DIVING SUPPLY,984402214.4,48454,6609,37,177851,-41738,107
2014,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,154,952819502.38,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,952819502.38,306,154,38,0,-152,0
2014,VALERO ENERGY CORPORATION,171,943737879.76,VALERO ENERGY,1228851930.22,8751,208,28,-285114050.46000004,-8580,-37
2014,FLUOR CORPORATION,407,918934005.59,FLUOR,874836521.76,1067,122,40,44097483.83000004,-660,285
2014,EXXON MOBIL CORPORATION,183,878349559.83,EXXON MOBIL,878349559.83,7859,183,39,0,-7676,0
2014,CERBERUS CAPITAL MANAGEMENT  L.P.,1175,862503973.3100001,CERBERUS,NA,NA,NA,NA,NA,NA,NA
2014,ALION SCIENCE AND TECHNOLOGY CORPORATION,1262,859389290.41,ALION SCIENCE & TECHNOLOGY,856589550.63,4951,1247,42,2799739.7799999714,-3689,15
2014,FOSTER FUELS  INC.,594,858803853.98,FOSTER FUELS,858699577.98,14557,616,41,104276,-13963,-22
2014,ROCKWELL COLLINS  INC.,2064,842775758.28,ROCKWELL COLLINS,768080166.66,15826,1900,46,74695591.62,-13762,164
2014,JACOBS ENGINEERING GROUP INC.,2568,826612027.14,JACOBS ENGINEERING GROUP,697633381.91,12031,2296,49,128978645.23000002,-9463,272
2014,JOHNS HOPKINS UNIVERSITY,1418,799720741.47,JOHNS HOPKINS UNIVERSITY,1215454855.59,8747,1461,29,-415734114.1199999,-7329,-43
2014,THE MITRE CORPORATION,240,781981688.66,THE MITRE,782555915.66,503,253,44,-574227,-263,-13
2014,MANTECH INTERNATIONAL CORPORATION,1703,746066693.08,MANTECH INTL A,655851394.99,10286,1421,53,90215298.09000003,-8583,282
2014,AUSTAL LIMITED,65,736670625.82,AUSTAL,770770169.75,221,112,45,-34099543.92999995,-156,-47
2014,THE AEROSPACE CORPORATION,20,729239965.95,THE AEROSPACE,729239965.95,40,20,47,0,-20,0
2014,EXPRESS SCRIPTS HOLDING COMPANY,96,707183500.41,EXPRESS SCRIPTS,707070328.46,162,83,48,113171.94999992847,-66,13
2014,A.P. MOLLER - MARSK A/S,19450,681547990.11,AP Moller MAERSK,681551303.11,19054,371,50,-3313,396,19079
2014,ROLLS-ROYCE CORPORATION,610,667535128.12,ROLLS ROYCE,850413521.51,8449,1326,43,-182878393.39,-7839,-716
2014,SIERRA NEVADA CORPORATION,699,665081373.29,SIERRA NEVADA,665269153.15,13865,698,51,-187779.8600000143,-13166,1
2014,FEDEX CORPORATION,6734085,663169674.15,FEDEX,663169674.15,30813,1294,52,0,6703272,6732791
2014,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,12409,651140480.3,NA,NA,NA,NA,NA,NA,NA,NA
2014,THE BAHRAIN PETROLEUM COMPANY BSC (CLOSED),51,636052238.04,BAHRAIN PETROLEUM COMPANY,636052238.04,91,51,54,0,-40,0
2014,RED STAR ENTERPRISES LTD,28,583986658.18,RED STAR ENTERPRISES,571212304.5600001,12579,35,58,12774353.619999886,-12551,-7
2014,FINMECCANICA SPA,2340,572347954.76,PARAVANT COMPUTER SYSTEMS [FINMECCANICA SPA],NA,NA,NA,NA,NA,NA,NA
2014,WFS UK HOLDING PARTNERSHIP II LP,145,543415197.28,NA,NA,NA,NA,NA,NA,NA,NA
2014,OSHKOSH CORPORATION,2578,540546642.89,OSHKOSH,545616387.74,9810,2868,59,-5069744.850000024,-7232,-290
2014,WYLE SERVICES CORPORATION,1075,507663062.47,NA,NA,NA,NA,NA,NA,NA,NA
2014,GOVERNMENT OF CANADA,1132,507077901.46,GOVERNMENT OF CANADA,NA,NA,NA,NA,NA,NA,NA
2014,VERITAS CAPITAL FUND II L.P.  THE,292,502501437.31,VERITAS CAPITAL FUND,NA,NA,NA,NA,NA,NA,NA
2014,S-OIL CORPORATION,33,501822573.48,S-OIL,502134976.55,3400,33,64,-312403.06999999285,-3367,0
2014,PATRIOT TEAM,534,483688957.56,PATRIOT TEAM,483688957.56,1060,534,65,0,-526,0
2014,HENSEL PHELPS KIEWIT JOINT VENTURE,20,439167037,HENSEL PHELPS KIEWIT JOINT VENTURE,439167037,40,20,67,0,-20,0
2014,THE CHARLES STARK DRAPER LABORATORY INC,185,431758385.77,CHARLES STARK DRAPER LABORATORY,431758385.77,1199,185,68,0,-1014,0
2014,VERIZON COMMUNICATIONS INC.,32592,420955758.92,VERIZON,429216330.29,230681,7319,69,-8260571.370000005,-198089,25273
2014,AL RAHA GROUP FOR TECHNICAL S ERVICES,75,420746560.78,NA,NA,NA,NA,NA,NA,NA,NA
2014,ADVANCED TECHNOLOGY INTERNATIONAL,141,411022171.26,NA,NA,NA,NA,NA,NA,NA,NA
2014,JOHNS HOPKINS HEALTH SYS CORP,18,404524103.65,NA,NA,NA,NA,NA,NA,NA,NA
2014,CHEVRON CORPORATION,394,403986040.48,CHEVRON,403986040.48,9932,394,71,0,-9538,0
2014,CUBIC CORPORATION,650,399666190.17,CUBIC,399507382.92,6265,648,72,158807.25,-5615,2
2014,INTERNATIONAL BUSINESS MACHINES CORPORATION,580,392653657.2,IBM,409996635.26,6433,623,70,-17342978.060000002,-5853,-43
2014,BECHTEL PARSONS BLUE GRASS  A JOINT VENTURE,25,375897555.65,NA,NA,NA,NA,NA,NA,NA,NA
2014,REDSTONE DEFENSE SYSTEMS,723,361309425.81,REDSTONE DEFENSE SYSTEMS,361309425.81,4789,727,74,0,-4066,-4
2014,GREAT LAKES DREDGE & DOCK CORPORATION,109,361282430.15,GREAT LAKES DREDGE DOCK,361282430.15,214,109,75,0,-105,0
2014,BATTELLE MEMORIAL INSTITUTE INC,1439,350152874.23,BATTELLE,302100737.82,6084,1402,89,48052136.410000026,-4645,37
2014,MARTIN'S POINT HEALTH CARE  INC.,19,342569543.77,MARTIN'S POINT HEALTH CARE,342569543.77,38,19,78,0,-19,0
2014,METLIFE  INC.,61,340001805.59,METLIFE,340001805.59,122,61,79,0,-61,0
2014,WESTERN REFINING  INC.,174,325234159.8,WESTERN REFINING,325297193.04,1176,175,83,-63033.24000000954,-1002,-1
2014,ADNOC DISTRIBUTION,23,321669648.85,NA,NA,NA,NA,NA,NA,NA,NA
2014,CDW CORPORATION,2183,314602759.57,CDW,314602759.57,20262,2055,86,0,-18079,128
2014,AAR CORP.,1310,310015110.79,AAR,306492007.07,10667,1282,88,3523103.7200000286,-9357,28
2014,NANA REGIONAL CORPORATION  INC.,1024,308529872.98,NANA REGIONAL,NA,NA,NA,NA,NA,NA,NA
2014,EUROPEAN AERONAUTIC DEFENCE AND SPACE COMPANY EADS N.V.,515,305167508.26,NA,NA,NA,NA,NA,NA,NA,NA
2014,SODEXO,1875,300230246.17,SODEXO,295097133.34,9907,1205,91,5133112.830000043,-8032,670
2014,CHUGACH ALASKA CORPORATION,1284,299068670.55,CHUGACH ALASKA,NA,NA,NA,NA,NA,NA,NA
2014,THE INTERPUBLIC GROUP OF COMPANIES INC,351,299030417.86,INTERPUBLIC GROUP OF COMPANIES,284819074.98,658,333,93,14211342.879999995,-307,18
2014,CH2M HILL COMPANIES  LTD.,896,298363345.57,CH2M HILL,318075937.1,10307,1014,85,-19712591.53000003,-9411,-118
2014,KONGSBERG GRUPPEN ASA,236,298054546.92,KONGSBERG GRUPPEN,332169659.27,24757,291,82,-34115112.349999964,-24521,-55
2014,WORLD WIDE TECHNOLOGY HOLDING CO.  INC.,2080,289281561.05,WORLD WIDE TECHNOLOGY,289204805.92,19583,1931,92,76755.12999999523,-17503,149
2014,ENGILITY CORP.,1142,288969257.32,ENGILITY,279844246.75,17572,881,94,9125010.569999993,-16430,261
2014,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,350,276311278.34,INTUITIVE,276303403.22,4868,351,96,7875.119999945164,-4518,-1
2014,AC FIRST  LLC,43,274767832.23,AC FIRST [Joint Venture - AECOM & CACI],274767832.23,84,43,97,0,-41,0
2014,SUPREME GROUP HOLDING SARL,1412,273646347.21,SUPREME GROUP,357539290.57,10608,1552,76,-83892943.36000001,-9196,-140
2014,PHILLIPS 66,166,272543278.94,NA,NA,NA,NA,NA,NA,NA,NA
2014,JOHNSON CONTROLS  INC.,1167,267298948.97,JOHNSON CONTROLS,517040930.41,19229,1310,62,-249741981.44000003,-18062,-143
2014,SERCO GROUP PLC,1087,265436977.31,SERCO GROUP PLC,301568216.88,8607,1415,90,-36131239.56999999,-7520,-328
2014,HELLFIRE SYSTEMS  LLC,124,262876884.6,HELLFIRE SYSTEMS,NA,NA,NA,NA,NA,NA,NA
2014,AEROSPACE TESTING ALLIANCE,26,260270386.15,AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],260270386.15,52,26,101,0,-26,0
2013,LOCKHEED MARTIN CORPORATION,18541,37175375556.46,LOCKHEED MARTIN,37075749803.33,111278,18619,1,99625753.12999725,-92737,-78
2013,THE BOEING COMPANY,9773,19442166329.61,BOEING,19753029502.65,71208,9473,2,-310863173.0400009,-61435,300
2013,RAYTHEON COMPANY,10703,13130554995.49,RAYTHEON,12706031294.82,95378,10400,3,424523700.6700001,-84675,303
2013,GENERAL DYNAMICS CORPORATION,17791,12017722203.33,GENERAL DYNAMICS,12006479996.07,178743,14067,4,11242207.260000229,-160952,3724
2013,NORTHROP GRUMMAN CORPORATION,10349,9168802601.039999,NORTHROP GRUMMAN,9872524171.04,76646,12928,5,-703721570.0000019,-66297,-2579
2013,HUNTINGTON INGALLS INDUSTRIES  INC.,4116,5631512537.540001,HUNTINGTON INGALLS INCORPORATED,5414255972.62,6180,3095,7,217256564.92000103,-2064,1021
2013,UNITED TECHNOLOGIES CORPORATION,11037,5490455510.31,UNITED TECH,5409725535.38,38604,9851,8,80729974.9300003,-27567,1186
2013,L-3 COMMUNICATIONS HOLDINGS  INC.,9256,5358392085.58,L3 COMMUNICATIONS,5436866814,64809,8893,6,-78474728.42000008,-55553,363
2013,BAE SYSTEMS PLC,9872,4694163941.75,BAE SYSTEMS PLC [SURVEILLANCE & ATTACK BUSINESS],NA,NA,NA,NA,NA,NA,NA
2013,SAIC  INC.,27965,4254384838.7,SAIC,4250516659.16,112180,27891,10,3868179.539999962,-84215,74
2013,HUMANA INC.,247,3463037061.72,HUMANA,3460319622.52,424,214,11,2717439.1999998093,-177,33
2013,VERITAS CAPITAL FUND II L.P.  THE,949,3076577864.82,VERITAS CAPITAL FUND,NA,NA,NA,NA,NA,NA,NA
2013,HEALTH NET  INC.,123,2907747743.76,HEALTH NET,2907747743.76,242,123,13,0,-119,0
2013,TEXTRON INC.,4009,2712259331.85,TEXTRON,2688972556.42,30052,4267,15,23286775.42999983,-26043,-258
2013,BECHTEL GROUP  INC.,155,2507656294.21,BECHTEL,2760133436.66,3965,152,14,-252477142.4499998,-3810,3
2013,GENERAL ELECTRIC COMPANY,4426,2294881064.5,GENERAL ELECTRIC,2230657784.6,22375,4155,18,64223279.900000095,-17949,271
2013,EXELIS INC.,2433,2175603321.45,EXELIS,503639934.07,14146,1610,71,1671963387.3799999,-11713,823
2013,FLUOR CORPORATION,464,2134211559.65,FLUOR,2094868719.59,1452,276,21,39342840.06000018,-988,188
2013,GENERAL ATOMIC TECHNOLOGIES CORPORATION,627,2099810941.83,GENERAL ATOMICS,2122742110.83,1723,651,19,-22931169,-1096,-24
2013,BELL BOEING JOINT PROJECT OFFICE,1812,2095956832.75,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2094974230.41,4490,1795,20,982602.3399999142,-2678,17
2013,BOOZ ALLEN HAMILTON HOLDING CORPORATION,4875,2049588717.58,BOOZ ALLEN HAMILTON,2087786793.68,33488,4941,22,-38198076.10000014,-28613,-66
2013,SUPREME GROUP HOLDING SARL,24779,2027950957.03,SUPREME GROUP,2630425829.62,51099,24637,16,-602474872.5899999,-26320,142
2013,COMPUTER SCIENCES CORPORATION,2983,1869972294.29,COMPUTER SCIENCES,2046143268.22,18849,3528,23,-176170973.93000007,-15866,-545
2013,TRIWEST HEALTHCARE ALLIANCE CORP.,80,1819339196.92,TRIWEST HEALTHCARE ALLIANCE,1819348466.92,156,80,24,-9270,-76,0
2013,OSHKOSH CORPORATION,2637,1728721998.05,OSHKOSH,1705230421.89,10303,1987,25,23491576.159999847,-7666,650
2013,HEWLETT-PACKARD COMPANY,18189,1699262470.06,HEWLETT PACKARD,1703256520.7,42277,1955,26,-3994050.640000105,-24088,16234
2013,CACI INTERNATIONAL INC,2872,1529915752.19,CACI,1535692708.44,16846,3008,27,-5776956.25,-13974,-136
2013,SIERRA NEVADA CORPORATION,781,1448952018.25,SIERRA NEVADA,1452733684.57,9749,775,28,-3781666.3199999332,-8968,6
2013,AMERISOURCEBERGEN CORPORATION,67709,1418173840.07,AMERISOURCEBERGEN,1398190428.36,133627,66814,29,19983411.71000004,-65918,895
2013,HARRIS CORPORATION,6611,1350950013.26,HARRIS,1330134482.92,48073,3929,31,20815530.339999914,-41462,2682
2013,REFINERY ASSOCIATES OF TEXAS  INC,39,1340110462.3,REFINERY ASSOCIATES OF TEXAS,1340110462.3000002,48,39,30,-2.384185791015625e-7,-9,0
2013,ALLIANT TECHSYSTEMS INC.,1136,1289185793.3,ALLIANT TECHSYSTEMS OPERATIONS,NA,NA,NA,NA,NA,NA,NA
2013,URS CORPORATION,3146,1284244931.21,URS,1175470783.68,17077,3121,36,108774147.52999997,-13931,25
2013,UNITED LAUNCH ALLIANCE  L.L.C.,60,1260025374.39,UNITED LAUNCH ALLIANCE,1260025374.39,120,60,35,0,-60,0
2013,UNITEDHEALTH GROUP INCORPORATED,207,1258347831.04,UnitedHealth Group,1026604849.34,170,85,41,231742981.69999993,37,122
2013,MANTECH INTERNATIONAL CORPORATION,1737,1235114700.98,MANTECH INTL A,1158363244.36,13805,1435,37,76751456.62000012,-12068,302
2013,HONEYWELL INTERNATIONAL INC.,6260,1204125157.84,HONEYWELL,1283940051.11,40962,6155,34,-79814893.26999998,-34702,105
2013,A.P. MOLLER - MARSK A/S,20911,957332881.62,AP Moller MAERSK,957298279.61,17830,334,42,34602.00999999046,3081,20577
2013,CARDINAL HEALTH  INC.,59879,956189566.79,CARDINAL HEALTH,956114088.22,119010,59510,43,75478.56999993324,-59131,369
2013,NATIONAL FUEL INC,46,914505674.66,NATIONAL FUEL,914505674.66,3738,47,45,0,-3692,-1
2013,ATLANTIC DIVING SUPPLY  INC.,5468,894220710.1099999,ATLANTIC DIVING SUPPLY,888142786.41,15762,5419,46,6077923.6999999285,-10294,49
2013,ROCKWELL COLLINS  INC.,2250,878386580.42,ROCKWELL COLLINS,776283000.03,13097,2014,51,102103580.38999999,-10847,236
2013,FEDEX CORPORATION,6869228,870123652.72,FEDEX,865301271.9,34615,1583,47,4822380.820000052,6834613,6867645
2013,ITT CORPORATION,881,857835098.47,ITT,2443266234.79,12325,1630,17,-1585431136.32,-11444,-749
2013,THE AEROSPACE CORPORATION,16,812794640,THE AEROSPACE,812794640,32,16,48,0,-16,0
2013,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,159,808006419.39,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,808021019.39,310,156,49,-14600,-151,3
2013,TOTAL SA,190,793960262.15,TOTAL SA,788473374.87,3724,37,50,5486887.279999971,-3534,153
2013,JACOBS ENGINEERING GROUP INC.,2907,772958843.59,JACOBS ENGINEERING GROUP,757285362.36,11958,2816,53,15673481.23000002,-9051,91
2013,MCKESSON CORPORATION,6214,737619882.54,MCKESSON,731531600.16,11995,5998,55,6088282.379999995,-5781,216
2013,THE MITRE CORPORATION,172,736014768.15,THE MITRE,740614916.07,431,216,54,-4600147.920000076,-259,-44
2013,COMPANIA ESPANOLA DE PETROLEOS SA,13,709422016.89,COMPANIA ESPANOLA DE PETROLEOS,NA,NA,NA,NA,NA,NA,NA
2013,"AUSTAL USA, LLC",36,696242389.95,AUSTAL,935498655.75,219,111,44,-239256265.79999995,-183,-75
2013,JOHNS HOPKINS UNIVERSITY,1323,694288428.73,JOHNS HOPKINS UNIVERSITY,1036209953.58,10016,1354,40,-341921524.85,-8693,-31
2013,CHEVRON CORPORATION,182,678139841.47,CHEVRON,670158951.5500001,3072,183,58,7980889.919999957,-2890,-1
2013,VALERO ENERGY CORPORATION,28,672455774.79,VALERO ENERGY,672223027.59,1886,31,57,232747.19999992847,-1858,-3
2013,ALION SCIENCE AND TECHNOLOGY CORPORATION,1144,614446708.4,ALION SCIENCE & TECHNOLOGY,653082753.04,5904,1144,59,-38636044.639999986,-4760,0
2013,SUPREME FUELS TRADING FZE,15,613809320.98,SUPREME GROUP,2630425829.62,51099,24637,16,-2016616508.6399999,-51084,-24622
2013,WORLD FUEL SERVICES CORP,69,612051222.02,WORLD FUEL SERVICES CORPORATION,1119196201.1,11111,73,38,-507144979.0799999,-11042,-4
2013,PATRIOT TEAM,625,598473410.02,PATRIOT TEAM,595535524.81,1232,619,61,2937885.210000038,-607,6
2013,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,17,595966007.76,MOTOR OILCORINTH REFINERIES SA,595966007.76,25,17,60,0,-8,0
2013,GREAT LAKES DREDGE & DOCK CORPORATION,149,578445584.75,GREAT LAKES DREDGE DOCK,578246217.79,283,146,62,199366.96000003815,-134,3
2013,ROLLS-ROYCE GROUP PLC,1121,578345978.43,ROLLS ROYCE,765941085.45,7038,1722,52,-187595107.0200001,-5917,-601
2013,S-OIL CORPORATION,7,578105145.24,S-OIL,578105145.24,8,7,63,0,-1,0
2013,EXPRESS SCRIPTS HOLDING COMPANY,68,564272594.41,EXPRESS SCRIPTS,564165132.14,125,63,66,107462.26999998093,-57,5
2013,MISSION ESSENTIAL PERSONNEL  LLC,95,564131759.72,MISSION ESSENTIAL PERSONNEL,564711177.08,3848,96,65,-579417.3600000143,-3753,-1
2013,GOVERNMENT OF CANADA,1297,559872387.6,GOVERNMENT OF CANADA,NA,NA,NA,NA,NA,NA,NA
2013,KUWAIT PETORLEUM CORPORATION .,6,557808234.75,KUWAIT PETROLEUM,557808234.75,926,6,68,0,-920,0
2013,WORLD AIRWAYS  INC.,503,557355467.33,WORLD AIRWAYS,553721546.55,3612,520,70,3633920.7800000906,-3109,-17
2013,ROSOBORONEXPORT FGUP,5,553980998.21,ROSOBORONEXPORT FGUP,553980998.21,10,5,69,0,-5,0
2013,WYLE SERVICES CORPORATION,1140,539660318.04,NA,NA,NA,NA,NA,NA,NA,NA
2013,WORLD FUEL SERVICES EUROPE LTD,7,507422957.13,WORLD FUEL SERVICES CORPORATION,1119196201.1,11111,73,38,-611773243.9699999,-11104,-66
2013,MARITIME HELICOPTER SUPPORT COMPANY LLC,30,490846583.05,MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture],490846583.05,48,30,73,0,-18,0
2013,EXXON MOBIL CORPORATION,20,480905865.3,EXXON MOBIL,480905865.3,1867,22,75,0,-1847,-2
2013,FINMECCANICA SPA,2383,470904186.22,PARAVANT COMPUTER SYSTEMS [FINMECCANICA SPA],NA,NA,NA,NA,NA,NA,NA
2013,ROYAL DUTCH SHELL PLC,218,464370278.2,ROYAL DUTCH SHELL,433545821.85,38,24,81,30824456.349999964,180,194
2013,AAR CORP.,1426,458847336.97,AAR,452736202.34,3662,1384,77,6111134.630000055,-2236,42
2013,ENVIRONMENTAL CHEMICAL CORPORATION,304,456082427.46,ENVIRONMENTAL CHEMICAL,457485664.87,1944,304,76,-1403237.4100000262,-1640,0
2013,THE CHARLES STARK DRAPER LABORATORY INC,164,448368410.24,CHARLES STARK DRAPER LABORATORY,447618410.24,325,164,78,75e4,-161,0
2013,ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION,2,436601280,ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION,NA,NA,NA,NA,NA,NA,NA
2013,MCDONNELL DOUGLAS HELICOPTER COMPANY,98,434066883.11,MCDONNELL DOUGLAS [BOEING],NA,NA,NA,NA,NA,NA,NA
2013,CUBIC CORPORATION,676,433617592.8,CUBIC,433673715.96999997,10461,675,80,-56123.169999957085,-9785,1
2013,KBR  INC.,521,411973867.42,NA,NA,NA,NA,NA,NA,NA,NA
2013,BECHTEL PARSONS BLUE GRASS  A JOINT VENTURE,21,401535206.19,NA,NA,NA,NA,NA,NA,NA,NA
2013,AECOM TECHNOLOGY CORPORATION,841,391531563.17,AECOM TECHNOLOGY,180029272.73,2239,212,150,211502290.44000003,-1398,629
2013,HELLFIRE SYSTEMS  LLC,147,375360382.55,HELLFIRE SYSTEMS,NA,NA,NA,NA,NA,NA,NA
2013,INTERNATIONAL BUSINESS MACHINES CORPORATION,667,362786423.32,IBM,376501704.58,5047,709,86,-13715281.25999999,-4380,-42
2013,GAZPROMNEFT-AERO KYRGYZSTAN LLC,4,358322382.4,GAZPROM NEFT AERO KYRGYZSTAN [Joint Venture],358322382.4,6,4,87,0,-2,0
2013,CGI TECHNOLOGIES AND SOLUTIONS INC.,731,351953934.45,CGI GROUP,237463791.01,1175,597,120,114490143.44,-444,134
2013,DRS TECHNICAL SERVICES  INC.,240,345824031.47,DRS,NA,NA,NA,NA,NA,NA,NA
2013,NANA REGIONAL CORPORATION  INC.,1274,339053771.72,NANA REGIONAL,NA,NA,NA,NA,NA,NA,NA
2013,CHUGACH ALASKA CORPORATION,1508,335079655.51,CHUGACH ALASKA,NA,NA,NA,NA,NA,NA,NA
2013,BATTELLE MEMORIAL INSTITUTE INC,1656,331397423.6,BATTELLE,259796599.9,5912,1613,113,71600823.70000002,-4256,43
2013,JOHNS HOPKINS HEALTH SYS CORP,16,331076812.69,NA,NA,NA,NA,NA,NA,NA,NA
2013,METLIFE  INC.,49,329923624.39,METLIFE,329923624.39,98,49,89,0,-49,0
2013,CERBERUS CAPITAL MANAGEMENT  L.P.,858,324402982.42,CERBERUS,NA,NA,NA,NA,NA,NA,NA
2013,CHEMRING GROUP PLC,419,323778550.9,CHEMRING GROUP PLC,195982124.91,232,123,142,127796425.98999998,187,296
2013,EUROPEAN AERONAUTIC DEFENCE AND SPACE COMPANY EADS N.V.,536,323698101.46,NA,NA,NA,NA,NA,NA,NA,NA
2013,AT&T INC.,14824,318316663.51,AT&T,323512396.96,66374,5412,91,-5195733.449999988,-51550,9412
2013,SERCO GROUP PLC,1235,315664702.55,SERCO GROUP PLC,324404036.99,10023,1377,90,-8739334.439999998,-8788,-142
2013,CLARK MCCARTHY HEALTHCARE PARTNERS II,3,312595434.82,"CLARK-MCCARTHY HEALTHCARE PARTNERS, A JOINT VENTURE",351718619.28,120,60,88,-39123184.45999998,-117,-57
2012,LOCKHEED MARTIN CORPORATION,18673,29882775955.670002,LOCKHEED MARTIN,30593499462.1633,18667,19134,1,-710723506.4932976,6,-461
2012,THE BOEING COMPANY,13994,27792927422.25,BOEING,28620186430.9581,13614,13879,2,-827259008.7080994,380,115
2012,RAYTHEON COMPANY,10728,14183020301.1,RAYTHEON,13702890214.8257,10473,10794,3,480130086.2742996,255,-66
2012,GENERAL DYNAMICS CORPORATION,16310,13581421700.69,GENERAL DYNAMICS,13661532338.3644,15636,14423,4,-80110637.67440033,674,1887
