ParentID,contract_award_unique_key,PricingMechanism,ProductOrServiceCodeText,CompetitionClassification,ClassifyNumberOfOffers,anycommercial,Vehicle,Action_Obligation_OMB25_GDP23,baseandexercisedoptionsvalue,baseandalloptionsvalue,MinOfsigneddate
BOEING,CONT_AWD_NNL13AA13T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,N,BOA,2358617.2415936925,1851699,1851699,2013-01-10
BOEING,CONT_AWD_MSFC0200007DNAS800157_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,2299576.8717312454,0,0,2000-07-15
BOEING,CONT_AWD_80GRC019C0004_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,2282956.4405032364,2015725.55,2015725.55,2019-05-22
BOEING,CONT_AWD_NNC14TA36T_8000_NNC10BA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,2244697.354922177,1655859,1655859,2014-06-23
BOEING,CONT_AWD_F0470193C0004_9700_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT),Full Competition (Multiple Offers),3-4 Offers,N,DCA,2239082.6379751177,0,0,2007-08-22
BOEING,CONT_AWD_NND08BO09T_8000_NND07AA08B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,SINGLE AWARD IDC,2215499.5694135865,2014908,2014908,2008-01-17
BOEING,CONT_AWD_NNA05BE24D_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,PO,2158013.3675729306,1445721.83,1445721.83,2005-02-24
BOEING,CONT_IDV_NAS100086_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,NA,2084595.366133062,0,0,2001-09-28
BOEING,CONT_AWD_NNL04AB77T_8000_NAS100086_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,1980069.1929348526,1279332,1279332,2004-05-25
BOEING,CONT_AWD_NNL05AA36C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (MANAGEMENT/SUPPORT),Full Competition (Multiple Offers),100+ Offers,N,DCA,1959019.0868455248,1300000,1300000,2005-05-17
BOEING,NA,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,NA,NA,1948132.7803820784,0,0,NA
BOEING,CONT_AWD_NND08BO10T_8000_NND07AA08B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,SINGLE AWARD IDC,1856313.177680119,1336342.03,1336342.03,2008-01-24
BOEING,CONT_AWD_NNL08AB43T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,BOA,1828105.6683388997,1329366,1329366,2008-03-17
BOEING,CONT_AWD_LERC0200206DNAS302067_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,1795659.9357356115,20069773.18,20069773.18,2002-06-15
BOEING,CONT_AWD_NNC17TA30T_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,1784525.5905919692,1473473,1473473,2017-01-17
BOEING,CONT_AWD_NNC16CA02C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,1732140.5988541613,1405600,1405600,2016-03-17
BOEING,CONT_AWD_NND08AA66C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,DCA,1597590.905179556,1160394.73,1160394.73,2007-12-21
BOEING,CONT_AWD_NNL13AA12T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,1590549.41317432,1239610,1239610,2013-01-30
BOEING,CONT_AWD_NNL04AD09T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,1532060.3614776435,1019993,1019993,2005-02-25
BOEING,CONT_AWD_MSFC0200109DNAS801040_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,1498641.0951601057,1123367,1123367,2001-05-15
BOEING,CONT_AWD_NNC06CB71C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Full Competition (Multiple Offers),3-4 Offers,N,PO,1463825.9934300678,1010237,1010237,2006-04-17
BOEING,CONT_AWD_LARC0200106DNAS101057_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,1449733.4269794743,899575,899575,2001-06-15
BOEING,CONT_AWD_NNM05AB15C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),100+ Offers,N,DCA,1422422.6659588139,1813822,1813822,2005-04-21
BOEING,CONT_AWD_NNL11AD16T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,1397857.0852017275,1030572,1030572,2011-09-26
BOEING,CONT_AWD_DEAC0300SF22192_8900_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Full Competition (Multiple Offers),Two Offers,N,DCA,1396419.4206413187,0,0,2000-08-15
BOEING,CONT_AWD_NNL14AB65T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,1360360.55735033,859305.11,1386533.11,2014-09-05
BOEING,CONT_AWD_NNL09AC01P_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),No Competition (Only One Source Exception),No competition,Y,PO,1326143.4364237206,965900,1466100,2009-03-31
BOEING,CONT_AWD_MSFC0198801DNAS850000_8000_-NONE-_-NONE-,Cost Plus Award Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Competition with single offer,One Offer,N,DCA,1314242.6090402217,-724253,-724253,2004-09-29
BOEING,CONT_AWD_NNL11AC32T_8000_NNL10AA00B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,1309983.5418899662,1011935,1011935,2011-09-21
BOEING,CONT_AWD_NNL13AC08T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,1301687.6357981565,524220,524220,2013-08-08
BOEING,CONT_AWD_NNL04AB89T_8000_NAS100086_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,1301118.5397536433,847982,847982,2004-05-12
BOEING,CONT_AWD_NNL08AB29T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer (Overrode blank Fair Opportunity),One Offer,N,BOA,1278268.675930179,962794,962794,2008-07-03
BOEING,CONT_AWD_NNA16BD84C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),5-9 Offers,N,DCA,1251532.792176525,1008239,1008239,2016-08-17
BOEING,CONT_AWD_LARC0199507BNAS120342_8000_-NONE-_-NONE-,Cost No Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),5-9 Offers,N,PO,1238955.3904524609,0,0,1999-11-15
BOEING,CONT_AWD_ARC00199707DNAS297072_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),No Competition (Other Exception),No competition,N,DCA,1224816.4157546393,10052066.8594,10052066.8594,1999-11-15
BOEING,CONT_AWD_NNC11CA20C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (MANAGEMENT/SUPPORT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,1218370.1566376886,954796.1526,1467958,2011-09-28
BOEING,CONT_AWD_NNC14CA01C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,1154631.53905938,762623,762623,2013-12-11
BOEING,CONT_AWD_80GRC018F0182_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,1145537.6896013408,968214,968214,2018-09-20
BOEING,CONT_AWD_NNC08CA81C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,1142706.162096054,819635.38,2241385.38,2008-09-24
BOEING,CONT_AWD_NNL08AA22T_8000_NNL06AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,1133091.910178588,899898,899898,2007-12-21
BOEING,NA,Fixed Price with Economic Price Adjustment,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),No Competition (Only One Source Exception),No competition,NA,NA,1089958.9666946016,0,0,NA
BOEING,CONT_AWD_NNL08AA80T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,N,BOA,1056632.650427407,784235,1293951,2008-03-26
BOEING,CONT_AWD_NNL08AB30T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer (Overrode blank Fair Opportunity),One Offer,N,BOA,1043641.3769115506,772211,772211,2008-07-03
BOEING,CONT_AWD_NNL12AE68P_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),No Competition (Only One Source Exception),No competition,Y,PO,1039311.896468682,793000,793000,2012-08-16
BOEING,CONT_AWD_NNA07BA87P_8000_-NONE-_-NONE-,Firm Fixed Price,SPACE VEHICLE LAUNCHERS,Full Competition (Multiple Offers),Two Offers,Y,PO,1025812.7392852328,724548,724548,2006-12-27
BOEING,CONT_AWD_0002_9700_FA881414D0007_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers,10-24 Offers,Y,MULTIPLE AWARD IDC,1011222.772699573,799899,799899,2014-07-24
BOEING,CONT_AWD_80LARC23FA019_8000_GS00Q14OADU405_4732,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,972613,972613,972613,2023-04-20
BOEING,CONT_AWD_MSFC0200204DNAS802056_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,DCA,966183.888704324,597899,597899,2002-04-15
BOEING,CONT_AWD_NNC16CA31C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,DCA,861344.3590214743,701032,701032,2016-09-19
BOEING,CONT_AWD_80GRC021C0011_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,3-4 Offers,N,DCA,846016.1791821804,756952.5801,756952.5801,2021-03-18
BOEING,CONT_AWD_NNM11AA09C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,833993.7696635547,625000,625000,2010-11-22
BOEING,CONT_AWD_NNC10CA40C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,DCA,823835.4140601759,614562,614562,2010-09-17
BOEING,CONT_AWD_NNL08AD70T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,819913.6483295627,601302,601302,2008-09-29
BOEING,CONT_AWD_GSFC0200103DNAS501103_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),Two Offers,N,DCA,819052.4400376468,0,0,2001-03-15
BOEING,CONT_AWD_80LARC20F0082_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Follow on to competed action),No competition,N,MULTIPLE AWARD IDC,809964.0212129721,699819,699819,2020-09-16
BOEING,CONT_AWD_NND10BO13T_8000_NND07AA08B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,SINGLE AWARD IDC,801908.2407536415,601756.7305,601756.7305,2010-09-01
BOEING,CONT_AWD_NNC11CA32C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),5-9 Offers,N,DCA,800364.4720906573,599798,599798,2011-08-11
BOEING,CONT_AWD_NNL10AA99T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,793824.4475399761,596237,596237,2010-02-17
BOEING,CONT_AWD_NNL10AA04T_8000_NNL10AA00B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,781389.2136484005,596245,2086395,2009-12-17
BOEING,CONT_AWD_NNL08AA36T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,779840.1767788697,572390,572390,2007-12-12
BOEING,CONT_AWD_NNL08AB65T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,778670.8783534105,942537,942537,2008-04-15
BOEING,CONT_AWD_NNL17AA44T_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,774695.4207622329,641769,641769,2017-03-16
BOEING,CONT_AWD_NNL12AD09T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,772545.5031309285,602336,602336,2012-09-28
BOEING,CONT_AWD_NNM05AB18C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,743906.9251810835,513375,663524,2005-04-13
BOEING,CONT_AWD_NNL10AC78T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,728805.3783270478,583433,583433,2010-09-15
BOEING,CONT_AWD_NNL10AD24T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,N,MULTIPLE AWARD IDC,728450.6556980542,548324,548324,2010-09-30
BOEING,CONT_AWD_NNC16TA90T_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,N,MULTIPLE AWARD IDC,719278.5971783189,585477,585477,2016-09-07
BOEING,CONT_AWD_NNL04AC69T_8000_NAS100086_8000,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,706458.2632485873,456446,456446,2004-08-06
BOEING,CONT_AWD_FA881411C0004_9700_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),5-9 Offers,N,DCA,705533.3757247695,528731,528731,2010-11-19
BOEING,CONT_AWD_NND08BO12T_8000_NND07AA08B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,SINGLE AWARD IDC,681778.7779973424,489824.2,489824.2,2008-09-26
BOEING,CONT_AWD_NNL04AC14T_8000_NAS100086_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,679509.0703984267,439034,439034,2004-05-21
BOEING,CONT_AWD_NNL04AA36C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,668674.9129236321,432034,432034,2004-02-17
BOEING,CONT_AWD_NNL14AC05T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,3-4 Offers,N,MULTIPLE AWARD IDC,668541.05993036,479332,479332,2014-09-29
BOEING,CONT_AWD_80LARC19F0164_8000_NNL16AA04B_8000,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,659679.8344849457,562622,562622,2019-09-30
BOEING,CONT_AWD_80LARC17F0001_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,658826.8007433751,558048,558048,2017-06-19
BOEING,CONT_AWD_NNL09AC35T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,654875.6468791928,491421,491421,2009-05-18
BOEING,CONT_AWD_NNL12AA41T_8000_NNL08AA16B_8000,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,BOA,647617.129838023,494135,1520998,2012-06-04
BOEING,CONT_AWD_ARC00199503DNAS214117_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Full Competition (Multiple Offers),Two Offers,N,DCA,637437.5319876526,0,0,2000-02-29
BOEING,CONT_AWD_NNC15CA11C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Limited Competition with multiple offers,5-9 Offers,N,DCA,634001.2903180043,153.95000000000027,-5791.15,2015-09-03
BOEING,CONT_AWD_NNL14AC00T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,623361.9060642588,499299,499299,2014-09-22
BOEING,CONT_AWD_NNL05AC53T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,621718.263591712,427520,427520,2005-08-19
BOEING,CONT_AWD_NND07BO01T_8000_NND07AA08B_8000,Other (none of the above),R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,SINGLE AWARD IDC,597979.3344820194,434154.6592,434154.6562,2008-03-26
BOEING,CONT_AWD_NND07BO02T_8000_NND07AA08B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,SINGLE AWARD IDC,597407.3305689674,418172.3,418172.3,2007-08-13
BOEING,CONT_AWD_80GRC018C0005_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),5-9 Offers,N,DCA,597073.0064485824,499982,499982,2017-11-16
BOEING,CONT_AWD_KSC00199904BNAS398006_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,PO,594537.6551694258,0,0,2001-01-15
BOEING,CONT_AWD_80GRC019C0020_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,Y,DCA,586057.9412647913,499832,499832,2019-04-24
BOEING,CONT_AWD_NNH14CL88C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),100+ Offers,N,DCA,568777.1753422974,449915,449915,2014-08-07
BOEING,CONT_AWD_NNH14CL76C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),100+ Offers,N,DCA,568591.3396960635,449768,449768,2014-08-12
BOEING,CONT_AWD_NNL09AC78T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer (Overrode blank Fair Opportunity),One Offer,Y,MULTIPLE AWARD IDC,559806.3276195939,417677,417677,2009-06-17
BOEING,CONT_AWD_NNL07AA44C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,556708.2688016801,392043.01,392043.01,2007-09-06
BOEING,CONT_AWD_NNL14AB98T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Follow on to competed action),No competition,N,MULTIPLE AWARD IDC,549959.9764238942,439921,439921,2014-09-19
BOEING,CONT_AWD_NNL12AB85T_8000_NNL06AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,N,MULTIPLE AWARD IDC,540455.5544808228,415845,415845,2012-05-01
