"Product_or_Service_Code","Product_or_Service_Description","Action_Obligation2020","Action_Obligation2021"
"Z2AA","REPAIR OR ALTERATION OF OFFICE BUILDINGS",1055161.08,2408409.72
"V228","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PORT OPERATIONS",3371524.34,58988.68
"F115","ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL CONSULTING AND LEGAL SUPPORT",1731057.59,1674279
"R415","SUPPORT- PROFESSIONAL: TECHNOLOGY SHARING/UTILIZATION",3394410.5,0
"AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",3343873,0
"B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",3199935.55,97133.35
"Q518","MEDICAL- PHYSICAL MEDICINE/REHABILITATION",806403.01,2486793.73
"L019","TECHNICAL REPRESENTATIVE- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS",928916.58,2264432.51
"V211","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AIR PASSENGER",876726,2299600
"J049","MAINT/REPAIR/REBUILD OF EQUIPMENT- MAINTENANCE AND REPAIR SHOP EQUIPMENT",2950668.49,137127.96
"L023","TECHNICAL REPRESENTATIVE- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",0,3074311.4
"W054","LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING",934212.04,2092469.83
"C211","ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",2632308.96,385667.11
"S208","HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING",1504037.65,1508235.94
"AD96","R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT)",3010000,0
"6115","GENERATORS AND GENERATOR SETS, ELECTRICAL",832410.49,2175622.11
"V213","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: RAIL PASSENGER",1552809,1409865
"R612","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL",2906146.73,52275
"D320","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS",1021959.05,1803946.94
"6685","PRESSURE, TEMPERATURE, AND HUMIDITY MEASURING AND CONTROLLING INSTRUMENTS",1185072.24,1623829.65
"Y1HB","CONSTRUCTION OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES",17221.51,2778250.29
"6810","CHEMICALS",2495912.73,258914.76
"AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH",0,2699987
"6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",2369389.35,306343.53
"AN43","HEALTH R&D SERVICES; HEALTH CARE - OTHER; EXPERIMENTAL DEVELOPMENT",0,2652860
"R422","SUPPORT- PROFESSIONAL: MARKET RESEARCH/PUBLIC OPINION",1270512.2,1363243.53
"B516","SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES",2617194.66,-1370
"7A20","IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE)",0,2562757.87
"AZ17","R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED)",949978.98,1539972
"N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",2417372.54,72341.57
"Q702","TECHNICAL MEDICAL SUPPORT",1114628.44,1341124.25
"AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",1275185,1171283.35
"Z2DZ","REPAIR OR ALTERATION OF OTHER HOSPITAL BUILDINGS",2045546,400069.75
"3694","CLEAN WORK STATIONS, CONTROLLED ENVIRONMENT, AND RELATED EQUIPMENT",2133094.15,254310.53
"R413","SUPPORT- PROFESSIONAL: SPECIFICATIONS DEVELOPMENT",840000,1543228
"J035","MAINT/REPAIR/REBUILD OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT",557845.67,1809753.34
"AR14","SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; R&D ADMINISTRATIVE EXPENSES",0,2349595.9
"C213","ARCHITECT AND ENGINEERING- GENERAL: INSPECTION (NON-CONSTRUCTION)",0,2316782.38
"6850","MISCELLANEOUS CHEMICAL SPECIALTIES",968947.77,1237552.25
"Z1DZ","MAINTENANCE OF OTHER HOSPITAL BUILDINGS",975112.93,1230538.94
"7610","BOOKS AND PAMPHLETS",2036402.77,147420.64
"6840","PEST CONTROL AGENTS AND DISINFECTANTS",1948127.48,215753.85
"X1AB","LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES",1481759.37,670405.6
"Z1FZ","MAINTENANCE OF OTHER RESIDENTIAL BUILDINGS",2127251.36,0
"AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)",2115445,0
"M1JZ","OPERATION OF MISCELLANEOUS BUILDINGS",1857034.52,252182.46
"8305","TEXTILE FABRICS",1967745.41,126034.1
"V122","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR CHARTER",2020692.35,0
"J071","MAINT/REPAIR/REBUILD OF EQUIPMENT- FURNITURE",2018158.68,0
"B541","SPECIAL STUDIES/ANALYSIS- DEFENSE",1667340,350000
"7022","INFORMATION TECHNOLOGY CENTRAL PROCESSING UNIT (CPU, COMPUTER, HYBRID)",2010919.64,0
"S222","HOUSEKEEPING- WASTE TREATMENT/STORAGE",1663120.35,316718.88
"J066","MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT",1392360.73,585413.39
"5995","CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",1919312.67,47692.69
"W045","LEASE OR RENTAL OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",1836871.93,108094.36
"B599","SPECIAL STUDIES/ANALYSIS- OTHER",1839451,47937.59
"X1AA","LEASE/RENTAL OF OFFICE BUILDINGS",1857878.29,26181.19
"V225","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AMBULANCE",3951156.08,-2099816.13
"5450","MISCELLANEOUS PREFABRICATED STRUCTURES",1586891.32,259637.38
"H361","INSPECTION- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT",1820422.33,0
"7125","CABINETS, LOCKERS, BINS, AND SHELVING",812973.89,999955.31
"R402","SUPPORT- PROFESSIONAL: REAL ESTATE BROKERAGE",1906073.8,-115931.69
"7310","FOOD COOKING, BAKING, AND SERVING EQUIPMENT",1413503.6,358019.86
"5962","MICROCIRCUITS, ELECTRONIC",1768607.45,0
"4230","DECONTAMINATING AND IMPREGNATING EQUIPMENT",1655278.21,80941.55
"AC21","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH)",1637239.74,0
"D314","IT AND TELECOM- SYSTEM ACQUISITION SUPPORT",1552039.16,58015.92
"AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)",0,1587182
"W074","LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",40645.02,1540417.62
"M1GZ","OPERATION OF OTHER WAREHOUSE BUILDINGS",1576871.62,0
"J020","MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT",1546296.8,0
"6510","SURGICAL DRESSING MATERIALS",1551074.41,-6354.59
"X111","LEASE/RENTAL OF OFFICE BUILDINGS",753768.01,756281.74
"7230","DRAPERIES, AWNINGS, AND SHADES",1505463.69,17.1
"V302","TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: TRAVEL AGENT",1481485.5,14524
"J045","MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",1316346.21,166415.91
"4540","WASTE DISPOSAL EQUIPMENT",284639.65,1186306.62
"7B21","IT AND TELECOM - COMPUTE: MAINFRAME (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,1454762.68
"P200","SALVAGE- AIRCRAFT",0,1432000
"C1NE","ARCHITECT AND ENGINEERING- CONSTRUCTION: WATER SUPPLY FACILITIES",0,1410076.07
"W061","LEASE OR RENTAL OF EQUIPMENT- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT",683872.18,725477.85
"X1FZ","LEASE/RENTAL OF OTHER RESIDENTIAL BUILDINGS",1398238.28,5000
"4510","PLUMBING FIXTURES AND ACCESSORIES",1065996.47,313501.13
"4140","FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT",756105,608485.07
"AC25","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT)",1310704.66,0
"AN16","R&D- MEDICAL: BIOMEDICAL (MANAGEMENT/SUPPORT)",1223437.03,84368
"9320","RUBBER FABRICATED MATERIALS",0,1302870.63
"M1PA","OPERATION OF RECREATION FACILITIES (NON-BUILDING)",1205389.53,47965
"T016","PHOTO/MAP/PRINT/PUBLICATION- AUDIO/VISUAL",1176235.02,50000
"AD52","R&D- DEFENSE OTHER: FUELS/LUBRICANTS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",1225000,0
"N099","INSTALLATION OF EQUIPMENT- MISCELLANEOUS",926071.12,272181.2
"6509","DRUGS AND BIOLOGICALS, VETERINARY USE",714562.54,464287.24
"V229","TRANSPORT/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUIT: PURCH OF TRANSIT/PUBLIC TRANSPORT FARE MEDIA",1177773.14,0
"7B22","IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,1176675.25
"N041","INSTALLATION OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",886508,247669.78
"7G21","IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,1119423.39
"4110","REFRIGERATION EQUIPMENT",409167.93,704328.68
"3740","PEST, DISEASE, AND FROST CONTROL EQUIPMENT",965444.48,130000
"AD22","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",940959,137994
"AJ51","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (BASIC RESEARCH)",1055024.2,0
"H379","INSPECTION- CLEANING EQUIPMENT AND SUPPLIES",1028093.34,0
"W059","LEASE OR RENTAL OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",753974.52,266484
"L015","TECHNICAL REPRESENTATIVE- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS",1016915.95,0
"J099","MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS",917921.19,95307.63
"X1LZ","LEASE/RENTAL OF PARKING FACILITIES",950888.98,58750
"6760","PHOTOGRAPHIC EQUIPMENT AND ACCESSORIES",979554.6,15442.45
"Q501","MEDICAL- ANESTHESIOLOGY",399420,594932.5
"9905","SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES",654157.81,329873.35
"V301","TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION",319046.3,664447.01
"M1AA","OPERATION OF OFFICE BUILDINGS",266874.04,712916.53
"6605","NAVIGATIONAL INSTRUMENTS",977608.66,1628
"2350","COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED",976328,0
"G099","SOCIAL- OTHER",855123.16,113900.06
"5821","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE",57492.81,893004.48
"AC21","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; BASIC RESEARCH",0,944905
"6830","GASES: COMPRESSED AND LIQUEFIED",772764.56,150380.61
"9140","FUEL OILS",778680.37,129113.31
"U012","EDUCATION/TRAINING- INFORMATION TECHNOLOGY/TELECOMMUNICATIONS TRAINING",555583.21,351287.2
"7042","MINI AND MICRO COMPUTER CONTROL DEVICES",895500.7,0
"B504","SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL",468707.53,423690
"V241","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MILITARY PERSONNEL RECRUITMENT",878887.6,0
"R406","SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELOPMENT",864292,0
"6220","ELECTRIC VEHICULAR LIGHTS AND FIXTURES",821535.45,40278.5
"AC65","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)",859353.27,0
"W066","LEASE OR RENTAL OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT",794008.32,63560.98
"J999","NON-NUCLEAR SHIP REPAIR (WEST)",135955.75,721508
"X1FC","LEASE/RENTAL OF TROOP HOUSING FACILITIES",856403.28,0
"S214","HOUSEKEEPING- CARPET LAYING/CLEANING",838348.15,14731.06
"DE01","IT AND TELECOM - END USER: HELP DESK; TIER1-2, WORKSPACE, PRINT, PRODUCTIVITY TOOLS (LABOR)",0,841323.48
"Y1AZ","CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS",522414.16,315641
"Z1EB","MAINTENANCE OF MAINTENANCE BUILDINGS",582760.22,253170
"R428","SUPPORT- PROFESSIONAL: INDUSTRIAL HYGIENICS",767490,61876.79
"J058","MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",802082.94,15666.6
"V112","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT",673789.13,138853.74
"AC13","R&D- DEFENSE SYSTEM: AIRCRAFT (ADVANCED DEVELOPMENT)",807661,0
"Z1PA","MAINTENANCE OF RECREATION FACILITIES (NON-BUILDING)",721763.02,75500
"Z2AZ","REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS",794213.22,0
"H284","EQUIPMENT AND MATERIALS TESTING- CLOTHING, INDIVIDUAL EQUIPMENT, AND INSIGNIA",782203.05,0
"6650","OPTICAL INSTRUMENTS, TEST EQUIPMENT, COMPONENTS AND ACCESSORIES",804692.11,-30465.9
"B527","SPECIAL STUDIES/ANALYSIS- RECREATION",772336.87,0
"J063","MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",157195.19,603000
"7320","KITCHEN EQUIPMENT AND APPLIANCES",694833.38,59914.53
"H965","OTHER QC/TEST/INSPECT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",753280,0
"AD97","R&D- DEFENSE OTHER: OTHER (COMMERCIALIZED)",751701,0
"3990","MISCELLANEOUS MATERIALS HANDLING EQUIPMENT",616295.46,134333.14
"M1AZ","OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS",685183.12,55984
"B528","SPECIAL STUDIES/ANALYSIS- REGULATORY",738206,0
"3510","LAUNDRY AND DRY CLEANING EQUIPMENT",603546.05,127245
"J036","MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY",729981,-124.78
"W039","LEASE OR RENTAL OF EQUIPMENT- MATERIALS HANDLING EQUIPMENT",64136.5,665603.33
"5836","VIDEO RECORDING AND REPRODUCING EQUIPMENT",642772.91,85439.1
"B533","SPECIAL STUDIES/ANALYSIS- WATER QUALITY",38198.61,688643
"B551","SPECIAL STUDIES/ANALYSIS- MOBILIZATION/PREPAREDNESS",449028,269371.7
"7810","ATHLETIC AND SPORTING EQUIPMENT",699339.75,16612.66
"6150","MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT",328105.97,375236.42
"7360","SETS, KITS, OUTFITS AND MODULES, FOOD PREPERATION AND SERVING",589296.9,112603.92
"1315","AMMUNITION, 75MM THROUGH 125MM",0,701291.52
"B546","SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL)",0,700591.46
"8540","TOILETRY PAPER PRODUCTS",326043.7,370959.49
"AA91","R&D- AGRICULTURE: OTHER (BASIC RESEARCH)",197269,497569.45
"V129","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER",138541.8,529910.9
"N059","INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",557926.12,101811.64
"B538","SPECIAL STUDIES/ANALYSIS- INTELLIGENCE",646813.18,0
"Z1GZ","MAINTENANCE OF OTHER WAREHOUSE BUILDINGS",0,643505.96
"8315","NOTIONS AND APPAREL FINDINGS",521985.8,121520
"W071","LEASE OR RENTAL OF EQUIPMENT- FURNITURE",647015.52,-4007.07
"AR12","SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; APPLIED RESEARCH",0,642880
"6625","ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS",603546.52,36646.18
"H179","QUALITY CONTROL- CLEANING EQUIPMENT AND SUPPLIES",416785.9,187754.48
"7105","HOUSEHOLD FURNITURE",458327.59,136283.13
"4610","WATER PURIFICATION EQUIPMENT",543535.16,47814.68
"Y1BC","CONSTRUCTION OF RADAR AND NAVIGATIONAL FACILITIES",61170,529508.46
"3930","WAREHOUSE TRUCKS AND TRACTORS, SELF-PROPELLED",577212.31,0
"J074","MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT",404724.76,169903.36
"6930","OPERATION TRAINING DEVICES",519689.34,50262
"5530","PLYWOOD AND VENEER",557682.11,3368.88
"8440","HOSIERY, HANDWEAR, AND CLOTHING ACCESSORIES, MEN'S",150538.5,405133.2
"AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)",554661,0
"AJ32","R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",549888,0
"AJ11","GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH",0,549032.66
"J059","MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",260678.42,281474.4
"5670","BUILDING COMPONENTS, PREFABRICATED",401598.7,132428.88
"T099","PHOTO/MAP/PRINT/PUBLICATION- OTHER",447035.68,78132
"7490","MISCELLANEOUS OFFICE MACHINES",387791,128846.11
"B547","SPECIAL STUDIES/ANALYSIS- ACCOUNTING/FINANCIAL MANAGEMENT",0,512148.87
"7830","RECREATIONAL AND GYMNASTIC EQUIPMENT",510969.72,800.63
"AC93","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ADVANCED DEVELOPMENT)",506074,0
"AR21","R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH)",0,505000
"H260","EQUIPMENT AND MATERIALS TESTING- FIBER OPTICS MATERIALS, COMPONENTS, ASSEMBLIES, AND ACCESSORIES",0,498899.41
"1560","AIRFRAME STRUCTURAL COMPONENTS",174291.1,314153.59
"6130","CONVERTERS, ELECTRICAL, NONROTATING",505487.89,-24364.64
"1940","SMALL CRAFT",478896.25,0
"L069","TECHNICAL REPRESENTATIVE- TRAINING AIDS AND DEVICES",187995.08,289707.93
"J079","MAINT/REPAIR/REBUILD OF EQUIPMENT- CLEANING EQUIPMENT AND SUPPLIES",475918.37,0
"3825","ROAD CLEARING, CLEANING, AND MARKING EQUIPMENT",475200,0
"Z1PZ","MAINTENANCE OF OTHER NON-BUILDING FACILITIES",367113.83,108023.77
"7435","OFFICE INFORMATION SYSTEM EQUIPMENT",471581.6,0
"J056","MAINT/REPAIR/REBUILD OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS",467663.62,0
"C117","WAREHOUSE BUILDINGS",150000,316000
"DK01","IT AND TELECOM - STORAGE SUPPORT SERVICES (LABOR)",0,465250
"AC23","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; EXPERIMENTAL DEVELOPMENT",0,463877
"J028","MAINT/REPAIR/REBUILD OF EQUIPMENT- ENGINES, TURBINES, AND COMPONENTS",-73497,534612
"Z1NZ","MAINTENANCE OF OTHER UTILITIES",453198.74,0
"Q502","MEDICAL- CARDIO-VASCULAR",389888.28,59047.19
"4130","REFRIGERATION AND AIR CONDITIONING COMPONENTS",434721.67,13611
"V123","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: RAIL CHARTER",447256,0
"AJ92","R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",434126.9,0
"F114","ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL LICENSING AND PERMITTING",428160.77,0
"J042","MAINT/REPAIR/REBUILD OF EQUIP- FIRE FIGHTING/RESCUE/SAFETY EQUIP; ENVIRON PROTECT EQUIP/MATLS",352158.47,74224.75
"W083","LEASE OR RENTAL OF EQUIPMENT- TEXTILES, LEATHER, FURS, APPAREL AND SHOE FINDINGS, TENTS AND FLAGS",223786.78,202265.29
"C223","ARCHITECT AND ENGINEERING- GENERAL: MECHANICAL SYSTEMS",422858,0
"6240","ELECTRIC LAMPS",2941.9,418275
"8710","FORAGE AND FEED",416123.92,0
"J023","MAINT/REPAIR/REBUILD OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",198885.22,216006.94
"X1GD","LEASE/RENTAL OF OPEN STORAGE FACILITIES",263866.96,149964.13
"5977","ELECTRICAL CONTACT BRUSHES AND ELECTRODES",410156.33,0
"7520","OFFICE DEVICES AND ACCESSORIES",335889.41,71017.07
"7340","CUTLERY AND FLATWARE",401170.43,1925.1
"S112","UTILITIES- ELECTRIC",384608.48,15963
"W070","LEASE OR RENTAL OF EQUIPMENT - INFORMATION TECHNOLOGY EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT",399891.21,0
"D315","IT AND TELECOM- DIGITIZING",189473.63,205787.79
"6230","ELECTRIC PORTABLE AND HAND LIGHTING EQUIPMENT",375076.57,18372
"Y1FZ","CONSTRUCTION OF OTHER RESIDENTIAL BUILDINGS",72550,319603
"1290","MISCELLANEOUS FIRE CONTROL EQUIPMENT",355243,32280
"6540","OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES",261999.77,120573.67
"7350","TABLEWARE",317679.95,64837.92
"W038","LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",348523.75,30798
"Q525","MEDICAL- UROLOGY",460795.6,-86303.91
"DG10","IT AND TELECOM - NETWORK AS A SERVICE",0,372776.27
"6110","ELECTRICAL CONTROL EQUIPMENT",475139.96,-105516.96
"M1DZ","OPERATION OF OTHER HOSPITAL BUILDINGS",362948,0
"K034","MODIFICATION OF EQUIPMENT- METALWORKING MACHINERY",350000,12514
"6710","CAMERAS, MOTION PICTURE",360935.6,0
"N071","INSTALLATION OF EQUIPMENT- FURNITURE",311074.58,47005.4
"7K20","IT AND TELECOM - STORAGE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,353069.75
"1730","AIRCRAFT GROUND SERVICING EQUIPMENT",220848.74,129798.19
"D303","IT AND TELECOM- DATA ENTRY",347699.79,0
"H146","QUALITY CONTROL- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT",347117.92,0
"7920","BROOMS, BRUSHES, MOPS, AND SPONGES",259390.98,84939.9
"N045","INSTALLATION OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",272872.1,70592
"6310","TRAFFIC AND TRANSIT SIGNAL SYSTEMS",285353.83,56535.02
"5680","MISCELLANEOUS CONSTRUCTION MATERIALS",273322.28,67163.38
"U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",335399,0
"AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)",1e+05,234801
"C1AZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER ADMINISTRATIVE FACILITIES/SERVICE BUILDINGS",333700,0
"AC32","R&D- DEFENSE SYSTEM: SHIPS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",333650,0
"J069","MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES",328699.54,0
"W041","LEASE OR RENTAL OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",170054.68,158159.4
"M1AB","OPERATION OF CONFERENCE SPACE AND FACILITIES",28451.25,293428.73
"AS32","R&D- MODAL TRANSPORTATION: RAIL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",319200,0
"V003","TRANSPORTATION/TRAVEL/RELOCATION- MOTOR POOL AND PACKING/CRATING: PACKING/CRATING",269458.9,48939.42
"M1LZ","OPERATION OF PARKING FACILITIES",230732.44,85848.15
"C1HA","ARCHITECT AND ENGINEERING- CONSTRUCTION: GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACS",1e+05,207660
"N075","INSTALLATION OF EQUIPMENT- OFFICE SUPPLIES AND DEVICES",0,305930
"Z2LZ","REPAIR OR ALTERATION OF PARKING FACILITIES",303443.2,0
"H241","EQUIPMENT AND MATERIALS TESTING- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",272872.81,27525
"Z235","MAINT-REP-ALT/EPG - NUCLEAR",0,3e+05
"H279","EQUIPMENT AND MATERIALS TESTING- CLEANING EQUIPMENT AND SUPPLIES",294678.81,0
"5330","PACKING AND GASKET MATERIALS",296680.48,-3639.61
"J061","MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT",199987.28,90386.78
"K016","MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES",290182.78,0
"3910","CONVEYORS",0,288782.94
"F003","NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION",287605,0
"8950","CONDIMENTS AND RELATED PRODUCTS",284805.76,0
"H265","EQUIPMENT AND MATERIALS TESTING- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",100314.9,183896.41
"X1ND","LEASE/RENTAL OF SEWAGE AND WASTE FACILITIES",250561.46,32240
"W046","LEASE OR RENTAL OF EQUIPMENT- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT",287717.5,-9193.17
"6730","PHOTOGRAPHIC PROJECTION EQUIPMENT",40807.02,232703.17
"1510","AIRCRAFT, FIXED WING",270000,0
"AD43","R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ADVANCED DEVELOPMENT)",268488,0
"Y1LB","CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",245315.4,15260
