fiscal_year	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	majorprogramcode	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	informationtechnologycommercialitemcategory	commercialitemacquisitionprocedures	commercialitemtestprogram	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	placeofperformancezipcode	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	IsSiliconValley	majorprogramcode	IsZipTraditionalSiliconValley	EntityText	EntityID	SumOfobligatedAmount	SumOfnumberOfActions
2012	1700	R699	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	DC	203745074	USA	KS	USA	C	NULL		NULL	795166156	555022	0.1600	1
2012	9763	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	-112569.5625	1
2012	9763	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	FL	337771230	USA	FL	NULL		0		NULL	RAYTHEON	668856	-82323.4082	2
2012	9763	R699	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	KS	672035737	USA	KS	USA	C	NULL		NULL	795166156	555022	-6241.6001	1
2013	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337105628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	5138289.0000	3
2013	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	3
2013	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Incentive	Large: Big 6		USA	FL	337774444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	5000000.0000	1
2013	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	6496632.0000	1
2013	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	1727104.0000	7
2013	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	5389344.0000	5
2013	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	8022736.0000	2
2013	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2013	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	1860727.0000	6
2013	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	284400.0000	2
2013	1700	AD24	Electronics, Comms, & Sensors	1843	MIPS	DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0	MIPS	NULL	GENERAL DYNAMICS	649342	5203283.0000	2
2013	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	969868082	674028	177262.0000	4
2013	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	141934278	321322	2035161.0000	15
2013	9763	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	-269394.9100	1
2013	9763	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2013	9763	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	FL	337771230	USA	FL	NULL		0		NULL	RAYTHEON	668856	-30594.8800	1
2014	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2014	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Incentive	Large: Big 6		USA	FL	337774444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	1809027.0000	7
2014	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	49766517.0000	19
2014	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	2273272.0000	5
2014	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	9197299.0000	9
2014	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	NULL	Other CB	Large: Big 6		USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	848005.0000	3
2014	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	49273007.4500	12
2014	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	1422408.0000	4
2014	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	631922.0000	2
2014	1700	AD24	Electronics, Comms, & Sensors	1843	MIPS	DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0	MIPS	NULL	GENERAL DYNAMICS	649342	-1000000.0000	1
2014	1700	AD24	Electronics, Comms, & Sensors	1843	MIPS	DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0	MIPS	NULL	GENERAL DYNAMICS	649342	719699.0000	2
2014	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	969868082	674028	225508.0000	4
2014	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	141934278	321322	1952989.0625	14
2014	9763	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	X	USA	FL	337011785	USA	VA	USA	D	NULL		NULL	SAIC	669996	0.0000	1
2014	9763	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	FL	337771444	USA	FL	NULL		0		NULL	RAYTHEON	668856	-1220.1900	1
2015	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	5-9 Offers	Z	D	0	Incentive	Large: Big 6		USA	FL	337774444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2015	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	5-9 Offers	Z	D	0	Incentive	Large: Big 6	X	USA	FL	337774444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	2227026.0000	4
2015	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Incentive	Large: Big 6	X	USA	FL	337774444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	1498000.0000	1
2015	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z	D	0	Other CB	Large: Big 6	X	USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	0.0000	1
2015	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	7638568.0000	2
2015	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	A	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	19332347.0000	4
2015	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	17518545.0000	15
2015	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z	D	0	FFP	Small	A	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	221623.0000	1
2015	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z	D	0	FFP	Small	X	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	13821544.0000	9
2015	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small	A	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	2504256.0000	1
2015	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small	X	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	303552.0000	4
2015	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z	D	NULL	Other CB	Large: Big 6		USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2015	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z	D	NULL	Other CB	Large: Big 6	X	USA	FL	337022455	USA	FL	USA	D	0		NULL	RAYTHEON	668856	313807.0000	1
2015	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z	D	NULL	Other CB	Large: Big 6	X	USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	386137.0000	5
2015	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	NULL	Other CB	Large: Big 6	X	USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	402950.0000	3
2015	1700	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	X	USA	PA	159047424	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	13297939.8900	7
2015	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z	D	0	FFP	Large: Big 6	X	USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	35970624.0000	5
2015	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z	D	0	Other CB	Large: Big 6	X	USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	300000.0000	2
2015	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	399016.0000	1
2015	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	1044030.0000	3
2015	1700	AD24	Electronics, Comms, & Sensors	1843	MIPS	DCA	No Competition (Only One Source Exception)	No competition	Z	D	0	Other CB	Large: Big 6	X	USA	VA	220333865	USA	VA	USA	C	0	MIPS	NULL	GENERAL DYNAMICS	649342	1793901.0000	2
2015	1700	AD24	Electronics, Comms, & Sensors	1843	MIPS	DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333865	USA	VA	USA	C	0	MIPS	NULL	GENERAL DYNAMICS	649342	0.0000	2
2015	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z	D	0	FFP	Small		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	969868082	674028	15000.0000	2
2015	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	141934278	321322	-52000.0000	4
2015	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	Two Offers	Z	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	154692367	308297	1656000.0000	12
2016	1700	1265	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	NULL	Other CB	Large: Big 6	X	USA	FL	337022455	USA	FL	USA	D	0		NULL	RAYTHEON	668856	2467054.0000	1
2016	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Incentive	Large: Big 6	X	USA	FL	337774444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	13708467.0000	7
2016	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	A	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	16966747.0000	3
2016	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	52620248.0000	15
2016	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small	A	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	2317.0000	1
2016	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small	X	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	1023559.0000	9
2016	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	NULL	Other CB	Large: Big 6	X	USA	FL	337022455	USA	FL	USA	D	0		NULL	RAYTHEON	668856	25000.0000	1
2016	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	NULL	Other CB	Large: Big 6	X	USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	57000.0000	2
2016	1700	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	A	USA	PA	159047424	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	13599124.7500	2
2016	1700	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	X	USA	PA	159047424	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	5904192.8125	11
2016	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6	A	USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	30309312.0000	1
2016	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6	X	USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	3
2016	1700	3590	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small	A	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	14119736.0000	1
2016	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	0.0000	1
2016	1700	AD24	Electronics, Comms, & Sensors	1843	MIPS	DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333865	USA	VA	USA	C	0	MIPS	NULL	GENERAL DYNAMICS	649342	0.0000	1
2016	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	141934278	321322	-59000.0000	1
2016	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	154692367	308297	2031147.6172	11
2016	9763	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6	X	USA	VA	220333810	USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	0.0000	1
2016	9763	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333810	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	0.0000	1
2016	9763	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333810	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	0.0000	1
2016	9763	AD24	Electronics, Comms, & Sensors	1843	MIPS	DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333810	USA	VA	USA	C	0	MIPS	NULL	GENERAL DYNAMICS	649342	0.0000	1
2017	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6	X	USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2017	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Incentive	Large: Big 6	X	USA	FL	337774444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	3656763.0000	6
2017	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z	D	0	Other CB	Large: Big 6	A	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	10830451.0000	2
2017	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z	D	0	Other CB	Large: Big 6	X	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	93017.0000	3
2017	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	A	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	28859308.0000	4
2017	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	38772600.0000	10
2017	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small	X	USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	228639.8282	6
2017	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	X	USA	PA	159047424	USA	PA	USA	D	NULL	CEC	NULL	FINMECCANICA SPA	687152	479139.0000	1
2017	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	No Competition (Only One Source Exception)	No competition	Z	D	0	Other CB	Large	X	USA	PA	159047224	USA	PA	USA	D	NULL	CEC	NULL	FINMECCANICA SPA	687152	0.0000	1
2017	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large	X	USA	PA	159047224	USA	PA	USA	D	NULL	CEC	NULL	FINMECCANICA SPA	687152	495000.0000	2
2017	1700	3590	Electronics, Comms, & Sensors	1843		BOA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	NULL	Other CB	Large: Big 6	X	USA	FL	337771444	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	2
2017	1700	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z	D	0	FFP	Large	X	USA	PA	159047224	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	2159354.1250	2
2017	1700	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	B	USA	PA	159047224	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	0.0000	1
2017	1700	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	X	USA	PA	159047224	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	14956942.0000	6
2017	1700	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	X	USA	PA	159047424	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	1458910.0000	6
2017	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6	X	USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	2
2017	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	Two Offers	Z	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	154692367	308297	0.0000	1
2017	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	154692367	308297	2429148.9687	12
2017	9763	3590	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large	X	USA	PA	159047224	USA	PA	USA	D	NULL		NULL	FINMECCANICA SPA	687152	0.0000	1
2017	9763	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6	X	USA	VA	220333810	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	0.0000	1
