"Fiscal Year","Contracting Agency ID","Contracting Agency Name","Product or Service Code","Product or Service Description","Base and All Options Value (Total Contract Value)"
"2016","2100","DEPT OF THE ARMY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$10,041,935,292.15"
"2016","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$305,062,636.40"
"2016","2100","DEPT OF THE ARMY","AJ63","R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (ADVANCED DEVELOPMENT)","$152,850.00"
"2016","2100","DEPT OF THE ARMY","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$49,953,839.19"
"2016","2100","DEPT OF THE ARMY","AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","$18,452,682.00"
"2016","2100","DEPT OF THE ARMY","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$2,925,375.00"
"2016","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2016","2100","DEPT OF THE ARMY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$26,156,907.24"
"2016","2100","DEPT OF THE ARMY","B550","SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","$835,938.48"
"2016","2100","DEPT OF THE ARMY","R799","SUPPORT- MANAGEMENT: OTHER","$1,998,708.16"
"2016","5700","DEPT OF THE AIR FORCE","2845","ROCKET ENGINES AND COMPONENTS","$242,570,139.00"
"2016","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$99,000,000.00"
"2016","7001","OFFICE OF PROCUREMENT OPERATIONS","AA94","R&D- AGRICULTURE: OTHER (ENGINEERING DEVELOPMENT)","$200,000.00"
"2016","7001","OFFICE OF PROCUREMENT OPERATIONS","AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)","$4,453,804.00"
"2016","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2016","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$0.00"
"2016","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$593,525.00"
"2016","7001","OFFICE OF PROCUREMENT OPERATIONS","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","($1,051,771.00)"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$0.00"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","6710","CAMERAS, MOTION PICTURE","$4,842,281.50"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","AS31","R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH)","$0.00"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$699,594.69"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","C119","OTHER BUILDINGS","$0.00"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$33,692,093.39"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($257,329.65)"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","C215","ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING","($282,190.12)"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","($93,173,934.65)"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($1,248,836.02)"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","($1,199,505.32)"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS","$2,074,176.00"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","$119,609,379.03"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","S112","UTILITIES- ELECTRIC","$24,392,801.35"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","$1,535,748.38"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","$142,738,485.79"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","S211","HOUSEKEEPING- SURVEILLANCE","$7,073,141.77"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BE","LEASE/RENTAL OF AIRPORT TERMINALS","$0.00"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BZ","LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES","$1,646.82"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1LZ","LEASE/RENTAL OF PARKING FACILITIES","$2,360,714.88"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y125","CONSTRUCTION OF AIRPORT TERMINALS","$0.00"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$86,001,907.68"
"2016","7013","TRANSPORTATION SECURITY ADMINISTRATION","Z2BE","REPAIR OR ALTERATION OF AIRPORT TERMINALS","$0.00"
"2016","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$119,130,080.00"
"2016","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$2,597,757.00"
"2016","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$20,528,431.00"
"2016","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$503,595,144.57"
"2016","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$1,248,351.76"
"2016","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$147,329,859.00"
"2016","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","B544","SPECIAL STUDIES/ANALYSIS- TECHNOLOGY","$697,919.00"
"2016","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","1310","AMMUNITION, OVER 30MM UP TO 75MM","$281,862.00"
"2017","1700","DEPT OF THE NAVY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$0.00"
"2017","2100","DEPT OF THE ARMY","1510","AIRCRAFT, FIXED WING","$2,940,000.00"
"2017","2100","DEPT OF THE ARMY","1550","UNMANNED AIRCRAFT","$225,000.00"
"2017","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$1,771,999.52"
"2017","2100","DEPT OF THE ARMY","5865","ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT","$200,000.00"
"2017","2100","DEPT OF THE ARMY","7030","INFORMATION TECHNOLOGY SOFTWARE","$63,147,426.53"
"2017","2100","DEPT OF THE ARMY","7035","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT","$48,020,858.00"
"2017","2100","DEPT OF THE ARMY","9999","MISCELLANEOUS ITEMS","$57,335.00"
"2017","2100","DEPT OF THE ARMY","AC41","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH)","$0.00"
"2017","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$7,067,223,237.97"
"2017","2100","DEPT OF THE ARMY","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$146,000.00"
"2017","2100","DEPT OF THE ARMY","AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","$6,424,357.00"
"2017","2100","DEPT OF THE ARMY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$69,877,393.21"
"2017","2100","DEPT OF THE ARMY","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","$1,499,802.00"
"2017","2100","DEPT OF THE ARMY","AD27","R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED)","$1,882,400.00"
"2017","2100","DEPT OF THE ARMY","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$4,127,577.00"
"2017","2100","DEPT OF THE ARMY","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$3,314,000.00"
"2017","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$2,163,169,632.90"
"2017","2100","DEPT OF THE ARMY","AJ21","R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (BASIC RESEARCH)","$130,000.00"
"2017","2100","DEPT OF THE ARMY","AJ41","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH)","$35,849,616.00"
"2017","2100","DEPT OF THE ARMY","AJ63","R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (ADVANCED DEVELOPMENT)","$0.00"
"2017","2100","DEPT OF THE ARMY","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2017","2100","DEPT OF THE ARMY","AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","$3,468,247.01"
"2017","2100","DEPT OF THE ARMY","AN94","R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT)","$6,157,641.00"
"2017","2100","DEPT OF THE ARMY","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$36,658,529.13"
"2017","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$202,408,865.61"
"2017","2100","DEPT OF THE ARMY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$24,282,196.05"
"2017","2100","DEPT OF THE ARMY","B550","SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","$0.00"
"2017","2100","DEPT OF THE ARMY","D310","IT AND TELECOM- CYBER SECURITY AND DATA BACKUP","$100,000.00"
"2017","2100","DEPT OF THE ARMY","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$750,634,223.00"
"2017","2100","DEPT OF THE ARMY","R799","SUPPORT- MANAGEMENT: OTHER","$2,700,703.84"
"2017","2100","DEPT OF THE ARMY","T014","PHOTO/MAP/PRINT/PUBLICATION- TOPOGRAPHY","$12,825,522.00"
"2017","5700","DEPT OF THE AIR FORCE","2845","ROCKET ENGINES AND COMPONENTS","$205,436,277.00"
"2017","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$55,790,774.00"
"2017","7001","OFFICE OF PROCUREMENT OPERATIONS","AA94","R&D- AGRICULTURE: OTHER (ENGINEERING DEVELOPMENT)","$0.00"
"2017","7001","OFFICE OF PROCUREMENT OPERATIONS","AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)","$4,664,000.00"
"2017","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2017","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$0.00"
"2017","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$79,369,823.19"
"2017","7001","OFFICE OF PROCUREMENT OPERATIONS","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","$2,991.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$0.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","AS31","R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH)","$0.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$6,787,129.45"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","($2,191,655.46)"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($235,004.38)"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","C215","ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING","($11,625,260.93)"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","($12,653,658.41)"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","J058","MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","$0.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($1,601,517.22)"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","($0.01)"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS","$2,171,160.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","$7,368,466.49"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","S112","UTILITIES- ELECTRIC","$21,423,058.81"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","$1,407,537.85"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","($748,743.57)"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","S211","HOUSEKEEPING- SURVEILLANCE","$12,654,700.94"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","X125","LEASE/RENTAL OF AIRPORT TERMINALS","$0.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","X129","LEASE-RENT OF OTHER AIRFIELD STRUCT","$0.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BE","LEASE/RENTAL OF AIRPORT TERMINALS","$1,305.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1LZ","LEASE/RENTAL OF PARKING FACILITIES","$424,740.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y125","CONSTRUCTION OF AIRPORT TERMINALS","$0.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$72,012,925.00"
"2017","7013","TRANSPORTATION SECURITY ADMINISTRATION","Z2BE","REPAIR OR ALTERATION OF AIRPORT TERMINALS","$0.00"
"2017","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","($1,839,966.02)"
"2017","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$14,577,135.00"
"2017","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$173,467,722.00"
"2017","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$167,207,729.00"
"2017","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$3,661,856.45"
"2017","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$50,000,000.00"
"2017","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","B544","SPECIAL STUDIES/ANALYSIS- TECHNOLOGY","$0.00"
"2018","1406","DEPARTMENTAL OFFICES","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$74,394,898.25"
"2018","1700","DEPT OF THE NAVY","1260","FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT","$1,035,106.00"
"2018","1700","DEPT OF THE NAVY","1440","LAUNCHERS, GUIDED MISSILE","$90,000.00"
"2018","1700","DEPT OF THE NAVY","7010","INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION","$10,000,000.00"
"2018","1700","DEPT OF THE NAVY","AC24","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)","$750,510.19"
"2018","1700","DEPT OF THE NAVY","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$4,990,374.00"
"2018","1700","DEPT OF THE NAVY","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","$50,000,000.00"
"2018","1700","DEPT OF THE NAVY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$60,000,000.00"
"2018","1700","DEPT OF THE NAVY","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$100,000,000.00"
"2018","1700","DEPT OF THE NAVY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$41,056,138.00"
"2018","1700","DEPT OF THE NAVY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$209,539.00"
"2018","2100","DEPT OF THE ARMY","1005","GUNS, THROUGH 30MM","$12,135,574.02"
"2018","2100","DEPT OF THE ARMY","1095","MISCELLANEOUS WEAPONS","$17,388,486.00"
"2018","2100","DEPT OF THE ARMY","1370","PYROTECHNICS","$5,900,000.00"
"2018","2100","DEPT OF THE ARMY","1386","UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT","$1,680,293.00"
"2018","2100","DEPT OF THE ARMY","1410","GUIDED MISSILES","$17,800,000.00"
"2018","2100","DEPT OF THE ARMY","1510","AIRCRAFT, FIXED WING","$15,796,000.00"
"2018","2100","DEPT OF THE ARMY","1725","SPACE VEHICLE LAUNCHERS","$4,860,000.00"
"2018","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$1,327,532.54"
"2018","2100","DEPT OF THE ARMY","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","$13,024,232.00"
"2018","2100","DEPT OF THE ARMY","5895","MISCELLANEOUS COMMUNICATION EQUIPMENT","$4,569,000.00"
"2018","2100","DEPT OF THE ARMY","6115","GENERATORS AND GENERATOR SETS, ELECTRICAL","$5,500,000.00"
"2018","2100","DEPT OF THE ARMY","6910","TRAINING AIDS","$32,655,665.19"
"2018","2100","DEPT OF THE ARMY","7030","INFORMATION TECHNOLOGY SOFTWARE","$2,800,000.00"
"2018","2100","DEPT OF THE ARMY","7035","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT","$0.00"
"2018","2100","DEPT OF THE ARMY","9999","MISCELLANEOUS ITEMS","$1,904,999,244.04"
"2018","2100","DEPT OF THE ARMY","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$3,301,864.63"
"2018","2100","DEPT OF THE ARMY","AC41","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH)","$0.00"
"2018","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$20,741,486,257.98"
"2018","2100","DEPT OF THE ARMY","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$1,791,932.00"
"2018","2100","DEPT OF THE ARMY","AC66","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT)","$13,024,232.00"
"2018","2100","DEPT OF THE ARMY","AC95","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT)","$15,097,420.00"
"2018","2100","DEPT OF THE ARMY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$121,929,955.65"
"2018","2100","DEPT OF THE ARMY","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","$21,496,212.31"
"2018","2100","DEPT OF THE ARMY","AD25","R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","$198,104.50"
"2018","2100","DEPT OF THE ARMY","AD27","R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED)","$3,475,860.34"
"2018","2100","DEPT OF THE ARMY","AD33","R&D- DEFENSE OTHER: SUBSISTENCE (ADVANCED DEVELOPMENT)","$187,084.00"
"2018","2100","DEPT OF THE ARMY","AD44","R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ENGINEERING DEVELOPMENT)","$70,800.00"
"2018","2100","DEPT OF THE ARMY","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$28,632,066.40"
"2018","2100","DEPT OF THE ARMY","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$150,000.00"
"2018","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$2,140,652,891.00"
"2018","2100","DEPT OF THE ARMY","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$35,047,950.77"
"2018","2100","DEPT OF THE ARMY","AJ41","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH)","$0.00"
"2018","2100","DEPT OF THE ARMY","AJ53","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT)","$1,270,906.17"
"2018","2100","DEPT OF THE ARMY","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$11,158,376.92"
"2018","2100","DEPT OF THE ARMY","AN13","R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)","$149,994.00"
"2018","2100","DEPT OF THE ARMY","AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","$86,538,959.90"
"2018","2100","DEPT OF THE ARMY","AN94","R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT)","$217,758.00"
"2018","2100","DEPT OF THE ARMY","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$85,539,978.73"
"2018","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$380,938,964.86"
"2018","2100","DEPT OF THE ARMY","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$9,903,304.12"
"2018","2100","DEPT OF THE ARMY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$15,642,518.54"
"2018","2100","DEPT OF THE ARMY","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$6,758,333.00"
"2018","2100","DEPT OF THE ARMY","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","$0.01"
"2018","2100","DEPT OF THE ARMY","D307","IT AND TELECOM- IT STRATEGY AND ARCHITECTURE","$511,314.00"
"2018","2100","DEPT OF THE ARMY","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$0.00"
"2018","2100","DEPT OF THE ARMY","T014","PHOTO/MAP/PRINT/PUBLICATION- TOPOGRAPHY","$5,935,000.00"
"2018","2100","DEPT OF THE ARMY","V126","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH","$3,000,000.00"
"2018","5700","DEPT OF THE AIR FORCE","1510","AIRCRAFT, FIXED WING","$354,028.00"
"2018","5700","DEPT OF THE AIR FORCE","2845","ROCKET ENGINES AND COMPONENTS","$290,088,786.00"
"2018","5700","DEPT OF THE AIR FORCE","3990","MISCELLANEOUS MATERIALS HANDLING EQUIPMENT","$38,076.00"
"2018","5700","DEPT OF THE AIR FORCE","7030","INFORMATION TECHNOLOGY SOFTWARE","$47,537,079.00"
"2018","5700","DEPT OF THE AIR FORCE","AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)","$6,000,000.00"
"2018","5700","DEPT OF THE AIR FORCE","AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$500,000,000.00"
