fiscal_year	Customer	PlatformPortfolio	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	numberOfActions	ObligatedAmount
2020	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	11	11	477	77021199.1590
2006	Defense	Other Products	S	Always Small Vendor	PID	1	1	1	1	1	1	4	4	33	10065844.0000
2003	Defense	Other Services	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	3	4	4	22603.0000
2011	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	1	1	0	0	1	1	60	64	229	1704845.1356
2019	Defense	Ships & Submarines	S	Always Small Vendor	PID	1	0	0	1	1	1	3	3	34	1028454.0685
2007	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	82	82	732	409591086.1395
2009	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	138	138	654	75054684.3177
2009	Defense	Ordnance and Missiles	M	Medium Vendor	PID	1	1	1	1	1	1	8	8	312	209894132.3526
2014	Defense	Land Vehicles	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	31	31	88	1621834.4100
2004	Defense	Other Services	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	36	37	94	723307.0000
2002	Defense	Missile Defense	L	Large Vendor	PID	1	0	1	1	1	1	5	5	42	18761229.0000
2006	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	37	38	116	3990420.0000
2009	Defense	Aircraft	M	Medium Vendor	PID	1	0	1	1	1	1	25	25	470	403737762.4122
2012	Defense	Missile Defense	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	14	14	71	17958552.9060
2000	Defense	Other Products	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	91	147	1440	304709641.0000
2012	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	390	390	7788	834960781.6771
2007	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	107	115	1075	31133827.8927
2000	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	1888	1888	16662	3589889688.0000
2014	Defense	Other Services	M	Medium Vendor	PDuns-1	1	0	0	0	1	1	160	160	339	2518392.1800
2016	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	71	102	551	169490697.7040
2010	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	27	27	246	73469846.8300
2011	Defense	Other Services	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	141	141	1111	343893183.5571
2014	Defense	Other Services	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	179	345	8301	388146978.5835
1993	Defense	Aircraft	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	5	5	NULL	732748.0000
1991	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	NULL	-40000.0000
1994	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	1	0	1	1	1	-225835.0000
1997	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	1	78	78	1348	970057728.0000
1997	Defense	Space Systems	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	65	65	151	100986031.0000
1991	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	137	165	NULL	19061150.0000
1990	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	31	31	NULL	60482000.0000
1997	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	4	4	6	116808.0000
1996	Defense	Other Products	B	Big Five	PID	NULL	NULL	1	1	1	1	5	5	54	37889551.0000
2014	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	5	5	10	430138.0298
2009	Defense	Aircraft	N	Sometimes Small Vendor	Duns	1	0	1	1	1	1	1	1	0	0.0000
2005	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	0	1	1	0	0.0000
2005	Defense	Space Systems	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	2	2	2	72523.0000
1992	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	NULL	1	1	1	1	73	73	NULL	9287678394.0000
1997	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	322	368	605	47295161.0000
2017	Defense	Space Systems	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	1	1	16	345094.6641
2009	Defense	Other Services	L	Large Vendor	PID	1	0	0	1	1	1	4	4	419	27803090.0000
2016	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	10	10	0	0.0000
2018	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	6	6	0	0.0000
2015	Defense	Aircraft	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	3	3	28	12567186.5847
2014	Defense	Space Systems	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	1	1	3	0.0000
2001	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	1	0	0	0	0	0	1	1	1	-81620.0000
2005	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	22	22	108	158567491.0000
2011	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	17	18	37	1834194.8309
2018	Defense	Aircraft	S	Always Small Vendor	PID	1	1	1	1	1	1	2	2	581	387842749.4288
2008	Defense	Facilities and Construction	L	Large Vendor	PID	1	1	0	1	1	1	2	2	71	1521787.4079
2019	Defense	Aircraft	M	Medium Vendor	PDuns-1	1	1	0	0	1	1	5	5	9	173230.2040
2015	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	36	36	2146	155023384.6268
2020	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	73	91	605	128751791.4280
2009	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	108	108	590	91642312.5299
2020	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	1	1	0	0	0	0	31	31	43	-71224.4110
2018	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	2	2	245	25335118.8906
2014	Defense	Other Products	S	Always Small Vendor	PDuns-1	1	0	0	0	1	0	762	762	1522	5236903.3899
2011	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	728	728	1123	-6830.1910
2006	Defense	Other Services	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	5	4	1350	90161950.9364
2016	Defense	Space Systems	L	Large Vendor	PID	1	1	1	1	1	1	21	21	507	255237990.6407
2011	Defense	Other Products	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	757	757	10263	150432719.5620
2005	Defense	Land Vehicles	L	Large Vendor	PID	1	1	1	1	1	1	59	59	5394	3699621055.6115
2000	Defense	Land Vehicles	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	11	11	80	17835315.0000
1990	Defense	Ships & Submarines	M	Medium Vendor	Duns	NULL	NULL	0	0	0	0	1	1	NULL	-68000.0000
1998	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	8	8	15	-2842568.0000
1996	Defense	Aircraft	J	Large: Big 5 JV	PID	NULL	NULL	1	1	1	1	2	2	20	93170961.0000
1988	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	NULL	1	1	1	1	4	4	NULL	936000.0000
1991	Defense	Other Products	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	4	4	NULL	-1058000.0000
1991	Defense	Other Products	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	1	1	NULL	-28000.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	3	3	NULL	286000.0000
1990	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	Duns	NULL	NULL	1	1	1	NULL	3	3	NULL	75743000.0000
1999	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	26	26	27	708421.0000
1990	Defense	Other R&D and Knowledge Based	M	Medium Vendor	Duns	NULL	NULL	0	1	1	1	213	213	NULL	21964000.0000
1990	Defense	Other Products	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	4	4	NULL	31270000.0000
1994	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	5	5	20	214512.0000
1997	Defense	Other Services	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	1	4	4	6	1413984.0000
2016	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-2+	1	0	0	0	0	0	6	6	5	3004.0000
2014	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	31	30	54	194643.4400
2019	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	23	23	49	27984.5500
2014	Defense	Other Products	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	2	2	0	0.0000
2017	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	4	4	0	0.0000
2011	Defense	Other Services	N	Sometimes Small Vendor	PID	1	0	0	0	0	0	1	1	0	0.0000
2011	Defense	Aircraft	N	Sometimes Small Vendor	PID	1	1	0	1	1	1	3	3	7	331969.5000
2012	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	34	34	0	0.0000
2016	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	Duns	1	0	0	0	0	0	4	4	5	-26812.6000
2011	Defense	Space Systems	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	7	7	17	6341740.8242
2019	Defense	Aircraft	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	15	15	19	-14528.8201
2002	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	4	4	9	91519.0000
2009	Defense	Other Products	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	23	28	48	144053.5108
2007	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	36	36	0	0.0000
2012	Defense	Missile Defense	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	11	11	66	12162526.8386
2010	Defense	Other Products	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	31	31	0	0.0000
2002	Defense	Other Products	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	5	5	0	0.0000
2006	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-2+	1	0	0	0	0	0	17	18	33	12935.0000
2000	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	9	9	14	163651.0000
2003	Defense	Ordnance and Missiles	M	Medium Vendor	PID	1	1	0	1	1	1	1	1	8	1483561.0000
2001	Defense	Other Services	M	Medium Vendor	PDuns-1	1	1	0	0	0	0	5	5	10	47101.0000
2010	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	25	25	58	299106.0617
2007	Defense	Other Products	N	Sometimes Small Vendor	PID	1	1	0	1	1	1	7	7	101	4770780.2304
2008	Defense	Other Products	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	264	264	0	0.0000
2015	Defense	Space Systems	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	7	7	40	21646565.1103
2012	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	1	383	383	1444	10353428.9084
2002	Defense	Other Services	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	17	19	43	3664300.0000
2013	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	477	477	5053	78014387.6404
2016	Defense	Other Services	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	24	42	92	1199779.4141
2011	Defense	Aircraft	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	212	212	406	47434.4001
2014	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	395	395	12814	174114737.6484
2017	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	1069	1069	14865	124456434.6370
2009	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	122	150	1288	251860244.7558
2018	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	524	524	2304	12203816.0232
2004	Defense	Aircraft	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	185	185	403	196195.9502
2010	Defense	Other Products	S	Always Small Vendor	PID	1	0	1	1	1	1	10	10	64	121421015.9199
2017	Defense	Other Products	L	Large Vendor	PID	1	1	1	1	1	1	75	75	453310	6645056916.7851
2019	Defense	Aircraft	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	826	826	12467	1150927857.8552
2019	Defense	Other Products	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	49	49	35985	917090985.0046
2009	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	166	166	1875	132440787.0756
2005	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	97	226	1825	204697033.8799
2003	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	3	3	90	12249589.0000
1991	Defense	Land Vehicles	M	Medium Vendor	Duns	NULL	NULL	0	0	0	0	4	4	NULL	-764000.0000
1991	Defense	Other R&D and Knowledge Based	M	Medium Vendor	Duns	NULL	NULL	0	0	0	0	5	5	NULL	-1264000.0000
1990	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	3	3	NULL	-1127000.0000
1994	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	0	2	2	2	-230345.0000
1995	Defense	Land Vehicles	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	28	39046283.0000
1996	Defense	Other Products	L	Large Vendor	PID	NULL	NULL	0	1	1	1	4	4	4	475344.0000
2017	Defense	Space Systems	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	1	1	1	139074.0000
1992	Defense	Other R&D and Knowledge Based	M	Medium Vendor	Duns	NULL	NULL	0	1	1	1	314	314	NULL	29229806.0000
1990	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	Duns	NULL	NULL	0	1	1	1	246	246	NULL	52107000.0000
1992	Defense	Aircraft	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	62	74	NULL	9714486.0000
1990	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	1	0	1	1	NULL	37000.0000
1997	Defense	Other Services	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	25	27	109	18725051.0000
2015	Defense	Other Products	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	25	25	54	508775.6900
2004	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	10	10	0	0.0000
2000	Defense	Other Products	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	1	1	0	0.0000
2002	Defense	Facilities and Construction	J	Large: Big 5 JV	PID	1	1	1	1	1	1	1	1	1	13161119.0000
2004	Defense	Space Systems	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	3	3	3	171619.0000
2007	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	2	2	2	70624.0000
2012	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	2	2	0	0.0000
2016	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2+	1	1	0	0	0	0	3	3	4	-3072.5601
2013	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	16	16	23	110462.9300
2008	Defense	Aircraft	S	Always Small Vendor	PDuns-2+	1	0	0	0	0	0	5	5	5	645.0000
2007	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	4	4	5	19667.0000
2014	Defense	Ordnance and Missiles	S	Always Small Vendor	PID	1	1	1	1	1	1	3	3	13	50916.3300
2019	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	0	23	23	47	162523.4107
2004	Defense	Land Vehicles	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	25	25	79	188259.0000
2017	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	10	10	41	62591.9511
2011	Defense	Land Vehicles	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	24	26	54	2190121.6396
2014	Defense	Aircraft	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	2	2	73	1670517.3300
2017	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	1	0	0	1	1	11	12	510	396949.2436
2008	Defense	Aircraft	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	26	26	50	439644.1498
2012	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	26	30	46	134336.0999
2010	Defense	Ships & Submarines	M	Medium Vendor	PID	1	1	0	1	1	1	3	3	11	285093.9400
2001	Defense	Land Vehicles	S	Always Small Vendor	PDuns-2+	1	0	0	1	1	1	27	27	80	6799679.0000
2015	Defense	Other Services	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	53	53	315	5052294.5522
2009	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	1	1	0	0	0	0	202	202	360	1535.6895
2017	Defense	Missile Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	6	76	57693514.6770
2018	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PID	1	1	0	1	1	1	2	2	2	256560.3594
2004	Defense	NULL	L	Large Vendor	PID	1	1	1	1	1	1	12	12	20	455672.5765
2017	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	1099	1099	54667	2068928814.0895
2005	Defense	Other R&D and Knowledge Based	L	Large Vendor	PID	1	1	1	1	1	1	106	106	21195	7733110772.1200
2009	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	590	590	18198	1207066194.1771
2011	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	417	417	4691	530925799.8276
2002	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	73	73	151	14806130.0000
2013	Defense	Other Products	B	Big Five	PID	1	1	1	1	1	1	5	5	1792	382740760.9221
2014	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	10	10	14	66515.9300
2011	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PID	1	1	0	0	1	1	1	1	5	8801.6499
2016	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	Duns	1	0	0	0	0	0	5	5	7	-145.4200
2002	Defense	Other Services	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	1	1	0.0000
2010	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	11	12	104	17739104.8614
2010	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	72	72	134	532925.7209
2015	Defense	Other Products	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	0	0	20	20	299	117979.4000
2012	Defense	Missile Defense	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	54	54	398	80257865.7970
2012	Defense	Other Services	S	Always Small Vendor	PID	1	0	0	1	1	1	7	7	45	301835.7399
2009	Defense	Space Systems	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	1	1	1	6931.2798
2009	Defense	Aircraft	M	Medium Vendor	PID	1	1	1	1	1	1	8	8	285	118098041.2171
2010	Defense	Other Products	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	55	59	2700	26452304.6155
2002	Defense	Missile Defense	L	Large Vendor	PID	1	1	1	1	1	1	13	13	527	198899880.6250
2012	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	31	31	142	6141482.8131
2018	Defense	Aircraft	S	Always Small Vendor	PID	1	0	0	1	1	1	5	5	35	443407.3701
2006	Defense	Land Vehicles	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	0	17	17	24	96063.0000
2010	Defense	Other Services	S	Always Small Vendor	PID	1	0	0	1	1	1	5	5	39	1012224.9504
2013	Defense	Other Services	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	778	778	1550	9116158.7980
2005	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	4	4	37	9863648.0000
2012	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	119	119	2305	135280326.9441
2006	Defense	Aircraft	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	11	11	103	76723755.0000
2001	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	281	281	523	40803824.3401
2007	Defense	Ships & Submarines	L	Large Vendor	PID	1	1	1	1	1	1	68	68	6853	2506516288.6272
2008	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	535	535	10058	186358170.8288
2010	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	951	951	12722	2618410922.7195
2013	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	1	0	1	1	1	104	104	621	17723969.3372
2019	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	110	110	4679	2750968449.5481
2014	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	224	224	9710	227800540.9464
1990	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	13	13	NULL	798000.0000
1989	Defense	Aircraft	M	Medium Vendor	Duns	NULL	NULL	0	1	1	1	1	1	NULL	85000.0000
1991	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	0	1	1	NULL	43000.0000
1995	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	0	0	1	1	1	1	1	25194.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	Duns	NULL	NULL	1	1	1	1	6	6	NULL	3104000.0000
1992	Defense	Missile Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	1	19	19	NULL	681521570.0000
1991	Defense	Other Services	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	43	43	NULL	158342000.0000
1994	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	20	20	20	682896.0000
1993	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	Duns	NULL	NULL	0	0	1	1	7	7	NULL	131553.0000
1995	Defense	Aircraft	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	5	5	5	136786.0000
2005	Defense	Other Services	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	0	2	2	0	0.0000
2002	Defense	Ordnance and Missiles	M	Medium Vendor	PID	1	1	0	1	1	1	2	2	2	86272.0000
2016	Defense	Facilities and Construction	S	Always Small Vendor	Duns	1	1	0	0	0	0	2	2	5	2267.1600
1992	Defense	Other Services	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	124	201	NULL	467875309.0000
1997	Defense	Other Services	B	Big Five	PID	NULL	NULL	1	1	1	1	5	5	264	283735049.0000
1997	Defense	Space Systems	B	Big Five	PID	NULL	NULL	1	1	1	1	4	4	466	2150459834.0000
2008	Defense	Other Services	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	7	7	12	31021.7603
2009	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	4	4	0	0.0000
2020	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	3	3	19	63248.8600
2011	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	3	3	0	0.0000
2003	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	0	0.0000
2015	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	Duns	1	1	1	1	1	1	3	3	4	2311096.0000
2017	Defense	Space Systems	J	Large: Big 5 JV	PID	1	0	1	1	1	1	3	3	124	2033669644.1216
2013	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	17	17	33	108717.3900
2010	Defense	Aircraft	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	185	185	462	10230.5421
2013	Defense	Land Vehicles	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	25	25	27	259704.7900
2019	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	4	4	6	310768.9600
2014	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	17	17	27	208383.8400
2009	Defense	Land Vehicles	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	44	44	65	273023.7605
2013	Defense	Aircraft	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	21	21	308	9317733.0481
2001	Defense	Facilities and Construction	M	Medium Vendor	PID	1	0	0	0	0	0	4	4	8	-1062965.0000
2008	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	20	20	94	40728078.8691
2015	Defense	Other Services	S	Always Small Vendor	PDuns-2+	1	0	0	0	0	0	9	9	19	16092.3000
2008	Defense	NULL	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	2	2	2	55285.1406
2007	Defense	Facilities and Construction	L	Large Vendor	PID	1	0	1	1	1	1	61	61	2166	1748462583.4797
2013	Defense	Facilities and Construction	M	Medium Vendor	PID	1	0	1	1	1	1	137	137	3520	1612791727.5661
2011	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	5268	5268	10503	86995724.0812
2003	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	1	1	0	0	1	1	266	266	614	8001686.4802
2013	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	50	58	206	6154910.5400
2003	Defense	Aircraft	S	Always Small Vendor	PID	1	0	1	1	1	1	31	31	272	78546127.0431
2020	Defense	Aircraft	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	20	2730	1219543476.8122
2011	Defense	Other Services	L	Large Vendor	PID	1	0	1	1	1	1	17	17	391427	8058589220.0604
2018	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	49	49	3159	3689192.3699
