"","Filename","Geographic.area.name","X.","X1997.NAICS.code","Meaning.of.1997.NAICS.code","X..1","Meaning.of.Type.of.operation.or.tax.status.code","X..2","Year","Number.of.establishments","Value.of.sales..shipments..receipts..revenue..or.business.done...1.000.","Annual.payroll...1.000.","Paid.employees.for.pay.period.including.March.12..number.","X2002.NAICS.code","Meaning.of.2002.NAICS.code","Number.of.paid.employees.for.pay.period.including.March.12","Relative.standard.error.of.estimate.of.number.of.establishments....","Relative.standard.error.of.estimate.of.the.value.of.business.done","Relative.standard.error.of.estimate.of.total.payroll....","Relative.standard.error.of.estimate.of.total.number.of.employees....","X2007.NAICS.code","Meaning.of.2007.NAICS.code","Number.of.paid.employees.for.period.including.March.12"
"753","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","113","2,442,520","290,847",NA,NA,NA,NA,NA,NA,NA,NA,"322221","Coated and laminated packaging paper manufacturing","6,090"
"754","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","124","1,776,522","249,607",NA,NA,NA,NA,NA,NA,NA,NA,"322221","Coated and laminated packaging paper manufacturing","5,382"
"755","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","463","12,816,562","1,424,924",NA,NA,NA,NA,NA,NA,NA,NA,"322222","Coated and laminated paper manufacturing","25,182"
"756","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","493","13,886,164","1,682,950",NA,NA,NA,NA,NA,NA,NA,NA,"322222","Coated and laminated paper manufacturing","33,657"
"757","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","50","1,071,242","193,118",NA,NA,NA,NA,NA,NA,NA,NA,"322223","Coated paper bag and pouch manufacturing","3,879"
"758","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","51","801,829","134,888",NA,NA,NA,NA,NA,NA,NA,NA,"322223","Coated paper bag and pouch manufacturing","3,234"
"759","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","89","2,559,247","371,785",NA,NA,NA,NA,NA,NA,NA,NA,"322224","Uncoated paper and multiwall bag manufacturing","9,038"
"760","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","101","2,369,062","376,300",NA,NA,NA,NA,NA,NA,NA,NA,"322224","Uncoated paper and multiwall bag manufacturing","10,415"
"761","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","33","1,371,211","181,093",NA,NA,NA,NA,NA,NA,NA,NA,"322225","Laminated aluminum foil manufacturing for flexible packaging uses","3,263"
"762","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","45","1,761,267","239,250",NA,NA,NA,NA,NA,NA,NA,NA,"322225","Laminated aluminum foil manufacturing for flexible packaging uses","4,813"
"763","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","68","1,044,032","140,138",NA,NA,NA,NA,NA,NA,NA,NA,"322226","Surface-coated paperboard manufacturing","3,029"
"764","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","74","1,090,702","117,600",NA,NA,NA,NA,NA,NA,NA,NA,"322226","Surface-coated paperboard manufacturing","2,865"
"765","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","460","6,944,097","913,180",NA,NA,NA,NA,NA,NA,NA,NA,"32223","Stationery product manufacturing","21,876"
"766","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","545","8,129,269","1,179,779",NA,NA,NA,NA,NA,NA,NA,NA,"32223","Stationery product manufacturing","31,130"
"767","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","182","3,125,598","259,035",NA,NA,NA,NA,NA,NA,NA,NA,"322231","Die-cut paper and paperboard office supplies manufacturing","6,003"
"768","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","204","3,410,414","330,579",NA,NA,NA,NA,NA,NA,NA,NA,"322231","Die-cut paper and paperboard office supplies manufacturing","9,128"
"769","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","173","2,823,631","522,010",NA,NA,NA,NA,NA,NA,NA,NA,"322232","Envelope manufacturing","12,268"
"770","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","210","3,653,185","705,339",NA,NA,NA,NA,NA,NA,NA,NA,"322232","Envelope manufacturing","17,581"
"771","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","105","994,868","132,135",NA,NA,NA,NA,NA,NA,NA,NA,"322233","Stationery, tablet, and related product manufacturing","3,605"
"772","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","131","1,065,670","143,861",NA,NA,NA,NA,NA,NA,NA,NA,"322233","Stationery, tablet, and related product manufacturing","4,421"
"773","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","663","17,382,790","1,695,307",NA,NA,NA,NA,NA,NA,NA,NA,"32229","Other converted paper product manufacturing","34,527"
"774","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","660","15,387,891","1,568,205",NA,NA,NA,NA,NA,NA,NA,NA,"32229","Other converted paper product manufacturing","35,284"
"775","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","142","12,175,509","949,647",NA,NA,NA,NA,NA,NA,NA,NA,"322291","Sanitary paper product manufacturing","18,071"
"776","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","145","10,467,608","842,127",NA,NA,NA,NA,NA,NA,NA,NA,"322291","Sanitary paper product manufacturing","17,181"
"777","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","521","5,207,281","745,660",NA,NA,NA,NA,NA,NA,NA,NA,"322299","All other converted paper product manufacturing","16,455"
"778","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","515","4,920,283","726,078",NA,NA,NA,NA,NA,NA,NA,NA,"322299","All other converted paper product manufacturing","18,103"
"779","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","27,561","82,453,090","19,967,837",NA,NA,NA,NA,NA,NA,NA,NA,"323","Printing and related support activities","462,117"
"780","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","33,817","103,018,470","25,757,320",NA,NA,NA,NA,NA,NA,NA,NA,"323","Printing and related support activities","646,183"
"781","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","27,561","82,453,090","19,967,837",NA,NA,NA,NA,NA,NA,NA,NA,"3231","Printing and related support activities","462,117"
"782","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","33,817","103,018,470","25,757,320",NA,NA,NA,NA,NA,NA,NA,NA,"3231","Printing and related support activities","646,183"
"783","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","25,832","78,950,451","18,720,362",NA,NA,NA,NA,NA,NA,NA,NA,"32311","Printing","434,574"
"784","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","31,262","97,633,725","23,770,287",NA,NA,NA,NA,NA,NA,NA,NA,"32311","Printing","597,304"
"785","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","10,464","39,581,415","9,871,420",NA,NA,NA,NA,NA,NA,NA,NA,"323110","Commercial lithographic printing","215,340"
"786","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","13,239","53,363,697","13,572,499",NA,NA,NA,NA,NA,NA,NA,NA,"323110","Commercial lithographic printing","315,611"
"787","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","261","3,037,137","566,390",NA,NA,NA,NA,NA,NA,NA,NA,"323111","Commercial gravure printing","12,260"
"788","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","281","3,988,206","715,255",NA,NA,NA,NA,NA,NA,NA,NA,"323111","Commercial gravure printing","16,806"
"789","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","904","8,701,186","1,756,076",NA,NA,NA,NA,NA,NA,NA,NA,"323112","Commercial flexographic printing","34,417"
"790","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","980","7,420,364","1,551,114",NA,NA,NA,NA,NA,NA,NA,NA,"323112","Commercial flexographic printing","35,091"
"791","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","4,509","7,218,253","1,853,600",NA,NA,NA,NA,NA,NA,NA,NA,"323113","Commercial screen printing","57,812"
"792","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","4,789","8,893,402","2,229,315",NA,NA,NA,NA,NA,NA,NA,NA,"323113","Commercial screen printing","72,213"
"793","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","4,001","1,848,829","565,566",NA,NA,NA,NA,NA,NA,NA,NA,"323114","Quick printing","16,848"
"794","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","6,162","3,263,044","1,007,153",NA,NA,NA,NA,NA,NA,NA,NA,"323114","Quick printing","34,267"
"795","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","3,326","8,218,414","2,006,481",NA,NA,NA,NA,NA,NA,NA,NA,"323115","Digital printing","46,129"
"796","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","2,502","6,418,901","1,671,223",NA,NA,NA,NA,NA,NA,NA,NA,"323115","Digital printing","42,428"
"797","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","459","3,660,379","518,087",NA,NA,NA,NA,NA,NA,NA,NA,"323116","Manifold business forms printing","13,248"
"798","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","595","5,181,525","793,247",NA,NA,NA,NA,NA,NA,NA,NA,"323116","Manifold business forms printing","21,148"
"799","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","476","4,234,220","999,725",NA,NA,NA,NA,NA,NA,NA,NA,"323117","Books printing","24,104"
"800","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","602","5,170,200","1,302,081",NA,NA,NA,NA,NA,NA,NA,NA,"323117","Books printing","32,770"
"801","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","152","1,118,640","204,068",NA,NA,NA,NA,NA,NA,NA,NA,"323118","Blankbook, looseleaf binders, and devices manufacturing","4,939"
"802","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","205","1,668,611","301,786",NA,NA,NA,NA,NA,NA,NA,NA,"323118","Blankbook, looseleaf binders, and devices manufacturing","8,561"
"803","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","1,280","1,331,978","378,949",NA,NA,NA,NA,NA,NA,NA,NA,"323119","Other commercial printing","9,478"
"804","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","1,907","2,265,775","626,614",NA,NA,NA,NA,NA,NA,NA,NA,"323119","Other commercial printing","18,409"
"805","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","1,729","3,502,639","1,247,475",NA,NA,NA,NA,NA,NA,NA,NA,"32312","Support activities for printing","27,542"
"806","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","2,555","5,384,745","1,987,033",NA,NA,NA,NA,NA,NA,NA,NA,"32312","Support activities for printing","48,879"
"807","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","748","1,435,989","507,853",NA,NA,NA,NA,NA,NA,NA,NA,"323121","Tradebinding and related work","14,768"
"808","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","1,062","2,235,708","802,077",NA,NA,NA,NA,NA,NA,NA,NA,"323121","Tradebinding and related work","25,427"
"809","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","981","2,066,650","739,622",NA,NA,NA,NA,NA,NA,NA,NA,"323122","Prepress services","12,774"
"810","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","1,493","3,149,037","1,184,956",NA,NA,NA,NA,NA,NA,NA,NA,"323122","Prepress services","23,452"
"811","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","2,193","851,135,772","9,371,940",NA,NA,NA,NA,NA,NA,NA,NA,"324","Petroleum and coal products manufacturing","101,209"
"812","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","2,283","615,484,030","8,508,950",NA,NA,NA,NA,NA,NA,NA,NA,"324","Petroleum and coal products manufacturing","105,775"
"813","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","2,193","851,135,772","9,371,940",NA,NA,NA,NA,NA,NA,NA,NA,"3241","Petroleum and coal products manufacturing","101,209"
"814","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","2,283","615,484,030","8,508,950",NA,NA,NA,NA,NA,NA,NA,NA,"3241","Petroleum and coal products manufacturing","105,775"
"815","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","158","801,904,517","7,012,019",NA,NA,NA,NA,NA,NA,NA,NA,"32411","Petroleum refineries","62,542"
"816","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","195","580,019,951","6,359,336",NA,NA,NA,NA,NA,NA,NA,NA,"32411","Petroleum refineries","64,839"
"817","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","158","801,904,517","7,012,019",NA,NA,NA,NA,NA,NA,NA,NA,"324110","Petroleum refineries","62,542"
"818","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","195","580,019,951","6,359,336",NA,NA,NA,NA,NA,NA,NA,NA,"324110","Petroleum refineries","64,839"
"819","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","1,597","24,040,927","1,325,309",NA,NA,NA,NA,NA,NA,NA,NA,"32412","Asphalt paving, roofing, and saturated materials manufacturing","23,496"
"820","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","1,587","20,998,166","1,391,236",NA,NA,NA,NA,NA,NA,NA,NA,"32412","Asphalt paving, roofing, and saturated materials manufacturing","27,921"
"821","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","1,374","13,280,805","745,697",NA,NA,NA,NA,NA,NA,NA,NA,"324121","Asphalt paving mixture and block manufacturing","14,402"
"822","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","1,347","12,372,684","752,070",NA,NA,NA,NA,NA,NA,NA,NA,"324121","Asphalt paving mixture and block manufacturing","15,956"
"823","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","223","10,760,122","579,612",NA,NA,NA,NA,NA,NA,NA,NA,"324122","Asphalt shingle and coating materials manufacturing","9,094"
"824","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","240","8,625,482","639,166",NA,NA,NA,NA,NA,NA,NA,NA,"324122","Asphalt shingle and coating materials manufacturing","11,965"
"825","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","438","25,190,328","1,034,612",NA,NA,NA,NA,NA,NA,NA,NA,"32419","Other petroleum and coal products manufacturing","15,172"
"826","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","501","14,465,913","758,378",NA,NA,NA,NA,NA,NA,NA,NA,"32419","Other petroleum and coal products manufacturing","13,015"
"827","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","328","19,866,748","822,726",NA,NA,NA,NA,NA,NA,NA,NA,"324191","Petroleum lubricating oil and grease manufacturing","11,835"
"828","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","400","11,417,983","585,382",NA,NA,NA,NA,NA,NA,NA,NA,"324191","Petroleum lubricating oil and grease manufacturing","9,986"
"829","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","110","5,323,580","211,886",NA,NA,NA,NA,NA,NA,NA,NA,"324199","All other petroleum and coal products manufacturing","3,337"
"830","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","101","3,047,930","172,996",NA,NA,NA,NA,NA,NA,NA,NA,"324199","All other petroleum and coal products manufacturing","3,029"
"831","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","13,317","785,299,730","53,312,521",NA,NA,NA,NA,NA,NA,NA,NA,"325","Chemical manufacturing","735,553"
"832","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","13,789","716,152,473","50,234,763",NA,NA,NA,NA,NA,NA,NA,NA,"325","Chemical manufacturing","800,350"
"833","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","2,482","275,975,146","11,814,459",NA,NA,NA,NA,NA,NA,NA,NA,"3251","Basic chemical manufacturing","148,270"
"834","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","2,484","226,129,195","10,585,682",NA,NA,NA,NA,NA,NA,NA,NA,"3251","Basic chemical manufacturing","152,995"
"835","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","55","82,370,366","971,910",NA,NA,NA,NA,NA,NA,NA,NA,"32511","Petrochemical manufacturing","8,582"
"836","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2007","56","77,867,192","832,983",NA,NA,NA,NA,NA,NA,NA,NA,"32511","Petrochemical manufacturing","9,229"
"837","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the US and States (2007 and 2012).xls","United States","",NA,NA,"","Total","","2012","55","82,370,366","971,910",NA,NA,NA,NA,NA,NA,NA,NA,"325110","Petrochemical manufacturing","8,582"
