fiscal_year	Customer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
2009	HHS	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	352	352	1513	50371568.3263
2001	Defense	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	4	4	7	46610.0000
2005	VA	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	6	6	0	0.0000
2015	NASA	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	1	1	1	4773.0000
2003	Other Agencies	S	Always Small Vendor	PID	1	0	0	0	1	1	11	11	25	296571.4004
2017	Energy	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	10	11	20	747928.2317
2018	DHS	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	207	207	1613	40293272.5464
2016	GSA	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	32	32	41	140701.0690
2013	VA	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	2	4	0	0.0000
2017	Energy	M	Medium Vendor	PID	1	0	1	1	1	1	25	25	134	899277807.4433
2020	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	226	226	2020	65658091.9876
2018	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	44	44	1	173777.2969
1988	Defense	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	2	2	NULL	1447000.0000
2009	HHS	M	Medium Vendor	PID	1	0	1	1	1	1	52	52	533	1089651549.2976
2016	DHS	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	152	152	2333	843596033.1583
2015	Other Agencies	S	Always Small Vendor	Duns	1	1	0	0	1	0	6	6	6	5300.0000
2013	VA	M	Medium Vendor	PID	1	0	0	0	0	0	1	1	1	0.0000
2015	State and IAP	M	Medium Vendor	PID	1	1	0	1	1	1	17	17	110	5282837.8932
2016	GSA	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	59	59	79	57403.8400
2008	DHS	L	Large Vendor	PID	1	0	0	1	1	1	2	2	18	136255.6235
2017	DHS	L	Large Vendor	PID	1	0	1	1	1	1	59	59	3063	852535856.7930
2010	HHS	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	16	16	20	98896.5596
2016	NASA	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	5	5	0	2116829.0000
2014	Defense	M	Medium Vendor	PID	1	1	1	1	1	1	101	101	39676	6772681021.8582
2002	NASA	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	139	139	245	13462360.8789
2000	Energy	M	Medium Vendor	PID	1	1	1	1	1	1	4	4	59	131622967.0000
2010	NASA	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	101	101	233	14786037.3983
2007	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	303	419	1399	7708392.4207
2010	DHS	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	66	66	189	1215311.9778
2004	GSA	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	35	35	263	5303553.0867
2018	NASA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	4	5	12	169579.4803
2016	VA	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	54	58	1693	2150039.9298
2009	Energy	L	Large Vendor	PID	1	0	0	1	1	1	1	1	4	11599.0000
2008	HHS	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	3	3	3	12435.0000
2006	VA	S	Always Small Vendor	PID	1	0	1	1	1	1	22	22	247	42514604.1482
2008	Other Agencies	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	19	19	7	185773.4292
2008	Defense	S	Always Small Vendor	PDuns-1	1	1	0	0	0	0	84	84	159	28793.1799
2001	NASA	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	3	3	7	431866.6406
2019	Defense	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	1438	1438	9196	-321703.8090
2005	State and IAP	M	Medium Vendor	PID	1	0	0	0	0	0	1	1	2	0.0000
2011	NASA	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	19	19	89	61164781.7657
2011	State and IAP	S	Always Small Vendor	PID	1	0	1	1	1	1	9	9	31	10704396.0834
2015	State and IAP	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	81	104	1414	259000289.7972
1993	Defense	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	1	10869	10869	NULL	1711028919.0000
2004	Defense	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	4	7	74	740307.0000
2016	DHS	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	56	81	277	1802196.1901
2003	Other Agencies	U	Unlabeled Vendor	Name	1	0	0	1	1	1	3	1	4	623510.0000
2005	HHS	S	Always Small Vendor	PID	NULL	NULL	0	0	1	1	2	2	34	302478.0000
2016	Other Agencies	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	413	560	2531	63046668.9861
2014	VA	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	26	34	0	0.0000
2007	DHS	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	21	23	39	140267.3601
2018	Defense	M	Medium Vendor	PDuns-2+	1	0	0	0	0	0	46	47	1628	1031804.8406
2014	HHS	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	2	2	2	-8540.6000
2001	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	1	1	2	7000.0000
2008	HHS	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	393	393	521	1300075.3381
2005	DHS	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	0	348	348	489	1812699.2798
2007	DHS	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	8	8	1	3839612.2852
2000	VA	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	65	76	312	55143446.7579
2003	State and IAP	S	Always Small Vendor	PID	1	0	0	1	1	1	18	18	35	1983815.0000
2018	Energy	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	83	107	521	262016730.0840
2001	HHS	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	31	31	42	3196929.0000
2013	Other Agencies	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	524	524	18476	668303621.5924
2015	Energy	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	2	2	2	-37007.1500
2015	State and IAP	S	Always Small Vendor	PID	1	1	0	1	1	1	2	2	2	120420.0400
2020	Defense	M	Medium Vendor	PID	1	1	1	1	1	1	80	80	750357	5808199536.5667
1993	Defense	J	Large: Big 5 JV	PID	NULL	NULL	1	1	1	1	3	3	NULL	671254155.0000
1995	Defense	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	685	2840	36954	9016708640.0000
2003	State and IAP	S	Always Small Vendor	Name	1	1	0	1	1	1	5	1	7	968349.0000
2010	State and IAP	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	398	398	0	-47169.0000
2007	VA	S	Always Small Vendor	PID	1	0	1	1	1	1	33	33	447	26717557.6473
2007	DHS	S	Always Small Vendor	Name	1	0	0	0	1	0	39	1	52	205122.5904
2005	Other Agencies	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	174	174	9474	318304869.0855
2001	Defense	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	12	17	29	206017.0000
2004	DHS	J	Large: Big 5 JV	PID	1	0	1	1	1	1	1	1	119	1059993411.0313
2004	GSA	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	877	877	10108	1153816984.6745
2002	Other Agencies	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	0	0	5	5	7	5000.0000
2019	Energy	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	7	7	9	108800.8500
2010	Defense	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	0	3	3	4	13973.6599
2004	DHS	U	Unlabeled Vendor	Name	1	1	0	1	1	1	1	1	1	154852.0000
2013	Other Agencies	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	252	296	4678	558963510.3384
2007	VA	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	34	34	758	596339.0691
2015	Energy	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	1	1	1	4860.0600
2019	HHS	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	7	10	282	36313788.5184
2019	NASA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	1	2	2	59303.6602
2003	State and IAP	M	Medium Vendor	PID	NULL	NULL	0	0	1	1	1	1	1	0.0000
2000	VA	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	39	39	367	19092000.0000
2015	HHS	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	67	72	302	140923377.6889
2004	State and IAP	S	Always Small Vendor	PID	1	0	0	0	1	1	1	1	1	23854.8008
2015	HHS	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	229	418	2667	1075655504.2329
2001	VA	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	2	2	7	560000.0000
2003	GSA	S	Always Small Vendor	PID	1	0	0	0	1	0	9	9	10	38409.0000
2018	Defense	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	1513	1513	165343	9746840367.0075
2000	VA	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	4	6	14	1035000.0000
2012	Defense	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	404	483	1674	51120941.5995
2006	VA	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	43	43	0	3132540.7619
2004	State and IAP	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	1	204.9300
2015	NULL	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	1	1	1	21314.5000
2010	State and IAP	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	9	12	80	294085.7784
2008	NASA	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	32	34	75	477955.3100
2014	Defense	L	Large Vendor	Duns	1	1	1	1	1	1	1	1	4861	257649885.0800
2010	State and IAP	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	36	40	138	54835724.8278
2006	State and IAP	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	184	184	341	343812.2114
2013	Other Agencies	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	43	43	240	3984114.3331
2011	VA	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	238	309	6512	31867277.6506
2011	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	120	120	7	577258.7500
2012	HHS	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	199	361	2296	632773391.1427
2008	NASA	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	4	4	9	29854.3101
2013	GSA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	19	23	38	162502.4100
1992	Defense	L	Large Vendor	PID	NULL	NULL	0	1	1	1	12	12	NULL	6371751.0000
2002	Energy	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	27	27	32	-1773524.0000
2008	NASA	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	1	1	1	2	11259.5000
2001	HHS	B	Big Five	PID	1	1	1	1	1	1	5	5	112	36537501.5000
2019	Defense	S	Always Small Vendor	PID	1	0	0	0	1	0	2	2	50	75876.3199
2008	VA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	3	3	0	39370.0000
2004	DHS	U	Unlabeled Vendor	Name	1	0	1	1	1	1	1	1	1	0.0000
1991	Defense	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	129	129	1	6985121848.0000
2012	GSA	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	40	40	10301	39964478.7266
2003	Other Agencies	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	11	11	17	218222.2800
2011	GSA	L	Large Vendor	PID	1	0	1	1	1	1	51	51	19705	1156616399.6702
2020	DHS	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	84	101	620	244036008.7702
2011	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	526	915	12753	68340103.7322
2002	GSA	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	2	2	6	132000.0000
2003	HHS	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	17	17	1	0.0000
2014	GSA	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	47	47	126	3576348.5722
2009	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	14	20	72	509129.8383
2000	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	27	1083	346680610.3906
2010	Energy	B	Big Five	PID	1	1	1	1	1	1	5	5	126	2427420817.6930
2003	Defense	M	Medium Vendor	PID	1	0	0	0	1	0	6	6	7	34157.0000
2005	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	2	2	0	0.0000
2005	Other Agencies	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	2	3	31	16267337.9445
2017	VA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	109	109	573	2626281.2042
2019	HHS	M	Medium Vendor	Duns	1	0	0	0	1	1	2	2	2	-9542.5000
2003	State and IAP	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	1	1	8	1517000.0000
2000	GSA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	1	18	18	54	1070000.0000
2018	State and IAP	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	0	1	1	1	8351.7695
2008	HHS	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	152	152	192	755317.2303
2008	NASA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	19	19	36	119962.0003
2013	Other Agencies	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	1521	1521	8236	198410657.9001
2005	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	77	77	2	47238.0000
2011	Defense	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	11751	11751	34336	271925334.2983
2020	VA	S	Always Small Vendor	PID	1	0	1	1	1	1	11	11	85	109065879.1245
2015	HHS	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	10	10	68	1464037.9433
2019	Defense	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	2	2	NULL	0.0000
2003	Other Agencies	M	Medium Vendor	PID	1	1	0	1	1	1	1	1	1	49072.0000
2014	DHS	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	101	101	533	114759704.9355
2008	Other Agencies	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	9	9	4	-13694.4502
2009	HHS	M	Medium Vendor	PID	1	1	0	1	1	1	1	1	1	58007.5195
2013	State and IAP	M	Medium Vendor	PID	1	1	0	1	1	1	34	34	91	1431408.0500
2010	Defense	L	Large Vendor	PID	1	1	0	1	1	1	2	2	73	-1527158.2069
2013	Energy	M	Medium Vendor	PID	1	0	1	1	1	1	44	44	459	1577131159.9000
2013	Other Agencies	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	5	5	18	28149.6900
2010	Defense	S	Always Small Vendor	PID	1	1	1	1	1	1	12	12	759	604357359.8035
2000	VA	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	129	187	441	31814019.0000
2012	Other Agencies	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	137	137	548	3756395.5015
2020	DHS	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	147	147	904	21445424.4771
2020	GSA	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	34	34	56	192978.1920
2014	NASA	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	1	1	0	0.0000
2011	NASA	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	116	116	837	111385026.3882
2014	Other Agencies	L	Large Vendor	PID	1	0	1	1	1	1	68	68	20720	2384052838.8983
2008	Other Agencies	M	Medium Vendor	PID	1	1	1	1	1	1	29	29	1356	352924210.3335
2013	HHS	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	3	3	0	0.0000
2006	VA	M	Medium Vendor	PID	1	0	0	0	1	0	4	4	12	35470.2097
2003	VA	L	Large Vendor	PID	1	1	0	1	1	1	1	1	1	25800.0000
2019	NASA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	2	2	NULL	150000.0000
2018	DHS	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	1	1	1	1	4960.0000
2018	Defense	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	464	464	68877	4407276253.4237
2007	DHS	B	Big Five	PID	1	1	1	1	1	1	5	5	1275	853981800.5431
2014	NASA	S	Always Small Vendor	PID	1	0	0	0	1	1	1	1	4	39381.3400
2014	State and IAP	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	91	91	0	3000.0000
2003	Energy	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	4	5	9	583442.0000
2009	NASA	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	28	28	41	2306513.4386
2020	VA	S	Always Small Vendor	PID	1	0	0	1	1	1	8	8	23	914127.4788
2012	DHS	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	19	19	48	214106.0889
2016	DHS	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	396	597	3396	393673151.0704
2015	Other Agencies	S	Always Small Vendor	Duns	NULL	NULL	1	1	1	1	1	1	0	178723.8828
2010	VA	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	3562	3562	20806	483563610.8495
2006	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	10	10000.0000
2004	GSA	N	Sometimes Small Vendor	PID	1	0	0	0	1	0	1	1	3	11510.0000
2020	Other Agencies	M	Medium Vendor	Duns	1	0	0	0	1	0	4	4	5	17559.8799
2016	Other Agencies	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	0	143	149	358	1101830.0703
2011	DHS	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	0	1	1	1	144.0000
2004	GSA	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	14	14	25	1946384.8347
2015	HHS	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	111	111	2174	602404535.2241
2011	VA	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	38	58	518	23142414.1725
2011	State and IAP	M	Medium Vendor	Duns	1	1	0	0	1	1	2	2	2	35964.5098
2001	Energy	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	0	0.0000
2013	HHS	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	242	242	2529	214687364.0556
2008	HHS	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	1386	1386	3507	120166738.8122
2017	HHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	4	4	0	32411.5200
2012	Other Agencies	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	1039	1039	2353	1659010.9978
2013	Energy	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	108	108	265	2853948.4495
1990	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	60	60	NULL	341964000.0000
2006	GSA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1040	1040	71	1160495.7775
2015	State and IAP	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	61	69	243	49687782.2698
2004	Defense	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	738	1606	16262	441764541.2372
2001	NASA	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	9	9	29	29330594.0000
2007	NASA	J	Large: Big 5 JV	PID	1	0	1	1	1	1	1	1	101	1822951517.0000
2016	NASA	M	Medium Vendor	PDuns-1	1	0	0	0	1	1	105	105	220	1841982.3917
2001	Defense	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	71	71	195	1590218.0000
2011	Energy	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	14	14	22	42585.2799
1992	Defense	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	593	890	4	1971533703.0000
2020	Defense	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	585	585	21055	3406794210.9271
2002	Energy	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	2	2	3	61470.0000
2010	VA	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	255	331	2410	39448300.4102
2016	VA	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	706	706	10195	146112275.0099
2007	GSA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	58	58	1	6100.0000
2019	NASA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	9	10	21	173090.4790
2012	Other Agencies	M	Medium Vendor	Duns	1	0	0	0	1	0	1	1	1	0.0000
2019	Other Agencies	M	Medium Vendor	Duns	1	0	0	0	0	0	2	2	2	3400.0000
2012	VA	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	6	6	9	27587.2598
2000	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	1	1	1	20000.0000
2004	NASA	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	831	831	2184	99781986.9973
2005	VA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	9	100	8725605.5073
2003	Other Agencies	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	1493	1493	4300	273208180.5836
2010	NASA	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	50	59	431	106310604.0627
2018	State and IAP	M	Medium Vendor	PDuns-1	1	0	0	0	1	1	562	562	1613	12939637.1423
2008	GSA	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	453	453	0	2586191.3848
2012	Defense	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	0	0	51	51	214	214915.9495
2009	Other Agencies	S	Always Small Vendor	PID	1	0	0	0	1	1	22	22	62	253662.9673
2016	VA	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	1	0	0.0000
2014	DHS	M	Medium Vendor	PID	1	0	0	0	1	1	3	3	19	101916.3700
2009	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	0	6	6	1	3691.0000
2014	DHS	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	1	1	1	6000.0000
2011	HHS	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	1	0	1	1	0	0.0000
2009	DHS	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	6	6	0	-3684.3301
2006	DHS	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	1690	1690	3113	27160386.1867
2007	State and IAP	M	Medium Vendor	PDuns-2+	1	1	0	0	0	0	1	1	1	404.7100
2001	Defense	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	2170	2170	6200	523479886.0984
2004	GSA	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	1	1	0	0.0000
2009	VA	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	160	160	2936	388923638.7747
2008	State and IAP	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	200	200	1006	182295842.5600
2011	GSA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	53	63	1642	2306969.3923
2001	State and IAP	M	Medium Vendor	PID	1	1	1	1	1	1	9	9	85	13315000.0000
2012	Other Agencies	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	1	6	7	8	95305.0706
2009	State and IAP	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	40	40	68	48674.7099
2015	Defense	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	1	1	0	0.0000
2003	Other Agencies	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	1	1	2	6644.0000
2006	VA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	13	6236	19411425.3221
2012	DHS	M	Medium Vendor	PID	1	1	1	1	1	1	23	23	512	200814298.1632
2018	DHS	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	264	357	1464	31229166.3498
2008	State and IAP	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	6	6	0	0.0000
2006	Other Agencies	S	Always Small Vendor	PID	NULL	NULL	0	0	1	0	1	1	3	3766.6299
1995	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	1384	2949	21951	7426555969.0000
2012	State and IAP	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	48	55	188	2541932.8368
2006	Energy	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	0	7	7	8	37946.4999
2015	Defense	U	Unlabeled Vendor	Name	1	1	0	0	1	0	2	1	3	17433.0000
2015	Other Agencies	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	3	3	0	62292.3008
2008	HHS	L	Large Vendor	PID	1	1	1	1	1	1	78	78	6296	3501729995.7734
2006	Other Agencies	S	Always Small Vendor	PDuns-2+	1	0	0	0	0	0	92	99	236	159466.1895
2015	HHS	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	59	59	128	586815.7503
2014	Energy	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	0	0	1	1	2	1767.5700
2013	State and IAP	M	Medium Vendor	Duns	1	1	1	1	1	1	5	5	40	438340.0285
2018	HHS	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	299	299	2996	888624730.1904
2017	DHS	L	Large Vendor	PID	1	1	1	1	1	1	90	90	20910	3756867777.0280
2020	Other Agencies	M	Medium Vendor	Duns	1	1	0	0	1	0	32	32	45	210409.6487
2004	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	37	3242	566694301.9219
2004	GSA	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	15	15	484	166566.3408
2002	Other Agencies	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	359	359	17217	2868144698.8144
2003	Defense	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	144	839	16225	2421862629.2497
2017	NASA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	1	62	62	165	1467846.3903
2005	GSA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	4	4	13	31504.8100
2006	NASA	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	5	5	4	59089.0000
2014	Other Agencies	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	479	1205	25268	2460536321.4362
2011	HHS	L	Large Vendor	PID	1	0	0	0	1	1	1	1	3	13240.0097
2012	GSA	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	3	3	0	0.0000
2012	State and IAP	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	1	1	1	5	20908.5906
2000	Other Agencies	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	592	592	1136	-9241252.7520
2004	NASA	M	Medium Vendor	PID	1	0	0	0	1	1	1	1	1	8173.0000
2013	State and IAP	M	Medium Vendor	PDuns-2+	1	1	0	0	1	1	13	13	37	329459.0700
2012	Other Agencies	N	Sometimes Small Vendor	PID	1	1	0	0	1	0	1	1	3	4710.5000
2019	Other Agencies	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	21	21	37	158488.9597
