"CSIScontractID","Action_Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsComplete","StartFiscal_Year","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","AgencyID","Customer","SubCustomer","UnmodifiedDays","qDuration","qLowCeiling","qHighCeiling","UnmodifiedContractObligatedAmount","UnmodifiedBase","UnmodifiedCeiling","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","IsModified","ChangeOrderBaseAndAllOptionsValue","SumOfisNewWork","NewWorkBaseAndAllOptionsValue","qNChg","pChangeOrderUnmodifiedBaseAndAll","CBre","qCRais","PlaceCountryISO3","UnmodifiedPlaceCountryISO3","AnyPlaceInternational","PlatformPortfolio","UnmodifiedPlatformPortfolio","ProductOrServiceArea","UnmodifiedProductOrServiceArea","SimpleArea","UnmodifiedSimpleArea","ObligatedAmountIsProducts","ObligatedAmountIsServices","ObligatedAmountIsRnD","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsUrgency","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsIDV","Offr","Comp","EffComp","Urg","Veh","IsIncentive","FxCb","Fee","IsUCA","UnmodifiedIsUCA","UCA","SumOfisChangeOrder","ChangeOrderCeilingGrowth","ChangeOrderCeilingRescision","SteadyScopeCeilingModification","AdminCeilingModification","EndingCeilingModification","OtherCeilingModification","ContractBaseAndAllOptionsValue","n_CBre","p_ChangeOrderCeilingGrowth","qGrowth","Why_Outlier"
24893138,7361646.0086,0,0,2014-07-07,2011-07-13,2013-07-16,2011-07-14,1,2011,"2100","W912UM","Z199","237990","2100","Defense","Army",1091,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",4663868.5,5361144320,5361144320,2014-07-07,2014-07-07,NA,TRUE,3093869856,2,1683540,"[   3,3316]",0.57709132068282,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,7361646.0086,NA,4,0,1,0,0,0,1,7361646.0086,0,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,6,3596538145,-502668289,1683540,0,0,0,8456697716,3596538146,1.6708527003429,"[-1.88, 1.00)","Korean Office W912UM"
24563040,3452976257.262,0,0,2012-12-28,2009-06-30,2012-10-22,2009-06-30,1,2009,"2100","W56HZV","2355","336992","2100","Defense","Army",367,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",1055910080,1055910080,1055910080,2010-07-01,2010-07-01,NA,TRUE,795820670.6025,41,1601213888.2295,"[   3,3316]",0.753682236467048,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Land Vehicles","Land Vehicles","Ground Vehicles","Ground Vehicles","Products","Products",3452976257.262,NA,NA,5,0,1,0,0,0,1,3452976257.262,0,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,45,796431668.6025,-610998,1596667522.6595,-14993,0,4592977,3452976257.262,796431669.6025,1.75426088138348,"[-1.88, 1.00)","Obligations at least half Orig+CRai"
8496309,1589052.8633,0,0,2009-10-30,2008-09-25,2009-07-20,2008-09-25,1,2008,"2100","W912UM","Z119","237990","2100","Defense","Army",401,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",1321780.125,1268908928,1268908928,2009-10-30,2009-10-30,NA,TRUE,2.94e+08,0,0,"[   3,3316]",0.231695115001981,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,1589052.8633,NA,7,1,1,NA,0,1,1,1589052.8633,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,3,2.94e+08,0,0,0,0,0,1562908928,294000001,1.2316951142139,"[-1.88, 1.00)","Korean Office W912UM"
8341560,3077395.4388,1,0,2015-09-30,2009-09-30,2015-03-18,2009-09-30,1,2009,"2100","W912GB","Y112","238990","2100","Defense","Army",1,"[0 months,~2 months)","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",148832.3281,148832.3281,148832.3281,2009-09-30,2009-09-30,NA,TRUE,344737300435.951,2,-598228.02,"[   3,3316]",2316279.70103594,"Ceiling Breach","[ 0.150,   Inf]","DEU","DEU","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,3077395.4388,NA,2,1,1,NA,0,1,1,3077395.4388,NA,NA,"def_detail/Pur","2","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",9,344739578535.451,-2278099.5,-598228.02,-344733702433.01,-25314.97,0,3123292.2788,5277875.4206543,2316296.00751222,"[10.00,  Inf]","At Least 1/2 After Admin Rescision"
7986969,4379206931.2943,0,0,2015-12-31,2008-08-26,2014-01-09,2008-08-26,1,2008,"2100","W58RGZ","1520","336411","2100","Defense","Army",2684.04166666667,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",722713856,722713856,4372325888,2015-12-31,2015-12-31,NA,TRUE,481809780,38,2245227.1093,"[   3,3316]",0.110195303905032,"Ceiling Breach","[ 0.001, 0.150)","USA","USA","Just U.S.","Aircraft","Aircraft","Aircraft","Aircraft","Products","Products",4380543230.1693,NA,NA,1,0,0,1,0,0,0,NA,1,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",50,992698908,-510889128,-7076191.7057,65289000,0,0,4912348476.2943,992698909,1.2270413808185,"[-1.88, 1.00)","Obligations at least half Orig+CRai"
24893139,3910820.8675,0,0,2014-07-07,2011-07-13,2012-08-07,2011-07-14,1,2011,"2100","W912UM","Z199","237990","2100","Defense","Army",1091,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",1925959.75,2213902080,2213902080,2014-07-07,2014-07-07,NA,TRUE,2103051520,3,178558034,"   1",0.949929781898936,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,3910820.8675,NA,4,0,1,0,0,0,1,3910820.8675,0,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,2103051520,0,178558034,0,0,0,4495511634,2103051521,1.94992978144724,"[-1.88, 1.00)","Korean Office W912UM"
24893129,3195290.9267,0,0,2011-09-30,2009-09-29,2010-12-06,2009-09-29,1,2009,"2100","W912UM","Z199","237990","2100","Defense","Army",367,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",2813286,2.76e+09,2.76e+09,2010-09-30,2010-09-30,NA,TRUE,248484100,2,126285352,"[   3,3316]",0.0900304710144928,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,3195290.9267,NA,5,0,1,0,0,0,1,3195290.9267,0,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,11,250083805,-1599705,126285352,0,0,0,3134769452,250083806,1.09061007391304,"[-1.88, 1.00)","Korean Office W912UM"
8496302,6586329.9574,0,0,2009-09-30,2008-07-29,2010-01-19,2008-07-24,1,2008,"2100","W912UM","Z199","237990","2100","Defense","Army",296,"[~7 months-~1 year]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",6308413.5,7568369152,7568369152,2009-05-20,2009-05-20,NA,TRUE,325028000,0,0,"[   3,3316]",0.0429455796185772,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,6586329.9574,NA,1,0,0,1,0,0,0,NA,1,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,14,325028000,0,0,0,0,0,7893397152,325028001,1.04294557948645,"[-1.88, 1.00)","Korean Office W912UM"
24807877,6649388.5879,1,0,2010-12-31,2008-05-22,2010-03-02,2008-05-22,1,2008,"2100","W912ER","AD25","236220","2100","Defense","Army",296,"[~7 months-~1 year]","[1.0e+06,3.0e+07)","[1.0e+06,1.0e+07)",4073567,4073567,4073567,2009-03-13,2009-03-13,NA,TRUE,116093071716,1,367841,"[   3,3316]",28499.1192524881,"Ceiling Breach","[ 0.150,   Inf]","IRQ","IRQ","Any International","Other R&D and Knowledge Based","Other R&D and Knowledge Based","R&D","R&D","R&D","R&D",NA,NA,6649388.5879,1,0,0,1,0,0,0,NA,1,1,"IDV","1","No Comp.","No Comp.","Not Urgency","MULTIPLE AWARD IDC",0,"Combination or Other","Combination",0,0,"Not UCA",8,116093071716,0,-116090486139.562,0,-9754.8496,0,6649388.5879,2585577.4375,28500.1192522426,"[10.00,  Inf]","At Least 1/2 After Steady Scope Rescision"
24719937,150182777,0,0,2011-09-27,2008-02-11,2011-07-25,2008-02-11,1,2008,"2100","W9126G","Y199","236220","2100","Defense","Army",807.958333333333,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",140392000,140392000,140392000,2010-04-28,2010-04-28,NA,TRUE,454126678.5,7,1774708,"[   3,3316]",3.23470481580147,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,150182777,NA,4,1,1,NA,0,1,1,150182777,NA,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",24,454316970,-190291.5,3786294,-445847210.5,0,0,152457762,12256054.5,4.23606023847513,"[ 1.00,10.00)","At Least 1/2 After Admin Rescision"
24893130,7334132.663,0,0,2011-12-31,2009-09-30,2011-11-07,2009-09-30,1,2009,"2100","W912UM","Z199","237990","2100","Defense","Army",366,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",6694193.5,6567399936,6567399936,2010-09-30,2010-09-30,NA,TRUE,344627500,3,283190704,"[   3,3316]",0.0524754854826006,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,7334132.663,NA,5,0,1,0,0,0,1,7334132.663,0,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,17,344627500,0,283190704,0,0,0,7195218140,344627501,1.05247548533033,"[-1.88, 1.00)","Korean Office W912UM"
24892779,1529807.6885,0,0,2010-09-30,2008-09-24,2009-10-08,2008-09-25,1,2008,"2100","W912UM","Z199","237990","2100","Defense","Army",372,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",986137.4375,1011478336,1011478336,2009-09-30,2009-09-30,NA,TRUE,504346144,4,53294866,"[   3,3316]",0.498622784146313,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,1529807.6885,NA,4,0,1,0,0,0,1,1529807.6885,0,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,3,504346144,0,53294866,0,0,0,1569119346,504346145,1.49862278315766,"[-1.88, 1.00)","Korean Office W912UM"
24893630,1325646.6788,0,0,2013-09-30,2012-09-24,2013-09-03,2012-09-24,1,2012,"2100","W912UM","Z1AA","237990","2100","Defense","Army",372,"(~1 year,~2 years]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",480.21,528003,528003,2013-09-30,2013-09-30,NA,TRUE,2.5e+08,2,1201273936,"   1",473.482158245313,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,1325646.6788,NA,13,1,1,NA,0,1,1,1325646.6788,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,2.5e+08,0,1201273936,0,0,0,1451801939,250000001,474.482156351384,"[10.00,  Inf]","Korean Office W912UM"
24905030,18021584.7031,0,0,2011-12-31,2008-09-15,2010-01-21,2008-09-15,1,2008,"2100","W917PM","R499","561612","2100","Defense","Army",365,"[~7 months-~1 year]","[1.0e+06,3.0e+07)","[1.0e+07,7.5e+07)",16952194,16952194,16952194,2009-09-14,2009-09-14,NA,TRUE,733779119.9453,6,442540.3516,"[   3,3316]",43.2852007206442,"Ceiling Breach","[ 0.150,   Inf]","AFG","AFG","Any International","Other R&D and Knowledge Based","Other R&D and Knowledge Based","PAMS","PAMS","Services","Services",NA,18021584.7031,NA,7,1,1,NA,0,1,1,18021584.7031,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",6,733988076.5234,-208956.5781,4705.0312,-732816113,0,101678.7266,18021584.7031,1176669.5546,44.2975268878707,"[10.00,  Inf]","At Least 1/2 After Admin Rescision"
24893621,470300.974,0,0,2013-09-30,2012-09-20,2013-05-30,2012-09-20,1,2012,"2100","W912UM","Z1AA","237990","2100","Defense","Army",376,"(~1 year,~2 years]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",348.39,383061,383061,2013-09-30,2013-09-30,NA,TRUE,508175456,1,8546000,"   1",1326.61757787924,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,470300.974,NA,13,1,1,NA,0,1,1,470300.974,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,508175456,0,8546000,0,0,0,517104517,508175457,1327.61757526869,"[10.00,  Inf]","Korean Office W912UM"
8496528,18634594.3533,0,1,2014-05-20,2010-11-28,2013-10-31,2010-11-28,1,2011,"2100","W912UM","Y169","236116","2100","Defense","Army",306.958333333333,"[~7 months-~1 year]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",18246124,17187850240,17187850240,2011-09-30,2011-09-30,NA,TRUE,434165414,15,-68226328,"[   3,3316]",0.0252600184396301,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,18634594.3533,NA,12,1,1,NA,0,1,1,18634594.3533,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,9,434165414,0,-68226328,0,0,0,17553789326,365939087,1.02526001838145,"[-1.88, 1.00)","Korean Office W912UM"
