fiscal_year	fiscal_quarter_YTD	contract_transaction_unique_key	contract_award_unique_key	signeddate	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	anycommercial	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	AnyCommercial	typeofcontractpricing	IsLetterContract	ProductOrServiceCode	claimantprogramcode	principalnaicscode	ProjectID	EntityID	parentid	IsEntityTraditional	obligatedAmount	baseandexercisedoptionsvalue	baseandalloptionsvalue	numberOfActions
2011	NULL	8000_-none-_NNX11CB68C_1_-none-_0	CONT_AWD_NNX11CB68C_8000_-NONE-_-NONE-	2011-07-22	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small		USA	AZ	USA	AZ	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	75000.0000	0.0000	0.0000	1
2012	NULL	8000_-none-_NNA08BC21C_6_-none-_0	CONT_AWD_NNA08BC21C_8000_-NONE-_-NONE-	2012-02-06	8000	AR12	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	100+ Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR12		541712	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX11CF16P_0_-none-_0	CONT_AWD_NNX11CF16P_8000_-NONE-_-NONE-	2011-02-17	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	CO	USA	CO	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	8334.0000	99814.0000	99814.0000	1
2011	NULL	8000_-none-_NNX11CG13P_3_-none-_0	CONT_AWD_NNX11CG13P_8000_-NONE-_-NONE-	2011-05-04	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small	X	USA	PA	USA	PA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	16000.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX11CG70P_4_-none-_0	CONT_AWD_NNX11CG70P_8000_-NONE-_-NONE-	2011-06-10	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	PA	USA	PA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	54810.0000	0.0000	0.0000	1
2016	NULL	8000_-none-_NNX16CD06C_0_-none-_0	CONT_AWD_NNX16CD06C_8000_-NONE-_-NONE-	2016-04-25	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	NH	USA	NH	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	747880.0000	747880.0000	747880.0000	1
2008	NULL	8000_-NONE-_NNA07BC79P_3_-NONE-_0	CONT_AWD_NNA07BC79P_8000_-NONE-_-NONE-	2008-06-20	8000	AR31	Space Systems	NULL	PO	No Competition (Only One Source Exception)	No competition	Y	FFP	Medium <1B	X	USA	CA	USA	CA	USA		Y	J	0	AR31		927110	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2010	NULL	8000_-none-_NNX10CC74P_0_-none-_0	CONT_AWD_NNX10CC74P_8000_-NONE-_-NONE-	2010-01-27	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	5-9 Offers	N	FFP	Small		USA	NY	USA	NY	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	99292.0000	99292.0000	99292.0000	1
2005	NULL	8000_-NONE-_NNL05AB92T_0_-NONE-_0	CONT_AWD_NNL05AB92T_8000_-NONE-_-NONE-	2005-04-29	8000	AR11	Space Systems	NULL	PO	Full Competition (Multiple Offers)	10-24 Offers	N	Other CB	Medium <1B	X	USA	CA	USA	CA	USA		N	U	0	AR11		541330	NULL	677122	WYLE LABORATORIES	1	369699.0000	369699.0000	369699.0000	1
2023	2	8000_-NONE-_80MSFC20C0007_P00017_-NONE-_0	CONT_AWD_80MSFC20C0007_8000_-NONE-_-NONE-	2023-03-21	8000	AR12	Space Systems	NULL	DCA	Competition with single offer	One Offer	N	Other CB	Small	X	USA	NY	USA	NY	USA	C	N	U	0	AR12		541715	NULL	1	**VARIABLE	1	265990.0000	265990.0000	265990.0000	1
2004	NULL	8000_-NONE-_A68131D_0_-NONE-_0	CONT_AWD_A68131D_8000_-NONE-_-NONE-	2003-12-11	8000	AR11	Space Systems	NULL	PO	No Competition (Other Exception)	No competition	N	FFP	Small	X	USA	CA	USA	CA	NULL	C	N	J	0	AR11			NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2023	2	8000_-NONE-_NNJ06TA25C_614_-NONE-_0	CONT_AWD_NNJ06TA25C_8000_-NONE-_-NONE-	2023-01-17	8000	AR33	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	Two Offers	N	Other CB	Large: Big 5	X	USA	CO	USA	CO	USA	C	N	R	0	AR33		541710	NULL	659846	LOCKHEED MARTIN	1	44000000.0000	0.0000	0.0000	1
2014	NULL	8000_-none-_NNX11CA54C_8_-none-_0	CONT_AWD_NNX11CA54C_8000_-NONE-_-NONE-	2014-07-16	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small		USA	MT	USA	MT	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	-10.9400	-10.9400	-10.9400	1
2023	2	8000_-NONE-_NNX15CJ09C_20_-NONE-_0	CONT_AWD_NNX15CJ09C_8000_-NONE-_-NONE-	2023-01-24	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	667554	PHYSICAL OPTIC	1	0.0000	0.0000	0.0000	1
2017	NULL	8000_-none-_NNX15CP06C_1_-none-_0	CONT_AWD_NNX15CP06C_8000_-NONE-_-NONE-	2017-03-08	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	OR	USA	OR	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2008	NULL	8000_-NONE-_NNX08CB77P_0_-NONE-_0	CONT_AWD_NNX08CB77P_8000_-NONE-_-NONE-	2008-01-18	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	5-9 Offers	N	FFP	Small	X	USA	MA	USA	MA	USA		N	J	0	AR11		541712	NULL	NULL	NULL	0	98541.5000	98541.5000	98541.5000	1
2010	NULL	8000_-none-_NNX10CB68C_0_-none-_0	CONT_AWD_NNX10CB68C_8000_-NONE-_-NONE-	2010-09-03	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small		USA	VA	USA	VA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	50000.0000	599246.0000	599246.0000	1
2005	NULL	8000_-NONE-_NNL04AA09C_6_-NONE-_0	CONT_AWD_NNL04AA09C_8000_-NONE-_-NONE-	2004-11-19	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	25-99 Offers	N	FFP	Small	X	USA	NJ	USA	NJ	USA		N	J	0	AR11		541710	NULL	NULL	NULL	0	50000.0000	0.0000	0.0000	1
2000	NULL	NULL	NULL	2000-05-01	8000	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers (Overrode blank Fair Opportunity)	10-24 Offers	N	Other CB	Large: Big 5		NULL		USA	AZ	NULL		N	U	0	AR11		541710	NULL	683750	BOEING	NULL	10000.0000	0.0000	30000000.0000	0
2013	NULL	8000_-none-_NNL13AA03C_1_-none-_0	CONT_AWD_NNL13AA03C_8000_-NONE-_-NONE-	2013-02-12	8000	AR11	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	10-24 Offers	N	Other CB	Large: Big 5		USA	PA	USA	PA	USA	C	N	U	0	AR11		541712	NULL	683750	BOEING	1	0.0000	0.0000	0.0000	1
2016	NULL	8000_-none-_NNX15CA08C_1_-none-_0	CONT_AWD_NNX15CA08C_8000_-NONE-_-NONE-	2016-02-01	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	RI	USA	RI	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2021	NULL	8000_-none-_80NSSC19C0143_P00001_-none-_0	CONT_AWD_80NSSC19C0143_8000_-NONE-_-NONE-	2020-12-08	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	CO	USA	CO	USA	C	N	J	0	AR11		541715	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2021	NULL	8000_-NONE-_80NSSC20C0418_P00001_-NONE-_0	CONT_AWD_80NSSC20C0418_8000_-NONE-_-NONE-	2021-02-10	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	Y	FFP	Small	X	USA	IL	USA	IL	USA	C	Y	J	0	AR11		541715	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2010	NULL	8000_-none-_NNX09CB07C_4_-none-_0	CONT_AWD_NNX09CB07C_8000_-NONE-_-NONE-	2010-09-08	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small	X	USA	OR	USA	OR	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2016	NULL	8000_-none-_NNX16CG17C_0_-none-_0	CONT_AWD_NNX16CG17C_8000_-NONE-_-NONE-	2016-05-13	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	MD	USA	MD	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	750000.0000	750000.0000	750000.0000	1
2018	NULL	8000_-none-_80NSSC18P2036_0_-none-_0	CONT_AWD_80NSSC18P2036_8000_-NONE-_-NONE-	2018-07-25	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541715	NULL	NULL	NULL	0	124968.0000	124968.0000	124968.0000	1
2012	NULL	8000_-none-_NNX11CB39C_3_-none-_0	CONT_AWD_NNX11CB39C_8000_-NONE-_-NONE-	2012-01-26	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small		USA	PA	USA	PA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	50000.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX11CD86P_2_-none-_0	CONT_AWD_NNX11CD86P_8000_-NONE-_-NONE-	2011-03-31	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	PA	USA	PA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	12501.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX11CI43P_3_-none-_0	CONT_AWD_NNX11CI43P_8000_-NONE-_-NONE-	2011-05-23	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	PA	USA	PA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	45415.0000	0.0000	0.0000	1
2003	NULL	8000_-NONE-_LERC0200309BC74160A_0_-NONE-_0	CONT_AWD_LERC0200309BC74160A_8000_-NONE-_-NONE-	2003-09-15	8000	AR11	Space Systems	NULL	PO	Competition with single offer	One Offer	Y	FFP	Small	X	USA	OH	USA	OH	USA		Y	J	0	AR11		562112	NULL	NULL	NULL	0	157000.0000	0.0000	0.0000	1
2004	NULL	8000_-none-_GSFC0200005DNAS500147_16_-none-_0	CONT_AWD_GSFC0200005DNAS500147_8000_-NONE-_-NONE-	2003-10-01	8000	AR32	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	25-99 Offers	N	UCA	Large	X	USA	CA	USA	CA	USA	C	N	S	1	AR32		541710	NULL	672186	STANFORD UNIVERSITY	1	1409000.0000	0.0000	0.0000	1
2003	NULL	8000_-NONE-_LERC0200303DNAS303086_1_-NONE-_0	CONT_AWD_LERC0200303DNAS303086_8000_-NONE-_-NONE-	2003-06-15	8000	AR12	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	25-99 Offers	N	Other CB	Large	X	USA	VA	USA	VA	USA		N	S	0	AR12		334511	NULL	683233	BAE SYSTEMS	0	163000.0000	0.0000	0.0000	1
2014	NULL	8000_-none-_NNX14CA25P_0_-none-_0	CONT_AWD_NNX14CA25P_8000_-NONE-_-NONE-	2014-06-11	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	100+ Offers	N	FFP	Small		USA	CT	USA	CT	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	115419.0000	115419.0000	115419.0000	1
2023	2	8000_-NONE-_80NSSC20C0004_P00013_-NONE-_0	CONT_AWD_80NSSC20C0004_8000_-NONE-_-NONE-	2023-03-03	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	OR	USA	OR	USA	C	N	J	0	AR11		541715	NULL	1	**VARIABLE	0	224923.0000	224923.0000	224923.0000	1
2009	NULL	9700_-NONE-_FA865008C1457_P00003_-NONE-_4	CONT_AWD_FA865008C1457_9700_-NONE-_-NONE-	2009-08-04	5700	AR11	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	Two Offers	N	Other CB	Small	X	USA	CO	USA	MD	USA	C	N	U	0	AR11	A2	541712	NULL	673090	TECHNOLOGY SERVICESORATIO	1	0.0000	464447.0000	464447.0000	1
2008	NULL	8000_-NONE-_NNX08CC61P_0_-NONE-_0	CONT_AWD_NNX08CC61P_8000_-NONE-_-NONE-	2008-01-25	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	5-9 Offers	N	FFP	Small	X	USA	IN	USA	IN	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	99576.0000	99576.0000	99576.0000	1
2011	NULL	8000_-none-_NNX11CF55P_1_-none-_0	CONT_AWD_NNX11CF55P_8000_-NONE-_-NONE-	2011-03-31	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	8334.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX11CI15P_2_-none-_0	CONT_AWD_NNX11CI15P_8000_-NONE-_-NONE-	2011-05-10	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	TX	USA	TX	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	15415.0000	0.0000	0.0000	1
2018	NULL	8000_-none-_NNX16CG65C_1_-none-_0	CONT_AWD_NNX16CG65C_8000_-NONE-_-NONE-	2018-06-04	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2022	2	8000_-NONE-_80NSSC20C0048_P00006_-NONE-_0	CONT_AWD_80NSSC20C0048_8000_-NONE-_-NONE-	2022-02-09	8000	AR11	Space Systems	NULL	DCA	No Competition (Only One Source Exception)	No competition	N	FFP	Medium <1B	X	USA	NV	USA	NV	USA	C	N	J	0	AR11		541715	NULL	671157	SIERRA NEVADA	1	0.0000	0.0000	0.0000	1
2004	NULL	8000_-NONE-_NNL04AA01P_0_-NONE-_0	CONT_AWD_NNL04AA01P_8000_-NONE-_-NONE-	2003-10-01	8000	AR11	Space Systems	NULL	PO	No Competition (Unlabeled Exception)	No competition	N	FFP	Medium >1B	X	USA	TX	USA	TX	USA		N	J	0	AR11		611310	NULL	675297	UNIVERSITY OF TEXAS	1	46850.0000	46850.0000	46850.0000	1
2018	NULL	8000_-none-_GSFC0199307DNAS532314_248_-none-_0	CONT_AWD_GSFC0199307DNAS532314_8000_-NONE-_-NONE-	2018-08-28	8000	AR35	Space Systems	NULL	DCA	Competition with single offer	One Offer	N	Other CB	Large: Big 5	X	USA	CA	USA	CA	USA	C	N	R	0	AR35		334511	NULL	665531	NORTHROP GRUMMAN	1	600000.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX10CB71C_6_-none-_0	CONT_AWD_NNX10CB71C_8000_-NONE-_-NONE-	2011-07-20	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small		USA	FL	USA	FL	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	156688.0000	0.0000	0.0000	1
2008	NULL	8000_-NONE-_NNC04UH10P_1_-NONE-_0	CONT_AWD_NNC04UH10P_8000_-NONE-_-NONE-	2008-04-14	8000	AR11	Space Systems	NULL	PO	No Competition (Other Exception)	No competition	N	FFP	Medium <1B	X	USA	OH	USA	OH	USA		N	J	0	AR11			NULL	NULL	NULL	0	-850.0000	-850.0000	-850.0000	1
2011	NULL	8000_-none-_NNX10CB31C_7_-none-_0	CONT_AWD_NNX10CB31C_8000_-NONE-_-NONE-	2011-05-20	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small	X	USA	AZ	USA	AZ	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	25000.0000	0.0000	0.0000	1
2021	NULL	8000_-NONE-_80JSC020C0015_P00005_-NONE-_0	CONT_AWD_80JSC020C0015_8000_-NONE-_-NONE-	2021-07-01	8000	AR12	Space Systems	NULL	DCA	Competition with single offer	One Offer	Y	FFP	Small	X	USA	CA	USA	CA	USA	C	Y	J	0	AR12		541715	NULL	NULL	NULL	0	199851.5800	0.0000	0.0000	1
2022	2	8000_-NONE-_80NSSC18C0088_P00006_-NONE-_0	CONT_AWD_80NSSC18C0088_8000_-NONE-_-NONE-	2022-03-08	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	Y	FFP	Small	X	USA	CA	USA	CA	USA	C	Y	J	0	AR11		541715	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2010	NULL	8000_-none-_NNC10CA13C_0_-none-_0	CONT_AWD_NNC10CA13C_8000_-NONE-_-NONE-	2010-03-10	8000	AR12	Space Systems	NULL	DCA	Competition with single offer	One Offer	Y	FFP	Small	X	USA	OH	USA	OH	USA	C	Y	J	0	AR12		541712	NULL	672536	SUNPOWER	1	300000.0000	300000.0000	300000.0000	1
2016	NULL	8000_-none-_NNC15CA15C_3_-none-_0	CONT_AWD_NNC15CA15C_8000_-NONE-_-NONE-	2016-02-25	8000	AR34	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	10-24 Offers	N	Other CB	Large	X	USA	UT	USA	UT	USA	C	N	U	0	AR34		541712	NULL	1155131	Orbital ATK	1	70000.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNL10AA19C_1_-none-_0	CONT_AWD_NNL10AA19C_8000_-NONE-_-NONE-	2011-06-03	8000	AR11	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	5-9 Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	136458.0000	136458.0000	136458.0000	1
2011	NULL	8000_-none-_NNX09CA46C_8_-none-_0	CONT_AWD_NNX09CA46C_8000_-NONE-_-NONE-	2011-02-09	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small		USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	53467.5000	0.0000	0.0000	1
2021	NULL	8000_-NONE-_80NSSC20C0558_P00001_-NONE-_0	CONT_AWD_80NSSC20C0558_8000_-NONE-_-NONE-	2021-02-24	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	VA	USA	VA	USA	C	N	J	0	AR11		541715	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2007	NULL	8000_-NONE-_NNA06CA55C_5_-NONE-_0	CONT_AWD_NNA06CA55C_8000_-NONE-_-NONE-	2007-01-10	8000	AR11	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	100+ Offers	N	FFP	Small	X	USA	NJ	USA	NJ	USA		N	J	0	AR11		541710	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2004	NULL	8000_-NONE-_GSFC0200104DNAS501089_18_-NONE-_0	CONT_AWD_GSFC0200104DNAS501089_8000_-NONE-_-NONE-	2003-10-01	8000	AR35	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	Two Offers	N	Other CB	Large: Big 5	X	USA	CA	USA	CA	USA	C	N	R	0	AR35		541710	NULL	665531	NORTHROP GRUMMAN	1	2566046.0000	16400000.0000	16400000.0000	1
2013	NULL	8000_-none-_NNX11CA02C_5_-none-_0	CONT_AWD_NNX11CA02C_8000_-NONE-_-NONE-	2012-11-28	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	226590.0000	0.0000	0.0000	1
2015	NULL	8000_-none-_NNX15CM28P_0_-none-_0	CONT_AWD_NNX15CM28P_8000_-NONE-_-NONE-	2015-06-04	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	OH	USA	OH	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	124991.0000	0.0000	0.0000	1
2023	3	8000_-NONE-_NNJ06TA25C_624_-NONE-_0	CONT_AWD_NNJ06TA25C_8000_-NONE-_-NONE-	2023-06-29	8000	AR33	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	Two Offers	N	Other CB	Large: Big 5	X	USA	CO	USA	CO	USA	C	N	R	0	AR33		541710	NULL	659846	LOCKHEED MARTIN	1	0.0000	0.0000	0.0000	1
2017	NULL	8000_-none-_NNX15CL84P_00001A_-none-_0	CONT_AWD_NNX15CL84P_8000_-NONE-_-NONE-	2017-01-04	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	-44739.3281	0.0000	0.0000	1
2017	NULL	8000_-none-_NNX17CL85P_0_-none-_0	CONT_AWD_NNX17CL85P_8000_-NONE-_-NONE-	2017-06-09	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	FL	USA	FL	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	114138.0000	114138.0000	114138.0000	1
2002	NULL	8000_-NONE-_ARC00200101DNAS201015_1_-NONE-_0	CONT_AWD_ARC00200101DNAS201015_8000_-NONE-_-NONE-	2001-12-15	8000	AR12	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	25-99 Offers	N	FFP	Small	X	USA	CA	USA	CA	USA		N	J	0	AR12		541710	NULL	NULL	NULL	0	22000.0000	0.0000	0.0000	1
2021	NULL	8000_-none-_80NSSC17C0070_P00005_-none-_0	CONT_AWD_80NSSC17C0070_8000_-NONE-_-NONE-	2021-03-05	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	0.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX11CE63P_2_-none-_0	CONT_AWD_NNX11CE63P_8000_-NONE-_-NONE-	2011-04-06	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	MA	USA	MA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	12501.0000	0.0000	0.0000	1
2004	NULL	8000_-NONE-_ARC00200209DNAS202093_7_-NONE-_0	CONT_AWD_ARC00200209DNAS202093_8000_-NONE-_-NONE-	2003-10-01	8000	AR32	Space Systems	NULL	DCA	Full Competition (Multiple Offers)	25-99 Offers	N	FFP	Small	X	USA	MD	USA	MD	USA		N	J	0	AR32		541710	NULL	NULL	NULL	0	61250.0000	0.0000	0.0000	1
2021	NULL	8000_-none-_80NSSC18C0040_P00005_-none-_0	CONT_AWD_80NSSC18C0040_8000_-NONE-_-NONE-	2021-03-03	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	Y	FFP	Small	X	USA	IL	USA	IL	USA	C	Y	J	0	AR11		541715	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2011	NULL	8000_-none-_NNX11CI12P_4_-none-_0	CONT_AWD_NNX11CI12P_8000_-NONE-_-NONE-	2011-07-18	8000	AR11	Space Systems	NULL	PO	Limited Competition with multiple offers	3-4 Offers	N	FFP	Small		USA	VA	USA	VA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	40000.0000	0.0000	0.0000	1
2020	NULL	8000_-none-_80NSSC18C0074_P00004_-none-_0	CONT_AWD_80NSSC18C0074_8000_-NONE-_-NONE-	2020-06-03	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	Y	FFP	Small	X	USA	MO	USA	MO	USA	C	Y	J	0	AR11		541713	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2021	NULL	8000_-none-_80NSSC19C0149_P00002_-none-_0	CONT_AWD_80NSSC19C0149_8000_-NONE-_-NONE-	2020-12-29	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	CA	USA	CA	USA	C	N	J	0	AR11		541715	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2018	NULL	8900_-none-_DENE0000687_16_-none-_0	CONT_AWD_DENE0000687_8900_-NONE-_-NONE-	2018-05-31	8900	AR13	Space Systems	NULL	DCA	No Competition (Only One Source Exception)	No competition	N	Other CB	Medium >1B	X	USA	CA	USA	CA	USA	C	N	U	0	AR13		541330	NULL	1191209	AEROJET ROCKETDYNE HOLDINGS	1	0.0000	0.0000	0.0000	1
2005	NULL	8000_-NONE-_NNL04AJ02P_1_-NONE-_0	CONT_AWD_NNL04AJ02P_8000_-NONE-_-NONE-	2005-06-21	8000	AR11	Space Systems	NULL	PO	Full Competition (Multiple Offers)	3-4 Offers	N	FFP	Small	X	USA	TX	USA	TX	USA		N	J	0	AR11		541511	NULL	NULL	NULL	0	-5450.0000	-5450.0000	-5450.0000	1
2011	NULL	8000_-none-_NNX10CA56C_6_-none-_0	CONT_AWD_NNX10CA56C_8000_-NONE-_-NONE-	2011-04-12	8000	AR11	Space Systems	NULL	DCA	Competition with single offer	One Offer	N	FFP	Small		USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	18750.0000	0.0000	0.0000	1
2013	NULL	8000_-none-_NNX11CC61C_8_-none-_0	CONT_AWD_NNX11CC61C_8000_-NONE-_-NONE-	2012-12-17	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	Two Offers	N	FFP	Small	X	USA	IL	USA	IL	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
2015	NULL	8000_-none-_NNX15CJ01C_0_-none-_0	CONT_AWD_NNX15CJ01C_8000_-NONE-_-NONE-	2015-02-24	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small	X	USA	TX	USA	TX	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	1	249975.5156	0.0000	0.0000	1
