assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation.x,total_obligated_amount.x,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID.19_supplementals_for_overall_award,obligated_amount_from_COVID.19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,Funding_Agency_Name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date,USAspending_file_name,federal_action_obligation.y,total_obligated_amount.y,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space Technology,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech,AnyTag
7300_11E7330788600004_11E73307886000042010OCT795_59.016_-NONE-,ASST_NON_11E7330788600004_7300,11E7330788600004,NA,11E73307886000042010OCT795,SAI NOT AVAILABLE,385000,385000,NA,NA,165000,165000,0,0,0,0,NA,NA,NA,NA,NA,2010-10-27,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZWFPXYMENPW8,165103875,"PSE CONTRACTING, LLC",PSE CONTRACTING  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,SAN ANTONIO,48029,BEXAR,48,TX,TEXAS,78220,0000,TX-28,TX-35,NA,NA,NA,NA,USA,UNITED STATES,48**029,SAN ANTONIO,48029,BEXAR,48,TEXAS,782200000,TX-28,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,REMODELING FOR CLINICAL & SUPPORT SPACE UFHC-NORTH,REMODELING FOR CLINICAL & SUPPORT SPACE UFHC-NORTH,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E7330788600004_7300/,2010-12-03,FY2011_073_Assistance_Full_20230908_1.csv,385000,385000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E7317186780003_11E73171867800032010OCT790_59.016_-NONE-,ASST_NON_11E7317186780003_7300,11E7317186780003,NA,11E73171867800032010OCT790,SAI NOT AVAILABLE,108000,108000,NA,NA,12000,12000,0,0,0,0,NA,NA,NA,NA,NA,2010-10-25,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALTAMAR ENTERPRISES  INC.,ALTAMAR ENTERPRISES  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,CARLISLE,42041,CUMBERLAND,42,PA,PENNSYLVANIA,17015,0000,PA-14,PA-10,NA,NA,NA,NA,USA,UNITED STATES,42**003,PITTSBURGH,42003,ALLEGHENY,42,PENNSYLVANIA,152220000,PA-14,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,BUREAU OF ALCOHOL TOBACCO  FIREARMS AND EXPLOSIVES- EXPANSION OFFICE SPACE IN THE WILLIAM S. MOORHEAD FEDERAL BUILDING,BUREAU OF ALCOHOL TOBACCO  FIREARMS AND EXPLOSIVES- EXPANSION OFFICE SPACE IN THE WILLIAM S. MOORHEAD FEDERAL BUILDING,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E7317186780003_7300/,2010-12-03,FY2011_073_Assistance_Full_20230908_1.csv,108000,108000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E2084391890003_11E20843918900032010OCT233_59.016_-NONE-,ASST_NON_11E2084391890003_7300,11E2084391890003,NA,11E20843918900032010OCT233,SAI NOT AVAILABLE,57252,57252,NA,NA,24537,24537,0,0,0,0,NA,NA,NA,NA,NA,2010-10-12,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YJGTUP1W3JX9,781052746,"PONCIANO CONSTRUCTION, INC.",PONCIANO CONSTRUCTION  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,SANTEE,06073,SAN DIEGO,06,CA,CALIFORNIA,92071,0000,CA-52,CA-48,NA,NA,NA,NA,USA,UNITED STATES,06**073,SANTEE,06073,SAN DIEGO,06,CALIFORNIA,920710000,CA-52,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,SPACE ALTERATION FOR U.S. DISTRICT COURT EMPLOYEE'S LUNCHROOM,SPACE ALTERATION FOR U.S. DISTRICT COURT EMPLOYEE'S LUNCHROOM,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E2084391890003_7300/,2010-12-03,FY2011_073_Assistance_Full_20230908_1.csv,57252,57252,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E2715240380023_12E27152403800232012AUG757_59.016_-NONE-,ASST_NON_12E2715240380023_7300,12E2715240380023,NA,12E27152403800232012AUG757,SAI NOT AVAILABLE,-160000,0,NA,NA,-40000,0,0,0,0,0,NA,NA,NA,NA,NA,2012-08-15,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YZRQWPLBE7X1,848544219,CPI OF THE MIDWEST INC,"CPI OF THE MIDWEST, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,ROCK ISLAND,17161,ROCK ISLAND,17,IL,ILLINOIS,61201,0000,IL-17,IL-17,NA,NA,NA,NA,USA,UNITED STATES,17**161,MOLINE,17161,ROCK ISLAND,17,ILLINOIS,612650000,IL-17,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,DEVELOPMENT OF PASSENGER TERMINAL INTERIOR REMODEL OF LARGE EMPTY SPACE,DEVELOPMENT OF PASSENGER TERMINAL INTERIOR REMODEL OF LARGE EMPTY SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E2715240380023_7300/,2012-09-17,FY2012_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E2715240380023_12E27152403800232012AUG831_59.016_-NONE-,ASST_NON_12E2715240380023_7300,12E2715240380023,NA,12E27152403800232012AUG757,SAI NOT AVAILABLE,160000,0,NA,NA,40000,0,0,0,0,0,NA,NA,NA,NA,NA,2012-08-08,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YZRQWPLBE7X1,848544219,CPI OF THE MIDWEST INC,"CPI OF THE MIDWEST, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,ROCK ISLAND,17161,ROCK ISLAND,17,IL,ILLINOIS,61201,0000,IL-17,IL-17,NA,NA,NA,NA,USA,UNITED STATES,17**161,MOLINE,17161,ROCK ISLAND,17,ILLINOIS,612650000,IL-17,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,DEVELOPMENT OF PASSENGER TERMINAL INTERIOR REMODEL OF LARGE EMPTY SPACE,DEVELOPMENT OF PASSENGER TERMINAL INTERIOR REMODEL OF LARGE EMPTY SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E2715240380023_7300/,2012-09-17,FY2012_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E4533572750003_12E45335727500032012JUL607_59.016_-NONE-,ASST_NON_12E4533572750003_7300,12E4533572750003,NA,12E45335727500032012JUL607,SAI NOT AVAILABLE,36900,36900,NA,NA,4100,4100,0,0,0,0,NA,NA,NA,NA,NA,2012-07-03,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKPEMNW1TEN8,968059290,ANTHEM BUILDERS INC.,"ANTHEM BUILDERS, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,GRANITE BAY,06061,PLACER,06,CA,CALIFORNIA,95746,0000,CA-07,CA-03,NA,NA,NA,NA,USA,UNITED STATES,06**095,VALLEJO,06095,SOLANO,06,CALIFORNIA,945920000,CA-07,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,RENOVATION OF EXISTING OFFICE SPACE,RENOVATION OF EXISTING OFFICE SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E4533572750003_7300/,2012-08-15,FY2012_073_Assistance_Full_20230908_1.csv,36900,36900,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E1134784980001_12E11347849800012012JUN85_59.016_-NONE-,ASST_NON_12E1134784980001_7300,12E1134784980001,NA,12E11347849800012012JUN85,SAI NOT AVAILABLE,-420000,0,NA,NA,-180000,0,0,0,0,0,NA,NA,NA,NA,NA,2012-06-19,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VL4GCMMRKE99,083456306,"DAVRIAL ENTERPRISES, INC.","DAVRIAL ENTERPRISES, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,HUNTINGTON STATION,36103,SUFFOLK,36,NY,NEW YORK,11746,0000,NY-02,NY-01,NA,NA,NA,NA,USA,UNITED STATES,36**103,NA,36103,SUFFOLK,36,NEW YORK,000000000,NY-02,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,LIBRARY EXPANSION SWING SPACE,LIBRARY EXPANSION SWING SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E1134784980001_7300/,2012-07-16,FY2012_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E1134784980001_12E11347849800012012JUN813_59.016_-NONE-,ASST_NON_12E1134784980001_7300,12E1134784980001,NA,12E11347849800012012JUN85,SAI NOT AVAILABLE,420000,0,NA,NA,180000,0,0,0,0,0,NA,NA,NA,NA,NA,2012-06-19,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VL4GCMMRKE99,083456306,"DAVRIAL ENTERPRISES, INC.","DAVRIAL ENTERPRISES, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,HUNTINGTON STATION,36103,SUFFOLK,36,NY,NEW YORK,11746,0000,NY-02,NY-01,NA,NA,NA,NA,USA,UNITED STATES,36**103,NA,36103,SUFFOLK,36,NEW YORK,000000000,NY-02,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,LIBRARY EXPANSION SWING SPACE,LIBRARY EXPANSION SWING SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E1134784980001_7300/,2012-07-16,FY2012_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E3836944700011_12E38369447000112012JUN818_59.016_-NONE-,ASST_NON_12E3836944700011_7300,12E3836944700011,NA,12E38369447000112012JUN818,SAI NOT AVAILABLE,80100,80100,NA,NA,8900,8900,0,0,0,0,NA,NA,NA,NA,NA,2012-06-14,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DBNHWEJNBRM7,780378852,DH ORTEGA CONSTRUCTION LLC,"DH ORTEGA CONSTRUCTION, L.L.C. DBA DANO BUILD",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,SHOW LOW,04017,NAVAJO,04,AZ,ARIZONA,85901,0000,AZ-05,AZ-02,NA,NA,NA,NA,USA,UNITED STATES,41**005,MOLALLA,41005,CLACKAMAS,41,OREGON,970380000,OR-05,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,L12PS00621 MOLALLA RIVER RECREATION SITES SPACE REMODEL,L12PS00621 MOLALLA RIVER RECREATION SITES SPACE REMODEL,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E3836944700011_7300/,2012-07-16,FY2012_073_Assistance_Full_20230908_1.csv,80100,80100,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E9548690000016_12E95486900000162012MAY1157_59.016_-NONE-,ASST_NON_12E9548690000016_7300,12E9548690000016,NA,12E95486900000162012MAY1157,SAI NOT AVAILABLE,32000,32000,NA,NA,8000,8000,0,0,0,0,NA,NA,NA,NA,NA,2012-05-30,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,081183738,PRIME AXIS GENERAL BUILDER INC,PRIME AXIS GENERAL BUILDER INC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,RESEDA,06037,LOS ANGELES,06,CA,CALIFORNIA,91335,0000,CA-28,CA-90,NA,NA,NA,NA,USA,UNITED STATES,06**037,VAN NUYS,06037,LOS ANGELES,06,CALIFORNIA,914010000,CA-28,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,NORTH GYM HEALTH SERVICES SWING SPACE,NORTH GYM HEALTH SERVICES SWING SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E9548690000016_7300/,2012-06-14,FY2012_073_Assistance_Full_20230908_1.csv,32000,32000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E9000821330030_12E90008213300302012MAY275_59.016_-NONE-,ASST_NON_12E9000821330030_7300,12E9000821330030,NA,12E90008213300302012MAY275,SAI NOT AVAILABLE,24750,24750,NA,NA,2750,2750,0,0,0,0,NA,NA,NA,NA,NA,2012-05-29,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MJL1CE2YFNC8,069560770,MONET CONSTRUCTION INC.,"MONET CONSTRUCTION, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,SYLMAR,06037,LOS ANGELES,06,CA,CALIFORNIA,91342,0000,CA-28,CA-29,NA,NA,NA,NA,USA,UNITED STATES,06**037,VAN NUYS,06037,LOS ANGELES,06,CALIFORNIA,914010000,CA-28,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,REMODEL OF NORTH GYM HEALTH SERVICES SWING SPACE,REMODEL OF NORTH GYM HEALTH SERVICES SWING SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E9000821330030_7300/,2012-06-14,FY2012_073_Assistance_Full_20230908_1.csv,24750,24750,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E4316064040001_12E43160640400012012MAY759_59.016_-NONE-,ASST_NON_12E4316064040001_7300,12E4316064040001,NA,12E43160640400012012MAY759,SAI NOT AVAILABLE,-20000,0,NA,NA,-5000,0,0,0,0,0,NA,NA,NA,NA,NA,2012-05-22,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DXM2BELV3ZF9,109241695,"GLASCOCK CONSTRUCTION, INC.","GLASCOCK CONSTRUCTION, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,OSAGE BEACH,29029,CAMDEN,29,MO,MISSOURI,65065,0000,MO-07,MO-03,NA,NA,NA,NA,USA,UNITED STATES,29**109,MOUNT VERNON,29109,LAWRENCE,29,MISSOURI,657120000,MO-07,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,NEW SOLARIUM & THERAPEUTIC SPACE ADDITIONS MT. VERNON VETERANS HOME PROJECT #41212-01/FAI 29-32,NEW SOLARIUM & THERAPEUTIC SPACE ADDITIONS MT. VERNON VETERANS HOME PROJECT #41212-01/FAI 29-32,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E4316064040001_7300/,2012-06-14,FY2012_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E4316064040001_12E43160640400012012MAY680_59.016_-NONE-,ASST_NON_12E4316064040001_7300,12E4316064040001,NA,12E43160640400012012MAY759,SAI NOT AVAILABLE,3000,0,NA,NA,750,0,0,0,0,0,NA,NA,NA,NA,NA,2012-05-17,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DXM2BELV3ZF9,109241695,"GLASCOCK CONSTRUCTION, INC.","GLASCOCK CONSTRUCTION, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,OSAGE BEACH,29029,CAMDEN,29,MO,MISSOURI,65065,0000,MO-07,MO-03,NA,NA,NA,NA,USA,UNITED STATES,29**109,MOUNT VERNON,29109,LAWRENCE,29,MISSOURI,657120000,MO-07,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,NEW SOLARIUM & THERAPEUTIC SPACE ADDITIONS MT. VERNON VETERANS HOME PROJECT #41212-01/FAI 29-32,NEW SOLARIUM & THERAPEUTIC SPACE ADDITIONS MT. VERNON VETERANS HOME PROJECT #41212-01/FAI 29-32,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E4316064040001_7300/,2012-06-14,FY2012_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E4316064040001_12E43160640400012012MAY832_59.016_-NONE-,ASST_NON_12E4316064040001_7300,12E4316064040001,NA,12E43160640400012012MAY759,SAI NOT AVAILABLE,17000,0,NA,NA,4250,0,0,0,0,0,NA,NA,NA,NA,NA,2012-05-16,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DXM2BELV3ZF9,109241695,"GLASCOCK CONSTRUCTION, INC.","GLASCOCK CONSTRUCTION, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,OSAGE BEACH,29029,CAMDEN,29,MO,MISSOURI,65065,0000,MO-07,MO-03,NA,NA,NA,NA,USA,UNITED STATES,29**109,MOUNT VERNON,29109,LAWRENCE,29,MISSOURI,657120000,MO-07,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,NEW SOLARIUM & THERAPEUTIC SPACE ADDITIONS MT. VERNON VETERANS HOME PROJECT #41212-01/FAI 29-32,NEW SOLARIUM & THERAPEUTIC SPACE ADDITIONS MT. VERNON VETERANS HOME PROJECT #41212-01/FAI 29-32,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E4316064040001_7300/,2012-06-14,FY2012_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12E5217827940009_12E52178279400092012APR514_59.016_-NONE-,ASST_NON_12E5217827940009_7300,12E5217827940009,NA,12E52178279400092012APR514,SAI NOT AVAILABLE,35000,35000,NA,NA,15000,15000,0,0,0,0,NA,NA,NA,NA,NA,2012-04-27,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QPNKQLBFNUE1,013050648,PROGRESSIVE CONTRACTING CO INC,"PROGRESSIVE CONTRACTING CO., INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,OWINGS MILLS,24005,BALTIMORE,24,MD,MARYLAND,21117,0000,MD-03,MD-02,NA,NA,NA,NA,USA,UNITED STATES,24**005,NA,24005,BALTIMORE,24,MARYLAND,000000000,MD-03,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,CREATION OF ADDITIONAL OFFICE SPACE,CREATION OF ADDITIONAL OFFICE SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12E5217827940009_7300/,2012-05-16,FY2012_073_Assistance_Full_20230908_1.csv,35000,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12S5745631030008_12S57456310300082012APR387_59.016_-NONE-,ASST_NON_12S5745631030008_7300,12S5745631030008,NA,12S57456310300082012APR387,SAI NOT AVAILABLE,80000,80000,NA,NA,20000,20000,0,0,0,0,NA,NA,NA,NA,NA,2012-04-20,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CP6VEYHCK916,963190421,"COHO CONTRACTORS, LLC","COHO CONTRACTORS, LLC",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,WASILLA,02170,MATANUSKA-SUSITNA,02,AK,ALASKA,99654,0000,AK-01,AK-00,NA,NA,NA,NA,USA,UNITED STATES,02**170,PALMER,02170,MATANUSKA-SUSITNA,02,ALASKA,996450000,AK-01,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,"UAA MSC PARAMEDIC NURSING ADDITION: TWO SPECIALIZED CLASSROOMS, TWO OFFICES, WORK SPACE AND AMBULANCE SIMULATION BAY.","UAA MSC PARAMEDIC NURSING ADDITION: TWO SPECIALIZED CLASSROOMS, TWO OFFICES, WORK SPACE AND AMBULANCE SIMULATION BAY.",NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12S5745631030008_7300/,2012-05-16,FY2012_073_Assistance_Full_20230908_1.csv,80000,240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_12S5745631030008_12S57456310300082012APR645_59.016_-NONE-,ASST_NON_12S5745631030008_7300,12S5745631030008,NA,12S57456310300082012APR387,SAI NOT AVAILABLE,-80000,80000,NA,NA,-20000,20000,0,0,0,0,NA,NA,NA,NA,NA,2012-04-19,2012,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CP6VEYHCK916,963190421,"COHO CONTRACTORS, LLC","COHO CONTRACTORS, LLC",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,WASILLA,02170,MATANUSKA-SUSITNA,02,AK,ALASKA,99654,0000,AK-01,AK-00,NA,NA,NA,NA,USA,UNITED STATES,02**170,PALMER,02170,MATANUSKA-SUSITNA,02,ALASKA,996450000,AK-01,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,"UAA MSC PARAMEDIC NURSING ADDITION: TWO SPECIALIZED CLASSROOMS, TWO OFFICES, WORK SPACE AND AMBULANCE SIMULATION BAY.","UAA MSC PARAMEDIC NURSING ADDITION: TWO SPECIALIZED CLASSROOMS, TWO OFFICES, WORK SPACE AND AMBULANCE SIMULATION BAY.",NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_12S5745631030008_7300/,2012-05-16,FY2012_073_Assistance_Full_20230908_1.csv,80000,240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
