Description_of_Requirement,second,descrip_row_number
"NATIONAL INTEREST ACTION: COVID192020
THE PURPOSE OF OTA NO. 70T01021T7668N028 P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE AND OBLIGATE SUPPLEMENTAL FOR THE REIMBURSEMENT OF COVID-19 JANITORIAL CLEANING.",Second,2136
REIMBURSEMENT FOR COVID19 SANITIZATION ACTIVITIES AT GEORGE BUSH INTERCONTINENTAL AIRPORT (IAH),Second,2137
CONTAMINATED HUMAN REMAINS TRANSFER CASE PRODUCTION. FOLLOW ON OTHER TRANSACTION AUTHORITY AGREEMENT FOR THE PURCHASE OF UP TO 1500 SYSTEMS AND TRAINING MATERIALS.,Second,2138
EXERCISE SPECIFIED OPTION ONE CLINS FOR CONTAMINATED HUMAN REMAINS TRANSFER CASE PRODUCTION. FOLLOW ON OTHER TRANSACTION AUTHORITY AGREEMENT.,Second,2139
C3 AI-T1-1YR,Second,2140
TAMR UNIFY SOFTWARE,Second,2141
THIS MODIFICATION EXTENDS THE PERIOD OF PERFORMANCE AND FUNDS THE REIMBURSEMENT OF ELECTRICAL AND UTILITY COSTS AT TULSA INTERNATIONAL AIRPORT.,Second,2142
CONTAMINATED HUMAN REMAINS TRANSFER PRODUCTION.,Second,2143
CONTAMINATED HUMAN REMAINS TRANSFER CASE PRODUCTION,Second,2144
CONTAMINATED HUMAN REMAINS TRANSFER KITS,Second,2145
PRODUCTION CONTAMINATED HUMAN REMAINS TRANSFER CASES.,Second,2146
CYBERCOM - ANALYST ON DEMAND OY1,Second,2147
"PRODUCTION ORDER TO IDENTIFY, CORRELATE, AND VALIDATE MISSION FLIGHT DATA TO ENHANCE OVERALL FLIGHT AND AIRCRAFT READINESS FOR THE UNITED STATES SPACE FORCE",Second,2148
"PRECISION AZIMUTH MEASUREMENT 21 (PAM 21) UNITS WITH DOVETAIL MOUNT CAPABLE OF INTERFACING WITH US 120MM, 81MM, AND 60MM MORTAR WEAPON SYSTEM DOVETAIL MOUNTS.",Second,2149
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE SECTION 889 LANGUAGE IN THE AGREEMENT.,Second,2150
THE PURPOSE MODIFICATION P00002 IS TO UPDATE ADMINISTRATIVE INFORMATION AND UPDATE THE UNIT OF ISSUE UNDER CLIN 0001.,Second,2151
COMMAND AND CONTROL OF THE INFORMATION ENVIRONMENT (C21E),Second,2152
COMMAND AND CONTROL OF INFORMATION ENVIRONMENT (C2IE),Second,2153
COMMAND OF THE INFORMATION ENVIRONMENT,Second,2154
M123A1 ELECTRIC PRIMERS,Second,2155
PRODUCTION OTHER TRANSACTION ORDER FOR COUNTER UNMANNED AERIAL SYSTEMS,Second,2156
COMMAND AND CONTROL OF THE INFORMATION ENVIRONMENT (C2IE); OPTIONAL CLINS,Second,2157
COUNTER UNMANNED AERIAL SYSTEMS,Second,2158
"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OY1, APPLY INCREMENTAL FUNDING, AND CONSOLIDATE SLINS.",Second,2159
INCORPORATE INCREMENTAL FUNDING FOR OPTION PERIOD 1,Second,2160
INCLUSION OF EO14042  INCORPORATE COVID DFAR CLAUSE FOR AAT,Second,2161
UNITED STATES MARINE CORPS PROGRAM MANAGER GROUND BASE AIR DEFENSE,Second,2162
PRODUCTION OTHER TRANSACTION ORDER FOR COUNTER UNMANNED AERIAL SYSTEMS FOR UNITED STATES MARINE CORP (USMC) PROGRAM MANAGEMENT GROUND BASED AIR DEFENSE (PMGBAD).,Second,2163
COUNTER UNMANNED AERIAL SYSTEMS FOR MARINE CORPS WARFIGHTING LAB - WIDE-AREA INFRARED SYSTEM FOR PERSISTENT SURVEILLANCE DEMO AND INTEGRATION,Second,2164
THREAT EMULATION PRODUCTION AGREEMENT,Second,2165
OBLIGATE THE REMAINING FUNDING INCREMENT FOR THREAT EMULATION LOW RATE INITIAL PRODUCTION (LRIP).,Second,2166
INCLUSION OF EO14042 OBLIGATE INITIAL FUNDING INCREMENT FOR FULL RATE PRODUCTION,Second,2167
THE PURPOSE OF THIS MODIFICATION P00002 IS TO UNILATERALLY AWARD REIMBURSABLE ELECTRICAL FUNDING AND EXTEND THE PERIOD OF PERFORMANCE AT BTR.,Second,2168
FUNDING FOR ELECTRICAL SERVICES AND EXTENDING THE PERIOD OF PERFORMANCE FOR ANOTHER YEAR AT CID.,Second,2169
PROVIDING FUNDING FOR ELECTRICAL SERVICES AND EXTEND THE PERIOD OF PERFORMANCE FOR ANOTHER YEAR UNDER THE OTA.,Second,2170
THE PURPOSE OF MODIFICATION P00002 IS TO UNILATERALLY AWARD REIMBURSABLE FUNDING AND EXTEND THE PERIOD OF PERFORMANCE AT CLE.,Second,2171
IWRP PROCESS IMPROVEMENT,Second,2172
COUNTER UNMANNED AERIAL SYSTEMS FOR UNITED STATES CUSTOMS AND BOARDER PATROL,Second,2173
CYBER ASSET INVENTORY MANAGEMENT PRODUCTION OTA,Second,2174
EO14042,Second,2175
THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND ARMY VANTAGE OPTION YEAR 2.,Second,2176
"THE PURPOSE OF P00002 MODIFICATION IS TO EXERCISE OPTION YEAR 2 CLIN 2001 FOR TSA FIXED ELECTRICAL COST AND INCREASE THE AMOUNT FOR CLINS 2001, 3001 AND 4001 DUE TO INCREASE IN ANNUAL COST OF $2,220.48 EACH.",Second,2177
"SIF INFRASTRUCTURE, PM, CYBERSECURITY,",Second,2178
"COVID-19 USING EXISTING FUNDS IN THE AMOUNT OF $1,535,161.36 TO WORK WITH PARTNERS ACROSS THE DEFENSE INDUSTRIAL BASE TO PROVIDE A SITUATIONAL AWARENESS/SITUATIONAL UNDERSTANDING TOOL TO ASSIST THE JOINT FORCE LAND COMPONENT COMMAND, ARMY NORTH.",Second,2179
"COVID-19 IN THE AMOUNT OF $4,913,878.76 TO WORK WITH PARTNERS ACROSS THE DEFENSE INDUSTRIAL BASE TO PROVIDE A SITUATIONAL AWARENESS/SITUATIONAL UNDERSTANDING TOOLS.",Second,2180
"COVID-19: $6,134,159.00. EFFORTS ARE A CONTINUATION OF CRISIS RESPONSE SITUATIONAL AWARENESS/SITUATIONAL UNDERSTANDING TEAM AWARENESS LEADERS KIT (CRSSTALK)",Second,2181
RHOMBUS GARDIAN,Second,2182
CONTAMINATED HUMAN REMAINS TRANSFER CASES,Second,2183
PRODUCTION OTHER TRANSACTION AGREEMENT FOR COUNTER UNMANNED AERIAL SYSTEMS,Second,2184
MDA C3 PRODUCTION-OTHER TRANSACTION ORDERING GUIDE,Second,2185
"STANDALONE/NETWORKED, COMPACT, LOW POWER, IMAGE-FUSED MULTI-SPECTRUM SENSOR SYSTEM FOR TARGET ACQUISITION, TRACKING, AND FIRE CONTROL.  THIS ACTION OBLIGATED $497,998.69 OF INCREMENTAL FUNDING.",Second,2186
LASER STEERING AND AUTOMATED TARGET TRACKING MODULE,Second,2187
SUPPLEMENTAL AGREEMENT TO EXTEND DELIVERY DATE.  ALL PREVIOUS REPORTS FOR THIS EFFORT WERE COMPLETED IN ACCORDANCE WITH CAOT GUIDANCE.,Second,2188
FUNDING ACTION,Second,2189
VERTICAL LIFT OTA,Second,2190
"ADDITIONAL SUPPORT FOR THE US NAVAL AIR WARFARE CENTER WEAPONS DIVISION, FOR STIMULATION OF ECONOMIC DEVELOPMENT IN THE CHINA LAKE, CA COMMUNITY.",Second,2191
TECHNOLOGY ACCELERATION SUPPORT TO CHINA LAKE.,Second,2192
"A STANDALONE/NETWORKED, COMPACT, LOW POWER, IMAGE-FUSED MULTI-SPECTRUM SENSOR SYSTEM FOR TARGET ACQUISITION, TRACKING, AND FIRE CONTROL.",Second,2193
THE OBJECTIVE OF THE PROGRAM IS TO DEVELOP A LASER STEERING AND AUTOMATED TARGET TRACKING MODULE.,Second,2194
"THE CONTRACTOR SHALL WORK TO PROVIDE MCWL WITH ACCESS TO A BROADER SPECTRUM OF INNOVATIVE AND NON-TRADITIONAL TECHNOLOGY PROVIDERS THAN ITS CURRENT MECHANISMS AND RESOURCES CAN PROVIDE.  IN PARTICULAR, THE CONTRACTOR SHALL ASSIST MCWL WITH THE IDENTIFICATION AND EVALUATION OF PROMISING TECHNOLOGY ALTERNATIVES WITH WHICH TO SUPPORT ITS EXPERIMENTATION EFFORTS.",Second,2195
"PURPOSE OF THE MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE FOR ""A STANDALONE/NETWORKED COMPACT, LOW POWER, IMAGE-FUSED, MULTI-SPECTRUM SENSOR SYSTEM FOR TARGET ACQUISITION, TRACKING, AND FIRE CONTROL"" AT NO COST TO THE GOVERNMENT.",Second,2196
"STANDALONE/NETWORKED, COMPACT, LOW POWER, IMAGE-FUSED MULTI-SPECTRUM SENSOR SYSTEM FOR TARGET ACQUISITION, TRACKING, AND FIRE CONTROL.",Second,2197
"STANDALONE/NETWORKED COMPACT, LOW POWER, IMAGE-FUSED MULTI-SPECTRUM SENSOR SYSTEM FOR TARGET ACQUISITION, TRACKING, AND FIRE CONTROL",Second,2198
NO COST EXTENSION TO THE DEVELOPMENT OF A LASER STEERING AND AUTOMATED TARGET TRACKING MODULE.,Second,2199
"ASSESSMENT OF THE COMMERCIALIZATION POTENTIAL OF THE NAWCWD EXTANT AND EMERGING INTELLECTUAL PROPERTY PORTFOLIO, STIMULATING AND EDUCATING NAWCWD SCIENTISTS AND ENGINEERS TO DEVELOP DUAL USE TECHNOLOGY PARTNERING IDEAS, NETWORKING, AND PARTNERSHIP FORMATION ACTIVITIES.",Second,2200
"GENERAL MOTORS COMPANY, THROUGH ITS FUEL CELL ACTIVITIES (FCA), A UNIT OF GENERAL MOTORS COMPANY, SHALL PROVIDE TO THE GOVERNMENT FOR DEMONSTRATION AND EVALUATION PURPOSES, TEN NEXT-GENERATION NON-TACTICAL FUEL CELL PROPOULSION VEHICLES FOR A PERIOD OF 05APR2011 THROUGH 30APR2012.  THE PURPOSE OF THIS AGREEMENT IS TO ENABLE THE US MILITARY TO GAIN EXPERIENCE IN THE OPERATION OF A FUEL CELL POWERED SUV, USING DIRECT HYDROGEN FUEL.  GM WILL ALSO PROVIDE OPERATION, MAINTENANCE, AND TEST DATA OBTAINED DURING THE EVAULUATION.",Second,2201
"THIS EFFORT BUILDS UPON PREVIOUS NON-TRADITIONAL INSOURCING ACTIVITIES OF INSITECH, ARDEC AND THE JM&L LCMC UNDER OTHER TRANSACTIONS AGREEMENT W15QKN-04-9-0701, AND NEW TASKS TO PROMOTE TECHNOLOGY COLLABORATION WITH INDUSTRY (ESPECIALLY SMALL BUSINESSES), ACADEME, FEDERAL/STATE/LOCAL GOVERNMENT AND OTHER ORGANIZATIONS WHICH SUPPORT THE MISSION OF ARDEC AND/OR ITS DOD CUSTOMERS TO DEVELOP, SUPPORT AND SUSTAIN ADVANCED TECHNOLOGIES FOR THE WARFIGHTER.",Second,2202
ALL FUNDING IS BEING REMOVED DUE TO A MUTUAL DECISION BETWEEN THE CONTACTOR AND GOVERNMENT TO CANCEL THIS EFFORT.,Second,2203
ASSESSMENT OF NAWCAD INTELLECUTAL PROPERTY PORTFOLIO AND SUPPORT OF CRADA DEVELOPMENT TO INCREASE NAWCAD INVOVLEMENT IN R&D COLLABORATIONS.,Second,2204
"SUPPORT THE U.S NAVAL AIR WARFARE CENTER AIRCRAFT DIVISION (NAWCAD) IN THE DEVELOPING MEMORANDA OF UNDERSTANDING IAW THE NATIONAL FLIGHT ACADEMY REQUIREMENTS TO ESTABLISH A  CENTER OF INSPIRATION . INSITECH WILL AIDE IN MEETING THE PREREQUISITES TO QUALIFY FOR A CENTER OF INSPIRATION; WHICH INCLUDE EXISTENCE OF AN ESTABLISHED AVIATION MUSEUM, A WILLING COMMUNITY WHICH APPRECIATES THE SIGNIFICANCE OF APPLIED SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS (STEM) EDUCATION, AN INSTITUTE OF HIGHER LEARNING WITH TECHNICAL AND EDUCATIONAL EXPERTISE IN THE REALM OF STEM, AND A HOSPITABLE SCHOOL SYSTEM",Second,2205
SUPPORT THE TECHNICAL EXPLORATION EFFORTS OF THE MARINE CORP WARFIGHTING LABORATORY.  CONTRACTOR SHALL ASSIST MCWL WITH THE IDENTIFICATION AND EVALUATION OF PROMISING TECHNOLOGY ALTERNATIVES WITH WHICH TO SUPPORT ITS EXPERIMENTATION EFFORTS.,Second,2206
"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION YEAR 2 (AGREEMENT YEAR 5); AUTHORIZE PERFORMANCE TO CONTINUE THROUGH 30 JUNE 2012; UPDATE ARTICLE II, TERM AND TERMINATION; REALLOCATE FUNDS FROM RESEARCH TO PROGRAM ADMINISTRATION AND MANAGEMENT TO SUPPORT THE INITIATIVE IN AGREEMENT YEAR 5; AND UPDATE ATTACHMENT III, TOTAL PROGRAM FUNDING SUMMARY.",Second,2207
"THE PURPOSE OF THIS MODIFICATION IS TO ADD THE ATTACHED STATEMENT OF WORK MODIFICATION FOR NATIONAL INSTITUTE FOR HOMETOWN SECURITY (NIHS) KENTUCKY CRITICAL INFRASTRUCTURE (KCI) PROGRAM FEDTRAK PROJECT AND THE ATTACHED STATEMENT OF WORK MODIFICATION FOR NATIONAL INSTITUTE FOR HOMETOWN SECURITY (NIHS) TRACKING TECHNOLOGIES FOR MOTOR CARRIERS TRANSPORTING HIGHWAY SECURITY SENSITIVE MATERIAL (HSSM) PROJECT; ADD ADDITIONAL FUNDING OF $1,000,000.00 TO FULLY FUND THE FEDTRAK PROJECT EFFORT; AND ADD ADDITIONAL FUNDING OF $900,000.00 TO FULLY FUND THE HSSM PROJECT BASE EFFORT.

THE TOTAL OBLIGATED FOR PROGRAM ADMINISTRATION AND MANAGEMENT REMAINS UNCHANGED UNDER THIS ACTION AT $15,151,375.25 AND THE TOTAL OBLIGATED FOR RESEARCH REMAINS UNCHANGED UNDER THIS ACTION AT $50,761,624.75.

AS A RESULT OF THIS MODIFICATION, TOTAL FUNDING OBLIGATED UNDER THE AGREEMENT IS INCREASED BY $1,900,000.00, FROM $65,913,000.00 TO A NEW TOTAL OF $67,813,000.00.

THE COVER PAGE OF THE OTA (FUNDS OBLIGATED) IS HEREBY REVISED TO REFLECT THE FOLLOWING FUNDING ACTION: NEW FUNDING IN THE AMOUNT OF $1,900,000.00 IS HEREBY ADDED TO THE AGREEMENT, INCREASING THE TOTAL OBLIGATED FROM $65,913,000.00 TO A NEW TOTAL OF $67,813,000.00.

ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED",Second,2208
"THE PURPOSE OF THIS MODIFICATION IS TO ADD THE ATTACHED STATEMENT OF WORK AND PAYABLE MILESTONES FOR AGREEMENT YEAR 5, THE ATTACHED STATEMENT OF WORK MODIFICATION FOR NATIONAL INSTITUTE FOR HOMETOWN SECURITY (NIHS) KENTUCKY CRITICAL INFRASTRUCTURE (KCI) PROGRAM UNIFIED INCIDENT COMMAND AND DECISION SUPPORT (UICDS) PROJECT, AND THE ATTACHED DD FORM 254; AND ADD ADDITIONAL FUNDING OF $1,235,000.00 TO FULLY FUND THE UICDS PROJECT EFFORT.

THE TOTAL OBLIGATED FOR PROGRAM ADMINISTRATION AND MANAGEMENT REMAINS UNCHANGED UNDER THIS ACTION AT $15,151,375.25 AND THE TOTAL OBLIGATED FOR RESEARCH REMAINS UNCHANGED UNDER THIS ACTION AT $50,761,624.75.

AS A RESULT OF THIS MODIFICATION, TOTAL FUNDING OBLIGATED UNDER THE AGREEMENT IS INCREASED BY $1,235,000.00, FROM $67,813,000.00 TO A NEW TOTAL OF $69,048,000.00.

THE COVER PAGE OF THE OTA (FUNDS OBLIGATED) IS HEREBY REVISED TO REFLECT THE FOLLOWING FUNDING ACTION: NEW FUNDING IN THE AMOUNT OF $1,235,000.00 IS HEREBY ADDED TO THE AGREEMENT, INCREASING THE TOTAL OBLIGATED FROM $67,813,000.00 TO A NEW TOTAL OF $69,048,000.00.

ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",Second,2209
"UTILIZE NON-TRADITIONAL  TECHNOLOGY INSOURCING PROGRAM TO SUPPORT TECHNOLOGY EXPLORATION EFFORTS.  DEVELOPMENT OF ""REQUEST FOR IDEAS CAMPAIGN"" TO ACCESS BROADER SPECTRUM OF INNOVATIVE AND NON TRADITIONAL TECHNOLOGY PROVIDERS TO IDENTIFY AND EVALUATE PROMISING TECHNOLOGY ALTERNATIVES TO SUPPORT ODASA (R&T) TECHNOLOGY CHALLENGES.",Second,2210
THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE FUNDING TO CORRECT A LINE OF ACCOUNTING ERROR. ALL FUNDS ASSOCIATED WITH CLIN 0002AG ARE BEING REMOVED.  NO WORK WAS EVER PERFORMED.,Second,2211
MODIFICATION TO EXTEND THE PERIOD OF PERFORMANCE AT NO ADDITIONAL COST TO THE GOVERNMENT.,Second,2212
PURPOSE OF THIS MODIFICATION IS TO CORRECT AN ADMINISTRATIVE ERROR ON CLIN 0002AG.,Second,2213
THIS REPORT IS BEIGN RECREATED AS THE PREVIOS CAR CONTAINED AN ERROR.  THIS MODIFICATION WAS TO EXTEND THE PERIOD OF PERFORMANCE.,Second,2214
LICENSE TO OCCUPY AND USE SITE,Second,2215
THIS REPORT IS BEIGN RECREATED AND WAS PREVIOUSLY ADDRESSED USING THE CAOT PROCESS.,Second,2216
"CLOSEOUT MODIFICATION

THIS IS A UNILATERAL MODIFICATION TO CLOSEOUT THE REFERENCED OTHER TRANSACTION AGREEMENT (OTA) AND DEOBLIGATE THE $19,301.00 REMAINING FUNDS BALANCE.

THIS WAS A $34,569,727.00 FY05 OTA BETWEEN MICROFLUIDIC SYSTEMS AND THE DEPARTMENT OF HOMELAND SECURITY, SCIENCE&TECHNOLOGY DIRECTORATE TO SUPPORT THE DETECTION SYSTEMS FOR BIOLOGICAL AND CHEMICAL COUNTERMEASURES (DSBCC) PROJECT.  THE PERIOD OF PERFORMANCE EXPIRED ON SEPTEMBER 30,2010.  MICROFLUIDIC SYSTEMS PROVIDED A CONTRACTOR'S RELEASE (DHS FORM 700-3) DATED AUGUST 3, 2012 IS ATTACHED HERETO AND INCORPORATED BY REFERENCE VERIFYING FINAL BILLING OF $30,148,822.00.  THE S&T PROGRAM MANAGER VERIFIED ALL SERVICES WERE DELIVERED, ACCEPTED, INVOICED, PAID; AND THAT THE OTA COULD BE CLOSED.  THE REQUESTS FOR LESSONS LEARNED WERE SENT TO THE VENDOR AND THE PROGRAM MANAGER AND NONE WERE PROVIDED.  THE FFMS FINANCIAL ACCOUNT SHOWS $30,148,822.00 WAS PAID, AND THERE IS A $19,301.00 UNLIQUIDATED FUNDS BALANCE.

THIS MODIFICATION CLOSES THE OTA IN PRISM AND REDUCES FUNDING FROM $34,569,727.00 BY $19,301.00 TO A $34,550,426.00 FINAL BALANCE IN PRISM ONLY.

NOTE: DUE TO THE FUNDS IN THE AMOUNT OF $4,401.604.00 WHICH WAS OBLIGATED BY  PR# 703120-4050-N864 NOT BEING POSTED IN THE FFMS FINANCIAL ACCOUNT, THE FUNDING IN FFMS IS REDUCED FROM $30,168,123.00 BY $19,301.00 TO A $30,148,822.00 FINAL BALANCE IN FFMS ONLY.

THIS OTA IS HEREBY CLOSED.",Second,2217
"CLOSEOUT MODIFICATION

THIS IS A UNILATERAL MODIFICATION TO CLOSEOUT THE REFERENCED OTHER TRANSACTION AGREEMENT (OTA).

THIS WAS A $1,744,854.00 FY05 OTA BETWEEN RESEARCH TRIANGLE INSTITUTE (RTI) AND THE DEPARTMENT OF HOMELAND SECURITY, SCIENCE&TECHNOLOGY DIRECTORATE TO PROVIDE TECHNICAL EXPERTISE FOR THE RAPID AUTOMATED BIOLOGICAL IDENTIFICATION SYSTEM.  THE PERIOD OF PERFORMANCE EXPIRED ON DECEMBER 1, 2008.  RTI PROVIDED A CONTRACTOR S RELEASE (DHS FORM 700-3) DATED JULY 13, 2012 IS ATTACHED HERETO AND INCORPORATED BY REFERENCE VERIFYING FINAL BILLING OF $1,744,854.00.  THE REQUESTS FOR LESSONS LEARNED WERE SENT TO THE VENDOR AND THE PROGRAM MANAGER AND NONE WERE PROVIDED.  THE FFMS FINANCIAL ACCOUNT SHOWS PAYMENTS OF $1,744,854.00 AND NO RESIDUAL FUNDS BALANCE.

THEREFORE, THIS MODIFICATION CLOSES THE OTA IN PRISM ONLY.  THE ASSOCIATED FINANCIAL ACCOUNT IN FFMS IS CLOSED.

THIS OTA IS HEREBY CLOSED.",Second,2218
LEASE OF SPACE AT AIRPORT FOR STORING CANINE TRAINING AIDS,Second,2219
LEASE OF SPACE FOR CANINE MAGAZINES,Second,2220
"INCREMENTAL FUNDING IN THE AMOUNT OF $526,750 FOR PHASE II OF PMPI-018 WITH RAPTOR, RESEARCH AREA 2.1.3 UNDER REQUEST FOR PROJECT PROPOSAL 11-2.",Second,2221
FUNDING ONLY ACTION,Second,2222
THIS MODIFICATION REPLACES IN ITS ENTIRETY CLIN 0001AR WITH CLIN 0001AT TO UPDATE LINE OF ACCOUNTING.  NO CHANGE IN PRICE.,Second,2223
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 28-SEPTEMBER 2012 AT NO ADDITIONAL COST TO THE GOVERNMENT.,Second,2224
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 28 SEPT 2012 AT NO ADDITIONAL COST TO THE GOVERNMENT.,Second,2225
FIVE ADDITIONAL AFSOC CLOSE AIR SUPPORT TRAINING EVENTS IN SUPPORT OF THE INTEGRATION OF ADVANCED TACTICS DEVELOPMENT AND INNOVATIVE TRAINING FOR JOINT TERMINAL ATTACK CONTROLLERS.,Second,2226
TSA LAW ENFORCEMENT REIMBURSABLE PROGRAM,Second,2227
TSA LAW ENFORCEMENT OFFICERS REIMBURSEMENT PROGRAM,Second,2228
"THE PURPOSE OF MODIFICATION NO. P00002 IS TO DEFINE A WITHIN-SCOPE CHANGE TO THE WORK IN SUPPORT OF THE CHECKPOINT SECURITY EQUIPMENT (CPSE) DATA COLLECTION PROJECT, ON A FIRM-FIXED PRICE BASIS.  THIS BIOMETRIC SYSTEMS ALTERNATIVE STUDY PROJECT SHALL BE PERFORMED IN ACCORDANCE WITH TASK 6 IN ATTACHMENT 1; OTA STATEMENT OF WORK (NEXT-GENERATION DEVICES AND EMERGING TECHNOLOGIES), AND ATTACHMENT 2; STATEMENT OF WORK ADDENDUM, NOW MADE A PART OF THIS AGREEMENT.  
  
FUNDS TO SUPPORT THE WORK ARE HEREIN OBLIGATED IN THE AMOUNT OF $999,950.00 TO FULLY-FUND THE ABOVE-REFERENCED PROJECT.

CUMULATIVE FUNDS UNDER OTHER TRANSACTION NO. HSHQDC-09-9-00012 ARE REVISED AS SET FORTH BELOW:
FROM:  $3,774,581.19
BY:  $999,950.00
TO: $4,774,531.19

WORK UNDER THIS PROGRAM WILL BE CONDUCTED IN ACCORDANCE WITH THE ATTACHED STATEMENT OF WORK FOR CPSE DATA COLLECTION AND THE STATEMENT OF WORK ADDENDUM TITLED STUDY, TESTING, AND ANALYSIS OF ALTERNATIVES OF BIOMETRIC SYSTEMS FOR THE STORE PROGRAM.

COMPLIANCE IS REQUIRED WITH THE FOLLOWING MANAGEMENT DIRECTIVES (MD):
1) MD 026-04, PROTECTION OF HUMAN SUBJECTS; AND
2) MD 142-01, INFORMATION COLLECTION PROGRAM.

ALL OTHER CHANGES TO THE OTHER TRANSACTION AWARD DOCUMENT UNDER MODIFICATION P00002 HAVE BEEN MARKED IN BLUE TYPE.  THIS INCLUDES THE ADVANCE PAYMENTS SCHEDULE UNDER ARTICLE IV, PARAGRAPH C.

THE PERIOD OF PERFORMANCE FOR THIS PROJECT IS TWELVE (12) MONTHS FROM EFFECTIVE DATE OF AWARD FOR MODIFICATION NO. P00002, EXTENDING THE PERIOD OF PERFORMANCE END DATE FROM 09/09/2012 TO 09/30/2012.  

ALL OTHER TERMS AND CONDITIONS NOT SPECIFICALLY REVISED AS A PART OF THIS MODIFICATION REMAIN UNCHANGED AND IN FULL FORCE AND EFFECT.",Second,2229
"THE PURPOSE OF MODIFICATION NO. P00003 IS TO DEOBLIGATE $1,635,294.29 IN FUNDS FROM OTHER TRANSACTION NO. HSHQDC-09-9-00012.",Second,2230
THE PURPOSE OF THIS MODIFICATION IS TO CORRECT A LINE OF ACCOUNTING/FUNDING ERROR THAT OCCURRED ON MODIFICATION P00019.,Second,2231
"THIS IS A UNILATERAL MODIFICATION TO CLOSEOUT THE REFERENCED OTHER TRANSACTION AGREEMENT (OTA).

THIS WAS A $43,028,809.00 FY05 OTA BETWEEN US GENOMICS INC. AND THE DEPARTMENT OF HOMELAND SECURITY, SCIENCE&TECHNOLOGY DIRECTORATE TO SUPPORT THE BIOAGENT AUTONOMOUS NETWORKED DETECTOR (BAND).  THE PERIOD OF PERFORMANCE EXPIRED ON SEPTEMBER 30, 2009.  SEVERAL ATTEMPTS WERE MADE BY EMAIL TO GAIN A CONCURRENCE FROM US GENOMICS INC., AND NO RESPONSE WAS RECEIVED. .  THE S&T PROGRAM MANAGER VERIFIED ALL SERVICES WERE RECEIVED, ACCEPTED, INVOICED, PAID; AND THAT THE OTA COULD BE CLOSED.  THE REQUESTS FOR LESSONS LEARNED WERE SENT TO THE VENDOR AND THE PROGRAM MANAGER AND NONE WERE PROVIDED.  THE FFMS FINANCIAL ACCOUNT SHOWS PAYMENTS OF $43,028,809.00 AND NO RESIDUAL FUNDS BALANCE.

NOTE: TO RECONCILE THE PRISM CONTRACTING SYSTEM WITH THE FINANCIAL SYSTEM THIS ACTION ALSO DEOBLIAGATES $7,076,000.00 FROM PRISM ONLY.  THE TOTAL FUNDING IS REDUCED FROM $50,104,809.00 BY $7,076,000.00 TO $43,028,809.00 FINAL BALANCE.

THEREFORE, THIS MODIFICATION CLOSES THE OTA IN PRISM ONLY.  THE ASSOCIATED FINANCIAL ACCOUNT IN FFMS IS CLOSED.

THIS OTA IS HEREBY CLOSED.",Second,2232
"TECHNOLOGY ACCELERATION SUPPORT TO PATUXENT RIVER; LEVERAGE PAX RIVER TECHNOLOGY CORPORATION (PRT) TO HELP STIMULATE TECHNICAL ECONOMIC DEVELOPMENT IN THE PATUXENT RIVER LOCAL ECONOMY, ACCELERATE DUAL USE TECHNOLOGY TRANSFER, AND SUPPORT RAPID WARFIGHTER RESPONSE INITIATIVES, AMONG OTHER OUTCOMES.",Second,2233
"THE CURRENT MOD (P00012) IS A UNILATERAL MODIFICATION TO CLOSE OUT THE OTHER TRANSACTION AGREEMENT (OTA) AND DEOBLIGATE THE REMAINING $314,288.00. VENDOR (IQUUM LLC) IS NOT AN ACTIVE VENDOR WITH SAM AT THE TIME OF THIS REPORT. GENERIC DOMESTIC VENDOR DUNS USED FOR THIS REPORT.",Second,2234
THIS IS A UNILATERAL MODIFICATION TO CLOSE OUT THE OTHER TRANSACTION AGREEMENT (OTA),Second,2235
CLOSEOUT.,Second,2236
