"principalnaicscode","principalnaicscodeText","NAICS_ShortHand","Action_Obligation_OMB20_GDP20"
811490,"Other Personal and Household Goods Repair and Maintenance","",33201.892982637
812112,"Beauty Salons","",9096.82680001813
812921,"Photofinishing Laboratories (except One-Hour)","",60501.4890448841
812990,"All Other Personal Services","",4563.00456300456
813319,"Other Social Advocacy Organizations","",3224.52322452322
813410,"Civic and Social Organizations","",73187.2912794058
813910,"Business Associations","",869807.307511898
813920,"Professional Organizations","",1584561.69626782
921110,"Executive Offices","",32383980.2585847
921190,"Other General Government Support","",764680444.559705
922160,"Fire Protection","",36190.4761904762
922190,"Other Justice, Public Order, and Safety Activities","",55108805.5308438
923110,"Administration Of Education Programs","",5055.53427805439
923130,"Administration Of Human Resource Programs (Except Education, Public Health, and Veterans' Affairs Programs)","",14218.7088274045
926130,"Regulation and Administration Of Communications, Electric, Gas, and Other Utilities","",119606.237415691
927110,"Space Research and Technology","",84383.9706051211
928110,"National Security","",1398171.67796418
NA,NA,"",1863935555.74356
