"ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","ProductServiceOrRnDarea.sum","Commercial","Unlabeled","Not IT","Non-Commercial","Non-Developmental","NA"
"7490","MISCELLANEOUS OFFICE MACHINES","Other","Products (All)",169806.068319665,713110.771147644,3067613.7311275,NA,NA,NA
"7510","OFFICE SUPPLIES","Other","Products (All)",237975.569404717,315699.052738801,13477826.836501,NA,NA,NA
"7520","OFFICE DEVICES AND ACCESSORIES","Other","Products (All)",54873.5479244507,115691.595165449,2043506.11791282,NA,NA,NA
"7530","STATIONERY AND RECORD FORMS","Other","Products (All)",1488188.51797485,15781.9712191149,4188.18416286416,NA,NA,NA
"7540","STANDARD FORMS","Other","Products (All)",NA,NA,4459.55705344247,NA,NA,NA
"7610","BOOKS AND PAMPHLETS","Other","Products (All)",NA,33948.5257584556,218515.600086101,NA,NA,NA
"7630","NEWSPAPERS AND PERIODICALS","Other","Products (All)",17615.8062828075,16550.4749936847,377394.084314606,NA,NA,NA
"7644","DIGITAL MAPS, CHARTS AND GEODETIC PRODUCTS","Other","Products (All)",NA,59055.1181102362,250726.080835917,NA,NA,NA
"7670","MICROFILM, PROCESSED","Other","Products (All)",NA,4049.68775454792,NA,NA,NA,NA
"7690","MISCELLANEOUS PRINTED MATTER","Other","Products (All)",12130.7197756295,14020.8376540117,159047.479244073,NA,NA,NA
"7730","PHONOGRAPH,RADIO & TV-HOME TYPE","Other","Products (All)",87563.3196421884,13237.6647360488,235001.318012803,NA,NA,NA
"7735","PARTS AND ACCESSORIES OF PHONOGRAPHS, RADIOS, AND TELEVISION SET: HOME TYPE","Other","Products (All)",NA,NA,45874.606837265,NA,NA,NA
"7740","PHONOGRAPH RECORDS","Other","Products (All)",0,NA,226700.446904049,NA,NA,NA
"7810","ATHLETIC AND SPORTING EQUIPMENT","Other","Products (All)",NA,41416.9873684869,852437.709636608,NA,NA,NA
"7830","RECREATIONAL & GYMNASTIC EQ","Other","Products (All)",NA,72925.7923672815,217241.639668443,NA,NA,NA
"7920","BROOMS, BRUSHES, MOPS, AND SPONGES","Other","Products (All)",NA,NA,94.13,NA,NA,NA
"7930","CLEANING AND POLISHING COMPOUNDS AND PREPARATIONS","Other","Products (All)",NA,0,5640.94736842105,NA,NA,NA
"8010","PAINT,DOPE,VARNISH & RELATED PROD","Other","Products (All)",NA,NA,11156.7376775272,NA,NA,NA
"8020","PAINT AND ARTISTS' BRUSHES","Other","Products (All)",5658.43062720608,NA,NA,NA,NA,NA
"8030","PRESERVATIVE AND SEALING COMPOUNDS","Other","Products (All)",NA,NA,6156.84535016392,NA,NA,NA
"8105","BAGS AND SACKS","Other","Products (All)",29723.0518598968,64094.4881889764,NA,NA,NA,NA
"8110","DRUMS AND CANS","Other","Products (All)",NA,NA,523.048668503214,NA,NA,NA
"8115","BOXES, CARTONS, AND CRATES","Other","Products (All)",6637.25224002172,4288.53754940711,157359.336088157,NA,NA,NA
"8135","PACKAGING & PACKING BULK MATERIALS","Other","Products (All)",NA,NA,24207.0169696571,NA,NA,NA
"8145","SPECIAL SHIPPING & STORAGE CONTAIN","Other","Products (All)",888616.967709299,55572.5596987175,1825924.87045678,NA,NA,NA
"8315","NOTIONS AND APPAREL FINDINGS","Clothing & Subsistence","Products (All)",NA,20405.6290680606,NA,NA,NA,NA
"8335","SHOE FINDINGS AND SOLING MATERIALS","Clothing & Subsistence","Products (All)",NA,NA,16553.4946434037,NA,NA,NA
"8340","TENTS AND TARPAULINS","Clothing & Subsistence","Products (All)",NA,23730.3715051704,114677.31683069,NA,NA,NA
"8345","FLAGS AND PENNANTS","Clothing & Subsistence","Products (All)",NA,40312.9855588229,179389.377406871,NA,NA,NA
"8405","OUTERWEAR, MEN'S","Clothing & Subsistence","Products (All)",39522.1286994298,NA,15471.0597543202,NA,NA,NA
"8415","CLOTHING, SPECIAL PURPOSE","Clothing & Subsistence","Products (All)",NA,9410.02691002691,4715.44835237897,NA,NA,NA
"8425","UNDERWEAR AND NIGHTWEAR, WOMEN'S","Clothing & Subsistence","Products (All)",NA,NA,93424.5934245934,NA,NA,NA
"8430","FOOTWEAR, MEN'S","Clothing & Subsistence","Products (All)",NA,NA,37536.1097737121,NA,NA,NA
"8450","CHILDREN & INFANTS APPAREL & ACC","Clothing & Subsistence","Products (All)",NA,0,14896.5781078778,NA,NA,NA
"8455","BADGES AND INSIGNIA","Clothing & Subsistence","Products (All)",NA,30953.2690567776,28705.3074393689,NA,NA,NA
"8460","LUGGAGE","Clothing & Subsistence","Products (All)",NA,6970.50938337802,58550.4376669009,NA,NA,NA
"8465","INDIVIDUAL EQUIPMENT","Clothing & Subsistence","Products (All)",NA,NA,26708.1099079589,NA,NA,NA
"8470","ARMOR, PERSONAL","Clothing & Subsistence","Products (All)",33869.128427912,NA,13283.7974968993,NA,NA,NA
"8540","TOILETRY PAPER PRODUCTS","Clothing & Subsistence","Products (All)",NA,-13971.8588107848,170832.532891294,NA,NA,NA
"8930","JAMS, JELLIES, AND PRESERVES","Clothing & Subsistence","Products (All)",NA,NA,-26155.8514550104,NA,NA,NA
"8960","BEVERAGES, NONALCOHOLIC","Clothing & Subsistence","Products (All)",NA,-1432.15180809166,12173.2903687791,NA,NA,NA
"8970","COMPOSITE FOOD PACKAGES","Clothing & Subsistence","Products (All)",NA,NA,11460.4835220896,NA,NA,NA
"8975","TOBACCO PRODUCTS","Clothing & Subsistence","Products (All)",NA,NA,18084.7399242163,NA,NA,NA
"8999","FOOD ITEMS FOR RESALE","Clothing & Subsistence","Products (All)",NA,764582.258882269,NA,NA,NA,NA
"9140","FUEL OILS","Fuels","Products (All)",NA,NA,1150002.87914783,NA,NA,NA
"9310","PAPER AND PAPERBOARD","Other","Products (All)",18235.6696029618,3323.45837639224,1287.2450440191,NA,NA,NA
"9320","RUBBER FABRICATED MATERIALS","Other","Products (All)",NA,NA,453693.084474104,NA,NA,NA
"9330","PLASTICS FABRICATED MATERIALS","Other","Products (All)",NA,NA,8275.83965343139,NA,NA,NA
"9390","MISC FABRICATED NONMETAL MATERIALS","Other","Products (All)",NA,NA,57314.8304686669,NA,NA,NA
"9505","WIRE, NONELECTRICAL","Other","Products (All)",NA,NA,15349.2453492453,NA,NA,NA
"9515","PLATE, SHEET, STRIP, FOIL, AND LEAF","Other","Products (All)",NA,NA,11260.0536193029,NA,NA,NA
"9535","PLATE SHEET STRIP-NONFERROUS METAL","Other","Products (All)",NA,4336.78028852292,85110.6147628164,NA,NA,NA
"9630","ADDITIVE METAL MATERIALS","Other","Products (All)",NA,NA,23971.1896381254,NA,NA,NA
"9640","IRON & STEEL PRIMARY & SEMIFINISHED","Other","Products (All)",NA,NA,14052.2011752377,NA,NA,NA
"9905","SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES","Other","Products (All)",593288.903407848,484297.544249765,252805.781326576,NA,NA,NA
"9910","JEWELRY","Clothing & Subsistence","Products (All)",1183260.19252548,NA,NA,NA,NA,NA
"9915","COLLECTORS AND/OR HISTORICAL ITEMS","Other","Products (All)",NA,NA,5929.03904007349,NA,NA,NA
"9998","NON-FOOD ITEMS FOR RESALE","Other","Products (All)",2200305.85291255,NA,3529.93744414656,NA,NA,NA
"9999","MISCELLANEOUS ITEMS","Other","Products (All)",323326186.900156,258580213.475968,308357.42094315,204751661.127163,1507106.96538836,NA
"AB11","R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (BASIC RESEARCH)","Basic Research (6.1)","R&D",562373.884212931,NA,NA,NA,NA,NA
"AB94","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT)","Advanced Component Development & Prototypes (6.4)","R&D",NA,NA,1694287.15062666,NA,NA,NA
"AC26","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",NA,NA,595034.093916033,NA,NA,NA
"AC34","DEFENSE SHIPS (ENGINEERING)","Advanced Component Development & Prototypes (6.4)","R&D",NA,-193.945594607607,977950.976637304,NA,NA,NA
"AC36","DEFENSE SHIPS (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",NA,384578.067151794,NA,NA,NA,NA
"AC61","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","Basic Research (6.1)","R&D",NA,1409365.16365677,12896396.3596979,NA,NA,NA
"AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","Advanced Component Development & Prototypes (6.4)","R&D",NA,1313679.84189723,2576250.5,NA,NA,NA
"AC65","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","System Development & Demonstration (6.5)","R&D",NA,NA,238480,NA,NA,NA
"AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","Basic Research (6.1)","R&D",NA,2770.53335720253,99407.9162837028,NA,NA,NA
"AD22","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Applied Research (6.2)","R&D",NA,NA,1750406.25494576,NA,NA,NA
"AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","Advanced Technology Development (6.3)","R&D",NA,5744.92531597089,NA,138892772.864332,NA,NA
"AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","Advanced Component Development & Prototypes (6.4)","R&D",-132407.208497434,41569.2768343312,36594559.3348964,NA,NA,NA
"AD25","R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","System Development & Demonstration (6.5)","R&D",NA,13130505.9816723,24585518.4421801,NA,NA,NA
"AD26","R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",2962790.31659417,42111153.2878864,399040663.086877,8827007.77888782,NA,NA
"AD61","CONSTRUCTION (BASIC)","Basic Research (6.1)","R&D",NA,61693.0171277997,6515.47160432459,NA,NA,NA
"AD91","OTHER DEFENSE (BASIC)","Basic Research (6.1)","R&D",NA,NA,5867969.60662678,NA,NA,NA
"AD92","OTHER DEFENSE (APPLIED/EXPLORATORY)","Applied Research (6.2)","R&D",NA,219046.295009037,NA,NA,NA,NA
"AD93","OTHER DEFENSE (ADVANCED)","Advanced Technology Development (6.3)","R&D",NA,NA,84383.9706051211,NA,NA,NA
"AD94","OTHER DEFENSE (ENGINEERING)","Advanced Component Development & Prototypes (6.4)","R&D",NA,NA,3207304.19284996,NA,NA,NA
"AD96","OTHER DEFENSE (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",0,NA,3738735.73966785,NA,NA,NA
"AE33","MANUFACTURING TECHNOLOGY (ADVANCED)","Advanced Technology Development (6.3)","R&D",NA,NA,7039989.06933167,NA,NA,NA
"AF16","EDUCATION (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",NA,7575.75757575758,17535.0606824734,NA,NA,NA
"AJ14","PHYSICAL SCIENCES (ENGINEERING)","Advanced Component Development & Prototypes (6.4)","R&D",NA,0,568270696.942362,271154.075665354,NA,NA
"AJ26","R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",NA,NA,5704.44367895281,NA,NA,NA
"AJ41","ENGINEERING (BASIC)","Basic Research (6.1)","R&D",-5657.19788155994,177734.186928262,961441.509585734,5657.19788155994,NA,NA
"AJ42","ENGINEERING (APPLIED/EXPLORATORY)","Applied Research (6.2)","R&D",NA,2252405.08057951,27398202.959988,NA,NA,NA
"AJ44","ENGINEERING (ENGINEERING)","Advanced Component Development & Prototypes (6.4)","R&D",NA,88386.9765129862,NA,NA,NA,NA
"AJ45","ENGINEERING (OPERATIONAL)","System Development & Demonstration (6.5)","R&D",NA,NA,7179001.33980832,NA,NA,NA
"AJ46","ENGINEERING (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",NA,NA,161250.601829562,NA,NA,NA
"AJ47","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (COMMERCIALIZED)","Operational Systems Development (6.7)","R&D",NA,NA,886295.722375268,NA,NA,NA
"AJ97","RDTE/Other Sciences - Operational System Develop","Operational Systems Development (6.7)","R&D",702112.117780294,NA,NA,NA,NA,NA
"AR26","R&D- SPACE: SCIENCE/APPLICATIONS (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",NA,NA,4209655.42432729,NA,NA,NA
"AR91","R&D- SPACE: OTHER (BASIC RESEARCH)","Basic Research (6.1)","R&D",NA,NA,7726.28622494574,NA,NA,NA
"AS14","AIR TRANSPORTATION (ENGINEERING)","Advanced Component Development & Prototypes (6.4)","R&D",NA,0,NA,NA,NA,NA
"AT17","R&D- OTHER TRANSPORTATION: HIGHWAYS, ROADS, AND BRIDGES (COMMERCIALIZED)","Operational Systems Development (6.7)","R&D",NA,1629583.37791903,4070866.12965839,NA,NA,NA
"AT96","R&D- OTHER TRANSPORTATION: OTHER GENERAL (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",NA,NA,1097830.24729713,NA,NA,NA
"AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","Basic Research (6.1)","R&D",NA,63417998.954175,13918738.2255937,1593930.21992941,NA,NA
"AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Applied Research (6.2)","R&D",NA,1934178.65870214,NA,NA,NA,NA
"AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","Advanced Technology Development (6.3)","R&D",655499.716874292,15976983.7352947,99783555.3665983,NA,NA,NA
"AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","Advanced Component Development & Prototypes (6.4)","R&D",NA,0,8488578.2762523,NA,NA,NA
"AZ15","R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","System Development & Demonstration (6.5)","R&D",6129290.77010193,NA,NA,6133449.88674972,NA,NA
"AZ16","R&D- OTHER RESEARCH AND DEVELOPMENT (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",117005.870390261,4289898.13555123,3403081.53948205,NA,NA,NA
"B505","COST BENEFIT ANALYSES","PAMS","Services (Non-R&D)",NA,NA,12750816.2882851,NA,NA,NA
"B510","SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","PAMS","Services (Non-R&D)",NA,NA,3973.06223447009,NA,NA,NA
"B529","SCIENTIFIC DATA STUDIES","PAMS","Services (Non-R&D)",NA,166828.861393021,300866.63456909,NA,NA,NA
"B553","COMMUNICATIONS STUDIES","PAMS","Services (Non-R&D)",NA,NA,8485447.67403764,NA,NA,NA
"B554","SPECIAL STUDIES/ANALYSIS- ACQUISITION POLICY/PROCEDURES","PAMS","Services (Non-R&D)",NA,NA,121132,NA,NA,NA
"B599","OTHER SPECIAL STUDIES AND ANALYSES","PAMS","Services (Non-R&D)",NA,2077470.24641835,55112608.5950734,-607065.207527463,NA,NA
"C111","BLDGS & FAC / ADMIN & SVC BLDGS","PAMS","Services (Non-R&D)",975888.19891907,NA,NA,NA,NA,NA
"C115","INDUSTRIAL BUILDINGS","PAMS","Services (Non-R&D)",NA,NA,82864.9701692439,NA,NA,NA
"C118","RESEARCH AND DEVELOPMENT FACILITIES","Operation of Government R&D Facilities","R&D",913947.868585392,NA,NA,NA,NA,NA
"C124","UTILITIES","PAMS","Services (Non-R&D)",NA,NA,6919.83630235917,NA,NA,NA
"C129","OTHER NON-BUILDING STRUCTURES","PAMS","Services (Non-R&D)",0,NA,30091.4780934039,NA,NA,NA
"C1JZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: MISCELLANEOUS BUILDINGS","PAMS","Services (Non-R&D)",NA,NA,20319.5890458147,NA,NA,NA
"C211","A/E SVCS. (INCL LANDSCAPING INTERIO","PAMS","Services (Non-R&D)",NA,NA,97267.0119375574,NA,NA,NA
"C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","PAMS","Services (Non-R&D)",NA,-8244.60615345334,NA,NA,NA,NA
"C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","PAMS","Services (Non-R&D)",0,-315084.321475626,1151712.17885385,NA,NA,NA
"D301","ADP FACILITY MANAGEMENT","ICT","Services (Non-R&D)",719904359.445585,52530416.0353083,-66767.6130928714,145505907.950683,45938.0939451534,NA
"D302","ADP SYSTEMS DEVELOPMENT SERVICES","ICT","Services (Non-R&D)",256080112.063142,7423961.55247337,NA,95824657.9160118,NA,NA
"D303","ADP DATA ENTRY SERVICES","ICT","Services (Non-R&D)",42422126.1033153,1708356.6838855,NA,23944556.7993845,NA,NA
"D304","ADP SVCS/TELECOMM & TRANSMISSION","ICT","Services (Non-R&D)",11274870577.7412,97798086.013643,27485.4780936726,5733775389.70407,173637.599890721,NA
"D305","ADP TELEPROCESSING & TIMESHARE","ICT","Services (Non-R&D)",67989268.0385474,-505.66,NA,17845255.3800153,NA,NA
"D306","ADP SYSTEMS ANALYSIS SERVICES","ICT","Services (Non-R&D)",255869292.925312,16405152.0621128,NA,45852961.3711757,NA,NA
"D307","AUTOMATED INFORMATION SYSTEM SVCS","ICT","Services (Non-R&D)",175723860.354815,43675463.0700776,NA,162628578.525257,NA,NA
"D308","IT AND TELECOM- PROGRAMMING","ICT","Services (Non-R&D)",94377461.3279321,12665209.2647063,NA,19095575.343793,NA,NA
"D309","ADP INF, BROADCAST & DIST SVCS","ICT","Services (Non-R&D)",805844651.792924,25435475.3116347,NA,22053159.4135485,NA,NA
"D310","ADP BACKUP AND SECURITY SERVICES","ICT","Services (Non-R&D)",123493351.482523,14985012.2086394,NA,48606196.2346176,NA,NA
"D311","ADP DATA CONVERSION SERVICES","ICT","Services (Non-R&D)",27577811.6559316,2721370.45365283,NA,NA,NA,NA
"D313","COMPUTER AIDED DESGN/MFG SVCS","ICT","Services (Non-R&D)",37939048.6624275,995386.463588286,4493724.78816088,42482116.9883251,NA,NA
"D314","ADP ACQUISITION SUP SVCS","ICT","Services (Non-R&D)",122328409.88077,12263102.9348206,57464.5094362596,52928225.4407921,NA,NA
"D315","DIGITIZING SVCS","ICT","Services (Non-R&D)",NA,14525.7244989148,NA,NA,NA,NA
"D316","IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT","ICT","Services (Non-R&D)",2194416418.57858,166105407.260166,458205.446712018,5257355958.99901,NA,NA
"D317","AUTO NEWS, DATA & OTHER SVCS","ICT","Services (Non-R&D)",26208419.3239872,8446.89117326651,NA,887570.871494796,NA,NA
"D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","ICT","Services (Non-R&D)",297309280.049136,4416746.09787455,NA,135468936.123393,NA,NA
"D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","ICT","Services (Non-R&D)",1916922757.72945,3107569.92537114,NA,104025859.36256,25325.4830690402,NA
"D320","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS","ICT","Services (Non-R&D)",114337249.123951,0,NA,315181.75766861,NA,NA
"D321","IT AND TELECOM- HELP DESK","ICT","Services (Non-R&D)",13483142.9599909,NA,NA,123453916.732973,NA,NA
"D322","IT AND TELECOM- INTERNET","ICT","Services (Non-R&D)",14586219.356748,15383698.4937251,NA,221879287.687381,NA,NA
"D324","IT AND TELECOM- BUSINESS CONTINUITY","ICT","Services (Non-R&D)",20235.8938163648,NA,NA,NA,NA,NA
"D325","IT AND TELECOM- DATA CENTERS AND STORAGE","ICT","Services (Non-R&D)",12990461.9212938,NA,NA,275686.112638904,191580.441267654,NA
"D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","ICT","Services (Non-R&D)",23487636116.9318,2657589830.92097,45982568.4760114,20300930822.1232,5841931.00101611,NA
"E112","PURCH OF GOVT CONF SPACE & FAC","FRS&C","Services (Non-R&D)",-241105.311612364,52569.1699604743,285353.402374545,NA,NA,NA
"E1AB","PURCHASE OF CONFERENCE SPACE AND FACILITIES","FRS&C","Services (Non-R&D)",NA,NA,91604.8261935677,NA,NA,NA
"E1BG","PURCHASE OF ELECTRONIC AND COMMUNICATIONS FACILITIES","FRS&C","Services (Non-R&D)",NA,NA,225582.96460177,NA,NA,NA
"E1NZ","PURCHASE OF OTHER UTILITIES","FRS&C","Services (Non-R&D)",NA,NA,9864825.38981871,NA,NA,NA
"F108","ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION","FRS&C","Services (Non-R&D)",NA,NA,48552.3332139874,NA,NA,NA
"G003","RECREATIONAL SERVICES","MED","Services (Non-R&D)",NA,NA,77759.9235533772,NA,NA,NA
"G099","OTHER SOCIAL SERVICES","MED","Services (Non-R&D)",-4795.37794896485,52046.0378257543,NA,NA,NA,NA
"H159","QUALITY CONT SV/ELECT-ELCT EQ","PAMS","Services (Non-R&D)",NA,NA,116689.44948428,NA,NA,NA
"H160","QUALITY CONT SV/FIBER OPTICS MATER","ICT","Services (Non-R&D)",NA,NA,11427.4053667993,NA,NA,NA
"H161","QUALITY CONT SV/POWER DISTRIBUTE EQ","PAMS","Services (Non-R&D)",NA,NA,4200.73472094684,NA,NA,NA
"H163","QUALITY CONT SV/ALARM & SIGNAL SYS","PAMS","Services (Non-R&D)",NA,NA,6827.95129101364,NA,NA,NA
"H170","QUALITY CONT SV/ADP EQ & SUPPLIES","ICT","Services (Non-R&D)",2511783.42946687,NA,NA,NA,NA,NA
"H212","EQ TEST SVCS/FIRE CONT EQUIP","PAMS","Services (Non-R&D)",NA,NA,150477.154479577,NA,NA,NA
"H258","EQ TEST SVCS/COMMUNICATION EQUIP","ICT","Services (Non-R&D)",NA,NA,91975.204622051,NA,NA,NA
"H260","EQ TEST SVCS/FIBER OPTICS MATERIAL","ICT","Services (Non-R&D)",NA,NA,546328.323154985,NA,NA,NA
"H270","EQ TEST SVCS/ADP EQUIP & SUPPLIES","ICT","Services (Non-R&D)",52591.5678524374,NA,NA,NA,NA,NA
"H299","EQ TEST SVCS/MISC EQUIP","PAMS","Services (Non-R&D)",NA,NA,36017.2829687125,NA,NA,NA
"H363","INSPECT SVCS/ALARM & SIGNAL SYSTEM","PAMS","Services (Non-R&D)",59237.2414882415,NA,215820.344937464,NA,NA,NA
"H370","INSPECT SVCS/ADP EQ & SUPPLIES","ICT","Services (Non-R&D)",938698.8243052,NA,NA,NA,NA,NA
"H935","OTHER QC SVCS/SERVICE & TRADE EQ","PAMS","Services (Non-R&D)",NA,254101.876675603,-19936.7350746269,NA,NA,NA
"H941","OTHER QC SVCS/REFRIGERATION - AC EQ","PAMS","Services (Non-R&D)",NA,NA,22713.9085557822,NA,NA,NA
"H958","OTHER QC SVCS/COMMUNICATION EQ","ICT","Services (Non-R&D)",NA,4418.62078162563,NA,NA,NA,NA
"H963","OTHER QC SVCS/ALARM & SIGNAL SYSTEM","PAMS","Services (Non-R&D)",41912.7224362061,43219.8847117795,130888.507453507,NA,NA,NA
"H970","OTHER QC SVCS/ADP EQ & SUPPLIES","ICT","Services (Non-R&D)",NA,-151408.432147563,NA,NA,NA,NA
"H971","OTHER QC SVCS/FURNITURE","PAMS","Services (Non-R&D)",NA,197516.285004757,10687.7973557974,NA,NA,NA
"H974","OTHER QC SVCS/OFFICE MACHINES","PAMS","Services (Non-R&D)",NA,NA,72673.3052470318,NA,NA,NA
"H999","MISC TEST & INSPECT SVC","PAMS","Services (Non-R&D)",NA,31588.9328063241,NA,NA,NA,NA
"J010","MAINT-REP OF WEAPONS","ERS","Services (Non-R&D)",1164456.78678961,NA,3151100.8392534,NA,NA,NA
"J016","MAINT-REP OF AIRCRAFT COMPONENTS","ERS","Services (Non-R&D)",NA,NA,5244502.58703669,NA,NA,NA
"J023","MAINT-REP OF VEHICLES-TRAILERS-CYC","ERS","Services (Non-R&D)",NA,NA,184478.297886105,NA,NA,NA
"J024","MAINT-REP OF TRACTORS","ERS","Services (Non-R&D)",NA,NA,0,NA,NA,NA
"J025","MAINT-REP OF VEHICULAR EQ","ERS","Services (Non-R&D)",NA,6898.3198,57061.6875071365,NA,NA,NA
"J030","MAINT-REP OF MECH POWER TRANS EQ","ERS","Services (Non-R&D)",NA,NA,27091.7353664433,NA,NA,NA
"J032","MAINT-REP OF WOODWORKING MACHINE","ERS","Services (Non-R&D)",NA,NA,5213.11475409836,NA,NA,NA
"J034","MAINT-REP OF METALWORK MACHINE","ERS","Services (Non-R&D)",-14443.9094848339,26737.9445567123,3719.33773848531,NA,NA,NA
"J036","MAINT-REP OF SP INDUSTRY MACHINERY","ERS","Services (Non-R&D)",NA,NA,7053.14763799612,NA,NA,NA
"J039","MAINT-REP OF MATERIALS HANDLING EQ","ERS","Services (Non-R&D)",9651.05269842494,16180.2203671769,61314.1260218633,NA,NA,NA
"J040","MAINT-REP OF ROPE-CABLE-CHAIN","ERS","Services (Non-R&D)",NA,NA,22858.1791839791,NA,NA,NA
"J041","MAINT-REP OF REFRIGERATION - AC EQ","ERS","Services (Non-R&D)",259402.357483015,7905.13833992095,1952983.90684577,NA,NA,NA
"J043","MAINT-REP OF PUMPS & COMPRESSORS","ERS","Services (Non-R&D)",NA,NA,6062.80454791554,NA,NA,NA
"J044","MAINT-REP OF FURNACE-NUCLEAR REAC","ERS","Services (Non-R&D)",NA,NA,56233.7842280799,NA,NA,NA
"J045","MAINT-REP OF PLUMBING-HEATING EQ","ERS","Services (Non-R&D)",10136.2405946085,1075775.1660465,11623553.9319006,NA,NA,NA
"J048","MAINT-REP OF VALVES","ERS","Services (Non-R&D)",NA,NA,5119.93181541459,NA,NA,NA
"J049","MAINT-REP OF MAINT REPAIR SHOP EQ","ERS","Services (Non-R&D)",NA,NA,4354.11643127799,NA,NA,NA
"J053","MAINT-REP OF HARDWARE & ABRASIVES","ERS","Services (Non-R&D)",NA,NA,11975.9722477298,NA,NA,NA
"J054","MAINT-REP OF PREFAB STRUCTURES","ERS","Services (Non-R&D)",NA,NA,4471.60687338393,NA,NA,NA
"J055","MAINT-REP OF LUMBER & MILLWORK","ERS","Services (Non-R&D)",NA,NA,19316.1169508838,NA,NA,NA
"J056","MAINT-REP OF CONTRUCT MATERIAL","ERS","Services (Non-R&D)",NA,NA,9156.8459566454,NA,NA,NA
"J058","MAINT-REP OF COMMUNICATION EQ","ICT","Services (Non-R&D)",1335094.16416068,970262.73989068,24658146.0394308,NA,NA,NA
"J059","MAINT-REP OF ELECT-ELCT EQ","ERS","Services (Non-R&D)",115998.410192806,85266.0752103319,6523835.38315482,NA,NA,NA
"J060","MAINT-REP OF FIBER OPTICS MATER","ICT","Services (Non-R&D)",NA,1110952.28914059,1003692588.3448,NA,NA,NA
"J061","MAINT-REP OF POWER DISTRIBUTION EQ","ERS","Services (Non-R&D)",-284.934422690241,345476.811770606,1157299.54196148,NA,NA,NA
"J063","MAINT-REP OF ALARM & SIGNAL SYSTEM","ERS","Services (Non-R&D)",150669.649806892,4619257.88799177,10758084.6904526,NA,NA,NA
"J066","MAINT-REP OF INSTRUMENTS & LAB EQ","ERS","Services (Non-R&D)",NA,NA,2732.24043715847,NA,NA,NA
"J070","MAINT-REP OF ADP EQ & SUPPLIES","ICT","Services (Non-R&D)",168801569.575466,1582167.62405237,134596.45916772,1107887.77527986,26773.5558617522,NA
